date_time,Switzerland_maxtempC,Switzerland_mintempC,Switzerland_totalSnow_cm,Switzerland_sunHour,Switzerland_uvIndex,Switzerland_moon_illumination,Switzerland_moonrise,Switzerland_moonset,Switzerland_sunrise,Switzerland_sunset,Switzerland_DewPointC,Switzerland_FeelsLikeC,Switzerland_HeatIndexC,Switzerland_WindChillC,Switzerland_WindGustKmph,Switzerland_cloudcover,Switzerland_humidity,Switzerland_precipMM,Switzerland_pressure,Switzerland_tempC,Switzerland_visibility,Switzerland_winddirDegree,Switzerland_windspeedKmph,Switzerland_location
2020-01-01,6,-2,0.0,8.4,1,37,12:00 PM,11:18 PM,08:15 AM,04:51 PM,-2,1,1,1,2,37,82,0.0,1031,6,10,105,1,Switzerland
2020-01-02,6,-0,0.0,6.8,1,44,12:21 PM,No moonset,08:15 AM,04:52 PM,-2,1,2,1,7,18,78,0.0,1032,6,10,203,3,Switzerland
2020-01-03,7,-2,0.0,6.8,1,51,12:41 PM,12:20 AM,08:15 AM,04:53 PM,-1,1,3,1,10,63,75,0.1,1029,7,10,205,5,Switzerland
2020-01-04,7,-0,0.0,3.1,1,59,01:01 PM,01:23 AM,08:15 AM,04:54 PM,2,2,3,2,8,72,93,1.0,1033,7,5,164,5,Switzerland
2020-01-05,3,-2,0.0,8.4,1,66,01:24 PM,02:26 AM,08:15 AM,04:55 PM,-2,-1,0,-1,8,22,89,0.0,1034,3,6,52,5,Switzerland
2020-01-06,8,-1,0.0,8.4,2,73,01:49 PM,03:32 AM,08:15 AM,04:56 PM,-1,2,2,2,5,2,77,0.0,1030,8,10,195,3,Switzerland
2020-01-07,6,-1,0.0,8.4,2,80,02:19 PM,04:39 AM,08:15 AM,04:58 PM,-1,1,2,1,8,24,79,0.0,1030,6,10,169,4,Switzerland
2020-01-08,5,-1,0.0,8.4,2,88,02:57 PM,05:47 AM,08:15 AM,04:59 PM,-4,1,2,1,9,29,68,0.0,1030,5,10,197,4,Switzerland
2020-01-09,9,3,0.0,8.7,3,95,03:44 PM,06:54 AM,08:14 AM,05:00 PM,0,4,5,4,8,23,71,0.0,1024,9,10,201,4,Switzerland
2020-01-10,6,1,0.0,6.9,1,100,04:42 PM,07:57 AM,08:14 AM,05:01 PM,2,1,4,1,18,44,85,1.5,1026,6,10,229,12,Switzerland
2020-01-11,5,-1,0.0,8.7,1,100,05:50 PM,08:52 AM,08:14 AM,05:02 PM,0,1,2,1,7,30,89,0.0,1032,5,8,74,5,Switzerland
2020-01-12,7,-1,0.0,8.7,2,83,07:05 PM,09:38 AM,08:13 AM,05:04 PM,-4,1,2,1,7,31,67,0.0,1029,7,10,206,4,Switzerland
2020-01-13,6,-1,0.0,6.9,1,76,08:23 PM,10:15 AM,08:13 AM,05:05 PM,-4,1,2,1,7,33,64,0.0,1024,6,10,207,4,Switzerland
2020-01-14,7,-1,0.0,8.7,1,69,09:42 PM,10:47 AM,08:12 AM,05:06 PM,-5,1,2,1,10,46,62,0.0,1019,7,10,190,5,Switzerland
2020-01-15,7,-0,0.0,8.7,1,61,11:00 PM,11:14 AM,08:11 AM,05:08 PM,-3,1,2,1,9,21,66,0.0,1022,7,10,194,4,Switzerland
2020-01-16,10,1,0.0,8.7,3,54,No moonrise,11:40 AM,08:11 AM,05:09 PM,-0,4,5,4,8,17,72,0.0,1027,10,10,165,4,Switzerland
2020-01-17,8,1,0.0,8.7,2,47,12:15 AM,12:04 PM,08:10 AM,05:10 PM,-0,3,4,3,9,31,73,4.4,1023,8,9,211,5,Switzerland
2020-01-18,4,-1,2.8,6.9,1,40,01:31 AM,12:30 PM,08:09 AM,05:12 PM,-0,-0,2,-0,9,63,88,6.6,1029,4,7,197,7,Switzerland
2020-01-19,2,-3,0.6,6.9,1,32,02:45 AM,12:58 PM,08:09 AM,05:13 PM,-3,-3,-1,-3,9,67,88,0.8,1033,2,8,56,7,Switzerland
2020-01-20,2,-4,0.1,8.7,2,25,03:58 AM,01:31 PM,08:08 AM,05:15 PM,-6,-6,-2,-6,17,27,73,0.1,1041,2,9,62,12,Switzerland
2020-01-21,5,-3,0.0,8.7,2,18,05:09 AM,02:10 PM,08:07 AM,05:16 PM,-6,0,1,0,3,6,65,0.0,1040,5,10,100,2,Switzerland
2020-01-22,5,-3,0.0,8.7,2,11,06:13 AM,02:56 PM,08:06 AM,05:17 PM,-5,0,1,0,4,12,68,0.0,1034,5,10,92,2,Switzerland
2020-01-23,6,-1,0.0,8.7,2,3,07:11 AM,03:50 PM,08:05 AM,05:19 PM,-3,2,3,2,5,4,73,0.0,1028,6,10,70,3,Switzerland
2020-01-24,7,0,0.0,8.7,2,0,08:00 AM,04:50 PM,08:04 AM,05:20 PM,-2,2,3,2,7,26,71,0.0,1025,7,10,210,3,Switzerland
2020-01-25,7,-0,0.0,8.7,2,0,08:40 AM,05:53 PM,08:04 AM,05:22 PM,-1,2,2,2,7,47,79,0.0,1022,7,10,201,4,Switzerland
2020-01-26,7,-2,0.0,8.7,2,4,09:13 AM,06:58 PM,08:02 AM,05:23 PM,-1,1,2,1,7,47,80,0.1,1021,7,9,210,4,Switzerland
2020-01-27,8,1,0.0,7.0,1,11,09:40 AM,08:02 PM,08:01 AM,05:25 PM,1,3,4,3,10,77,79,0.1,1017,8,9,206,6,Switzerland
2020-01-28,4,-4,1.9,3.5,1,18,10:03 AM,09:05 PM,08:00 AM,05:26 PM,1,-1,3,-1,24,91,85,10.3,1009,4,8,228,18,Switzerland
2020-01-29,3,-1,2.1,3.6,1,26,10:24 AM,10:07 PM,07:59 AM,05:28 PM,0,-2,2,-2,22,87,91,4.0,1017,3,7,242,17,Switzerland
2020-01-30,6,-2,0.0,7.0,1,33,10:44 AM,11:10 PM,07:58 AM,05:29 PM,-0,0,2,0,11,52,83,1.4,1018,6,8,205,6,Switzerland
2020-01-31,11,3,0.0,3.7,2,37,11:04 AM,No moonset,07:57 AM,05:31 PM,6,6,7,6,13,66,92,1.6,1018,11,7,203,7,Switzerland
2020-02-01,9,4,0.0,5.3,2,49,11:26 AM,12:12 AM,07:56 AM,05:32 PM,5,5,7,5,20,60,86,1.1,1017,9,10,210,11,Switzerland
