date_time,Syria_maxtempC,Syria_mintempC,Syria_totalSnow_cm,Syria_sunHour,Syria_uvIndex,Syria_moon_illumination,Syria_moonrise,Syria_moonset,Syria_sunrise,Syria_sunset,Syria_DewPointC,Syria_FeelsLikeC,Syria_HeatIndexC,Syria_WindChillC,Syria_WindGustKmph,Syria_cloudcover,Syria_humidity,Syria_precipMM,Syria_pressure,Syria_tempC,Syria_visibility,Syria_winddirDegree,Syria_windspeedKmph,Syria_location
2020-01-01,12,6,0.0,8.7,3,37,10:49 AM,10:28 PM,06:39 AM,04:37 PM,3,7,9,7,13,19,71,0.0,1017,12,10,255,9,Syria
2020-01-02,11,6,0.0,8.7,2,44,11:18 AM,11:22 PM,06:39 AM,04:38 PM,4,9,9,9,6,38,71,0.0,1016,11,10,127,4,Syria
2020-01-03,10,6,0.0,3.8,2,51,11:45 AM,No moonset,06:39 AM,04:39 PM,3,6,8,6,21,67,72,1.3,1016,10,7,243,17,Syria
2020-01-04,9,5,0.0,5.4,2,59,12:13 PM,12:16 AM,06:39 AM,04:39 PM,3,3,7,3,23,59,77,0.4,1015,9,8,228,17,Syria
2020-01-05,11,6,0.0,5.4,2,66,12:43 PM,01:12 AM,06:39 AM,04:40 PM,5,5,8,5,24,56,79,0.9,1014,11,9,239,17,Syria
2020-01-06,11,7,0.0,8.7,3,73,01:17 PM,02:08 AM,06:39 AM,04:41 PM,3,8,9,8,11,21,67,2.8,1016,11,9,171,8,Syria
2020-01-07,10,6,0.0,8.7,2,80,01:54 PM,03:08 AM,06:40 AM,04:42 PM,1,6,8,6,18,34,64,0.3,1014,10,10,187,14,Syria
2020-01-08,6,1,0.0,3.8,1,88,02:37 PM,04:09 AM,06:40 AM,04:43 PM,4,2,5,2,26,99,87,9.2,1011,6,8,230,21,Syria
2020-01-09,10,2,0.0,5.4,2,95,03:28 PM,05:11 AM,06:40 AM,04:44 PM,4,6,8,6,17,68,77,0.8,1010,10,10,214,13,Syria
2020-01-10,9,7,0.0,7.1,2,100,04:26 PM,06:12 AM,06:40 AM,04:45 PM,4,7,8,7,9,56,76,0.2,1016,9,9,129,7,Syria
2020-01-11,13,5,0.0,8.7,3,100,05:31 PM,07:09 AM,06:39 AM,04:45 PM,3,8,8,8,6,1,70,0.0,1022,13,10,204,4,Syria
2020-01-12,12,5,0.0,8.7,3,83,06:39 PM,08:01 AM,06:39 AM,04:46 PM,3,7,8,7,15,47,71,0.0,1022,12,10,267,11,Syria
2020-01-13,14,7,0.0,8.7,4,76,07:48 PM,08:48 AM,06:39 AM,04:47 PM,4,8,10,8,20,13,69,0.0,1021,14,10,225,13,Syria
2020-01-14,13,6,0.0,8.7,3,69,08:57 PM,09:29 AM,06:39 AM,04:48 PM,3,8,9,8,10,12,70,0.0,1025,13,10,156,6,Syria
2020-01-15,13,7,0.0,8.7,4,61,10:04 PM,10:06 AM,06:39 AM,04:49 PM,0,8,10,8,16,29,53,0.0,1022,13,10,45,10,Syria
2020-01-16,13,9,0.0,8.7,4,54,11:11 PM,10:41 AM,06:39 AM,04:50 PM,-1,8,11,8,28,28,44,0.1,1017,13,10,49,19,Syria
2020-01-17,10,6,0.0,8.7,3,47,No moonrise,11:15 AM,06:38 AM,04:51 PM,-0,6,8,6,19,25,55,0.0,1014,10,10,60,14,Syria
2020-01-18,11,6,0.0,5.4,2,40,12:16 AM,11:50 AM,06:38 AM,04:52 PM,3,7,8,7,7,60,72,0.7,1015,11,9,166,5,Syria
2020-01-19,11,6,0.0,5.4,2,32,01:21 AM,12:27 PM,06:38 AM,04:53 PM,5,7,9,7,20,61,79,0.6,1018,11,8,201,16,Syria
2020-01-20,12,7,0.0,7.1,2,25,02:25 AM,01:07 PM,06:38 AM,04:54 PM,3,7,9,7,22,41,69,0.1,1021,12,10,257,16,Syria
2020-01-21,7,5,0.0,3.8,2,18,03:29 AM,01:52 PM,06:37 AM,04:55 PM,2,5,6,5,8,55,78,1.4,1018,7,9,199,6,Syria
2020-01-22,10,4,0.0,8.7,3,11,04:29 AM,02:41 PM,06:37 AM,04:56 PM,-0,6,7,6,7,8,61,0.0,1020,10,10,210,5,Syria
2020-01-23,10,4,0.0,8.7,3,3,05:27 AM,03:35 PM,06:36 AM,04:57 PM,1,4,7,4,22,14,64,0.6,1019,10,10,259,17,Syria
