date_time,Tanzania_maxtempC,Tanzania_mintempC,Tanzania_totalSnow_cm,Tanzania_sunHour,Tanzania_uvIndex,Tanzania_moon_illumination,Tanzania_moonrise,Tanzania_moonset,Tanzania_sunrise,Tanzania_sunset,Tanzania_DewPointC,Tanzania_FeelsLikeC,Tanzania_HeatIndexC,Tanzania_WindChillC,Tanzania_WindGustKmph,Tanzania_cloudcover,Tanzania_humidity,Tanzania_precipMM,Tanzania_pressure,Tanzania_tempC,Tanzania_visibility,Tanzania_winddirDegree,Tanzania_windspeedKmph,Tanzania_location
2020-01-01,28,19,0.0,11.6,5,37,11:24 AM,11:51 PM,06:26 AM,06:55 PM,18,24,24,23,7,39,76,0.5,1011,28,9,99,5,Tanzania
2020-01-02,29,19,0.0,11.6,6,44,12:07 PM,No moonset,06:26 AM,06:55 PM,17,25,25,24,11,9,67,0.0,1011,29,10,45,7,Tanzania
2020-01-03,28,20,0.0,8.9,5,51,12:50 PM,12:29 AM,06:27 AM,06:55 PM,18,25,25,23,16,32,74,0.4,1013,28,10,66,11,Tanzania
2020-01-04,28,19,0.0,10.2,5,59,01:34 PM,01:08 AM,06:27 AM,06:56 PM,18,24,24,23,15,32,77,0.3,1013,28,9,77,10,Tanzania
2020-01-05,29,19,0.0,8.9,5,66,02:19 PM,01:48 AM,06:28 AM,06:56 PM,18,24,24,23,12,46,76,1.2,1011,29,9,82,8,Tanzania
2020-01-06,29,19,0.0,7.5,5,73,03:07 PM,02:30 AM,06:28 AM,06:57 PM,18,25,25,23,11,59,75,4.6,1011,29,10,74,7,Tanzania
2020-01-07,29,19,0.0,8.9,5,80,03:57 PM,03:15 AM,06:29 AM,06:57 PM,18,25,25,24,9,52,74,2.7,1011,29,10,82,6,Tanzania
2020-01-08,28,19,0.0,8.9,5,88,04:51 PM,04:04 AM,06:29 AM,06:57 PM,18,24,24,23,13,57,79,5.6,1012,28,8,82,8,Tanzania
2020-01-09,29,18,0.0,10.2,5,95,05:49 PM,04:57 AM,06:30 AM,06:58 PM,18,24,24,23,11,49,78,0.6,1011,29,8,79,7,Tanzania
2020-01-10,26,18,0.0,6.1,5,100,06:48 PM,05:55 AM,06:30 AM,06:58 PM,18,23,23,22,13,74,82,13.2,1011,26,8,97,7,Tanzania
2020-01-11,25,19,0.0,7.5,5,100,07:47 PM,06:55 AM,06:31 AM,06:58 PM,19,23,23,22,7,73,86,21.8,1013,25,9,205,4,Tanzania
2020-01-12,19,18,0.0,6.1,4,83,08:44 PM,07:55 AM,06:31 AM,06:59 PM,18,19,19,19,11,79,95,31.4,1015,19,7,289,7,Tanzania
2020-01-13,24,17,0.0,7.5,5,76,09:39 PM,08:55 AM,06:32 AM,06:59 PM,18,20,21,20,8,67,88,3.8,1013,24,6,278,6,Tanzania
2020-01-14,26,18,0.0,7.5,5,69,10:29 PM,09:52 AM,06:32 AM,06:59 PM,19,23,23,22,8,64,84,16.4,1011,26,8,226,5,Tanzania
2020-01-15,29,19,0.0,10.3,5,61,11:19 PM,10:47 AM,06:33 AM,07:00 PM,19,24,24,23,8,52,80,5.2,1011,29,9,57,5,Tanzania
2020-01-16,25,15,0.0,7.7,5,54,No moonrise,11:41 AM,06:33 AM,07:00 PM,19,20,22,20,10,66,88,7.0,1012,25,9,153,6,Tanzania
2020-01-17,27,19,0.0,9.0,5,47,12:06 AM,12:33 PM,06:34 AM,07:00 PM,19,22,22,21,4,55,88,0.7,1012,27,10,128,2,Tanzania
2020-01-18,21,14,0.0,6.3,4,40,12:53 AM,01:25 PM,06:34 AM,07:00 PM,19,19,20,19,9,83,94,19.1,1013,21,7,303,7,Tanzania
2020-01-19,26,18,0.0,9.0,5,32,01:41 AM,02:18 PM,06:34 AM,07:00 PM,19,23,23,22,8,50,86,2.7,1012,26,8,274,6,Tanzania
2020-01-20,27,19,0.0,11.6,5,25,02:30 AM,03:12 PM,06:35 AM,07:01 PM,19,24,24,22,9,26,82,0.0,1011,27,8,268,6,Tanzania
2020-01-21,28,20,0.0,10.3,5,18,03:22 AM,04:07 PM,06:35 AM,07:01 PM,19,24,24,23,10,40,80,0.4,1010,28,10,283,6,Tanzania
2020-01-22,27,21,0.0,11.6,5,11,04:15 AM,05:03 PM,06:36 AM,07:01 PM,18,24,24,23,8,20,73,0.1,1010,27,10,218,5,Tanzania
2020-01-23,26,19,0.0,7.6,5,3,05:09 AM,05:57 PM,06:36 AM,07:01 PM,19,23,23,22,9,66,85,2.6,1012,26,10,215,7,Tanzania
2020-01-24,26,19,0.0,7.6,5,0,06:03 AM,06:48 PM,06:36 AM,07:01 PM,19,23,23,22,6,69,86,13.1,1012,26,9,136,4,Tanzania
2020-01-25,24,19,0.0,10.3,5,0,06:55 AM,07:38 PM,06:37 AM,07:01 PM,20,21,22,21,9,67,91,23.5,1013,24,8,49,5,Tanzania
2020-01-26,25,19,0.0,9.0,5,4,07:45 AM,08:23 PM,06:37 AM,07:01 PM,19,22,22,22,8,69,88,8.6,1013,25,9,117,5,Tanzania
2020-01-27,23,20,0.0,6.3,5,11,08:33 AM,09:06 PM,06:37 AM,07:02 PM,20,21,22,21,8,77,92,12.2,1013,23,9,170,5,Tanzania
2020-01-28,22,19,0.0,10.3,5,18,09:19 AM,09:47 PM,06:38 AM,07:02 PM,19,20,20,20,14,70,91,11.4,1014,22,8,231,9,Tanzania
2020-01-29,20,11,0.0,9.0,4,26,10:02 AM,10:26 PM,06:38 AM,07:02 PM,18,17,18,17,6,54,93,1.0,1015,20,7,299,4,Tanzania
2020-01-30,24,18,0.0,7.6,5,33,10:45 AM,11:04 PM,06:38 AM,07:02 PM,19,21,22,21,10,63,87,8.8,1015,24,7,254,6,Tanzania
2020-01-31,24,17,0.0,9.0,5,37,11:28 AM,11:43 PM,06:39 AM,07:02 PM,19,21,22,21,9,73,89,30.0,1013,24,6,290,5,Tanzania
2020-02-01,24,19,0.0,7.6,5,49,12:12 PM,No moonset,06:39 AM,07:02 PM,19,20,21,20,12,72,92,40.4,1013,24,8,199,7,Tanzania
