date_time,Timor-Leste_maxtempC,Timor-Leste_mintempC,Timor-Leste_totalSnow_cm,Timor-Leste_sunHour,Timor-Leste_uvIndex,Timor-Leste_moon_illumination,Timor-Leste_moonrise,Timor-Leste_moonset,Timor-Leste_sunrise,Timor-Leste_sunset,Timor-Leste_DewPointC,Timor-Leste_FeelsLikeC,Timor-Leste_HeatIndexC,Timor-Leste_WindChillC,Timor-Leste_WindGustKmph,Timor-Leste_cloudcover,Timor-Leste_humidity,Timor-Leste_precipMM,Timor-Leste_pressure,Timor-Leste_tempC,Timor-Leste_visibility,Timor-Leste_winddirDegree,Timor-Leste_windspeedKmph,Timor-Leste_location
2020-01-01,7,1,0.0,7.9,2,37,12:02 PM,11:08 PM,08:32 AM,04:25 PM,-2,2,3,2,12,6,71,0.0,1034,7,10,143,7,Timor-Leste
2020-01-02,6,-0,0.0,7.9,2,44,12:19 PM,No moonset,08:32 AM,04:26 PM,-2,2,4,2,13,6,65,0.0,1029,6,10,185,7,Timor-Leste
2020-01-03,8,2,0.0,3.0,2,51,12:35 PM,12:14 AM,08:32 AM,04:27 PM,4,2,6,2,36,91,88,4.5,1020,8,7,245,22,Timor-Leste
2020-01-04,5,3,0.0,3.0,1,59,12:52 PM,01:21 AM,08:32 AM,04:29 PM,2,-1,4,-1,36,98,89,3.0,1027,5,8,278,24,Timor-Leste
2020-01-05,5,3,0.0,3.0,1,66,01:10 PM,02:28 AM,08:32 AM,04:30 PM,3,1,4,1,21,81,92,4.4,1033,5,8,254,14,Timor-Leste
2020-01-06,6,2,0.0,6.8,1,73,01:32 PM,03:39 AM,08:31 AM,04:31 PM,2,1,4,1,14,51,87,0.0,1028,6,10,203,9,Timor-Leste
2020-01-07,6,1,0.0,3.0,1,80,01:58 PM,04:50 AM,08:31 AM,04:32 PM,2,1,4,1,21,64,91,1.1,1025,6,8,239,13,Timor-Leste
2020-01-08,9,3,0.0,3.0,2,88,02:31 PM,06:02 AM,08:30 AM,04:34 PM,5,4,7,4,27,83,86,0.6,1023,9,8,211,15,Timor-Leste
2020-01-09,11,8,0.0,3.0,2,95,03:16 PM,07:12 AM,08:30 AM,04:35 PM,8,8,10,8,22,96,91,5.6,1017,11,5,209,14,Timor-Leste
2020-01-10,6,5,0.0,3.0,2,100,04:13 PM,08:15 AM,08:29 AM,04:36 PM,4,3,7,3,40,89,86,10.0,1014,6,7,240,26,Timor-Leste
2020-01-11,5,-2,0.0,8.1,1,100,05:24 PM,09:09 AM,08:29 AM,04:38 PM,1,-1,2,-1,16,52,88,0.3,1031,5,8,222,10,Timor-Leste
2020-01-12,6,-2,0.0,6.8,1,83,06:43 PM,09:52 AM,08:28 AM,04:39 PM,0,-0,3,-0,31,38,77,0.4,1023,6,9,219,18,Timor-Leste
2020-01-13,6,1,0.0,3.1,1,76,08:06 PM,10:25 AM,08:27 AM,04:41 PM,3,1,4,1,26,72,84,0.6,1018,6,10,204,16,Timor-Leste
