date_time,Trinidad%20and%20Tobago_maxtempC,Trinidad%20and%20Tobago_mintempC,Trinidad%20and%20Tobago_totalSnow_cm,Trinidad%20and%20Tobago_sunHour,Trinidad%20and%20Tobago_uvIndex,Trinidad%20and%20Tobago_moon_illumination,Trinidad%20and%20Tobago_moonrise,Trinidad%20and%20Tobago_moonset,Trinidad%20and%20Tobago_sunrise,Trinidad%20and%20Tobago_sunset,Trinidad%20and%20Tobago_DewPointC,Trinidad%20and%20Tobago_FeelsLikeC,Trinidad%20and%20Tobago_HeatIndexC,Trinidad%20and%20Tobago_WindChillC,Trinidad%20and%20Tobago_WindGustKmph,Trinidad%20and%20Tobago_cloudcover,Trinidad%20and%20Tobago_humidity,Trinidad%20and%20Tobago_precipMM,Trinidad%20and%20Tobago_pressure,Trinidad%20and%20Tobago_tempC,Trinidad%20and%20Tobago_visibility,Trinidad%20and%20Tobago_winddirDegree,Trinidad%20and%20Tobago_windspeedKmph,Trinidad%20and%20Tobago_location
2020-01-01,28,23,0.0,5.7,6,37,11:14 AM,11:24 PM,06:24 AM,05:55 PM,21,27,27,25,20,30,79,1.8,1012,28,10,92,12,Trinidad%20and%20Tobago
2020-01-02,28,23,0.0,8.7,6,44,11:51 AM,No moonset,06:24 AM,05:56 PM,21,27,27,25,19,33,79,0.4,1013,28,10,76,12,Trinidad%20and%20Tobago
2020-01-03,26,23,0.0,4.2,5,51,12:28 PM,12:08 AM,06:25 AM,05:56 PM,21,26,26,24,15,51,83,4.0,1015,26,10,101,9,Trinidad%20and%20Tobago
2020-01-04,26,22,0.0,4.2,5,59,01:06 PM,12:53 AM,06:25 AM,05:57 PM,21,26,26,24,15,65,82,2.5,1015,26,9,70,9,Trinidad%20and%20Tobago
2020-01-05,27,22,0.0,7.2,6,66,01:46 PM,01:40 AM,06:25 AM,05:57 PM,21,26,26,24,13,57,82,2.6,1014,27,10,64,8,Trinidad%20and%20Tobago
2020-01-06,27,22,0.0,8.7,7,73,02:29 PM,02:28 AM,06:26 AM,05:58 PM,20,26,26,24,13,34,79,0.0,1013,27,10,137,8,Trinidad%20and%20Tobago
2020-01-07,28,23,0.0,7.2,6,80,03:16 PM,03:19 AM,06:26 AM,05:58 PM,20,27,27,25,21,29,78,0.5,1013,28,10,93,12,Trinidad%20and%20Tobago
2020-01-08,27,23,0.0,4.2,6,88,04:07 PM,04:13 AM,06:26 AM,05:59 PM,21,27,27,25,25,53,83,1.6,1015,27,10,73,15,Trinidad%20and%20Tobago
2020-01-09,27,22,0.0,7.2,6,95,05:03 PM,05:11 AM,06:27 AM,05:59 PM,21,26,26,24,26,40,80,0.5,1015,27,10,71,16,Trinidad%20and%20Tobago
2020-01-10,27,23,0.0,11.6,6,100,06:03 PM,06:10 AM,06:27 AM,06:00 PM,20,27,27,25,34,54,76,0.4,1015,27,10,71,21,Trinidad%20and%20Tobago
