date_time,Turkey_maxtempC,Turkey_mintempC,Turkey_totalSnow_cm,Turkey_sunHour,Turkey_uvIndex,Turkey_moon_illumination,Turkey_moonrise,Turkey_moonset,Turkey_sunrise,Turkey_sunset,Turkey_DewPointC,Turkey_FeelsLikeC,Turkey_HeatIndexC,Turkey_WindChillC,Turkey_WindGustKmph,Turkey_cloudcover,Turkey_humidity,Turkey_precipMM,Turkey_pressure,Turkey_tempC,Turkey_visibility,Turkey_winddirDegree,Turkey_windspeedKmph,Turkey_location
2020-01-01,3,-2,1.0,3.5,1,37,12:09 PM,11:38 PM,08:10 AM,05:34 PM,-1,-2,1,-2,14,92,82,1.6,1020,3,8,295,9,Turkey
2020-01-02,3,-4,0.0,8.7,1,44,12:34 PM,No moonset,08:10 AM,05:35 PM,-6,-4,0,-4,21,60,65,0.0,1025,3,10,97,14,Turkey
2020-01-03,4,-1,0.0,8.7,2,51,12:59 PM,12:35 AM,08:10 AM,05:36 PM,-5,-2,1,-2,15,7,66,0.0,1023,4,10,48,11,Turkey
2020-01-04,3,-2,0.0,8.7,2,59,01:24 PM,01:33 AM,08:10 AM,05:36 PM,-5,-1,0,-1,7,26,66,0.0,1017,3,10,275,5,Turkey
2020-01-05,2,-9,0.0,8.7,1,66,01:50 PM,02:32 AM,08:10 AM,05:37 PM,-5,-3,-2,-3,6,44,76,0.0,1016,2,10,186,3,Turkey
2020-01-06,3,-3,1.7,3.5,1,73,02:20 PM,03:33 AM,08:10 AM,05:38 PM,-3,-5,-0,-5,26,88,80,3.4,1012,3,7,68,16,Turkey
2020-01-07,5,-5,0.5,3.5,1,80,02:54 PM,04:35 AM,08:10 AM,05:39 PM,-1,-2,1,-2,22,87,86,3.1,1011,5,7,59,12,Turkey
2020-01-08,4,-2,0.0,3.5,1,88,03:35 PM,05:39 AM,08:10 AM,05:40 PM,-0,-2,1,-2,20,75,91,1.6,1015,4,9,70,11,Turkey
2020-01-09,2,-3,0.0,8.7,2,95,04:24 PM,06:43 AM,08:10 AM,05:41 PM,-6,-5,-1,-5,18,23,68,0.0,1024,2,10,166,12,Turkey
2020-01-10,2,-7,0.0,8.7,2,100,05:22 PM,07:45 AM,08:10 AM,05:42 PM,-7,-2,-1,-2,4,9,63,0.0,1026,2,10,269,3,Turkey
2020-01-11,5,-1,0.0,8.7,2,100,06:27 PM,08:42 AM,08:10 AM,05:43 PM,-6,1,1,1,2,7,59,0.0,1026,5,10,162,1,Turkey
2020-01-12,4,-1,0.0,7.0,1,83,07:39 PM,09:32 AM,08:09 AM,05:44 PM,-4,-1,1,-1,9,46,73,0.0,1025,4,10,265,6,Turkey
2020-01-13,4,-4,0.0,8.7,2,76,08:51 PM,10:14 AM,08:09 AM,05:45 PM,-2,0,1,0,4,5,81,0.0,1029,4,10,151,3,Turkey
2020-01-14,5,-1,0.0,5.2,1,69,10:04 PM,10:51 AM,08:09 AM,05:46 PM,-4,0,1,0,7,40,70,0.0,1027,5,10,57,4,Turkey
2020-01-15,6,-1,0.0,3.5,1,61,11:16 PM,11:25 AM,08:09 AM,05:47 PM,-3,1,2,1,9,48,70,0.0,1027,6,10,49,5,Turkey
2020-01-16,5,-5,0.0,8.7,1,54,No moonrise,11:55 AM,08:08 AM,05:48 PM,-5,-1,1,-1,13,37,64,0.0,1024,5,10,53,8,Turkey
2020-01-17,3,-4,0.0,7.0,1,47,12:26 AM,12:25 PM,08:08 AM,05:50 PM,-5,-2,-0,-2,11,24,70,0.0,1023,3,10,51,7,Turkey
2020-01-18,2,-4,0.0,8.7,2,40,01:36 AM,12:56 PM,08:07 AM,05:51 PM,-7,-4,-2,-4,10,14,70,0.0,1023,2,10,171,6,Turkey
2020-01-19,1,-4,0.0,5.3,1,32,02:45 AM,01:30 PM,08:07 AM,05:52 PM,-5,-3,-2,-3,6,55,76,0.1,1023,1,10,174,4,Turkey
2020-01-20,1,-4,0.0,7.0,1,25,03:53 AM,02:07 PM,08:06 AM,05:53 PM,-6,-5,-2,-5,11,46,71,0.0,1031,1,10,268,7,Turkey
2020-01-21,1,-4,0.0,8.7,2,18,04:59 AM,02:49 PM,08:06 AM,05:54 PM,-6,-6,-2,-6,15,9,74,0.0,1035,1,10,344,9,Turkey
2020-01-22,1,-9,0.0,8.7,2,11,06:02 AM,03:37 PM,08:05 AM,05:55 PM,-7,-3,-2,-3,6,10,68,0.0,1032,1,10,306,4,Turkey
2020-01-23,2,-4,0.4,7.0,1,3,07:00 AM,04:30 PM,08:05 AM,05:56 PM,-6,-5,-2,-5,16,43,72,0.6,1024,2,9,284,12,Turkey
2020-01-24,-0,-7,0.0,7.0,1,0,07:50 AM,05:28 PM,08:04 AM,05:57 PM,-7,-6,-3,-6,12,28,71,0.0,1033,-0,10,301,9,Turkey
2020-01-25,3,-6,0.0,8.7,2,0,08:33 AM,06:28 PM,08:03 AM,05:59 PM,-7,-1,-0,-1,4,1,61,0.0,1032,3,10,174,3,Turkey
2020-01-26,4,-3,0.0,10.0,2,4,09:10 AM,07:29 PM,08:03 AM,06:00 PM,-7,-0,-0,-0,3,31,60,0.0,1028,4,10,176,2,Turkey
2020-01-27,7,-2,0.0,9.9,1,11,09:42 AM,08:28 PM,08:02 AM,06:01 PM,-5,1,1,1,5,30,63,0.0,1024,7,10,100,3,Turkey
2020-01-28,4,-0,0.0,5.0,1,18,10:10 AM,09:27 PM,08:01 AM,06:02 PM,-1,-0,1,-0,11,82,86,3.2,1017,4,8,128,6,Turkey
2020-01-29,8,-5,0.0,10.0,2,26,10:36 AM,10:24 PM,08:00 AM,06:03 PM,-0,0,3,0,17,41,80,0.0,1015,8,9,208,10,Turkey
2020-01-30,7,-2,0.4,5.2,1,33,11:01 AM,11:22 PM,07:59 AM,06:04 PM,0,-1,3,-1,32,92,81,2.9,1014,7,7,241,20,Turkey
2020-01-31,2,-6,0.0,10.5,2,37,11:25 AM,No moonset,07:59 AM,06:06 PM,-6,-5,-1,-5,19,42,70,0.2,1020,2,10,278,12,Turkey
2020-02-01,4,-4,0.0,5.2,1,49,11:51 AM,12:19 AM,07:58 AM,06:07 PM,-1,-2,1,-2,12,89,82,0.1,1019,4,9,247,10,Turkey
2020-02-02,5,-0,0.0,8.4,1,57,12:18 PM,01:19 AM,07:57 AM,06:08 PM,0,2,2,2,4,58,87,0.0,1023,5,10,159,2,Turkey
2020-02-03,9,-0,0.0,10.5,3,64,12:49 PM,02:19 AM,07:56 AM,06:09 PM,1,3,4,3,13,35,79,0.0,1019,9,10,201,8,Turkey
2020-02-04,7,4,0.0,5.3,2,72,01:26 PM,03:21 AM,07:55 AM,06:10 PM,4,3,6,3,20,82,86,4.7,1012,7,9,223,12,Turkey
2020-02-05,12,4,0.0,10.0,2,79,02:10 PM,04:24 AM,07:54 AM,06:12 PM,3,4,7,4,51,56,74,0.8,998,12,10,178,33,Turkey
2020-02-06,3,-0,29.2,5.3,1,87,03:03 PM,05:27 AM,07:53 AM,06:13 PM,1,-0,2,-0,22,87,93,34.8,1002,3,6,150,13,Turkey
2020-02-07,1,-5,0.2,10.6,2,95,04:04 PM,06:25 AM,07:52 AM,06:14 PM,-4,-5,-1,-5,16,47,80,0.4,1013,1,9,329,11,Turkey
2020-02-08,-4,-6,0.1,5.3,1,100,05:14 PM,07:19 AM,07:51 AM,06:15 PM,-11,-12,-5,-12,27,67,61,0.4,1022,-4,8,326,22,Turkey
2020-02-09,-3,-7,0.9,5.3,1,100,06:28 PM,08:06 AM,07:50 AM,06:16 PM,-10,-11,-5,-11,20,71,68,1.6,1032,-3,8,297,17,Turkey
2020-02-10,-1,-8,0.0,10.7,2,83,07:44 PM,08:46 AM,07:48 AM,06:18 PM,-9,-6,-5,-6,7,29,72,0.0,1032,-1,10,222,5,Turkey
2020-02-11,3,-5,0.0,10.7,2,75,08:59 PM,09:23 AM,07:47 AM,06:19 PM,-7,-3,-2,-3,7,40,65,0.0,1020,3,10,178,5,Turkey
2020-02-12,5,-2,0.7,5.4,1,68,10:13 PM,09:55 AM,07:46 AM,06:20 PM,-1,-0,1,-0,8,75,86,2.2,1019,5,8,202,5,Turkey
2020-02-13,5,-1,0.0,10.8,2,60,11:25 PM,10:26 AM,07:45 AM,06:21 PM,-2,1,2,1,6,41,77,0.0,1025,5,9,257,4,Turkey
2020-02-14,5,-3,0.0,8.5,1,53,No moonrise,10:58 AM,07:44 AM,06:22 PM,-5,1,2,1,6,37,61,0.0,1028,5,10,101,5,Turkey
2020-02-15,6,-1,0.0,7.0,1,45,12:36 AM,11:31 AM,07:43 AM,06:23 PM,-3,1,3,1,11,79,64,0.0,1021,6,10,50,7,Turkey
2020-02-16,7,-0,0.0,10.8,2,38,01:46 AM,12:07 PM,07:41 AM,06:25 PM,-2,-0,3,-0,16,25,72,0.0,1026,7,10,10,10,Turkey
2020-02-17,8,-1,0.0,10.9,3,30,02:53 AM,12:48 PM,07:40 AM,06:26 PM,-3,2,4,2,10,3,64,0.0,1027,8,10,67,7,Turkey
2020-02-18,8,2,0.0,10.9,3,22,03:57 AM,01:34 PM,07:39 AM,06:27 PM,-5,4,4,4,6,2,53,0.0,1024,8,10,105,4,Turkey
2020-02-19,9,0,0.0,10.9,2,15,04:55 AM,02:25 PM,07:37 AM,06:28 PM,-3,4,4,4,4,18,59,0.0,1020,9,10,195,3,Turkey
2020-02-20,10,1,0.0,7.0,2,7,05:47 AM,03:21 PM,07:36 AM,06:29 PM,-2,5,5,5,5,75,60,0.0,1014,10,10,135,4,Turkey
