date_time,Uganda_maxtempC,Uganda_mintempC,Uganda_totalSnow_cm,Uganda_sunHour,Uganda_uvIndex,Uganda_moon_illumination,Uganda_moonrise,Uganda_moonset,Uganda_sunrise,Uganda_sunset,Uganda_DewPointC,Uganda_FeelsLikeC,Uganda_HeatIndexC,Uganda_WindChillC,Uganda_WindGustKmph,Uganda_cloudcover,Uganda_humidity,Uganda_precipMM,Uganda_pressure,Uganda_tempC,Uganda_visibility,Uganda_winddirDegree,Uganda_windspeedKmph,Uganda_location
2020-01-01,30,19,0.0,11.6,7,37,11:42 AM,No moonset,06:50 AM,06:56 PM,16,25,25,24,8,10,61,0.0,1010,30,10,173,5,Uganda
2020-01-02,30,19,0.0,10.2,6,44,12:22 PM,12:01 AM,06:50 AM,06:57 PM,16,26,26,25,7,25,64,0.2,1010,30,10,119,5,Uganda
2020-01-03,31,19,0.0,11.6,7,51,01:03 PM,12:41 AM,06:51 AM,06:57 PM,17,25,25,24,9,12,66,0.0,1010,31,10,176,6,Uganda
2020-01-04,30,19,0.0,8.8,6,59,01:45 PM,01:23 AM,06:51 AM,06:58 PM,17,25,25,24,8,40,69,1.9,1011,30,10,189,5,Uganda
2020-01-05,29,20,0.0,10.2,5,66,02:27 PM,02:05 AM,06:52 AM,06:58 PM,18,25,25,23,8,38,74,3.8,1009,29,10,235,5,Uganda
2020-01-06,30,18,0.0,8.8,5,73,03:13 PM,02:49 AM,06:52 AM,06:59 PM,18,24,24,23,6,68,74,4.0,1010,30,9,200,4,Uganda
2020-01-07,30,19,0.0,7.4,5,80,04:01 PM,03:36 AM,06:53 AM,06:59 PM,18,24,24,23,5,56,75,3.6,1010,30,10,203,3,Uganda
2020-01-08,28,19,0.0,8.8,5,88,04:54 PM,04:27 AM,06:53 AM,06:59 PM,17,24,24,23,8,45,71,0.8,1010,28,10,225,5,Uganda
2020-01-09,30,19,0.0,10.3,6,95,05:50 PM,05:22 AM,06:53 AM,07:00 PM,18,25,25,24,7,39,72,1.1,1010,30,10,215,5,Uganda
2020-01-10,29,18,0.0,11.6,6,100,06:49 PM,06:19 AM,06:54 AM,07:00 PM,17,24,24,23,8,37,71,1.0,1010,29,10,212,5,Uganda
2020-01-11,32,18,0.0,11.6,6,100,07:49 PM,07:19 AM,06:54 AM,07:01 PM,16,25,25,24,6,29,66,0.8,1011,32,10,210,4,Uganda
2020-01-12,32,21,0.0,11.6,6,83,08:48 PM,08:18 AM,06:55 AM,07:01 PM,14,27,27,25,10,16,58,0.1,1011,32,10,220,7,Uganda
2020-01-13,27,19,0.0,7.6,5,76,09:45 PM,09:16 AM,06:55 AM,07:01 PM,17,24,24,22,8,57,75,3.1,1012,27,10,205,5,Uganda
2020-01-14,33,17,0.0,11.6,7,69,10:38 PM,10:11 AM,06:55 AM,07:02 PM,13,25,25,25,6,7,57,0.0,1010,33,10,158,4,Uganda
2020-01-15,32,19,0.0,11.6,7,61,11:30 PM,11:04 AM,06:56 AM,07:02 PM,14,25,25,25,6,9,52,0.0,1009,32,10,163,4,Uganda
