date_time,United%20States%2C%20Kentucky_maxtempC,United%20States%2C%20Kentucky_mintempC,United%20States%2C%20Kentucky_totalSnow_cm,United%20States%2C%20Kentucky_sunHour,United%20States%2C%20Kentucky_uvIndex,United%20States%2C%20Kentucky_moon_illumination,United%20States%2C%20Kentucky_moonrise,United%20States%2C%20Kentucky_moonset,United%20States%2C%20Kentucky_sunrise,United%20States%2C%20Kentucky_sunset,United%20States%2C%20Kentucky_DewPointC,United%20States%2C%20Kentucky_FeelsLikeC,United%20States%2C%20Kentucky_HeatIndexC,United%20States%2C%20Kentucky_WindChillC,United%20States%2C%20Kentucky_WindGustKmph,United%20States%2C%20Kentucky_cloudcover,United%20States%2C%20Kentucky_humidity,United%20States%2C%20Kentucky_precipMM,United%20States%2C%20Kentucky_pressure,United%20States%2C%20Kentucky_tempC,United%20States%2C%20Kentucky_visibility,United%20States%2C%20Kentucky_winddirDegree,United%20States%2C%20Kentucky_windspeedKmph,United%20States%2C%20Kentucky_location
2020-01-01,6,-4,0.0,8.7,1,37,12:10 PM,11:52 PM,08:00 AM,05:34 PM,-3,-2,2,-2,19,27,71,0.0,1016,6,10,240,13,United%20States%2C%20Kentucky
2020-01-02,9,5,0.0,3.5,2,44,12:36 PM,No moonset,08:00 AM,05:34 PM,3,3,7,3,28,66,80,3.9,1010,9,9,191,18,United%20States%2C%20Kentucky
2020-01-03,14,6,0.0,3.5,3,51,01:02 PM,12:49 AM,08:00 AM,05:35 PM,10,10,11,10,19,89,92,11.6,1005,14,9,203,13,United%20States%2C%20Kentucky
2020-01-04,7,2,0.5,3.5,1,59,01:28 PM,01:46 AM,08:00 AM,05:36 PM,2,2,5,2,21,91,83,3.6,1014,7,6,285,17,United%20States%2C%20Kentucky
2020-01-05,7,-0,0.0,8.7,2,66,01:56 PM,02:44 AM,08:00 AM,05:37 PM,-1,-1,3,-1,24,9,74,0.0,1022,7,10,252,17,United%20States%2C%20Kentucky
2020-01-06,7,-0,0.0,8.7,2,73,02:28 PM,03:45 AM,08:00 AM,05:38 PM,-4,2,3,2,12,26,62,0.0,1022,7,10,221,7,United%20States%2C%20Kentucky
2020-01-07,6,1,0.0,8.7,1,80,03:05 PM,04:46 AM,08:00 AM,05:39 PM,-4,0,3,0,16,24,62,0.1,1020,6,10,206,11,United%20States%2C%20Kentucky
2020-01-08,5,0,0.0,8.7,2,88,03:50 PM,05:50 AM,08:00 AM,05:40 PM,-7,-1,2,-1,17,10,54,0.0,1028,5,10,235,10,United%20States%2C%20Kentucky
2020-01-09,11,2,0.0,7.0,2,95,04:41 PM,06:53 AM,08:00 AM,05:41 PM,-1,3,6,3,28,40,63,1.1,1027,11,10,168,17,United%20States%2C%20Kentucky
2020-01-10,14,7,0.0,3.5,3,100,05:42 PM,07:54 AM,08:00 AM,05:42 PM,9,10,12,10,30,92,85,15.8,1022,14,9,186,18,United%20States%2C%20Kentucky
2020-01-11,19,11,0.0,3.5,4,100,06:49 PM,08:48 AM,08:00 AM,05:43 PM,13,16,16,16,42,85,81,26.1,1008,19,9,183,26,United%20States%2C%20Kentucky
2020-01-12,8,5,0.0,3.7,2,83,08:01 PM,09:37 AM,07:59 AM,05:44 PM,3,5,7,5,20,90,76,0.1,1021,8,10,227,16,United%20States%2C%20Kentucky
2020-01-13,10,4,0.0,7.0,2,76,09:13 PM,10:18 AM,07:59 AM,05:45 PM,4,6,7,6,10,56,80,0.0,1026,10,10,188,6,United%20States%2C%20Kentucky
2020-01-14,14,6,0.0,8.7,3,69,10:24 PM,10:55 AM,07:59 AM,05:46 PM,7,8,9,8,13,39,87,0.0,1021,14,8,210,8,United%20States%2C%20Kentucky
2020-01-15,15,7,0.0,3.7,3,61,11:35 PM,11:29 AM,07:59 AM,05:47 PM,9,9,10,9,18,54,93,0.8,1018,15,7,196,10,United%20States%2C%20Kentucky
2020-01-16,4,0,0.0,8.7,1,54,No moonrise,12:00 PM,07:58 AM,05:48 PM,-4,-0,3,-0,19,40,62,0.3,1033,4,10,316,14,United%20States%2C%20Kentucky
2020-01-17,3,-3,0.0,7.0,1,47,12:43 AM,12:31 PM,07:58 AM,05:49 PM,-10,-4,-0,-4,20,51,48,0.0,1037,3,10,101,15,United%20States%2C%20Kentucky
2020-01-18,11,-3,0.0,3.7,2,40,01:51 AM,01:04 PM,07:58 AM,05:50 PM,2,4,7,4,38,94,73,8.1,1018,11,9,214,27,United%20States%2C%20Kentucky
2020-01-19,-4,-8,0.0,8.7,2,32,02:59 AM,01:40 PM,07:57 AM,05:51 PM,-13,-11,-4,-11,25,26,54,0.0,1025,-4,10,287,21,United%20States%2C%20Kentucky
2020-01-20,-2,-8,0.0,7.0,1,25,04:06 AM,02:19 PM,07:57 AM,05:52 PM,-12,-10,-5,-10,12,48,59,0.0,1033,-2,10,238,9,United%20States%2C%20Kentucky
2020-01-21,3,-5,0.0,8.7,2,18,05:10 AM,03:04 PM,07:56 AM,05:53 PM,-11,-4,-1,-4,9,10,48,0.0,1035,3,10,45,6,United%20States%2C%20Kentucky
2020-01-22,2,-3,0.0,3.7,1,11,06:11 AM,03:54 PM,07:56 AM,05:54 PM,-11,-3,-1,-3,10,50,46,0.0,1030,2,10,150,7,United%20States%2C%20Kentucky
2020-01-23,6,-0,0.0,3.8,1,3,07:06 AM,04:49 PM,07:55 AM,05:55 PM,-5,-0,2,-0,16,81,56,0.4,1023,6,8,164,10,United%20States%2C%20Kentucky
2020-01-24,6,-1,0.1,3.8,1,0,07:55 AM,05:47 PM,07:54 AM,05:56 PM,3,1,4,1,18,96,91,8.3,1013,6,9,181,12,United%20States%2C%20Kentucky
2020-01-25,4,2,0.2,3.8,1,0,08:36 AM,06:47 PM,07:54 AM,05:57 PM,2,-0,4,-0,24,100,89,0.9,1014,4,8,250,18,United%20States%2C%20Kentucky
