date_time,United%20States%2C%20Michigan_maxtempC,United%20States%2C%20Michigan_mintempC,United%20States%2C%20Michigan_totalSnow_cm,United%20States%2C%20Michigan_sunHour,United%20States%2C%20Michigan_uvIndex,United%20States%2C%20Michigan_moon_illumination,United%20States%2C%20Michigan_moonrise,United%20States%2C%20Michigan_moonset,United%20States%2C%20Michigan_sunrise,United%20States%2C%20Michigan_sunset,United%20States%2C%20Michigan_DewPointC,United%20States%2C%20Michigan_FeelsLikeC,United%20States%2C%20Michigan_HeatIndexC,United%20States%2C%20Michigan_WindChillC,United%20States%2C%20Michigan_WindGustKmph,United%20States%2C%20Michigan_cloudcover,United%20States%2C%20Michigan_humidity,United%20States%2C%20Michigan_precipMM,United%20States%2C%20Michigan_pressure,United%20States%2C%20Michigan_tempC,United%20States%2C%20Michigan_visibility,United%20States%2C%20Michigan_winddirDegree,United%20States%2C%20Michigan_windspeedKmph,United%20States%2C%20Michigan_location
2020-01-01,-0,-7,0.0,8.7,2,37,12:08 PM,11:44 PM,08:06 AM,05:16 PM,-6,-8,-2,-8,28,41,73,0.2,1010,-0,10,257,21,United%20States%2C%20Michigan
2020-01-02,4,-3,0.0,6.9,1,44,12:31 PM,No moonset,08:06 AM,05:17 PM,0,-3,2,-3,35,52,85,0.0,1005,4,10,214,22,United%20States%2C%20Michigan
2020-01-03,5,3,0.0,3.4,1,51,12:55 PM,12:43 AM,08:06 AM,05:17 PM,3,2,3,2,12,97,94,4.4,1005,5,6,249,7,United%20States%2C%20Michigan
2020-01-04,-0,-1,0.0,3.4,1,59,01:19 PM,01:43 AM,08:06 AM,05:18 PM,-3,-4,-0,-4,18,89,83,0.0,1012,-0,10,260,14,United%20States%2C%20Michigan
2020-01-05,2,-2,0.0,3.4,1,66,01:45 PM,02:43 AM,08:06 AM,05:19 PM,-4,-6,-0,-6,33,78,76,0.1,1014,2,9,254,24,United%20States%2C%20Michigan
2020-01-06,3,-1,0.0,8.7,2,73,02:14 PM,03:46 AM,08:06 AM,05:20 PM,-6,-5,0,-5,34,26,62,0.0,1017,3,9,273,24,United%20States%2C%20Michigan
2020-01-07,2,-1,0.1,3.4,1,80,02:49 PM,04:50 AM,08:06 AM,05:21 PM,-7,-5,0,-5,28,85,59,0.4,1015,2,9,249,19,United%20States%2C%20Michigan
2020-01-08,-7,-9,0.0,6.9,1,88,03:32 PM,05:56 AM,08:06 AM,05:22 PM,-15,-13,-6,-13,28,54,52,0.1,1025,-7,10,299,23,United%20States%2C%20Michigan
2020-01-09,5,-6,0.0,5.2,1,95,04:22 PM,07:00 AM,08:06 AM,05:23 PM,-8,-7,-1,-7,37,63,60,0.2,1026,5,10,161,24,United%20States%2C%20Michigan
2020-01-10,9,2,0.0,3.5,2,100,05:24 PM,08:01 AM,08:05 AM,05:25 PM,6,4,7,4,33,91,91,26.4,1018,9,7,207,19,United%20States%2C%20Michigan
2020-01-11,8,-3,0.0,3.5,1,100,06:32 PM,08:55 AM,08:05 AM,05:26 PM,3,-3,3,-3,40,100,95,96.0,1011,8,4,95,27,United%20States%2C%20Michigan
2020-01-12,-6,-11,2.1,8.7,1,83,07:45 PM,09:41 AM,08:05 AM,05:27 PM,-9,-12,-7,-12,20,68,91,5.0,1020,-6,7,221,14,United%20States%2C%20Michigan
2020-01-13,2,-6,0.0,7.0,1,76,09:00 PM,10:20 AM,08:04 AM,05:28 PM,-1,-3,-0,-3,16,78,94,0.1,1026,2,5,184,11,United%20States%2C%20Michigan
2020-01-14,5,0,0.0,3.5,1,69,10:14 PM,10:54 AM,08:04 AM,05:29 PM,1,-2,2,-2,29,71,92,0.0,1020,5,10,184,18,United%20States%2C%20Michigan
2020-01-15,3,-1,0.0,7.0,1,61,11:28 PM,11:25 AM,08:04 AM,05:30 PM,-1,-3,1,-3,25,50,86,0.3,1017,3,9,220,17,United%20States%2C%20Michigan
2020-01-16,-3,-7,0.0,5.2,1,54,No moonrise,11:54 AM,08:03 AM,05:31 PM,-8,-11,-4,-11,34,85,74,0.3,1030,-3,8,303,27,United%20States%2C%20Michigan
2020-01-17,-4,-8,0.1,8.7,1,47,12:39 AM,12:22 PM,08:03 AM,05:32 PM,-13,-11,-6,-11,20,46,59,0.1,1040,-4,10,150,15,United%20States%2C%20Michigan
2020-01-18,4,-7,0.0,3.5,1,40,01:50 AM,12:52 PM,08:02 AM,05:34 PM,-2,-7,-1,-7,48,100,93,9.7,1013,4,5,189,32,United%20States%2C%20Michigan
2020-01-19,-10,-12,0.0,3.5,1,32,03:01 AM,01:25 PM,08:02 AM,05:35 PM,-12,-18,-10,-18,38,100,84,0.5,1017,-10,6,279,31,United%20States%2C%20Michigan
