date_time,United%20States%2C%20North%20Dakota_maxtempC,United%20States%2C%20North%20Dakota_mintempC,United%20States%2C%20North%20Dakota_totalSnow_cm,United%20States%2C%20North%20Dakota_sunHour,United%20States%2C%20North%20Dakota_uvIndex,United%20States%2C%20North%20Dakota_moon_illumination,United%20States%2C%20North%20Dakota_moonrise,United%20States%2C%20North%20Dakota_moonset,United%20States%2C%20North%20Dakota_sunrise,United%20States%2C%20North%20Dakota_sunset,United%20States%2C%20North%20Dakota_DewPointC,United%20States%2C%20North%20Dakota_FeelsLikeC,United%20States%2C%20North%20Dakota_HeatIndexC,United%20States%2C%20North%20Dakota_WindChillC,United%20States%2C%20North%20Dakota_WindGustKmph,United%20States%2C%20North%20Dakota_cloudcover,United%20States%2C%20North%20Dakota_humidity,United%20States%2C%20North%20Dakota_precipMM,United%20States%2C%20North%20Dakota_pressure,United%20States%2C%20North%20Dakota_tempC,United%20States%2C%20North%20Dakota_visibility,United%20States%2C%20North%20Dakota_winddirDegree,United%20States%2C%20North%20Dakota_windspeedKmph,United%20States%2C%20North%20Dakota_location
2020-01-01,2,-5,0.0,3.3,1,37,11:24 AM,10:56 PM,07:31 AM,04:14 PM,-3,-5,-1,-5,34,57,81,0.0,997,2,10,254,17,United%20States%2C%20North%20Dakota
2020-01-02,-0,-8,0.1,6.9,1,44,11:45 AM,11:57 PM,07:31 AM,04:15 PM,-2,-6,-2,-6,22,65,92,0.4,1002,-0,9,301,14,United%20States%2C%20North%20Dakota
2020-01-03,-4,-7,1.0,8.7,1,51,12:06 PM,No moonset,07:31 AM,04:16 PM,-7,-10,-4,-10,26,40,82,1.3,1018,-4,7,298,16,United%20States%2C%20North%20Dakota
2020-01-04,5,-4,0.0,6.9,1,59,12:27 PM,12:59 AM,07:31 AM,04:17 PM,-4,-4,1,-4,36,36,68,0.0,1013,5,10,244,19,United%20States%2C%20North%20Dakota
2020-01-05,2,-1,0.0,8.7,2,66,12:51 PM,02:03 AM,07:31 AM,04:18 PM,-8,-6,0,-6,44,14,52,0.0,1020,2,10,281,28,United%20States%2C%20North%20Dakota
2020-01-06,0,-2,0.0,8.7,2,73,01:19 PM,03:08 AM,07:30 AM,04:19 PM,-8,-7,-1,-7,38,24,61,0.0,1018,0,10,272,22,United%20States%2C%20North%20Dakota
2020-01-07,-4,-9,0.0,5.1,1,80,01:52 PM,04:15 AM,07:30 AM,04:20 PM,-9,-10,-6,-10,15,62,79,0.0,1024,-4,10,186,10,United%20States%2C%20North%20Dakota
2020-01-08,-7,-13,0.4,3.3,1,88,02:32 PM,05:23 AM,07:30 AM,04:21 PM,-10,-17,-9,-17,29,88,87,0.9,1014,-7,5,130,22,United%20States%2C%20North%20Dakota
2020-01-09,-4,-12,0.1,8.7,2,95,03:23 PM,06:28 AM,07:30 AM,04:22 PM,-10,-14,-8,-14,29,48,83,0.1,1012,-4,9,284,19,United%20States%2C%20North%20Dakota
2020-01-10,-14,-18,0.0,5.1,1,100,04:24 PM,07:29 AM,07:29 AM,04:23 PM,-19,-24,-16,-24,19,44,76,0.0,1032,-14,10,290,13,United%20States%2C%20North%20Dakota
2020-01-11,-12,-16,0.2,3.4,1,100,05:35 PM,08:21 AM,07:29 AM,04:24 PM,-16,-24,-14,-24,32,68,86,0.2,1020,-12,9,147,22,United%20States%2C%20North%20Dakota
2020-01-12,-9,-15,0.3,3.4,1,83,06:50 PM,09:05 AM,07:28 AM,04:26 PM,-14,-18,-12,-18,14,86,81,0.5,1019,-9,8,162,11,United%20States%2C%20North%20Dakota
2020-01-13,-13,-15,0.9,3.4,1,76,08:08 PM,09:42 AM,07:28 AM,04:27 PM,-15,-20,-14,-20,15,100,89,1.1,1021,-13,7,83,12,United%20States%2C%20North%20Dakota
2020-01-14,-19,-21,0.1,5.2,1,69,09:26 PM,10:12 AM,07:27 AM,04:28 PM,-22,-28,-19,-28,18,55,79,0.2,1027,-19,9,149,14,United%20States%2C%20North%20Dakota
2020-01-15,-20,-24,3.4,6.9,1,61,10:41 PM,10:40 AM,07:27 AM,04:29 PM,-23,-30,-22,-30,19,60,87,4.0,1036,-20,7,292,14,United%20States%2C%20North%20Dakota
2020-01-16,-18,-24,0.1,3.4,1,54,11:56 PM,11:06 AM,07:26 AM,04:31 PM,-22,-30,-21,-30,32,85,93,0.2,1036,-18,10,119,20,United%20States%2C%20North%20Dakota
2020-01-17,-1,-11,0.0,5.2,1,47,No moonrise,11:32 AM,07:26 AM,04:32 PM,-8,-10,-4,-10,43,65,88,1.1,1012,-1,8,207,25,United%20States%2C%20North%20Dakota
2020-01-18,-18,-21,0.0,8.7,1,40,01:11 AM,11:59 AM,07:25 AM,04:33 PM,-21,-31,-18,-31,45,35,80,0.0,1034,-18,10,311,32,United%20States%2C%20North%20Dakota
2020-01-19,-16,-22,0.0,8.7,2,32,02:23 AM,12:29 PM,07:24 AM,04:35 PM,-21,-27,-19,-27,20,27,83,0.0,1042,-16,10,277,14,United%20States%2C%20North%20Dakota
2020-01-20,-12,-19,0.0,8.7,2,25,03:36 AM,01:04 PM,07:23 AM,04:36 PM,-17,-23,-16,-23,24,27,91,0.0,1037,-12,10,164,13,United%20States%2C%20North%20Dakota
2020-01-21,0,-13,0.0,3.4,1,18,04:44 AM,01:46 PM,07:23 AM,04:38 PM,-6,-9,-4,-9,29,76,84,0.0,1014,0,10,216,14,United%20States%2C%20North%20Dakota
2020-01-22,1,-2,0.0,3.4,1,11,05:47 AM,02:34 PM,07:22 AM,04:39 PM,-4,-5,-1,-5,30,44,81,0.0,1011,1,10,287,15,United%20States%2C%20North%20Dakota
2020-01-23,-2,-6,0.0,6.9,1,3,06:41 AM,03:30 PM,07:21 AM,04:40 PM,-6,-9,-4,-9,27,42,85,0.0,1018,-2,10,297,15,United%20States%2C%20North%20Dakota
2020-01-24,-3,-8,0.0,8.7,1,0,07:28 AM,04:31 PM,07:20 AM,04:42 PM,-7,-9,-6,-9,13,30,91,0.0,1022,-3,7,214,7,United%20States%2C%20North%20Dakota
2020-01-25,4,-5,0.0,5.2,1,0,08:06 AM,05:34 PM,07:19 AM,04:43 PM,-3,-5,-1,-5,25,46,82,0.0,1015,4,10,234,12,United%20States%2C%20North%20Dakota
2020-01-26,1,-1,0.2,3.5,1,4,08:37 AM,06:38 PM,07:18 AM,04:45 PM,-3,-5,0,-5,27,80,83,0.3,1015,1,9,305,18,United%20States%2C%20North%20Dakota
2020-01-27,-1,-5,0.1,3.5,1,11,09:04 AM,07:42 PM,07:17 AM,04:46 PM,-3,-6,-3,-6,13,86,94,0.2,1020,-1,6,217,8,United%20States%2C%20North%20Dakota
2020-01-28,3,-2,0.0,8.7,1,18,09:27 AM,08:43 PM,07:16 AM,04:48 PM,-3,-3,0,-3,21,41,81,0.0,1017,3,10,261,10,United%20States%2C%20North%20Dakota
2020-01-29,-1,-4,0.0,8.7,2,26,09:49 AM,09:45 PM,07:15 AM,04:49 PM,-6,-4,-2,-4,10,39,74,0.0,1020,-1,10,178,6,United%20States%2C%20North%20Dakota
2020-01-30,1,-4,0.5,7.0,1,33,10:09 AM,10:46 PM,07:14 AM,04:51 PM,-4,-6,-2,-6,22,34,85,1.0,1018,1,8,232,14,United%20States%2C%20North%20Dakota
2020-01-31,4,-4,0.2,8.7,1,37,10:30 AM,11:49 PM,07:13 AM,04:52 PM,-7,-6,-1,-6,36,38,66,0.9,1019,4,9,290,21,United%20States%2C%20North%20Dakota
2020-02-01,11,1,0.0,8.7,2,49,10:52 AM,No moonset,07:11 AM,04:54 PM,-2,2,6,2,46,25,58,0.0,1010,11,10,271,22,United%20States%2C%20North%20Dakota
2020-02-02,3,-1,0.0,8.7,2,57,11:17 AM,12:52 AM,07:10 AM,04:55 PM,-6,-1,3,-1,28,37,53,0.0,1011,3,10,247,17,United%20States%2C%20North%20Dakota
2020-02-03,-3,-7,0.0,3.6,1,64,11:47 AM,01:57 AM,07:09 AM,04:57 PM,-13,-9,-4,-9,19,98,50,0.1,1018,-3,10,98,15,United%20States%2C%20North%20Dakota
2020-02-04,-3,-7,0.0,7.0,1,72,12:22 PM,03:03 AM,07:08 AM,04:58 PM,-12,-8,-5,-8,11,51,59,0.0,1025,-3,10,178,7,United%20States%2C%20North%20Dakota
2020-02-05,-1,-5,0.0,8.7,1,79,01:07 PM,04:08 AM,07:06 AM,05:00 PM,-14,-8,-3,-8,24,26,42,0.0,1013,-1,10,239,17,United%20States%2C%20North%20Dakota
2020-02-06,-2,-5,0.0,3.7,1,87,02:03 PM,05:11 AM,07:05 AM,05:01 PM,-7,-7,-3,-7,17,85,72,0.1,1006,-2,10,254,12,United%20States%2C%20North%20Dakota
2020-02-07,-3,-9,1.9,3.7,1,95,03:09 PM,06:07 AM,07:04 AM,05:03 PM,-8,-9,-6,-9,12,80,84,2.2,1012,-3,4,183,9,United%20States%2C%20North%20Dakota
2020-02-08,-1,-7,0.3,8.7,2,100,04:24 PM,06:56 AM,07:02 AM,05:04 PM,-7,-8,-4,-8,19,35,78,0.6,1012,-1,8,186,13,United%20States%2C%20North%20Dakota
2020-02-09,-4,-8,0.3,7.1,1,100,05:44 PM,07:37 AM,07:01 AM,05:06 PM,-10,-12,-6,-12,24,59,73,0.3,1025,-4,9,260,18,United%20States%2C%20North%20Dakota
2020-02-10,-3,-7,0.0,3.9,1,83,07:04 PM,08:10 AM,06:59 AM,05:07 PM,-7,-12,-5,-12,36,70,83,0.1,1020,-3,9,277,23,United%20States%2C%20North%20Dakota
2020-02-11,-1,-9,0.1,8.7,2,75,08:24 PM,08:40 AM,06:58 AM,05:09 PM,-8,-12,-5,-12,30,44,80,0.1,1020,-1,9,257,18,United%20States%2C%20North%20Dakota
2020-02-12,-3,-18,1.7,4.0,1,68,09:42 PM,09:08 AM,06:56 AM,05:10 PM,-13,-18,-10,-18,28,79,78,3.0,1023,-3,6,223,21,United%20States%2C%20North%20Dakota
2020-02-13,-14,-20,0.0,8.7,2,60,10:59 PM,09:34 AM,06:55 AM,05:12 PM,-20,-23,-17,-23,16,9,76,0.0,1033,-14,10,183,11,United%20States%2C%20North%20Dakota
2020-02-14,2,-14,0.0,8.7,2,53,No moonrise,10:01 AM,06:53 AM,05:13 PM,-9,-12,-6,-12,33,8,76,0.0,1012,2,10,219,18,United%20States%2C%20North%20Dakota
2020-02-15,1,-6,0.0,8.7,2,45,12:14 AM,10:31 AM,06:52 AM,05:15 PM,-7,-8,-3,-8,30,30,76,0.0,1016,1,10,288,19,United%20States%2C%20North%20Dakota
2020-02-16,0,-6,0.0,4.0,1,38,01:28 AM,11:05 AM,06:50 AM,05:16 PM,-5,-8,-3,-8,21,82,87,0.1,1013,0,10,195,13,United%20States%2C%20North%20Dakota
