date_time,United%20States%2C%20South%20Carolina_maxtempC,United%20States%2C%20South%20Carolina_mintempC,United%20States%2C%20South%20Carolina_totalSnow_cm,United%20States%2C%20South%20Carolina_sunHour,United%20States%2C%20South%20Carolina_uvIndex,United%20States%2C%20South%20Carolina_moon_illumination,United%20States%2C%20South%20Carolina_moonrise,United%20States%2C%20South%20Carolina_moonset,United%20States%2C%20South%20Carolina_sunrise,United%20States%2C%20South%20Carolina_sunset,United%20States%2C%20South%20Carolina_DewPointC,United%20States%2C%20South%20Carolina_FeelsLikeC,United%20States%2C%20South%20Carolina_HeatIndexC,United%20States%2C%20South%20Carolina_WindChillC,United%20States%2C%20South%20Carolina_WindGustKmph,United%20States%2C%20South%20Carolina_cloudcover,United%20States%2C%20South%20Carolina_humidity,United%20States%2C%20South%20Carolina_precipMM,United%20States%2C%20South%20Carolina_pressure,United%20States%2C%20South%20Carolina_tempC,United%20States%2C%20South%20Carolina_visibility,United%20States%2C%20South%20Carolina_winddirDegree,United%20States%2C%20South%20Carolina_windspeedKmph,United%20States%2C%20South%20Carolina_location
2020-01-01,12,4,0.0,8.7,3,37,11:42 AM,11:28 PM,07:25 AM,05:18 PM,0,6,7,6,18,11,62,0.0,1016,12,10,263,11,United%20States%2C%20South%20Carolina
2020-01-02,14,5,0.0,8.7,3,44,12:09 PM,No moonset,07:25 AM,05:19 PM,2,8,9,8,14,29,61,0.0,1018,14,10,204,8,United%20States%2C%20South%20Carolina
2020-01-03,23,12,0.0,3.7,5,51,12:37 PM,12:22 AM,07:25 AM,05:20 PM,15,18,20,18,35,75,83,5.4,1013,23,10,207,21,United%20States%2C%20South%20Carolina
2020-01-04,19,12,0.0,3.7,4,59,01:05 PM,01:18 AM,07:25 AM,05:20 PM,13,17,17,17,35,83,75,4.6,1010,19,10,244,23,United%20States%2C%20South%20Carolina
2020-01-05,11,5,0.0,8.7,3,66,01:36 PM,02:14 AM,07:25 AM,05:21 PM,-2,5,8,5,28,7,53,0.0,1020,11,10,277,18,United%20States%2C%20South%20Carolina
2020-01-06,14,4,0.0,8.7,3,73,02:09 PM,03:12 AM,07:26 AM,05:22 PM,2,7,9,7,14,4,65,0.0,1020,14,10,233,8,United%20States%2C%20South%20Carolina
2020-01-07,13,6,0.0,3.7,3,80,02:48 PM,04:12 AM,07:26 AM,05:23 PM,3,7,9,7,26,63,68,1.3,1018,13,9,198,16,United%20States%2C%20South%20Carolina
2020-01-08,13,3,0.0,8.7,3,88,03:33 PM,05:14 AM,07:26 AM,05:24 PM,-0,6,8,6,17,0,58,0.0,1027,13,10,281,10,United%20States%2C%20South%20Carolina
2020-01-09,12,5,0.0,7.0,2,95,04:26 PM,06:16 AM,07:26 AM,05:25 PM,1,6,8,6,19,42,62,0.0,1035,12,10,96,11,United%20States%2C%20South%20Carolina
2020-01-10,19,8,0.0,5.4,4,100,05:26 PM,07:17 AM,07:25 AM,05:26 PM,10,12,13,12,25,57,81,0.2,1033,19,10,117,14,United%20States%2C%20South%20Carolina
2020-01-11,22,16,0.0,5.4,4,100,06:32 PM,08:12 AM,07:25 AM,05:27 PM,16,19,19,19,35,77,81,1.2,1025,22,10,158,22,United%20States%2C%20South%20Carolina
2020-01-12,19,16,0.0,3.8,4,83,07:42 PM,09:02 AM,07:25 AM,05:27 PM,15,18,18,18,23,84,81,30.8,1023,19,8,212,14,United%20States%2C%20South%20Carolina
2020-01-13,22,12,0.0,3.8,5,76,08:52 PM,09:46 AM,07:25 AM,05:28 PM,18,19,19,19,14,74,92,4.0,1027,22,7,197,8,United%20States%2C%20South%20Carolina
2020-01-14,21,18,0.0,3.8,4,69,10:01 PM,10:25 AM,07:25 AM,05:29 PM,18,19,20,19,19,76,91,15.2,1024,21,9,214,11,United%20States%2C%20South%20Carolina
2020-01-15,22,18,0.0,3.8,4,61,11:09 PM,11:01 AM,07:25 AM,05:30 PM,17,19,20,19,15,75,89,9.5,1021,22,9,245,9,United%20States%2C%20South%20Carolina
2020-01-16,18,10,0.0,8.7,4,54,No moonrise,11:35 AM,07:24 AM,05:31 PM,8,16,16,16,29,39,64,0.1,1024,18,10,306,19,United%20States%2C%20South%20Carolina
2020-01-17,7,3,0.0,8.7,2,47,12:15 AM,12:08 PM,07:24 AM,05:32 PM,-7,2,5,2,24,12,42,0.0,1036,7,10,61,17,United%20States%2C%20South%20Carolina
2020-01-18,12,2,0.0,3.8,2,40,01:21 AM,12:43 PM,07:24 AM,05:33 PM,-0,4,6,4,17,63,65,0.2,1031,12,10,124,11,United%20States%2C%20South%20Carolina
2020-01-19,16,7,0.0,3.8,3,32,02:26 AM,01:21 PM,07:23 AM,05:34 PM,8,12,13,12,30,87,74,2.1,1017,16,8,270,19,United%20States%2C%20South%20Carolina
2020-01-20,4,-1,0.0,8.7,2,25,03:31 AM,02:02 PM,07:23 AM,05:35 PM,-9,-2,2,-2,22,5,44,0.0,1025,4,10,55,15,United%20States%2C%20South%20Carolina
2020-01-21,4,-1,0.0,8.7,2,18,04:34 AM,02:47 PM,07:23 AM,05:36 PM,-11,-4,1,-4,24,1,41,0.0,1029,4,10,26,16,United%20States%2C%20South%20Carolina
2020-01-22,7,-2,0.0,8.7,2,11,05:34 AM,03:39 PM,07:22 AM,05:37 PM,-10,-2,2,-2,27,3,44,0.0,1028,7,10,29,18,United%20States%2C%20South%20Carolina
2020-01-23,9,-1,0.0,5.4,1,3,06:29 AM,04:33 PM,07:22 AM,05:38 PM,-1,1,3,1,19,44,73,0.0,1027,9,10,33,11,United%20States%2C%20South%20Carolina
2020-01-24,16,5,0.0,3.8,3,0,07:19 AM,05:31 PM,07:21 AM,05:39 PM,9,8,10,8,27,78,92,4.9,1018,16,6,111,16,United%20States%2C%20South%20Carolina
2020-01-25,12,8,0.0,8.7,4,0,08:01 AM,06:28 PM,07:21 AM,05:40 PM,7,9,11,9,25,33,76,8.8,1014,12,9,251,16,United%20States%2C%20South%20Carolina
2020-01-26,12,5,0.0,7.1,2,4,08:39 AM,07:27 PM,07:20 AM,05:41 PM,1,7,8,7,12,37,62,0.0,1016,12,10,215,8,United%20States%2C%20South%20Carolina
2020-01-27,11,6,0.0,3.8,2,11,09:12 AM,08:23 PM,07:20 AM,05:42 PM,5,6,8,6,19,68,79,2.1,1013,11,8,243,11,United%20States%2C%20South%20Carolina
2020-01-28,10,4,0.0,8.7,3,18,09:43 AM,09:19 PM,07:19 AM,05:43 PM,2,5,7,5,14,19,71,1.2,1015,10,10,280,9,United%20States%2C%20South%20Carolina
2020-01-29,10,3,0.0,8.7,2,26,10:10 AM,10:13 PM,07:18 AM,05:44 PM,1,5,7,5,13,32,66,0.0,1018,10,10,46,8,United%20States%2C%20South%20Carolina
2020-01-30,13,6,0.0,8.7,3,33,10:38 AM,11:07 PM,07:18 AM,05:45 PM,3,7,9,7,17,40,69,0.0,1020,13,10,60,11,United%20States%2C%20South%20Carolina
2020-01-31,8,3,0.0,5.5,2,37,11:05 AM,No moonset,07:17 AM,05:46 PM,1,3,6,3,22,50,73,7.1,1023,8,9,44,14,United%20States%2C%20South%20Carolina
2020-02-01,10,4,0.0,3.9,2,49,11:34 AM,12:02 AM,07:16 AM,05:47 PM,8,7,8,7,16,98,93,32.2,1014,10,7,173,11,United%20States%2C%20South%20Carolina
2020-02-02,14,5,0.0,8.7,3,57,12:05 PM,12:59 AM,07:16 AM,05:48 PM,4,7,9,7,27,13,73,0.0,1013,14,10,265,17,United%20States%2C%20South%20Carolina
2020-02-03,19,8,0.0,8.7,4,64,12:40 PM,01:57 AM,07:15 AM,05:49 PM,7,11,13,11,25,18,71,0.0,1017,19,10,235,14,United%20States%2C%20South%20Carolina
2020-02-04,19,12,0.0,8.7,4,72,01:22 PM,02:57 AM,07:14 AM,05:50 PM,11,13,14,13,29,44,77,0.0,1017,19,10,227,18,United%20States%2C%20South%20Carolina
2020-02-05,22,15,0.0,7.1,4,79,02:10 PM,03:58 AM,07:13 AM,05:51 PM,13,17,18,17,28,54,74,0.1,1014,22,10,210,18,United%20States%2C%20South%20Carolina
2020-02-06,21,17,0.0,3.9,5,87,03:06 PM,04:58 AM,07:12 AM,05:52 PM,16,19,21,19,47,86,81,3.6,1003,21,10,196,29,United%20States%2C%20South%20Carolina
2020-02-07,14,6,0.0,5.5,3,95,04:10 PM,05:57 AM,07:11 AM,05:53 PM,6,9,12,9,41,58,70,24.5,1001,14,8,242,29,United%20States%2C%20South%20Carolina
2020-02-08,10,3,0.0,8.7,3,100,05:19 PM,06:50 AM,07:11 AM,05:54 PM,-1,5,6,5,14,16,59,0.0,1024,10,10,214,9,United%20States%2C%20South%20Carolina
2020-02-09,14,2,0.0,8.7,3,100,06:31 PM,07:37 AM,07:10 AM,05:55 PM,3,8,8,8,8,27,70,0.0,1030,14,10,198,5,United%20States%2C%20South%20Carolina
2020-02-10,20,6,0.0,8.7,3,83,07:43 PM,08:19 AM,07:09 AM,05:56 PM,8,12,12,12,19,40,77,0.0,1026,20,10,185,11,United%20States%2C%20South%20Carolina
2020-02-11,20,16,0.0,3.9,4,75,08:54 PM,08:58 AM,07:08 AM,05:57 PM,16,18,18,18,34,84,88,3.0,1017,20,9,214,20,United%20States%2C%20South%20Carolina
2020-02-12,16,13,0.0,3.9,3,68,10:03 PM,09:34 AM,07:07 AM,05:58 PM,13,15,16,15,22,86,84,0.7,1018,16,10,132,15,United%20States%2C%20South%20Carolina
2020-02-13,21,15,0.0,3.9,4,60,11:12 PM,10:08 AM,07:06 AM,05:59 PM,16,18,18,18,37,78,87,2.9,1012,21,10,225,23,United%20States%2C%20South%20Carolina
2020-02-14,11,7,0.0,10.1,2,53,No moonrise,10:43 AM,07:05 AM,06:00 PM,1,7,9,7,25,32,57,0.0,1024,11,10,49,18,United%20States%2C%20South%20Carolina
2020-02-15,9,2,0.0,11.0,3,45,12:19 AM,11:21 AM,07:04 AM,06:01 PM,-4,2,5,2,20,14,53,0.0,1031,9,10,69,13,United%20States%2C%20South%20Carolina
2020-02-16,14,3,0.0,8.5,2,38,01:25 AM,12:01 PM,07:03 AM,06:02 PM,2,7,8,7,11,75,69,1.1,1025,14,9,192,7,United%20States%2C%20South%20Carolina
2020-02-17,17,7,0.0,8.6,3,30,02:29 AM,12:45 PM,07:02 AM,06:02 PM,9,12,13,12,8,72,82,0.3,1021,17,6,96,5,United%20States%2C%20South%20Carolina
2020-02-18,18,11,0.0,8.6,3,22,03:30 AM,01:35 PM,07:00 AM,06:03 PM,12,14,14,14,14,69,88,2.5,1021,18,8,140,9,United%20States%2C%20South%20Carolina
2020-02-19,17,8,0.0,5.7,3,15,04:25 AM,02:27 PM,06:59 AM,06:04 PM,10,11,12,11,28,99,85,20.7,1022,17,6,137,18,United%20States%2C%20South%20Carolina
2020-02-20,7,1,0.0,5.7,2,7,05:16 AM,03:23 PM,06:58 AM,06:05 PM,-0,1,5,1,29,81,70,23.5,1027,7,9,48,20,United%20States%2C%20South%20Carolina
2020-02-21,5,-2,2.7,10.1,1,0,06:00 AM,04:20 PM,06:57 AM,06:06 PM,-3,-3,2,-3,31,51,72,3.5,1029,5,7,23,22,United%20States%2C%20South%20Carolina
2020-02-22,12,-1,0.0,11.5,3,0,06:38 AM,05:18 PM,06:56 AM,06:07 PM,-5,3,5,3,10,0,50,0.0,1031,12,10,116,6,United%20States%2C%20South%20Carolina
2020-02-23,13,2,0.0,11.5,3,0,07:13 AM,06:15 PM,06:55 AM,06:08 PM,-2,6,8,6,14,13,54,0.0,1027,13,10,219,8,United%20States%2C%20South%20Carolina
2020-02-24,11,7,0.0,7.2,2,0,07:44 AM,07:11 PM,06:53 AM,06:09 PM,6,8,9,8,12,75,81,4.0,1020,11,10,189,7,United%20States%2C%20South%20Carolina
2020-02-25,20,9,0.0,5.8,4,8,08:12 AM,08:06 PM,06:52 AM,06:10 PM,15,15,16,15,29,95,93,13.3,1011,20,7,193,18,United%20States%2C%20South%20Carolina
2020-02-26,18,12,0.0,11.6,4,15,08:39 AM,09:00 PM,06:51 AM,06:11 PM,12,16,16,16,33,59,78,1.0,1008,18,10,226,22,United%20States%2C%20South%20Carolina
2020-02-27,10,4,0.0,11.6,3,23,09:07 AM,09:55 PM,06:50 AM,06:11 PM,-3,4,7,4,26,2,51,0.0,1017,10,10,278,18,United%20States%2C%20South%20Carolina
2020-02-28,12,1,0.0,11.6,2,30,09:35 AM,10:50 PM,06:49 AM,06:12 PM,-4,3,6,3,25,29,51,0.1,1020,12,10,261,16,United%20States%2C%20South%20Carolina
2020-02-29,10,2,0.0,10.2,2,38,10:04 AM,11:47 PM,06:47 AM,06:13 PM,-2,3,6,3,22,36,60,0.3,1020,10,10,287,14,United%20States%2C%20South%20Carolina
2020-03-01,13,2,0.0,11.6,3,44,10:37 AM,No moonset,06:46 AM,06:14 PM,-4,6,7,6,13,11,47,0.0,1025,13,10,234,8,United%20States%2C%20South%20Carolina
2020-03-02,18,6,0.0,8.7,3,51,11:15 AM,12:44 AM,06:45 AM,06:15 PM,3,10,11,10,24,48,56,0.0,1021,18,10,204,15,United%20States%2C%20South%20Carolina
2020-03-03,21,13,0.0,5.9,4,58,11:58 AM,01:44 AM,06:43 AM,06:16 PM,14,16,17,16,30,85,83,11.3,1012,21,7,223,20,United%20States%2C%20South%20Carolina
2020-03-04,17,12,0.0,11.6,4,65,12:49 PM,02:43 AM,06:42 AM,06:17 PM,10,14,14,14,18,45,76,0.0,1015,17,9,241,11,United%20States%2C%20South%20Carolina
2020-03-05,10,7,0.0,5.9,2,73,01:48 PM,03:41 AM,06:41 AM,06:17 PM,8,7,9,7,20,87,93,40.5,1018,10,7,131,14,United%20States%2C%20South%20Carolina
2020-03-06,13,5,0.0,11.6,3,80,02:53 PM,04:35 AM,06:40 AM,06:18 PM,4,6,9,6,29,46,71,4.1,1015,13,9,286,20,United%20States%2C%20South%20Carolina
2020-03-07,11,3,0.0,11.6,3,87,04:04 PM,05:25 AM,06:38 AM,06:19 PM,-2,4,7,4,28,0,53,0.0,1026,11,10,293,18,United%20States%2C%20South%20Carolina
2020-03-08,14,4,0.0,11.6,3,95,05:16 PM,06:09 AM,06:37 AM,06:20 PM,-0,8,9,8,12,17,54,0.0,1034,14,10,144,7,United%20States%2C%20South%20Carolina
2020-03-09,19,6,0.0,11.6,4,100,06:29 PM,06:50 AM,06:36 AM,06:21 PM,4,11,12,11,19,14,59,0.0,1033,19,10,209,12,United%20States%2C%20South%20Carolina
2020-03-10,21,13,0.0,5.9,4,100,07:42 PM,07:27 AM,06:34 AM,06:22 PM,12,16,16,16,25,67,77,0.8,1028,21,10,205,15,United%20States%2C%20South%20Carolina
2020-03-11,22,13,0.0,5.9,4,84,08:53 PM,08:03 AM,06:33 AM,06:22 PM,14,17,18,17,23,69,85,3.5,1020,22,8,228,14,United%20States%2C%20South%20Carolina
2020-03-12,22,13,0.0,8.8,4,76,10:03 PM,08:39 AM,06:31 AM,06:23 PM,14,17,18,17,16,50,82,4.8,1015,22,9,223,9,United%20States%2C%20South%20Carolina
2020-03-13,24,17,0.0,10.2,5,69,11:13 PM,09:17 AM,06:30 AM,06:24 PM,16,20,20,20,26,51,78,2.7,1017,24,10,253,17,United%20States%2C%20South%20Carolina
2020-03-14,16,11,0.0,8.8,3,62,No moonrise,09:57 AM,06:29 AM,06:25 PM,4,13,14,13,21,62,53,0.0,1028,16,10,71,14,United%20States%2C%20South%20Carolina
2020-03-15,11,7,0.0,6.0,2,55,12:20 AM,10:41 AM,06:27 AM,06:26 PM,7,8,10,8,19,95,79,2.6,1028,11,7,64,13,United%20States%2C%20South%20Carolina
2020-03-16,15,7,0.0,7.4,3,47,01:24 AM,11:30 AM,06:26 AM,06:26 PM,5,10,11,10,19,66,68,0.0,1029,15,10,53,13,United%20States%2C%20South%20Carolina
2020-03-17,15,9,0.0,6.0,3,40,02:22 AM,12:22 PM,06:25 AM,06:27 PM,10,12,13,12,5,91,86,16.9,1025,15,7,155,3,United%20States%2C%20South%20Carolina
