date_time,United%20States%2C%20Tennessee_maxtempC,United%20States%2C%20Tennessee_mintempC,United%20States%2C%20Tennessee_totalSnow_cm,United%20States%2C%20Tennessee_sunHour,United%20States%2C%20Tennessee_uvIndex,United%20States%2C%20Tennessee_moon_illumination,United%20States%2C%20Tennessee_moonrise,United%20States%2C%20Tennessee_moonset,United%20States%2C%20Tennessee_sunrise,United%20States%2C%20Tennessee_sunset,United%20States%2C%20Tennessee_DewPointC,United%20States%2C%20Tennessee_FeelsLikeC,United%20States%2C%20Tennessee_HeatIndexC,United%20States%2C%20Tennessee_WindChillC,United%20States%2C%20Tennessee_WindGustKmph,United%20States%2C%20Tennessee_cloudcover,United%20States%2C%20Tennessee_humidity,United%20States%2C%20Tennessee_precipMM,United%20States%2C%20Tennessee_pressure,United%20States%2C%20Tennessee_tempC,United%20States%2C%20Tennessee_visibility,United%20States%2C%20Tennessee_winddirDegree,United%20States%2C%20Tennessee_windspeedKmph,United%20States%2C%20Tennessee_location
2020-01-01,8,-1,0.0,8.7,2,37,11:16 AM,11:01 PM,07:01 AM,04:46 PM,-1,1,3,1,18,22,73,0.0,1018,8,10,220,10,United%20States%2C%20Tennessee
2020-01-02,9,5,0.0,3.5,2,44,11:43 AM,11:56 PM,07:01 AM,04:47 PM,6,4,7,4,30,83,89,44.0,1010,9,7,171,18,United%20States%2C%20Tennessee
2020-01-03,15,9,0.0,3.6,3,51,12:09 PM,No moonset,07:01 AM,04:48 PM,11,11,12,11,23,92,92,17.3,1006,15,7,207,15,United%20States%2C%20Tennessee
2020-01-04,5,1,0.0,5.3,1,59,12:37 PM,12:52 AM,07:01 AM,04:49 PM,2,1,4,1,24,75,84,5.9,1018,5,9,290,18,United%20States%2C%20Tennessee
2020-01-05,9,-0,0.0,8.7,2,66,01:07 PM,01:49 AM,07:01 AM,04:49 PM,1,1,4,1,20,4,82,0.0,1025,9,9,241,13,United%20States%2C%20Tennessee
2020-01-06,10,2,0.0,7.0,2,73,01:40 PM,02:48 AM,07:01 AM,04:50 PM,4,4,6,4,13,44,87,0.6,1021,10,6,174,8,United%20States%2C%20Tennessee
2020-01-07,7,2,0.0,8.7,1,80,02:17 PM,03:49 AM,07:01 AM,04:51 PM,0,0,4,0,21,40,79,1.2,1022,7,8,235,14,United%20States%2C%20Tennessee
2020-01-08,11,1,0.0,8.7,3,88,03:03 PM,04:52 AM,07:01 AM,04:52 PM,1,3,6,3,17,2,75,0.0,1029,11,10,214,9,United%20States%2C%20Tennessee
2020-01-09,11,5,0.0,8.7,2,95,03:55 PM,05:55 AM,07:01 AM,04:53 PM,2,4,8,4,37,43,67,0.0,1027,11,10,173,21,United%20States%2C%20Tennessee
2020-01-10,16,9,0.0,5.3,3,100,04:56 PM,06:55 AM,07:01 AM,04:54 PM,11,12,14,12,43,71,83,0.6,1021,16,10,169,27,United%20States%2C%20Tennessee
