date_time,Uruguay_maxtempC,Uruguay_mintempC,Uruguay_totalSnow_cm,Uruguay_sunHour,Uruguay_uvIndex,Uruguay_moon_illumination,Uruguay_moonrise,Uruguay_moonset,Uruguay_sunrise,Uruguay_sunset,Uruguay_DewPointC,Uruguay_FeelsLikeC,Uruguay_HeatIndexC,Uruguay_WindChillC,Uruguay_WindGustKmph,Uruguay_cloudcover,Uruguay_humidity,Uruguay_precipMM,Uruguay_pressure,Uruguay_tempC,Uruguay_visibility,Uruguay_winddirDegree,Uruguay_windspeedKmph,Uruguay_location
2020-01-01,25,20,0.0,14.5,6,37,11:25 AM,No moonset,05:35 AM,08:02 PM,16,23,23,22,26,46,70,0.1,1013,25,10,129,20,Uruguay
2020-01-02,25,20,0.0,12.4,5,44,12:20 PM,12:20 AM,05:35 AM,08:02 PM,16,23,23,22,24,53,68,0.2,1018,25,10,113,19,Uruguay
2020-01-03,26,18,0.0,12.4,5,51,01:15 PM,12:47 AM,05:36 AM,08:02 PM,14,23,23,22,23,28,64,0.2,1020,26,10,97,18,Uruguay
2020-01-04,30,17,0.0,14.5,6,59,02:10 PM,01:15 AM,05:37 AM,08:02 PM,13,23,23,23,18,4,58,0.0,1015,30,10,71,13,Uruguay
2020-01-05,32,18,0.0,14.5,7,66,03:08 PM,01:44 AM,05:38 AM,08:02 PM,14,26,26,25,22,8,56,0.0,1005,32,10,97,16,Uruguay
2020-01-06,25,16,0.0,12.4,5,73,04:07 PM,02:15 AM,05:39 AM,08:02 PM,14,23,23,22,27,43,58,0.3,1002,25,9,201,21,Uruguay
2020-01-07,28,19,0.0,14.5,6,80,05:08 PM,02:50 AM,05:40 AM,08:02 PM,8,24,24,23,17,4,38,0.0,1007,28,10,230,12,Uruguay
2020-01-08,34,18,0.0,14.5,7,88,06:11 PM,03:32 AM,05:40 AM,08:02 PM,9,26,26,26,29,1,36,0.0,1007,34,10,64,19,Uruguay
2020-01-09,31,22,0.0,12.4,6,95,07:13 PM,04:20 AM,05:41 AM,08:02 PM,14,26,26,25,26,41,50,0.7,1006,31,10,142,19,Uruguay
2020-01-10,30,20,0.0,14.5,7,100,08:11 PM,05:16 AM,05:42 AM,08:02 PM,15,25,25,25,19,27,59,1.3,1009,30,10,147,14,Uruguay
2020-01-11,33,21,0.0,14.5,7,100,09:04 PM,06:19 AM,05:43 AM,08:02 PM,12,27,27,26,22,4,43,0.0,1011,33,10,112,16,Uruguay
2020-01-12,27,20,0.0,13.4,5,83,09:51 PM,07:27 AM,05:44 AM,08:02 PM,11,25,25,23,21,30,47,0.0,1014,27,10,127,16,Uruguay
2020-01-13,27,17,0.0,14.5,6,76,10:32 PM,08:37 AM,05:45 AM,08:01 PM,11,23,23,22,26,20,52,0.0,1016,27,10,93,20,Uruguay
2020-01-14,34,19,0.0,12.3,6,69,11:10 PM,09:47 AM,05:46 AM,08:01 PM,14,26,26,26,25,35,52,4.0,1009,34,10,85,17,Uruguay
2020-01-15,28,19,0.0,11.3,5,61,11:44 PM,10:56 AM,05:47 AM,08:01 PM,17,26,26,24,32,62,66,46.9,1004,28,8,219,21,Uruguay
2020-01-16,24,18,0.0,14.5,6,54,No moonrise,12:03 PM,05:48 AM,08:01 PM,3,20,21,20,23,0,33,0.0,1017,24,10,205,17,Uruguay
2020-01-17,27,18,0.0,14.5,6,47,12:17 AM,01:10 PM,05:49 AM,08:00 PM,9,22,22,22,16,0,45,0.0,1020,27,10,137,11,Uruguay
2020-01-18,32,16,0.0,14.5,7,40,12:51 AM,02:15 PM,05:50 AM,08:00 PM,9,24,24,24,20,4,44,0.0,1017,32,10,80,13,Uruguay
2020-01-19,35,20,0.0,14.5,7,32,01:27 AM,03:21 PM,05:51 AM,08:00 PM,13,28,28,27,24,8,45,0.0,1012,35,10,45,16,Uruguay
2020-01-20,35,22,0.0,14.1,7,25,02:06 AM,04:25 PM,05:52 AM,07:59 PM,17,30,30,28,22,18,51,0.0,1009,35,10,55,14,Uruguay
2020-01-21,31,24,0.0,14.1,7,18,02:49 AM,05:27 PM,05:53 AM,07:59 PM,17,28,28,27,23,37,57,0.2,1010,31,10,85,17,Uruguay
2020-01-22,30,21,0.0,13.4,6,11,03:37 AM,06:25 PM,05:54 AM,07:58 PM,17,27,27,25,24,15,62,0.0,1014,30,10,82,18,Uruguay
2020-01-23,32,19,0.0,14.0,7,3,04:29 AM,07:18 PM,05:55 AM,07:58 PM,14,26,26,25,20,3,55,0.0,1015,32,10,48,15,Uruguay
2020-01-24,34,19,0.0,14.0,7,0,05:26 AM,08:04 PM,05:56 AM,07:57 PM,15,27,27,26,24,6,53,0.0,1010,34,10,198,17,Uruguay
2020-01-25,31,23,0.0,14.0,7,0,06:23 AM,08:44 PM,05:57 AM,07:57 PM,14,27,27,26,19,15,46,0.0,1006,31,10,234,14,Uruguay
2020-01-26,30,21,0.0,14.0,7,4,07:22 AM,09:20 PM,05:58 AM,07:56 PM,12,26,26,25,18,9,46,0.0,1006,30,10,108,13,Uruguay
2020-01-27,23,18,0.0,14.0,6,11,08:19 AM,09:52 PM,05:59 AM,07:56 PM,13,22,23,22,24,24,58,0.0,1013,23,10,149,19,Uruguay
2020-01-28,32,14,0.0,13.6,6,18,09:15 AM,10:20 PM,06:00 AM,07:55 PM,9,23,23,23,18,2,46,0.0,1012,32,10,93,13,Uruguay
2020-01-29,27,21,0.0,11.6,6,26,10:10 AM,10:48 PM,06:01 AM,07:54 PM,15,26,26,24,27,24,59,0.2,1008,27,10,146,19,Uruguay
2020-01-30,26,20,0.0,11.6,6,33,11:05 AM,11:15 PM,06:02 AM,07:54 PM,15,23,23,22,24,31,66,0.2,1014,26,10,133,19,Uruguay
2020-01-31,28,16,0.0,11.6,6,37,12:00 PM,11:43 PM,06:03 AM,07:53 PM,10,22,22,22,17,2,50,0.0,1013,28,10,123,12,Uruguay
2020-02-01,32,18,0.0,11.6,7,49,12:55 PM,No moonset,06:04 AM,07:52 PM,11,25,25,25,23,3,44,0.0,1012,32,10,135,16,Uruguay
2020-02-02,35,21,0.0,11.6,7,57,01:52 PM,12:12 AM,06:05 AM,07:51 PM,15,28,28,28,26,2,50,0.0,1013,35,10,54,18,Uruguay
2020-02-03,35,21,0.0,11.6,7,64,02:51 PM,12:45 AM,06:06 AM,07:51 PM,14,28,28,28,28,1,46,0.0,1014,35,10,49,19,Uruguay
2020-02-04,36,23,0.0,11.6,8,72,03:52 PM,01:23 AM,06:07 AM,07:50 PM,18,30,30,29,34,19,56,0.0,1012,36,10,39,26,Uruguay
2020-02-05,34,23,0.0,11.6,7,79,04:54 PM,02:06 AM,06:08 AM,07:49 PM,17,30,30,28,31,27,53,0.0,1010,34,10,54,22,Uruguay
2020-02-06,35,24,0.0,9.1,7,87,05:54 PM,02:58 AM,06:09 AM,07:48 PM,18,31,31,29,29,33,53,0.0,1011,35,10,53,20,Uruguay
2020-02-07,33,25,0.0,6.7,6,95,06:49 PM,03:58 AM,06:10 AM,07:47 PM,20,29,29,27,19,62,67,1.2,1012,33,10,85,14,Uruguay
2020-02-08,24,20,0.0,6.7,5,100,07:40 PM,05:04 AM,06:11 AM,07:46 PM,20,25,25,23,25,83,80,23.2,1013,24,9,148,18,Uruguay
2020-02-09,22,18,0.0,11.6,5,100,08:25 PM,06:15 AM,06:12 AM,07:45 PM,12,19,20,19,27,48,62,0.0,1018,22,10,150,21,Uruguay
2020-02-10,23,17,0.0,11.6,5,83,09:05 PM,07:28 AM,06:13 AM,07:44 PM,11,19,20,19,18,37,57,0.1,1021,23,10,137,13,Uruguay
2020-02-11,27,16,0.0,11.6,5,75,09:42 PM,08:39 AM,06:14 AM,07:43 PM,12,22,22,21,21,22,58,0.0,1020,27,10,77,15,Uruguay
2020-02-12,30,17,0.0,11.6,6,68,10:17 PM,09:50 AM,06:15 AM,07:42 PM,14,24,24,23,27,13,58,0.0,1017,30,10,58,20,Uruguay
2020-02-13,33,19,0.0,11.6,7,60,10:51 PM,10:59 AM,06:16 AM,07:41 PM,14,26,26,26,27,6,53,0.0,1012,33,10,45,19,Uruguay
2020-02-14,29,22,0.0,10.4,6,53,11:28 PM,12:07 PM,06:17 AM,07:40 PM,17,27,27,25,20,35,61,1.6,1008,29,10,149,15,Uruguay
2020-02-15,34,21,0.0,11.6,7,45,No moonrise,01:14 PM,06:18 AM,07:39 PM,15,28,28,27,17,3,52,0.0,1008,34,10,117,12,Uruguay
2020-02-16,38,23,0.0,11.6,8,38,12:06 AM,02:19 PM,06:19 AM,07:38 PM,15,31,31,30,24,2,42,0.0,1005,38,10,149,15,Uruguay
2020-02-17,34,26,0.0,6.6,7,30,12:47 AM,03:22 PM,06:20 AM,07:37 PM,20,32,32,29,29,62,62,55.3,1002,34,9,147,19,Uruguay
2020-02-18,24,21,0.0,9.1,5,22,01:34 AM,04:20 PM,06:21 AM,07:36 PM,16,24,24,22,28,55,70,35.3,1007,24,9,212,21,Uruguay
2020-02-19,29,17,0.0,11.6,6,15,02:24 AM,05:14 PM,06:22 AM,07:35 PM,11,23,23,23,13,1,52,0.0,1011,29,10,218,9,Uruguay
2020-02-20,21,19,0.0,11.6,5,7,03:19 AM,06:02 PM,06:23 AM,07:34 PM,9,20,20,20,29,15,49,0.0,1015,21,10,213,23,Uruguay
2020-02-21,20,17,0.0,9.1,4,0,04:16 AM,06:43 PM,06:24 AM,07:32 PM,9,18,18,18,36,61,55,0.6,1019,20,10,202,27,Uruguay
2020-02-22,20,16,0.0,7.8,4,0,05:14 AM,07:20 PM,06:25 AM,07:31 PM,10,17,17,17,22,61,61,0.5,1022,20,10,161,17,Uruguay
2020-02-23,29,13,0.0,11.6,6,0,06:11 AM,07:53 PM,06:26 AM,07:30 PM,11,20,21,20,17,3,59,0.0,1018,29,10,93,12,Uruguay
2020-02-24,31,16,0.0,11.6,6,0,07:07 AM,08:22 PM,06:27 AM,07:29 PM,12,23,23,23,24,5,52,0.0,1009,31,10,126,17,Uruguay
2020-02-25,24,17,0.0,9.1,5,8,08:03 AM,08:50 PM,06:27 AM,07:28 PM,13,21,22,21,21,41,61,2.2,1008,24,10,183,15,Uruguay
2020-02-26,22,16,0.0,11.6,6,15,08:58 AM,09:17 PM,06:28 AM,07:26 PM,10,19,19,19,16,10,57,0.0,1014,22,10,165,12,Uruguay
2020-02-27,27,14,0.0,11.6,6,23,09:52 AM,09:44 PM,06:29 AM,07:25 PM,8,21,21,21,13,6,48,0.0,1014,27,10,172,9,Uruguay
2020-02-28,32,18,0.0,11.6,7,30,10:47 AM,10:12 PM,06:30 AM,07:24 PM,9,24,24,25,25,11,39,0.0,1012,32,10,220,16,Uruguay
2020-02-29,30,19,0.0,11.6,7,38,11:43 AM,10:43 PM,06:31 AM,07:22 PM,14,24,24,24,23,7,58,0.0,1019,30,10,95,17,Uruguay
2020-03-01,34,19,0.0,11.6,7,44,12:40 PM,11:18 PM,06:32 AM,07:21 PM,11,26,26,26,23,7,40,0.0,1019,34,10,103,15,Uruguay
2020-03-02,34,20,0.0,11.6,7,51,01:39 PM,11:58 PM,06:33 AM,07:20 PM,13,27,27,27,26,7,45,0.0,1019,34,10,91,18,Uruguay
2020-03-03,32,19,0.0,11.6,7,58,02:38 PM,No moonset,06:34 AM,07:19 PM,15,25,25,25,22,4,56,0.0,1017,32,10,63,16,Uruguay
2020-03-04,32,19,0.0,11.6,7,65,03:38 PM,12:44 AM,06:35 AM,07:17 PM,14,26,26,25,22,4,54,0.0,1016,32,10,66,16,Uruguay
2020-03-05,32,18,0.0,11.6,7,73,04:34 PM,01:39 AM,06:36 AM,07:16 PM,13,24,24,24,23,14,56,0.0,1018,32,10,65,17,Uruguay
2020-03-06,30,18,0.0,10.3,5,80,05:27 PM,02:40 AM,06:36 AM,07:15 PM,14,24,24,23,22,17,60,0.0,1017,30,10,66,16,Uruguay
2020-03-07,33,17,0.0,11.6,7,87,06:13 PM,03:49 AM,06:37 AM,07:13 PM,14,24,24,24,22,4,57,0.0,1012,33,10,52,16,Uruguay
2020-03-08,33,20,0.0,11.6,7,95,06:56 PM,05:00 AM,06:38 AM,07:12 PM,14,26,26,26,25,13,48,0.0,1010,33,10,145,17,Uruguay
2020-03-09,26,20,0.0,11.6,6,100,07:35 PM,06:13 AM,06:39 AM,07:10 PM,17,25,25,23,26,27,66,0.0,1016,26,10,131,20,Uruguay
2020-03-10,20,12,0.0,7.7,4,100,08:11 PM,07:26 AM,06:40 AM,07:09 PM,14,18,19,18,21,66,73,4.7,1019,20,9,100,15,Uruguay
2020-03-11,27,18,0.0,7.7,5,84,08:47 PM,08:38 AM,06:41 AM,07:08 PM,15,23,23,22,29,46,67,13.2,1014,27,9,79,19,Uruguay
2020-03-12,29,21,0.0,10.3,5,76,09:24 PM,09:50 AM,06:42 AM,07:06 PM,19,25,25,24,25,52,73,9.6,1012,29,9,155,16,Uruguay
2020-03-13,35,22,0.0,11.6,7,69,10:02 PM,11:00 AM,06:42 AM,07:05 PM,18,28,28,26,25,13,64,0.0,1011,35,10,74,17,Uruguay
2020-03-14,30,21,0.0,6.3,6,62,10:44 PM,12:08 PM,06:43 AM,07:04 PM,18,27,27,25,28,55,66,5.4,1012,30,9,127,18,Uruguay
2020-03-15,23,18,0.0,11.6,5,55,11:30 PM,01:15 PM,06:44 AM,07:02 PM,14,21,22,21,23,40,64,0.3,1017,23,10,133,17,Uruguay
2020-03-16,26,16,0.0,11.6,6,47,No moonrise,02:16 PM,06:45 AM,07:01 PM,11,20,21,20,19,18,59,0.0,1017,26,10,96,14,Uruguay
2020-03-17,30,16,0.0,11.6,6,40,12:20 AM,03:12 PM,06:46 AM,06:59 PM,12,23,23,22,26,10,56,0.0,1014,30,10,59,18,Uruguay
2020-03-18,24,20,0.0,6.1,5,33,01:14 AM,04:01 PM,06:47 AM,06:58 PM,17,21,22,21,20,87,75,9.0,1012,24,10,85,14,Uruguay
2020-03-19,22,18,0.0,6.0,5,25,02:10 AM,04:44 PM,06:47 AM,06:56 PM,15,20,20,20,25,66,75,1.1,1009,22,10,237,18,Uruguay
2020-03-20,24,16,0.0,11.6,6,18,03:08 AM,05:22 PM,06:48 AM,06:55 PM,12,20,21,20,15,3,62,0.0,1011,24,10,228,11,Uruguay
2020-03-21,28,16,0.0,11.6,6,11,04:05 AM,05:55 PM,06:49 AM,06:54 PM,10,21,21,22,17,2,51,0.0,1012,28,10,135,11,Uruguay
2020-03-22,31,18,0.0,11.6,7,4,05:02 AM,06:25 PM,06:50 AM,06:52 PM,10,24,24,24,22,4,45,0.0,1017,31,10,130,13,Uruguay
2020-03-23,29,18,0.0,11.6,6,0,05:57 AM,06:53 PM,06:51 AM,06:51 PM,10,24,24,24,26,0,44,0.0,1018,29,10,39,16,Uruguay
2020-03-24,32,19,0.0,11.6,7,0,06:52 AM,07:20 PM,06:51 AM,06:49 PM,15,25,25,24,22,7,59,0.0,1016,32,10,91,15,Uruguay
2020-03-25,27,20,0.0,10.2,6,3,07:47 AM,07:47 PM,06:52 AM,06:48 PM,17,25,25,23,23,32,70,0.0,1015,27,10,112,16,Uruguay
2020-03-26,29,20,0.0,11.6,7,11,08:42 AM,08:15 PM,06:53 AM,06:47 PM,16,25,25,24,19,28,66,0.0,1016,29,10,95,14,Uruguay
2020-03-27,30,19,0.0,11.6,7,18,09:38 AM,08:44 PM,06:54 AM,06:45 PM,16,25,25,24,21,40,64,1.7,1014,30,10,55,14,Uruguay
2020-03-28,29,20,0.0,8.8,5,25,10:34 AM,09:18 PM,06:55 AM,06:44 PM,18,25,25,24,19,39,72,13.4,1013,29,10,67,13,Uruguay
2020-03-29,28,21,0.0,11.6,6,32,11:32 AM,09:55 PM,06:55 AM,06:42 PM,17,25,25,24,16,28,67,0.2,1014,28,10,216,11,Uruguay
2020-03-30,28,21,0.0,8.8,6,40,12:30 PM,10:37 PM,06:56 AM,06:41 PM,17,26,26,24,14,52,64,0.0,1016,28,10,104,10,Uruguay
2020-03-31,22,19,0.0,7.3,5,44,01:29 PM,11:28 PM,06:57 AM,06:40 PM,15,21,21,21,27,76,72,1.0,1019,22,10,108,21,Uruguay
2020-04-01,24,18,0.0,7.3,5,56,02:24 PM,No moonset,06:58 AM,06:38 PM,15,20,20,20,30,62,77,46.7,1015,24,8,64,21,Uruguay
2020-04-02,19,18,0.0,5.9,4,64,03:17 PM,12:24 AM,06:59 AM,06:37 PM,14,19,19,19,36,86,74,10.1,1015,19,9,224,26,Uruguay
2020-04-03,22,17,0.0,8.7,4,71,04:04 PM,01:28 AM,06:59 AM,06:35 PM,11,19,20,19,22,53,61,0.9,1017,22,10,143,15,Uruguay
2020-04-04,25,14,0.0,11.3,6,79,04:47 PM,02:36 AM,07:00 AM,06:34 PM,12,19,20,19,18,2,65,0.0,1012,25,10,204,13,Uruguay
2020-04-05,26,15,0.0,11.3,6,87,05:27 PM,03:47 AM,07:01 AM,06:33 PM,10,20,21,20,20,21,54,0.0,1012,26,10,258,12,Uruguay
2020-04-06,19,16,0.0,11.3,5,94,06:03 PM,04:59 AM,07:02 AM,06:31 PM,9,18,18,18,31,18,54,0.0,1017,19,10,235,22,Uruguay
2020-04-07,17,14,0.0,11.3,5,100,06:39 PM,06:11 AM,07:03 AM,06:30 PM,6,15,15,15,22,21,53,0.0,1024,17,10,193,15,Uruguay
2020-04-08,16,10,0.0,5.6,4,100,07:16 PM,07:24 AM,07:03 AM,06:29 PM,8,14,15,14,20,69,61,0.2,1024,16,10,172,15,Uruguay
2020-04-09,19,15,0.0,10.1,4,83,07:54 PM,08:36 AM,07:04 AM,06:27 PM,10,17,17,17,18,70,66,0.8,1022,19,10,155,13,Uruguay
2020-04-10,22,14,0.0,7.1,4,76,08:35 PM,09:48 AM,07:05 AM,06:26 PM,11,18,18,18,16,54,68,1.1,1021,22,10,129,11,Uruguay
2020-04-11,25,13,0.0,11.2,5,68,09:21 PM,10:58 AM,07:06 AM,06:25 PM,11,18,19,18,13,2,65,0.0,1019,25,10,41,8,Uruguay
2020-04-12,25,14,0.0,11.2,4,61,10:11 PM,12:05 PM,07:06 AM,06:24 PM,11,19,20,19,17,48,62,0.0,1017,25,10,76,11,Uruguay
2020-04-13,21,16,0.0,8.6,4,53,11:06 PM,01:05 PM,07:07 AM,06:22 PM,13,18,18,18,21,67,74,4.6,1014,21,10,114,15,Uruguay
2020-04-14,17,15,0.0,5.6,4,46,No moonrise,01:58 PM,07:08 AM,06:21 PM,11,16,16,16,38,95,76,17.7,1012,17,8,186,26,Uruguay
2020-04-15,17,15,0.0,5.6,4,38,12:03 AM,02:44 PM,07:09 AM,06:20 PM,10,16,16,16,38,82,67,1.7,1016,17,10,194,26,Uruguay
2020-04-16,19,15,0.0,5.5,4,30,01:01 AM,03:24 PM,07:10 AM,06:18 PM,12,17,17,17,19,62,76,1.3,1023,19,10,189,14,Uruguay
2020-04-17,24,15,0.0,11.1,5,23,01:59 AM,03:58 PM,07:10 AM,06:17 PM,13,18,19,18,6,4,73,0.0,1025,24,10,143,4,Uruguay
2020-04-18,24,14,0.0,11.1,5,15,02:56 AM,04:29 PM,07:11 AM,06:16 PM,12,18,19,18,22,2,69,0.0,1023,24,10,21,14,Uruguay
2020-04-19,25,15,0.0,11.0,6,8,03:52 AM,04:57 PM,07:12 AM,06:15 PM,13,19,20,19,24,1,68,0.0,1019,25,10,103,15,Uruguay
2020-04-20,26,16,0.0,11.0,6,0,04:47 AM,05:25 PM,07:13 AM,06:14 PM,12,20,21,20,18,1,61,0.0,1016,26,10,149,10,Uruguay
2020-04-21,22,17,0.0,11.0,5,0,05:42 AM,05:51 PM,07:14 AM,06:12 PM,14,19,20,19,19,18,73,0.0,1017,22,10,189,13,Uruguay
2020-04-22,22,15,0.0,5.5,4,0,06:36 AM,06:18 PM,07:14 AM,06:11 PM,13,18,18,18,16,70,72,0.0,1019,22,10,78,11,Uruguay
