date_time,Vietnam_maxtempC,Vietnam_mintempC,Vietnam_totalSnow_cm,Vietnam_sunHour,Vietnam_uvIndex,Vietnam_moon_illumination,Vietnam_moonrise,Vietnam_moonset,Vietnam_sunrise,Vietnam_sunset,Vietnam_DewPointC,Vietnam_FeelsLikeC,Vietnam_HeatIndexC,Vietnam_WindChillC,Vietnam_WindGustKmph,Vietnam_cloudcover,Vietnam_humidity,Vietnam_precipMM,Vietnam_pressure,Vietnam_tempC,Vietnam_visibility,Vietnam_winddirDegree,Vietnam_windspeedKmph,Vietnam_location
2020-01-01,22,20,0.0,4.1,5,37,10:54 AM,10:48 PM,06:33 AM,05:26 PM,17,21,23,21,10,90,76,0.3,1024,22,10,160,8,Vietnam
2020-01-02,24,20,0.0,4.1,5,44,11:29 AM,11:37 PM,06:34 AM,05:27 PM,18,23,23,22,12,80,81,1.0,1022,24,10,132,9,Vietnam
2020-01-03,25,21,0.0,4.1,5,51,12:02 PM,No moonset,06:34 AM,05:28 PM,18,24,24,22,18,81,78,1.2,1020,25,10,136,14,Vietnam
2020-01-04,25,21,0.0,4.1,5,59,12:35 PM,12:25 AM,06:34 AM,05:28 PM,19,24,24,22,20,74,80,2.3,1018,25,9,132,14,Vietnam
2020-01-05,22,20,0.0,4.1,5,66,01:10 PM,01:14 AM,06:34 AM,05:29 PM,18,21,22,21,21,86,83,3.2,1017,22,8,129,15,Vietnam
2020-01-06,27,20,0.0,5.6,5,73,01:48 PM,02:05 AM,06:35 AM,05:30 PM,18,24,24,23,20,57,73,0.4,1016,27,10,144,14,Vietnam
2020-01-07,26,22,0.0,4.1,5,80,02:29 PM,02:59 AM,06:35 AM,05:30 PM,19,26,26,24,14,71,76,0.7,1015,26,10,143,10,Vietnam
2020-01-08,27,21,0.0,7.2,5,88,03:16 PM,03:55 AM,06:35 AM,05:31 PM,18,25,25,23,17,61,75,0.5,1016,27,10,132,12,Vietnam
2020-01-09,27,22,0.0,4.1,5,95,04:07 PM,04:53 AM,06:35 AM,05:32 PM,19,26,26,24,18,67,74,0.3,1015,27,10,158,13,Vietnam
2020-01-10,27,21,0.0,8.7,5,100,05:05 PM,05:53 AM,06:35 AM,05:32 PM,19,26,26,24,20,28,74,0.0,1013,27,10,164,14,Vietnam
2020-01-11,26,21,0.0,5.6,5,100,06:07 PM,06:52 AM,06:36 AM,05:33 PM,19,26,26,24,15,54,74,0.5,1013,26,10,156,11,Vietnam
2020-01-12,21,16,0.0,4.1,4,83,07:11 PM,07:48 AM,06:36 AM,05:34 PM,13,18,18,18,14,95,71,1.7,1016,21,10,40,11,Vietnam
2020-01-13,22,18,0.0,4.1,5,76,08:15 PM,08:40 AM,06:36 AM,05:34 PM,15,20,20,20,11,88,77,0.2,1015,22,10,126,8,Vietnam
2020-01-14,25,20,0.0,4.1,5,69,09:18 PM,09:28 AM,06:36 AM,05:35 PM,18,23,23,22,22,81,79,1.3,1014,25,10,141,17,Vietnam
2020-01-15,26,22,0.0,5.7,5,61,10:19 PM,10:12 AM,06:36 AM,05:36 PM,17,25,25,23,31,73,71,0.0,1014,26,10,163,22,Vietnam
2020-01-16,26,21,0.0,4.1,5,54,11:19 PM,10:54 AM,06:36 AM,05:36 PM,18,25,25,23,22,78,75,1.1,1015,26,10,142,16,Vietnam
2020-01-17,24,20,0.0,4.1,5,47,No moonrise,11:35 AM,06:36 AM,05:37 PM,17,21,23,21,16,99,77,0.4,1017,24,9,116,12,Vietnam
2020-01-18,19,17,0.0,4.1,4,40,12:17 AM,12:15 PM,06:36 AM,05:38 PM,14,18,18,18,11,97,80,1.0,1018,19,7,75,8,Vietnam
2020-01-19,17,16,0.0,4.1,4,32,01:16 AM,12:58 PM,06:36 AM,05:38 PM,14,17,17,17,13,100,81,1.2,1019,17,7,46,10,Vietnam
2020-01-20,17,13,0.0,4.1,4,25,02:15 AM,01:43 PM,06:36 AM,05:39 PM,11,15,16,15,7,99,74,0.0,1020,17,10,47,5,Vietnam
2020-01-21,25,18,0.0,5.7,5,18,03:14 AM,02:31 PM,06:36 AM,05:40 PM,17,22,22,21,16,66,78,0.0,1019,25,10,130,12,Vietnam
2020-01-22,25,20,0.0,4.1,5,11,04:12 AM,03:22 PM,06:36 AM,05:40 PM,18,23,23,22,19,74,79,0.2,1016,25,10,152,14,Vietnam
2020-01-23,25,21,0.0,4.1,5,3,05:08 AM,04:15 PM,06:36 AM,05:41 PM,19,25,25,23,19,83,78,0.3,1014,25,10,146,13,Vietnam
2020-01-24,24,22,0.0,4.1,5,0,06:01 AM,05:10 PM,06:36 AM,05:42 PM,19,25,25,23,21,90,82,1.0,1014,24,10,137,14,Vietnam
2020-01-25,25,20,0.0,4.2,5,0,06:50 AM,06:05 PM,06:35 AM,05:42 PM,18,23,23,22,27,92,81,6.2,1013,25,9,129,19,Vietnam
2020-01-26,17,10,0.0,5.7,4,4,07:35 AM,06:58 PM,06:35 AM,05:43 PM,10,15,16,15,21,82,68,7.2,1017,17,10,107,15,Vietnam
2020-01-27,15,13,0.0,4.2,3,11,08:15 AM,07:50 PM,06:35 AM,05:44 PM,9,14,15,14,17,94,67,1.0,1016,15,8,26,12,Vietnam
2020-01-28,18,13,0.0,4.2,4,18,08:52 AM,08:40 PM,06:35 AM,05:44 PM,8,15,15,15,15,94,62,0.4,1018,18,9,31,12,Vietnam
2020-01-29,18,14,0.0,4.2,4,26,09:27 AM,09:29 PM,06:34 AM,05:45 PM,9,16,16,16,13,95,63,1.7,1021,18,7,101,10,Vietnam
2020-01-30,20,14,0.0,7.2,4,33,10:00 AM,10:17 PM,06:34 AM,05:46 PM,7,16,16,16,11,45,57,0.0,1022,20,10,106,8,Vietnam
2020-01-31,20,15,0.0,5.7,4,37,10:33 AM,11:06 PM,06:34 AM,05:46 PM,10,17,17,17,12,60,62,0.0,1020,20,10,128,9,Vietnam
2020-02-01,18,13,0.0,4.2,4,49,11:07 AM,11:56 PM,06:34 AM,05:47 PM,14,16,17,16,8,98,81,0.7,1019,18,9,78,6,Vietnam
2020-02-02,23,18,0.0,4.2,5,57,11:43 AM,No moonset,06:33 AM,05:47 PM,17,20,21,20,18,84,81,0.9,1018,23,9,130,13,Vietnam
2020-02-03,24,19,0.0,4.2,5,64,12:21 PM,12:47 AM,06:33 AM,05:48 PM,17,21,23,21,21,84,77,1.1,1017,24,10,143,15,Vietnam
2020-02-04,23,20,0.0,4.2,5,72,01:04 PM,01:41 AM,06:33 AM,05:49 PM,17,22,23,22,22,89,76,0.2,1017,23,10,138,16,Vietnam
2020-02-05,22,17,0.0,4.2,4,79,01:53 PM,02:36 AM,06:32 AM,05:49 PM,16,19,20,19,13,97,84,1.8,1017,22,6,102,9,Vietnam
2020-02-06,26,16,0.0,5.7,5,87,02:47 PM,03:35 AM,06:32 AM,05:50 PM,17,22,22,21,15,75,77,0.2,1016,26,9,132,11,Vietnam
2020-02-07,24,20,0.0,4.2,5,95,03:47 PM,04:34 AM,06:31 AM,05:50 PM,19,23,23,22,13,83,83,1.9,1018,24,8,131,9,Vietnam
2020-02-08,22,19,0.0,4.2,5,100,04:50 PM,05:32 AM,06:31 AM,05:51 PM,17,20,21,20,19,93,84,1.7,1021,22,6,119,13,Vietnam
2020-02-09,18,17,0.0,4.2,4,100,05:56 PM,06:26 AM,06:30 AM,05:51 PM,14,18,18,18,10,100,81,1.9,1024,18,5,64,8,Vietnam
2020-02-10,20,13,0.0,4.2,4,83,07:01 PM,07:18 AM,06:30 AM,05:52 PM,12,17,17,17,11,95,72,0.0,1022,20,10,83,9,Vietnam
2020-02-11,21,18,0.0,4.2,4,75,08:05 PM,08:05 AM,06:29 AM,05:52 PM,17,19,20,19,11,99,86,1.3,1018,21,7,106,8,Vietnam
2020-02-12,24,20,0.0,4.2,5,68,09:08 PM,08:49 AM,06:29 AM,05:53 PM,19,23,23,22,20,95,84,1.1,1015,24,10,138,14,Vietnam
2020-02-13,28,22,0.0,4.2,6,60,10:09 PM,09:32 AM,06:28 AM,05:54 PM,21,27,27,24,19,81,80,4.0,1011,28,10,140,14,Vietnam
2020-02-14,29,23,0.0,7.2,6,53,11:10 PM,10:14 AM,06:28 AM,05:54 PM,21,27,27,25,18,70,79,1.5,1007,29,10,135,13,Vietnam
2020-02-15,27,23,0.0,4.2,5,45,No moonrise,10:57 AM,06:27 AM,05:55 PM,21,27,27,24,15,73,82,0.0,1009,27,10,120,11,Vietnam
2020-02-16,18,16,0.0,7.2,4,38,12:10 AM,11:42 AM,06:27 AM,05:55 PM,8,17,17,17,32,60,56,0.0,1021,18,10,31,24,Vietnam
2020-02-17,18,15,0.0,8.7,5,30,01:09 AM,12:28 PM,06:26 AM,05:56 PM,6,16,16,16,22,49,51,0.0,1026,18,10,35,16,Vietnam
2020-02-18,20,15,0.0,8.7,5,22,02:07 AM,01:19 PM,06:25 AM,05:56 PM,6,17,17,17,12,41,50,0.0,1025,20,10,65,9,Vietnam
2020-02-19,19,15,0.0,4.2,4,15,03:04 AM,02:10 PM,06:25 AM,05:56 PM,11,17,17,17,7,74,68,0.0,1022,19,10,89,6,Vietnam
2020-02-20,20,18,0.0,4.2,4,7,03:57 AM,03:04 PM,06:24 AM,05:57 PM,16,19,19,19,10,99,85,4.5,1022,20,5,94,7,Vietnam
2020-02-21,25,19,0.0,4.3,5,0,04:47 AM,03:58 PM,06:23 AM,05:57 PM,17,21,22,21,14,87,76,2.1,1025,25,9,135,11,Vietnam
2020-02-22,26,19,0.0,8.7,6,0,05:32 AM,04:52 PM,06:23 AM,05:58 PM,16,23,23,22,9,30,68,0.0,1026,26,10,132,7,Vietnam
2020-02-23,26,20,0.0,8.7,6,0,06:13 AM,05:44 PM,06:22 AM,05:58 PM,15,23,23,23,13,9,63,0.0,1023,26,10,145,10,Vietnam
2020-02-24,27,19,0.0,4.3,5,0,06:51 AM,06:34 PM,06:21 AM,05:59 PM,16,23,23,22,15,55,69,0.5,1018,27,10,147,11,Vietnam
2020-02-25,26,19,0.0,5.7,5,8,07:27 AM,07:24 PM,06:21 AM,05:59 PM,17,23,23,22,16,29,72,0.0,1016,26,10,146,12,Vietnam
2020-02-26,26,20,0.0,8.8,5,15,08:00 AM,08:12 PM,06:20 AM,06:00 PM,18,24,24,23,13,40,75,0.2,1017,26,10,144,10,Vietnam
2020-02-27,28,20,0.0,7.3,5,23,08:33 AM,09:01 PM,06:19 AM,06:00 PM,18,24,24,23,17,54,74,0.1,1016,28,10,141,12,Vietnam
2020-02-28,28,21,0.0,7.3,6,30,09:07 AM,09:50 PM,06:18 AM,06:00 PM,18,26,26,24,20,66,73,0.3,1015,28,10,147,15,Vietnam
2020-02-29,29,22,0.0,10.2,6,38,09:41 AM,10:39 PM,06:18 AM,06:01 PM,19,26,26,24,17,53,75,0.4,1013,29,10,141,12,Vietnam
2020-03-01,27,22,0.0,5.9,5,44,10:18 AM,11:31 PM,06:17 AM,06:01 PM,20,26,26,24,15,69,78,0.5,1013,27,10,141,11,Vietnam
2020-03-02,27,23,0.0,7.3,6,51,10:58 AM,No moonset,06:16 AM,06:02 PM,19,26,26,25,20,71,72,0.8,1014,27,10,138,14,Vietnam
2020-03-03,26,23,0.0,8.8,5,58,11:43 AM,12:25 AM,06:15 AM,06:02 PM,19,26,26,24,24,70,75,1.3,1014,26,10,153,17,Vietnam
