date_time,Zambia_maxtempC,Zambia_mintempC,Zambia_totalSnow_cm,Zambia_sunHour,Zambia_uvIndex,Zambia_moon_illumination,Zambia_moonrise,Zambia_moonset,Zambia_sunrise,Zambia_sunset,Zambia_DewPointC,Zambia_FeelsLikeC,Zambia_HeatIndexC,Zambia_WindChillC,Zambia_WindGustKmph,Zambia_cloudcover,Zambia_humidity,Zambia_precipMM,Zambia_pressure,Zambia_tempC,Zambia_visibility,Zambia_winddirDegree,Zambia_windspeedKmph,Zambia_location
2020-01-01,27,19,0.0,8.1,5,37,10:49 AM,11:25 PM,05:40 AM,06:41 PM,19,24,24,23,11,76,81,11.2,1009,27,9,117,6,Zambia
2020-01-02,27,19,0.0,10.7,5,44,11:36 AM,No moonset,05:40 AM,06:41 PM,19,24,24,23,10,49,77,3.3,1009,27,10,124,7,Zambia
2020-01-03,27,19,0.0,9.4,5,51,12:22 PM,12:01 AM,05:41 AM,06:42 PM,19,24,24,23,13,64,82,9.9,1011,27,8,66,8,Zambia
2020-01-04,28,19,0.0,9.4,5,59,01:09 PM,12:36 AM,05:41 AM,06:42 PM,19,24,24,23,8,68,82,11.2,1012,28,8,137,5,Zambia
2020-01-05,26,19,0.0,10.7,5,66,01:57 PM,01:13 AM,05:42 AM,06:42 PM,19,24,24,22,7,55,85,16.2,1010,26,8,194,4,Zambia
2020-01-06,28,18,0.0,10.7,5,73,02:48 PM,01:52 AM,05:43 AM,06:42 PM,19,24,24,23,7,60,81,7.2,1009,28,7,215,4,Zambia
2020-01-07,25,18,0.0,8.1,5,80,03:42 PM,02:34 AM,05:43 AM,06:43 PM,19,22,22,21,11,73,88,17.5,1010,25,9,306,6,Zambia
2020-01-08,23,19,0.0,11.9,5,88,04:38 PM,03:20 AM,05:44 AM,06:43 PM,18,21,22,21,14,48,85,1.4,1011,23,10,314,9,Zambia
2020-01-09,25,19,0.0,8.1,5,95,05:37 PM,04:12 AM,05:44 AM,06:43 PM,19,23,23,22,12,68,87,21.5,1009,25,8,263,6,Zambia
2020-01-10,27,18,0.0,10.7,5,100,06:36 PM,05:09 AM,05:45 AM,06:43 PM,19,23,23,22,10,64,85,13.1,1009,27,6,182,6,Zambia
2020-01-11,24,19,0.0,8.1,5,100,07:34 PM,06:09 AM,05:45 AM,06:44 PM,19,22,22,21,12,71,90,39.1,1011,24,8,118,7,Zambia
2020-01-12,25,18,0.0,8.1,5,83,08:28 PM,07:12 AM,05:46 AM,06:44 PM,19,21,21,21,12,70,89,9.2,1012,25,7,274,8,Zambia
2020-01-13,22,19,0.0,10.7,5,76,09:20 PM,08:14 AM,05:47 AM,06:44 PM,19,20,20,20,8,61,93,15.7,1010,22,7,198,5,Zambia
2020-01-14,21,17,0.0,8.1,4,69,10:07 PM,09:15 AM,05:47 AM,06:44 PM,18,19,19,19,11,82,95,27.9,1009,21,7,82,7,Zambia
2020-01-15,22,18,0.0,8.1,5,61,10:52 PM,10:14 AM,05:48 AM,06:44 PM,19,20,20,20,9,78,95,14.6,1009,22,8,119,6,Zambia
