date_time,Afghanistan_maxtempC,Afghanistan_mintempC,Afghanistan_totalSnow_cm,Afghanistan_sunHour,Afghanistan_uvIndex,Afghanistan_moon_illumination,Afghanistan_moonrise,Afghanistan_moonset,Afghanistan_sunrise,Afghanistan_sunset,Afghanistan_DewPointC,Afghanistan_FeelsLikeC,Afghanistan_HeatIndexC,Afghanistan_WindChillC,Afghanistan_WindGustKmph,Afghanistan_cloudcover,Afghanistan_humidity,Afghanistan_precipMM,Afghanistan_pressure,Afghanistan_tempC,Afghanistan_visibility,Afghanistan_winddirDegree,Afghanistan_windspeedKmph,Afghanistan_location
2020-01-01,3,-1,0.1,3.6,1,37,11:06 AM,10:41 PM,07:00 AM,04:53 PM,-10,-2,1,-2,12,88,46,0.4,1026,3,9,188,9,Afghanistan
2020-01-02,-1,-4,4.5,3.6,1,44,11:34 AM,11:36 PM,07:00 AM,04:54 PM,-3,-4,-2,-4,8,100,95,6.5,1028,-1,2,170,5,Afghanistan
2020-01-03,-1,-6,0.5,7.0,1,51,12:01 PM,No moonset,07:00 AM,04:55 PM,-5,-5,-4,-5,8,56,87,0.9,1026,-1,8,211,5,Afghanistan
2020-01-04,4,-3,0.0,8.7,2,59,12:29 PM,12:30 AM,07:00 AM,04:56 PM,-12,-2,0,-2,9,4,42,0.0,1023,4,10,211,6,Afghanistan
2020-01-05,2,-4,1.0,5.3,1,66,12:58 PM,01:26 AM,07:01 AM,04:56 PM,-11,-3,-2,-3,7,47,52,2.1,1022,2,8,184,5,Afghanistan
2020-01-06,-2,-6,12.2,3.6,1,73,01:31 PM,02:23 AM,07:01 AM,04:57 PM,-4,-6,-4,-6,9,90,95,14.8,1022,-2,4,275,6,Afghanistan
2020-01-07,-3,-10,0.3,8.7,1,80,02:07 PM,03:23 AM,07:01 AM,04:58 PM,-10,-10,-7,-10,13,29,78,0.3,1025,-3,9,205,7,Afghanistan
2020-01-08,-6,-14,0.0,8.7,2,88,02:49 PM,04:24 AM,07:01 AM,04:59 PM,-16,-15,-10,-15,17,3,62,0.0,1027,-6,10,210,9,Afghanistan
2020-01-09,-2,-13,0.0,8.7,2,95,03:39 PM,05:27 AM,07:01 AM,05:00 PM,-19,-11,-8,-11,13,0,39,0.0,1023,-2,10,211,7,Afghanistan
2020-01-10,-1,-11,0.0,8.7,2,100,04:36 PM,06:28 AM,07:01 AM,05:01 PM,-19,-10,-7,-10,11,2,36,0.0,1025,-1,10,211,6,Afghanistan
2020-01-11,-1,-10,0.2,3.8,1,100,05:40 PM,07:26 AM,07:01 AM,05:02 PM,-12,-7,-4,-7,12,52,52,0.6,1023,-1,9,196,6,Afghanistan
2020-01-12,-0,-3,2.6,3.8,1,83,06:49 PM,08:18 AM,07:00 AM,05:02 PM,-3,-3,-2,-3,7,93,93,5.8,1020,-0,3,169,5,Afghanistan
2020-01-13,-1,-7,12.6,3.8,1,76,07:59 PM,09:04 AM,07:00 AM,05:03 PM,-4,-4,-3,-4,6,94,94,14.8,1013,-1,4,226,4,Afghanistan
2020-01-14,-4,-11,0.0,8.7,2,69,09:08 PM,09:45 AM,07:00 AM,05:04 PM,-13,-11,-8,-11,12,34,68,0.0,1024,-4,10,203,6,Afghanistan
2020-01-15,-2,-10,0.0,8.7,2,61,10:16 PM,10:22 AM,07:00 AM,05:05 PM,-13,-11,-8,-11,13,21,65,0.0,1026,-2,10,199,7,Afghanistan
2020-01-16,-3,-12,0.0,8.7,2,54,11:23 PM,10:56 AM,07:00 AM,05:06 PM,-16,-13,-8,-13,17,29,53,0.0,1025,-3,10,199,9,Afghanistan
2020-01-17,-3,-11,0.0,8.7,2,47,No moonrise,11:30 AM,06:59 AM,05:07 PM,-17,-12,-8,-12,15,40,50,0.0,1025,-3,10,201,8,Afghanistan
