date_time,Albania_maxtempC,Albania_mintempC,Albania_totalSnow_cm,Albania_sunHour,Albania_uvIndex,Albania_moon_illumination,Albania_moonrise,Albania_moonset,Albania_sunrise,Albania_sunset,Albania_DewPointC,Albania_FeelsLikeC,Albania_HeatIndexC,Albania_WindChillC,Albania_WindGustKmph,Albania_cloudcover,Albania_humidity,Albania_precipMM,Albania_pressure,Albania_tempC,Albania_visibility,Albania_winddirDegree,Albania_windspeedKmph,Albania_location
2020-01-01,11,2,0.0,8.7,3,37,11:04 AM,10:31 PM,07:07 AM,04:21 PM,-3,5,6,5,12,6,51,0.0,1027,11,10,56,6,Albania
2020-01-02,11,2,0.0,8.7,3,44,11:28 AM,11:30 PM,07:07 AM,04:22 PM,-5,5,6,5,12,2,47,0.0,1031,11,10,98,6,Albania
2020-01-03,10,4,0.0,8.7,3,51,11:52 AM,No moonset,07:07 AM,04:23 PM,-5,6,6,6,6,10,47,0.0,1027,10,10,134,4,Albania
2020-01-04,11,6,0.0,6.9,2,59,12:15 PM,12:28 AM,07:07 AM,04:24 PM,-2,8,8,8,4,24,50,0.0,1021,11,10,139,3,Albania
2020-01-05,8,1,0.0,8.7,2,66,12:41 PM,01:28 AM,07:07 AM,04:25 PM,-3,2,5,2,21,28,55,0.0,1021,8,10,71,14,Albania
2020-01-06,5,-6,0.0,8.7,2,73,01:11 PM,02:29 AM,07:07 AM,04:26 PM,-8,-4,0,-4,23,1,54,0.0,1024,5,10,20,13,Albania
2020-01-07,8,-2,0.0,8.7,2,80,01:44 PM,03:33 AM,07:07 AM,04:27 PM,-9,-0,2,-0,14,0,44,0.0,1024,8,10,91,7,Albania
2020-01-08,10,1,0.0,8.7,3,88,02:24 PM,04:37 AM,07:07 AM,04:28 PM,-8,4,5,4,9,0,41,0.0,1027,10,10,94,5,Albania
2020-01-09,10,5,0.0,8.7,3,95,03:14 PM,05:43 AM,07:07 AM,04:29 PM,-4,6,7,6,6,7,48,0.0,1028,10,10,158,4,Albania
2020-01-10,10,3,0.0,8.7,3,100,04:11 PM,06:44 AM,07:06 AM,04:30 PM,-1,5,6,5,6,28,61,0.0,1024,10,10,165,3,Albania
2020-01-11,10,3,0.0,7.0,2,100,05:18 PM,07:41 AM,07:06 AM,04:31 PM,-0,6,6,6,6,61,67,0.5,1024,10,9,163,3,Albania
2020-01-12,11,4,0.0,5.2,2,83,06:29 PM,08:29 AM,07:06 AM,04:32 PM,2,6,7,6,8,64,70,0.1,1027,11,10,142,5,Albania
2020-01-13,12,5,0.0,8.7,3,76,07:44 PM,09:11 AM,07:05 AM,04:33 PM,3,7,8,7,9,29,70,0.0,1027,12,10,141,5,Albania
2020-01-14,13,7,0.0,8.7,4,69,08:58 PM,09:47 AM,07:05 AM,04:34 PM,5,10,10,10,6,4,73,0.0,1024,13,10,131,4,Albania
2020-01-15,14,7,0.0,8.7,4,61,10:10 PM,10:19 AM,07:05 AM,04:35 PM,4,10,10,10,7,0,67,0.0,1024,14,10,125,5,Albania
2020-01-16,13,8,0.0,8.7,4,54,11:22 PM,10:49 AM,07:04 AM,04:36 PM,3,10,10,10,6,0,59,0.0,1025,13,10,165,4,Albania
2020-01-17,12,5,0.0,8.7,4,47,No moonrise,11:18 AM,07:04 AM,04:38 PM,1,9,9,9,5,2,55,0.0,1024,12,10,157,3,Albania
2020-01-18,11,6,0.0,7.0,2,40,12:32 AM,11:48 AM,07:03 AM,04:39 PM,2,8,8,8,7,32,66,0.0,1023,11,10,154,4,Albania
2020-01-19,12,6,0.0,8.7,2,32,01:42 AM,12:20 PM,07:03 AM,04:40 PM,5,8,9,8,7,57,76,1.0,1022,12,10,147,5,Albania
2020-01-20,12,5,0.0,8.7,3,25,02:51 AM,12:57 PM,07:02 AM,04:41 PM,1,7,8,7,11,15,65,0.0,1035,12,10,58,7,Albania
2020-01-21,12,4,0.0,8.7,3,18,03:58 AM,01:39 PM,07:02 AM,04:42 PM,-4,7,8,7,8,5,46,0.0,1039,12,10,172,5,Albania
2020-01-22,11,6,0.0,7.0,2,11,05:01 AM,02:26 PM,07:01 AM,04:44 PM,-1,8,8,8,4,18,53,0.0,1032,11,10,163,3,Albania
2020-01-23,14,6,0.0,8.7,4,3,05:58 AM,03:20 PM,07:00 AM,04:45 PM,1,9,9,9,7,1,56,0.0,1028,14,10,105,5,Albania
2020-01-24,13,7,0.0,8.7,4,0,06:48 AM,04:18 PM,07:00 AM,04:46 PM,2,10,10,10,8,2,56,0.0,1031,13,10,175,5,Albania
2020-01-25,12,7,0.0,3.7,3,0,07:31 AM,05:19 PM,06:59 AM,04:47 PM,5,9,10,9,8,71,73,0.0,1027,12,10,132,5,Albania
2020-01-26,13,5,0.0,5.4,3,4,08:07 AM,06:20 PM,06:58 AM,04:49 PM,6,9,10,9,8,60,73,0.2,1023,13,9,126,5,Albania
2020-01-27,11,2,0.0,3.7,2,11,08:38 AM,07:21 PM,06:57 AM,04:50 PM,7,8,9,8,6,87,88,34.9,1018,11,8,194,4,Albania
2020-01-28,12,6,0.0,3.7,3,18,09:05 AM,08:20 PM,06:56 AM,04:51 PM,7,8,9,8,13,83,86,5.1,1017,12,9,167,9,Albania
2020-01-29,12,8,0.0,3.7,3,26,09:30 AM,09:19 PM,06:55 AM,04:52 PM,7,9,10,9,13,79,82,8.6,1012,12,10,197,8,Albania
2020-01-30,13,7,0.0,7.0,3,33,09:54 AM,10:16 PM,06:55 AM,04:54 PM,6,9,10,9,7,42,78,1.7,1019,13,10,168,5,Albania
2020-01-31,14,5,0.0,8.7,4,37,10:17 AM,11:15 PM,06:54 AM,04:55 PM,2,8,9,8,10,19,66,0.0,1021,14,10,146,5,Albania
2020-02-01,13,5,0.0,8.7,3,49,10:42 AM,No moonset,06:53 AM,04:56 PM,5,8,9,8,7,36,79,0.0,1021,13,10,147,4,Albania
2020-02-02,14,8,0.0,8.7,3,57,11:09 AM,12:15 AM,06:52 AM,04:57 PM,8,11,11,11,7,34,80,0.0,1020,14,10,173,5,Albania
2020-02-03,15,9,0.0,8.7,4,64,11:40 AM,01:16 AM,06:51 AM,04:59 PM,8,11,11,11,7,23,82,0.0,1019,15,10,144,5,Albania
2020-02-04,15,10,0.0,7.1,3,72,12:15 PM,02:19 AM,06:50 AM,05:00 PM,9,11,12,11,14,66,84,4.5,1009,15,10,158,10,Albania
2020-02-05,8,3,0.0,3.9,2,79,12:59 PM,03:23 AM,06:49 AM,05:01 PM,1,3,6,3,23,73,71,26.2,1000,8,9,231,17,Albania
2020-02-06,5,-2,0.0,8.7,2,87,01:52 PM,04:25 AM,06:47 AM,05:03 PM,-7,-3,1,-3,24,17,55,0.0,1015,5,10,83,15,Albania
2020-02-07,8,-2,0.0,8.7,2,95,02:54 PM,05:24 AM,06:46 AM,05:04 PM,-5,2,3,2,9,16,55,0.0,1023,8,10,117,5,Albania
2020-02-08,12,1,0.0,8.7,3,100,04:05 PM,06:17 AM,06:45 AM,05:05 PM,-2,5,6,5,8,0,59,0.0,1027,12,10,130,5,Albania
2020-02-09,13,5,0.0,8.7,3,100,05:20 PM,07:03 AM,06:44 AM,05:06 PM,2,8,8,8,7,10,64,0.0,1032,13,10,149,5,Albania
2020-02-10,12,6,0.0,8.7,3,83,06:36 PM,07:43 AM,06:43 AM,05:08 PM,4,7,9,7,13,40,76,0.0,1027,12,10,138,8,Albania
2020-02-11,14,9,0.0,4.0,3,75,07:53 PM,08:17 AM,06:41 AM,05:09 PM,7,10,11,10,13,88,78,0.6,1016,14,10,156,9,Albania
2020-02-12,16,10,0.0,8.7,3,68,09:08 PM,08:49 AM,06:40 AM,05:10 PM,9,12,12,12,11,48,82,6.6,1016,16,9,167,7,Albania
2020-02-13,16,10,0.0,8.7,3,60,10:21 PM,09:19 AM,06:39 AM,05:11 PM,8,12,12,12,8,41,77,0.8,1021,16,10,154,5,Albania
2020-02-14,10,2,0.0,4.0,2,53,11:33 PM,09:50 AM,06:38 AM,05:13 PM,3,5,7,5,17,67,74,74.3,1017,10,7,112,10,Albania
2020-02-15,14,4,0.0,8.7,4,45,No moonrise,10:22 AM,06:36 AM,05:14 PM,3,8,9,8,14,7,69,0.0,1023,14,10,54,8,Albania
2020-02-16,14,5,0.0,8.7,4,38,12:44 AM,10:57 AM,06:35 AM,05:15 PM,2,9,10,9,10,13,60,0.0,1029,14,10,131,6,Albania
2020-02-17,15,9,0.0,8.7,4,30,01:52 AM,11:38 AM,06:34 AM,05:16 PM,4,11,11,11,6,4,61,0.0,1027,15,10,160,4,Albania
2020-02-18,13,6,0.0,8.7,4,22,02:56 AM,12:23 PM,06:32 AM,05:18 PM,5,9,10,9,6,19,69,0.0,1022,13,10,163,4,Albania
2020-02-19,14,7,0.0,8.7,3,15,03:54 AM,01:15 PM,06:31 AM,05:19 PM,6,10,10,10,6,42,76,1.4,1019,14,10,165,5,Albania
2020-02-20,13,7,0.0,5.6,3,7,04:45 AM,02:10 PM,06:29 AM,05:20 PM,5,9,10,9,11,62,75,11.8,1016,13,9,127,8,Albania
2020-02-21,13,4,0.0,8.7,3,0,05:30 AM,03:10 PM,06:28 AM,05:21 PM,-1,7,8,7,11,1,55,0.0,1023,13,10,127,7,Albania
2020-02-22,11,5,0.0,8.7,3,0,06:07 AM,04:10 PM,06:27 AM,05:23 PM,-2,6,8,6,13,7,50,0.0,1028,11,10,43,9,Albania
2020-02-23,13,6,0.0,8.7,4,0,06:39 AM,05:11 PM,06:25 AM,05:24 PM,0,9,9,9,6,13,55,0.0,1027,13,10,170,4,Albania
2020-02-24,14,8,0.0,8.7,4,0,07:08 AM,06:11 PM,06:24 AM,05:25 PM,4,10,11,10,7,7,64,0.0,1021,14,10,170,5,Albania
2020-02-25,16,9,0.0,8.7,4,8,07:33 AM,07:10 PM,06:22 AM,05:26 PM,8,13,13,13,8,7,70,0.0,1016,16,10,158,6,Albania
2020-02-26,15,9,0.0,7.2,3,15,07:57 AM,08:08 PM,06:21 AM,05:27 PM,7,9,11,9,28,48,77,8.7,1006,15,9,169,17,Albania
2020-02-27,8,-0,0.0,4.2,2,23,08:20 AM,09:07 PM,06:19 AM,05:29 PM,2,3,6,3,20,83,77,24.8,1006,8,8,198,11,Albania
2020-02-28,10,2,0.0,8.7,3,30,08:44 AM,10:05 PM,06:18 AM,05:30 PM,1,5,6,5,11,26,66,0.0,1018,10,10,142,7,Albania
2020-02-29,11,4,0.0,8.7,3,38,09:10 AM,11:05 PM,06:16 AM,05:31 PM,-1,6,7,6,6,15,59,0.0,1020,11,10,129,4,Albania
2020-03-01,13,4,0.0,8.7,4,44,09:38 AM,No moonset,06:15 AM,05:32 PM,1,8,9,8,12,26,57,0.0,1017,13,10,134,7,Albania
2020-03-02,16,10,0.0,4.2,3,51,10:11 AM,12:06 AM,06:13 AM,05:33 PM,8,12,13,12,26,81,75,8.9,1012,16,9,163,16,Albania
2020-03-03,15,10,0.0,4.2,3,58,10:50 AM,01:08 AM,06:11 AM,05:34 PM,8,11,12,11,20,82,77,17.6,1007,15,9,158,12,Albania
2020-03-04,10,7,0.0,4.2,2,65,11:37 AM,02:09 AM,06:10 AM,05:36 PM,7,8,9,8,8,86,87,44.4,1006,10,8,265,6,Albania
2020-03-05,13,7,0.0,8.7,4,73,12:33 PM,03:09 AM,06:08 AM,05:37 PM,4,9,9,9,7,26,73,0.0,1010,13,10,192,5,Albania
2020-03-06,11,7,0.0,4.2,2,80,01:39 PM,04:03 AM,06:07 AM,05:38 PM,5,8,9,8,16,72,75,4.7,1007,11,9,135,10,Albania
2020-03-07,11,4,0.0,4.3,2,87,02:51 PM,04:52 AM,06:05 AM,05:39 PM,8,7,9,7,15,81,89,46.2,1006,11,7,102,9,Albania
2020-03-08,12,6,0.0,4.3,3,95,04:07 PM,05:34 AM,06:04 AM,05:40 PM,7,8,9,8,14,84,83,18.4,1012,12,9,139,8,Albania
2020-03-09,11,4,0.0,7.2,2,100,05:25 PM,06:11 AM,06:02 AM,05:41 PM,5,7,8,7,14,59,80,3.2,1013,11,10,201,9,Albania
2020-03-10,12,5,0.0,7.2,2,100,06:42 PM,06:44 AM,06:00 AM,05:42 PM,4,8,8,8,7,55,76,0.7,1013,12,10,130,4,Albania
2020-03-11,15,5,0.0,10.2,3,84,07:59 PM,07:16 AM,05:59 AM,05:44 PM,4,9,10,9,11,20,71,0.0,1021,15,10,165,7,Albania
2020-03-12,20,7,0.0,11.6,5,76,09:15 PM,07:47 AM,05:57 AM,05:45 PM,8,14,14,14,7,2,66,0.0,1021,20,10,158,5,Albania
2020-03-13,20,12,0.0,11.6,4,69,10:29 PM,08:19 AM,05:55 AM,05:46 PM,9,16,16,16,6,23,66,0.0,1014,20,10,152,4,Albania
2020-03-14,20,13,0.0,11.6,5,62,11:42 PM,08:55 AM,05:54 AM,05:47 PM,10,16,16,16,5,12,71,0.0,1013,20,10,160,4,Albania
2020-03-15,12,9,0.0,6.0,3,55,No moonrise,09:35 AM,05:52 AM,05:48 PM,8,10,11,10,8,81,81,3.7,1015,12,10,116,6,Albania
2020-03-16,17,6,0.0,11.6,4,47,12:49 AM,10:19 AM,05:51 AM,05:49 PM,4,10,11,10,10,5,64,0.0,1025,17,10,73,7,Albania
2020-03-17,15,9,0.0,11.6,4,40,01:51 AM,11:10 AM,05:49 AM,05:50 PM,4,11,11,11,10,2,64,0.0,1028,15,10,207,7,Albania
2020-03-18,18,7,0.0,11.6,5,33,02:44 AM,12:05 PM,05:47 AM,05:51 PM,6,13,14,13,9,3,65,0.0,1025,18,10,179,6,Albania
2020-03-19,16,9,0.0,11.6,4,25,03:31 AM,01:04 PM,05:46 AM,05:52 PM,5,12,12,12,12,12,63,0.0,1025,16,10,160,8,Albania
2020-03-20,17,9,0.0,11.6,4,18,04:09 AM,02:04 PM,05:44 AM,05:53 PM,7,13,13,13,6,5,70,0.0,1023,17,10,199,5,Albania
2020-03-21,19,11,0.0,11.6,5,11,04:43 AM,03:04 PM,05:42 AM,05:54 PM,8,15,15,15,6,2,66,0.0,1016,19,10,155,5,Albania
2020-03-22,17,11,0.0,7.5,3,4,05:12 AM,04:04 PM,05:41 AM,05:56 PM,6,13,13,13,9,57,61,0.2,1013,17,10,166,7,Albania
2020-03-23,10,7,0.0,7.5,2,0,05:38 AM,05:03 PM,05:39 AM,05:57 PM,4,7,9,7,10,76,75,8.2,1016,10,9,117,8,Albania
2020-03-24,7,3,0.0,6.1,2,0,06:01 AM,06:01 PM,05:37 AM,05:58 PM,1,3,5,3,12,80,75,8.0,1015,7,10,176,9,Albania
2020-03-25,12,4,0.0,10.2,2,3,06:24 AM,07:00 PM,05:35 AM,05:59 PM,2,6,8,6,12,59,67,0.2,1016,12,10,61,8,Albania
2020-03-26,15,8,0.0,12.7,4,11,06:48 AM,07:59 PM,05:34 AM,06:00 PM,3,10,11,10,17,62,62,0.1,1011,15,10,78,12,Albania
2020-03-27,11,3,0.0,7.9,2,18,07:13 AM,08:58 PM,05:32 AM,06:01 PM,6,8,8,8,9,98,82,13.3,1013,11,9,175,5,Albania
2020-03-28,14,5,0.0,10.6,3,25,07:40 AM,09:59 PM,05:30 AM,06:02 PM,6,9,9,9,11,67,81,4.4,1013,14,10,194,8,Albania
2020-03-29,16,6,0.0,11.9,3,32,08:10 AM,11:00 PM,05:29 AM,06:03 PM,7,11,11,11,8,53,74,0.4,1012,16,10,202,6,Albania
2020-03-30,17,8,0.0,11.9,3,40,08:46 AM,No moonset,05:27 AM,06:04 PM,8,13,13,13,8,41,72,3.0,1010,17,10,179,5,Albania
2020-03-31,16,10,0.0,9.3,3,44,09:30 AM,12:01 AM,05:25 AM,06:05 PM,8,12,13,12,9,71,72,1.0,1013,16,10,221,6,Albania
2020-04-01,5,4,0.0,8.0,1,56,10:20 AM,12:59 AM,05:24 AM,06:06 PM,4,4,5,4,6,95,93,28.3,1013,5,8,78,5,Albania
2020-04-02,11,2,0.0,12.9,3,64,11:20 AM,01:54 AM,05:22 AM,06:07 PM,4,6,7,6,8,7,78,0.1,1015,11,10,156,6,Albania
2020-04-03,14,6,0.0,11.9,3,71,12:27 PM,02:43 AM,05:20 AM,06:08 PM,5,9,10,9,7,50,76,1.1,1014,14,9,187,5,Albania
2020-04-04,18,7,0.0,12.9,4,79,01:40 PM,03:27 AM,05:19 AM,06:09 PM,5,12,13,12,13,23,63,0.0,1014,18,10,53,9,Albania
2020-04-05,17,9,0.0,11.9,3,87,02:55 PM,04:05 AM,05:17 AM,06:10 PM,6,12,12,12,15,51,66,0.0,1016,17,10,58,11,Albania
2020-04-06,18,9,0.0,13.0,5,94,04:12 PM,04:39 AM,05:15 AM,06:11 PM,4,13,14,13,13,30,57,0.0,1024,18,10,67,9,Albania
2020-04-07,19,8,0.0,13.0,5,100,05:30 PM,05:11 AM,05:14 AM,06:13 PM,3,14,15,14,11,7,51,0.0,1026,19,10,125,7,Albania
2020-04-08,19,9,0.0,13.0,5,100,06:47 PM,05:42 AM,05:12 AM,06:14 PM,3,13,14,13,10,2,49,0.0,1025,19,10,123,7,Albania
2020-04-09,19,11,0.0,13.1,5,83,08:05 PM,06:13 AM,05:10 AM,06:15 PM,5,15,14,15,9,1,54,0.0,1021,19,10,202,7,Albania
2020-04-10,20,11,0.0,13.1,5,76,09:21 PM,06:48 AM,05:09 AM,06:16 PM,8,15,15,15,8,2,63,0.0,1020,20,10,214,6,Albania
2020-04-11,21,12,0.0,13.1,5,68,10:33 PM,07:27 AM,05:07 AM,06:17 PM,9,16,16,16,9,9,62,0.0,1021,21,10,204,6,Albania
2020-04-12,21,13,0.0,12.0,4,61,11:41 PM,08:11 AM,05:06 AM,06:18 PM,10,17,17,17,9,37,65,1.3,1021,21,10,165,6,Albania
2020-04-13,20,13,0.0,13.2,5,53,No moonrise,09:01 AM,05:04 AM,06:19 PM,8,16,17,16,10,10,62,0.0,1020,20,10,171,7,Albania
2020-04-14,15,10,0.0,8.2,3,46,12:39 AM,09:56 AM,05:02 AM,06:20 PM,5,12,12,12,8,67,65,7.3,1016,15,8,72,6,Albania
2020-04-15,17,9,0.0,13.2,3,38,01:30 AM,10:55 AM,05:01 AM,06:21 PM,5,11,12,11,14,33,62,3.0,1019,17,9,40,10,Albania
2020-04-16,18,9,0.0,13.6,5,30,02:11 AM,11:56 AM,04:59 AM,06:22 PM,4,14,14,14,9,1,55,0.0,1023,18,10,190,7,Albania
2020-04-17,18,9,0.0,12.1,3,23,02:46 AM,12:57 PM,04:58 AM,06:23 PM,6,13,13,13,7,39,65,0.0,1019,18,10,231,6,Albania
2020-04-18,20,10,0.0,13.7,5,15,03:16 AM,01:57 PM,04:56 AM,06:24 PM,9,15,15,15,6,4,69,0.0,1017,20,10,215,5,Albania
2020-04-19,21,13,0.0,13.7,5,8,03:43 AM,02:56 PM,04:55 AM,06:25 PM,10,16,17,16,6,28,68,0.0,1015,21,10,170,4,Albania
2020-04-20,23,13,0.0,13.7,5,0,04:07 AM,03:55 PM,04:53 AM,06:26 PM,11,18,19,18,6,36,66,1.5,1011,23,10,183,4,Albania
2020-04-21,21,14,0.0,8.6,4,0,04:30 AM,04:53 PM,04:52 AM,06:28 PM,13,16,17,16,10,79,82,20.1,1008,21,9,97,7,Albania
2020-04-22,14,12,0.0,8.6,3,0,04:53 AM,05:52 PM,04:50 AM,06:29 PM,12,13,13,13,5,92,92,20.9,1014,14,8,82,4,Albania
2020-04-23,14,10,0.0,9.8,3,0,05:17 AM,06:52 PM,04:49 AM,06:30 PM,9,12,12,12,5,77,81,2.4,1017,14,9,156,4,Albania
2020-04-24,18,10,0.0,13.8,5,7,05:43 AM,07:53 PM,04:47 AM,06:31 PM,8,13,13,13,9,5,70,0.0,1015,18,10,199,7,Albania
2020-04-25,19,10,0.0,13.9,5,15,06:12 AM,08:54 PM,04:46 AM,06:32 PM,9,14,14,14,8,7,73,0.0,1012,19,10,177,6,Albania
2020-04-26,19,12,0.0,13.9,5,22,06:46 AM,09:56 PM,04:44 AM,06:33 PM,9,15,15,15,9,6,66,0.0,1010,19,10,187,7,Albania
2020-04-27,20,12,0.0,13.9,5,30,07:27 AM,10:55 PM,04:43 AM,06:34 PM,11,16,16,16,8,10,72,0.0,1013,20,10,204,6,Albania
2020-04-28,22,14,0.0,13.9,5,37,08:15 AM,11:51 PM,04:42 AM,06:35 PM,11,18,19,18,8,10,66,0.0,1014,22,10,182,6,Albania
2020-04-29,19,13,0.0,9.9,4,45,09:11 AM,No moonset,04:40 AM,06:36 PM,11,15,15,15,12,69,78,14.7,1012,19,9,156,7,Albania
2020-04-30,20,13,0.0,14.0,4,52,10:14 AM,12:40 AM,04:39 AM,06:37 PM,11,16,16,16,10,29,72,2.9,1012,20,10,187,7,Albania
2020-05-01,20,13,0.0,11.1,4,58,11:23 AM,01:25 AM,04:38 AM,06:38 PM,11,16,17,16,12,47,76,4.2,1012,20,10,174,9,Albania
2020-05-02,19,13,0.0,9.9,4,65,12:34 PM,02:03 AM,04:36 AM,06:39 PM,11,16,16,16,16,75,75,14.7,1009,19,9,177,10,Albania
2020-05-03,20,11,0.0,11.1,4,72,01:48 PM,02:37 AM,04:35 AM,06:40 PM,10,16,17,16,17,51,73,5.6,1009,20,10,191,11,Albania
2020-05-04,20,10,0.0,14.1,5,80,03:03 PM,03:08 AM,04:34 AM,06:42 PM,7,15,15,15,15,14,64,0.1,1015,20,10,159,10,Albania
2020-05-05,21,10,0.0,14.1,5,87,04:19 PM,03:38 AM,04:33 AM,06:43 PM,7,16,16,16,9,13,59,0.0,1016,21,10,178,6,Albania
2020-05-06,17,13,0.0,8.8,4,94,05:36 PM,04:08 AM,04:31 AM,06:44 PM,9,15,15,15,8,66,67,0.2,1014,17,10,145,5,Albania
2020-05-07,20,11,0.0,14.2,5,100,06:53 PM,04:41 AM,04:30 AM,06:45 PM,8,15,15,15,14,12,65,0.0,1016,20,10,157,10,Albania
2020-05-08,22,12,0.0,13.4,4,100,08:09 PM,05:18 AM,04:29 AM,06:46 PM,8,17,18,17,9,24,59,0.0,1020,22,10,194,7,Albania
2020-05-09,22,12,0.0,14.2,5,84,09:21 PM,05:59 AM,04:28 AM,06:47 PM,11,18,18,18,8,24,69,0.0,1018,22,10,198,6,Albania
2020-05-10,21,13,0.0,13.4,4,77,10:26 PM,06:47 AM,04:27 AM,06:48 PM,8,17,17,17,8,33,59,0.0,1016,21,10,169,5,Albania
2020-05-11,25,13,0.0,14.2,6,70,11:22 PM,07:42 AM,04:26 AM,06:49 PM,10,21,21,20,8,13,58,0.0,1012,25,10,178,6,Albania
2020-05-12,24,14,0.0,14.3,6,62,No moonrise,08:41 AM,04:25 AM,06:50 PM,12,21,21,20,9,9,63,0.0,1013,24,10,196,6,Albania
2020-05-13,27,16,0.0,14.3,6,55,12:09 AM,09:44 AM,04:24 AM,06:51 PM,12,22,22,22,8,13,54,0.0,1018,27,10,141,5,Albania
2020-05-14,30,18,0.0,14.3,7,48,12:47 AM,10:46 AM,04:23 AM,06:52 PM,12,25,25,24,10,29,48,0.0,1015,30,10,189,6,Albania
2020-05-15,28,19,0.0,14.3,6,40,01:19 AM,11:48 AM,04:22 AM,06:53 PM,10,24,24,24,13,41,45,0.0,1015,28,10,176,8,Albania
2020-05-16,30,17,0.0,14.3,7,33,01:47 AM,12:47 PM,04:21 AM,06:54 PM,14,25,25,24,9,13,54,0.0,1017,30,10,219,6,Albania
2020-05-17,34,21,0.0,14.4,8,26,02:12 AM,01:47 PM,04:20 AM,06:55 PM,15,29,29,28,7,21,51,0.0,1018,34,10,187,4,Albania
2020-05-18,30,21,0.0,13.4,7,19,02:35 AM,02:45 PM,04:19 AM,06:56 PM,15,27,27,25,9,54,53,0.0,1017,30,10,158,6,Albania
