date_time,Andorra_maxtempC,Andorra_mintempC,Andorra_totalSnow_cm,Andorra_sunHour,Andorra_uvIndex,Andorra_moon_illumination,Andorra_moonrise,Andorra_moonset,Andorra_sunrise,Andorra_sunset,Andorra_DewPointC,Andorra_FeelsLikeC,Andorra_HeatIndexC,Andorra_WindChillC,Andorra_WindGustKmph,Andorra_cloudcover,Andorra_humidity,Andorra_precipMM,Andorra_pressure,Andorra_tempC,Andorra_visibility,Andorra_winddirDegree,Andorra_windspeedKmph,Andorra_location
2020-01-01,6,-2,0.0,8.7,2,37,12:19 PM,11:46 PM,08:23 AM,05:31 PM,-8,0,1,0,9,17,51,0.0,1031,6,10,93,5,Andorra
2020-01-02,6,-2,0.0,8.7,1,44,12:43 PM,No moonset,08:23 AM,05:32 PM,-9,1,1,1,5,26,45,0.0,1030,6,10,105,3,Andorra
2020-01-03,5,-3,0.0,8.7,2,51,01:06 PM,12:45 AM,08:24 AM,05:33 PM,-9,-1,1,-1,14,25,50,0.0,1031,5,10,72,7,Andorra
2020-01-04,6,-3,0.0,8.7,2,59,01:29 PM,01:45 AM,08:24 AM,05:34 PM,-4,-3,1,-3,23,11,71,0.0,1033,6,10,12,13,Andorra
2020-01-05,7,-1,0.0,8.7,1,66,01:55 PM,02:45 AM,08:23 AM,05:35 PM,-10,-1,2,-1,22,13,41,0.0,1030,7,10,18,12,Andorra
2020-01-06,6,-2,0.0,8.7,2,73,02:23 PM,03:48 AM,08:23 AM,05:36 PM,-8,1,2,1,10,0,50,0.0,1029,6,10,135,5,Andorra
2020-01-07,7,-1,0.0,6.9,1,80,02:56 PM,04:52 AM,08:23 AM,05:37 PM,-8,-1,2,-1,23,18,46,0.0,1030,7,10,19,12,Andorra
2020-01-08,6,0,0.0,8.7,2,88,03:37 PM,05:58 AM,08:23 AM,05:38 PM,0,0,2,0,16,42,88,0.0,1029,6,10,40,8,Andorra
2020-01-09,3,-5,0.0,8.7,2,95,04:25 PM,07:03 AM,08:23 AM,05:39 PM,-4,-2,-0,-2,8,14,79,0.0,1025,3,10,200,5,Andorra
2020-01-10,-0,-7,7.8,3.4,1,100,05:24 PM,08:04 AM,08:23 AM,05:40 PM,-4,-6,-2,-6,18,73,86,10.2,1028,-0,6,12,12,Andorra
2020-01-11,5,-4,0.0,8.7,2,100,06:30 PM,09:00 AM,08:22 AM,05:41 PM,-11,-3,1,-3,21,1,47,0.0,1030,5,10,18,12,Andorra
2020-01-12,6,-4,0.0,8.7,2,83,07:44 PM,09:48 AM,08:22 AM,05:42 PM,-15,-2,0,-2,13,3,32,0.0,1029,6,10,27,7,Andorra
2020-01-13,4,-8,0.0,5.2,1,76,08:58 PM,10:29 AM,08:22 AM,05:43 PM,-16,-2,-2,-2,6,44,32,0.0,1024,4,10,119,3,Andorra
2020-01-14,4,-3,0.0,8.7,1,69,10:13 PM,11:04 AM,08:21 AM,05:45 PM,-14,-1,-0,-1,7,32,37,0.0,1018,4,10,148,4,Andorra
2020-01-15,3,-6,0.0,7.0,1,61,11:27 PM,11:35 AM,08:21 AM,05:46 PM,-11,-2,-1,-2,8,29,47,0.0,1020,3,10,181,4,Andorra
2020-01-16,4,-4,0.0,8.7,2,54,No moonrise,12:03 PM,08:21 AM,05:47 PM,-5,-2,-1,-2,9,18,73,0.0,1025,4,8,152,5,Andorra
2020-01-17,1,-7,6.5,3.5,1,47,12:39 AM,12:31 PM,08:20 AM,05:48 PM,-3,-5,-2,-5,15,87,93,9.7,1025,1,4,233,8,Andorra
2020-01-18,1,-6,0.0,8.7,1,40,01:50 AM,01:01 PM,08:20 AM,05:49 PM,-7,-5,-3,-5,8,33,70,0.1,1028,1,10,170,5,Andorra
2020-01-19,-2,-11,1.0,3.5,1,32,03:01 AM,01:33 PM,08:19 AM,05:50 PM,-7,-10,-4,-10,21,82,80,2.3,1025,-2,6,30,18,Andorra
2020-01-20,-1,-9,0.1,3.5,1,25,04:11 AM,02:09 PM,08:18 AM,05:52 PM,-10,-11,-5,-11,28,77,75,0.4,1030,-1,9,33,17,Andorra
2020-01-21,2,-6,5.0,3.5,1,18,05:18 AM,02:50 PM,08:18 AM,05:53 PM,-5,-7,-3,-7,24,66,83,9.9,1027,2,7,66,13,Andorra
2020-01-22,1,-8,74.5,3.5,1,11,06:21 AM,03:38 PM,08:17 AM,05:54 PM,-2,-4,-2,-4,15,92,98,87.6,1022,1,3,130,8,Andorra
2020-01-23,-1,-6,37.1,3.5,1,3,07:19 AM,04:32 PM,08:16 AM,05:55 PM,-2,-5,-2,-5,15,91,99,43.6,1020,-1,5,142,8,Andorra
2020-01-24,-0,-7,0.0,5.3,1,0,08:08 AM,05:31 PM,08:16 AM,05:57 PM,-6,-5,-5,-5,5,31,89,0.0,1021,-0,8,118,3,Andorra
2020-01-25,1,-7,1.2,7.0,1,0,08:49 AM,06:31 PM,08:15 AM,05:58 PM,-4,-4,-3,-4,8,50,93,1.5,1020,1,8,177,4,Andorra
2020-01-26,2,-6,1.2,8.7,1,4,09:25 AM,07:34 PM,08:14 AM,05:59 PM,-3,-3,-2,-3,6,66,94,1.5,1019,2,7,135,4,Andorra
2020-01-27,2,-7,0.0,9.9,1,11,09:55 AM,08:34 PM,08:13 AM,06:00 PM,-4,-4,-3,-4,8,62,92,0.3,1019,2,4,176,4,Andorra
2020-01-28,4,-5,0.0,9.9,1,18,10:21 AM,09:35 PM,08:12 AM,06:02 PM,-2,-1,-0,-1,6,51,92,0.1,1018,4,5,214,4,Andorra
2020-01-29,5,-3,0.0,9.9,1,26,10:45 AM,10:34 PM,08:11 AM,06:03 PM,-5,-1,1,-1,8,21,73,0.0,1021,5,10,85,4,Andorra
2020-01-30,5,-5,0.0,5.0,1,33,11:08 AM,11:33 PM,08:10 AM,06:04 PM,-1,-0,1,-0,9,71,86,0.4,1020,5,10,56,4,Andorra
2020-01-31,4,-1,0.0,8.3,1,37,11:31 AM,No moonset,08:09 AM,06:05 PM,-0,-0,1,-0,9,54,91,0.4,1021,4,9,105,5,Andorra
