date_time,Angola_maxtempC,Angola_mintempC,Angola_totalSnow_cm,Angola_sunHour,Angola_uvIndex,Angola_moon_illumination,Angola_moonrise,Angola_moonset,Angola_sunrise,Angola_sunset,Angola_DewPointC,Angola_FeelsLikeC,Angola_HeatIndexC,Angola_WindChillC,Angola_WindGustKmph,Angola_cloudcover,Angola_humidity,Angola_precipMM,Angola_pressure,Angola_tempC,Angola_visibility,Angola_winddirDegree,Angola_windspeedKmph,Angola_location
2020-01-01,29,27,0.0,10.6,6,37,10:55 AM,11:24 PM,05:52 AM,06:29 PM,23,31,31,27,23,56,77,1.3,1010,29,10,216,17,Angola
2020-01-02,29,27,0.0,11.9,6,44,11:40 AM,No moonset,05:52 AM,06:29 PM,23,31,31,28,19,36,74,0.1,1010,29,10,221,14,Angola
2020-01-03,29,25,0.0,10.6,6,51,12:23 PM,12:02 AM,05:53 AM,06:30 PM,22,30,30,27,17,54,74,0.3,1011,29,10,228,13,Angola
2020-01-04,26,25,0.0,9.3,6,59,01:08 PM,12:40 AM,05:53 AM,06:30 PM,23,29,29,26,16,72,84,28.2,1012,26,7,193,11,Angola
2020-01-05,29,25,0.0,11.9,6,66,01:54 PM,01:19 AM,05:54 AM,06:31 PM,23,29,29,27,20,59,79,0.0,1011,29,10,168,14,Angola
2020-01-06,29,25,0.0,12.8,6,73,02:42 PM,02:00 AM,05:54 AM,06:31 PM,23,30,30,27,19,38,78,0.2,1009,29,10,184,14,Angola
2020-01-07,29,25,0.0,8.0,6,80,03:34 PM,02:44 AM,05:55 AM,06:31 PM,23,31,31,27,16,59,78,0.8,1009,29,10,189,12,Angola
2020-01-08,26,19,0.0,8.0,5,88,04:29 PM,03:33 AM,05:55 AM,06:32 PM,22,27,27,24,22,76,84,10.3,1011,26,10,144,15,Angola
2020-01-09,26,19,0.0,10.6,6,95,05:27 PM,04:26 AM,05:56 AM,06:32 PM,23,27,27,25,18,64,84,9.6,1012,26,9,103,12,Angola
2020-01-10,30,24,0.0,10.6,6,100,06:26 PM,05:24 AM,05:56 AM,06:32 PM,23,30,30,27,21,62,77,3.0,1012,30,10,165,15,Angola
2020-01-11,25,21,0.0,10.6,5,100,07:25 PM,06:24 AM,05:57 AM,06:33 PM,21,26,26,24,19,65,83,0.4,1013,25,9,96,14,Angola
2020-01-12,28,24,0.0,12.8,7,83,08:21 PM,07:25 AM,05:57 AM,06:33 PM,20,28,28,26,14,11,71,0.0,1012,28,10,194,10,Angola
2020-01-13,29,24,0.0,12.8,7,76,09:15 PM,08:25 AM,05:58 AM,06:33 PM,22,29,29,27,21,6,74,0.0,1011,29,10,179,16,Angola
2020-01-14,28,25,0.0,12.8,6,69,10:05 PM,09:24 AM,05:58 AM,06:33 PM,23,30,30,27,19,27,80,0.0,1009,28,10,181,14,Angola
2020-01-15,29,26,0.0,11.9,6,61,10:52 PM,10:19 AM,05:59 AM,06:34 PM,23,30,30,27,22,31,77,0.0,1010,29,10,193,17,Angola
2020-01-16,30,26,0.0,12.8,7,54,11:39 PM,11:14 AM,05:59 AM,06:34 PM,23,31,31,28,19,21,75,0.0,1010,30,10,197,15,Angola
2020-01-17,29,27,0.0,10.4,6,47,No moonrise,12:07 PM,06:00 AM,06:34 PM,23,31,31,28,20,47,76,0.9,1011,29,10,216,15,Angola
2020-01-18,29,27,0.0,10.4,6,40,12:24 AM,01:01 PM,06:00 AM,06:34 PM,23,31,31,28,18,50,74,0.8,1011,29,10,231,13,Angola
2020-01-19,29,26,0.0,10.2,6,32,01:12 AM,01:55 PM,06:01 AM,06:34 PM,22,30,30,27,14,38,72,0.1,1012,29,10,216,11,Angola
2020-01-20,29,26,0.0,11.6,6,25,02:00 AM,02:50 PM,06:01 AM,06:34 PM,22,31,31,28,19,27,73,0.0,1011,29,10,204,15,Angola
2020-01-21,30,26,0.0,11.6,7,18,02:51 AM,03:46 PM,06:02 AM,06:35 PM,22,31,31,28,18,12,73,0.0,1011,30,10,189,14,Angola
2020-01-22,30,27,0.0,10.2,6,11,03:44 AM,04:41 PM,06:02 AM,06:35 PM,24,32,32,28,21,56,77,3.3,1011,30,10,183,15,Angola
2020-01-23,29,26,0.0,8.9,6,3,04:37 AM,05:35 PM,06:02 AM,06:35 PM,23,30,30,27,21,65,77,0.4,1010,29,10,183,15,Angola
2020-01-24,29,26,0.0,8.9,6,0,05:32 AM,06:26 PM,06:03 AM,06:35 PM,23,31,31,28,19,54,77,1.8,1011,29,10,201,14,Angola
2020-01-25,29,26,0.0,10.2,6,0,06:24 AM,07:15 PM,06:03 AM,06:35 PM,23,31,31,27,21,45,75,0.2,1011,29,10,209,16,Angola
2020-01-26,29,26,0.0,10.2,6,4,07:15 AM,07:59 PM,06:04 AM,06:35 PM,22,30,30,28,19,42,71,0.0,1011,29,10,218,15,Angola
2020-01-27,29,27,0.0,10.2,6,11,08:03 AM,08:41 PM,06:04 AM,06:35 PM,23,31,31,28,20,44,74,0.0,1011,29,10,199,15,Angola
2020-01-28,28,27,0.0,11.6,6,18,08:49 AM,09:21 PM,06:04 AM,06:35 PM,23,31,31,27,16,48,78,0.2,1011,28,10,193,11,Angola
2020-01-29,28,27,0.0,8.9,6,26,09:34 AM,09:59 PM,06:05 AM,06:35 PM,23,30,30,27,12,51,80,7.6,1011,28,9,198,8,Angola
2020-01-30,30,26,0.0,11.6,6,33,10:18 AM,10:36 PM,06:05 AM,06:35 PM,22,31,31,28,14,52,73,0.1,1012,30,10,229,11,Angola
2020-01-31,29,25,0.0,8.9,6,37,11:02 AM,11:15 PM,06:05 AM,06:35 PM,23,31,31,28,15,69,77,4.0,1012,29,10,223,11,Angola
2020-02-01,29,26,0.0,8.9,6,49,11:47 AM,11:54 PM,06:06 AM,06:35 PM,23,30,30,27,13,46,76,0.2,1011,29,10,178,10,Angola
2020-02-02,29,27,0.0,8.9,6,57,12:33 PM,No moonset,06:06 AM,06:35 PM,23,32,32,28,19,50,77,4.8,1011,29,10,206,14,Angola
2020-02-03,28,26,0.0,8.9,6,64,01:22 PM,12:36 AM,06:06 AM,06:35 PM,22,30,30,27,21,56,75,6.4,1012,28,10,180,15,Angola
2020-02-04,29,25,0.0,7.5,6,72,02:14 PM,01:21 AM,06:07 AM,06:35 PM,22,30,30,27,20,66,75,3.1,1011,29,10,219,14,Angola
2020-02-05,28,25,0.0,8.9,6,79,03:10 PM,02:11 AM,06:07 AM,06:35 PM,23,29,29,26,21,78,80,21.7,1011,28,8,241,13,Angola
2020-02-06,29,25,0.0,8.9,6,87,04:08 PM,03:06 AM,06:07 AM,06:34 PM,23,30,30,27,16,53,78,2.2,1010,29,10,205,12,Angola
2020-02-07,29,27,0.0,11.6,7,95,05:07 PM,04:04 AM,06:08 AM,06:34 PM,23,31,31,28,14,37,75,0.0,1011,29,10,257,11,Angola
2020-02-08,30,27,0.0,11.6,7,100,06:05 PM,05:06 AM,06:08 AM,06:34 PM,23,32,32,28,20,34,74,0.0,1011,30,10,189,15,Angola
2020-02-09,31,27,0.0,10.2,6,100,07:01 PM,06:08 AM,06:08 AM,06:34 PM,24,32,32,28,22,46,76,0.2,1011,31,10,196,17,Angola
2020-02-10,28,25,0.0,8.9,6,83,07:55 PM,07:09 AM,06:08 AM,06:34 PM,22,30,30,27,18,61,75,1.9,1011,28,10,180,13,Angola
2020-02-11,28,26,0.0,11.6,6,75,08:45 PM,08:08 AM,06:09 AM,06:33 PM,23,30,30,27,20,41,77,0.2,1012,28,10,164,14,Angola
2020-02-12,30,26,0.0,11.6,7,68,09:34 PM,09:05 AM,06:09 AM,06:33 PM,22,31,31,28,24,22,74,0.0,1010,30,10,197,17,Angola
2020-02-13,29,27,0.0,8.9,6,60,10:21 PM,10:01 AM,06:09 AM,06:33 PM,24,32,32,28,18,57,78,0.9,1010,29,10,192,13,Angola
2020-02-14,29,27,0.0,10.2,6,53,11:09 PM,10:56 AM,06:09 AM,06:33 PM,23,31,31,28,19,62,76,0.4,1010,29,10,227,14,Angola
2020-02-15,28,27,0.0,8.9,6,45,11:58 PM,11:51 AM,06:09 AM,06:32 PM,23,30,30,27,15,61,76,0.4,1009,28,10,206,10,Angola
2020-02-16,26,21,0.0,7.5,6,38,No moonrise,12:46 PM,06:10 AM,06:32 PM,22,28,28,25,25,71,83,8.5,1011,26,8,133,18,Angola
2020-02-17,29,22,0.0,11.6,7,30,12:48 AM,01:42 PM,06:10 AM,06:32 PM,21,29,29,26,22,40,73,0.0,1011,29,10,172,16,Angola
2020-02-18,29,24,0.0,11.6,6,22,01:40 AM,02:36 PM,06:10 AM,06:32 PM,22,30,30,27,16,33,76,0.0,1011,29,10,211,12,Angola
2020-02-19,29,27,0.0,11.6,6,15,02:33 AM,03:31 PM,06:10 AM,06:31 PM,23,31,31,28,14,48,77,0.0,1010,29,10,213,10,Angola
2020-02-20,30,26,0.0,10.2,6,7,03:26 AM,04:22 PM,06:10 AM,06:31 PM,24,32,32,28,22,53,78,0.4,1009,30,10,200,17,Angola
2020-02-21,30,26,0.0,10.2,6,0,04:18 AM,05:11 PM,06:10 AM,06:31 PM,24,32,32,28,22,44,81,0.0,1009,30,10,194,16,Angola
2020-02-22,30,27,0.0,11.6,7,0,05:10 AM,05:56 PM,06:11 AM,06:30 PM,24,32,32,28,21,14,77,0.0,1009,30,10,198,16,Angola
2020-02-23,30,27,0.0,11.6,6,0,05:58 AM,06:38 PM,06:11 AM,06:30 PM,23,32,32,28,23,48,74,0.0,1010,30,10,220,18,Angola
2020-02-24,29,27,0.0,10.2,6,0,06:45 AM,07:19 PM,06:11 AM,06:29 PM,23,31,31,28,19,45,75,0.0,1010,29,10,238,14,Angola
2020-02-25,29,26,0.0,11.6,7,8,07:31 AM,07:57 PM,06:11 AM,06:29 PM,23,31,31,28,19,28,77,0.0,1009,29,10,213,14,Angola
2020-02-26,29,27,0.0,10.2,6,15,08:14 AM,08:35 PM,06:11 AM,06:29 PM,22,31,31,28,18,53,73,0.1,1010,29,10,210,14,Angola
2020-02-27,29,26,0.0,8.8,6,23,08:58 AM,09:13 PM,06:11 AM,06:28 PM,22,30,30,27,19,48,74,0.3,1010,29,10,192,14,Angola
2020-02-28,29,26,0.0,10.2,6,30,09:42 AM,09:51 PM,06:11 AM,06:28 PM,23,30,30,27,22,51,76,0.1,1010,29,10,198,16,Angola
2020-02-29,30,26,0.0,10.2,6,38,10:27 AM,10:31 PM,06:11 AM,06:27 PM,22,30,30,27,17,41,73,1.8,1012,30,10,182,13,Angola
2020-03-01,29,26,0.0,11.6,7,44,11:15 AM,11:14 PM,06:11 AM,06:27 PM,23,31,31,28,26,40,76,0.5,1012,29,10,194,19,Angola
2020-03-02,31,25,0.0,11.6,6,51,12:04 PM,No moonset,06:11 AM,06:26 PM,23,31,31,28,25,32,76,0.0,1011,31,10,183,19,Angola
2020-03-03,30,25,0.0,11.6,7,58,12:57 PM,12:01 AM,06:11 AM,06:26 PM,23,31,31,27,18,16,78,0.0,1012,30,10,185,13,Angola
