date_time,Aruba_maxtempC,Aruba_mintempC,Aruba_totalSnow_cm,Aruba_sunHour,Aruba_uvIndex,Aruba_moon_illumination,Aruba_moonrise,Aruba_moonset,Aruba_sunrise,Aruba_sunset,Aruba_DewPointC,Aruba_FeelsLikeC,Aruba_HeatIndexC,Aruba_WindChillC,Aruba_WindGustKmph,Aruba_cloudcover,Aruba_humidity,Aruba_precipMM,Aruba_pressure,Aruba_tempC,Aruba_visibility,Aruba_winddirDegree,Aruba_windspeedKmph,Aruba_location
2020-01-01,27,22,0.0,11.3,7,37,11:50 AM,11:58 PM,07:01 AM,06:26 PM,23,29,29,26,42,23,79,0.0,1012,27,10,95,30,Aruba
2020-01-02,27,27,0.0,7.1,6,44,12:26 PM,No moonset,07:02 AM,06:26 PM,23,30,30,27,40,51,79,0.8,1012,27,10,94,29,Aruba
2020-01-03,27,21,0.0,11.3,6,51,01:03 PM,12:43 AM,07:02 AM,06:27 PM,23,28,28,25,44,46,79,0.2,1014,27,10,94,31,Aruba
2020-01-04,27,22,0.0,8.6,6,59,01:41 PM,01:29 AM,07:03 AM,06:27 PM,23,29,29,26,38,64,79,0.7,1015,27,10,84,28,Aruba
2020-01-05,27,26,0.0,8.6,6,66,02:19 PM,02:16 AM,07:03 AM,06:28 PM,23,29,29,27,23,47,78,0.8,1015,27,10,58,16,Aruba
2020-01-06,27,21,0.0,5.6,6,73,03:02 PM,03:05 AM,07:03 AM,06:28 PM,23,29,29,26,37,72,81,16.7,1013,27,9,47,24,Aruba
2020-01-07,27,22,0.0,7.1,6,80,03:48 PM,03:57 AM,07:04 AM,06:29 PM,23,29,29,26,35,67,80,3.4,1013,27,10,83,26,Aruba
2020-01-08,27,26,0.0,7.1,6,88,04:39 PM,04:52 AM,07:04 AM,06:29 PM,23,30,30,27,46,73,81,3.3,1014,27,10,90,33,Aruba
2020-01-09,27,26,0.0,8.6,6,95,05:35 PM,05:50 AM,07:04 AM,06:30 PM,23,29,29,26,51,58,79,2.7,1015,27,10,82,36,Aruba
2020-01-10,27,21,0.0,5.6,6,100,06:35 PM,06:49 AM,07:04 AM,06:31 PM,22,29,29,26,65,78,75,5.0,1014,27,9,88,46,Aruba
2020-01-11,27,23,0.0,5.6,6,100,07:37 PM,07:48 AM,07:05 AM,06:31 PM,22,29,29,26,66,81,75,2.9,1014,27,10,88,47,Aruba
2020-01-12,27,27,0.0,5.6,6,83,08:38 PM,08:44 AM,07:05 AM,06:32 PM,23,30,30,27,60,78,78,3.2,1014,27,9,88,43,Aruba
2020-01-13,27,26,0.0,7.1,6,76,09:39 PM,09:37 AM,07:05 AM,06:32 PM,22,29,29,27,63,69,77,5.6,1014,27,10,84,44,Aruba
2020-01-14,26,20,0.0,10.1,6,69,10:37 PM,10:26 AM,07:05 AM,06:33 PM,22,27,27,25,52,67,77,7.4,1013,26,10,78,37,Aruba
2020-01-15,26,21,0.0,7.1,6,61,11:33 PM,11:13 AM,07:06 AM,06:33 PM,22,28,28,25,50,71,79,1.8,1012,26,10,85,36,Aruba
2020-01-16,27,22,0.0,8.6,6,54,No moonrise,11:58 AM,07:06 AM,06:34 PM,23,29,29,26,57,63,82,1.1,1013,27,10,84,40,Aruba
2020-01-17,27,22,0.0,5.6,6,47,12:28 AM,12:42 PM,07:06 AM,06:34 PM,23,29,29,26,57,77,83,3.1,1013,27,10,83,40,Aruba
2020-01-18,27,23,0.0,7.1,6,40,01:23 AM,01:28 PM,07:06 AM,06:35 PM,23,29,29,26,61,58,80,0.4,1013,27,10,81,43,Aruba
2020-01-19,27,23,0.0,7.1,6,32,02:18 AM,02:14 PM,07:06 AM,06:35 PM,23,29,29,26,62,65,79,0.8,1012,27,10,88,43,Aruba
2020-01-20,27,25,0.0,7.1,6,25,03:14 AM,03:03 PM,07:06 AM,06:36 PM,23,29,29,26,55,66,83,0.8,1012,27,10,92,39,Aruba
2020-01-21,27,22,0.0,7.1,6,18,04:11 AM,03:55 PM,07:06 AM,06:36 PM,23,29,29,26,52,60,84,0.9,1011,27,10,91,37,Aruba
2020-01-22,27,23,0.0,11.3,7,11,05:07 AM,04:48 PM,07:06 AM,06:37 PM,23,29,29,26,34,34,82,0.0,1011,27,10,92,25,Aruba
2020-01-23,26,26,0.0,11.3,7,3,06:02 AM,05:42 PM,07:06 AM,06:37 PM,22,28,28,26,20,16,77,0.0,1011,26,10,96,15,Aruba
2020-01-24,26,25,0.0,10.1,6,0,06:53 AM,06:36 PM,07:06 AM,06:38 PM,21,28,28,26,22,44,77,0.1,1013,26,10,83,16,Aruba
2020-01-25,27,25,0.0,7.1,6,0,07:42 AM,07:28 PM,07:06 AM,06:38 PM,23,29,29,26,26,62,82,0.5,1013,27,10,76,19,Aruba
2020-01-26,27,26,0.0,8.6,6,4,08:26 AM,08:18 PM,07:06 AM,06:39 PM,23,29,29,26,27,50,83,1.3,1013,27,10,71,20,Aruba
2020-01-27,27,26,0.0,7.1,6,11,09:08 AM,09:06 PM,07:06 AM,06:39 PM,23,29,29,26,26,55,82,0.3,1013,27,10,84,19,Aruba
2020-01-28,27,26,0.0,8.6,6,18,09:47 AM,09:52 PM,07:06 AM,06:40 PM,23,29,29,26,32,57,81,0.7,1012,27,10,91,23,Aruba
2020-01-29,27,26,0.0,8.6,6,26,10:24 AM,10:37 PM,07:06 AM,06:40 PM,22,29,29,26,33,46,79,0.4,1013,27,10,79,24,Aruba
2020-01-30,27,21,0.0,7.2,6,33,11:00 AM,11:23 PM,07:06 AM,06:41 PM,23,28,28,25,38,64,81,0.3,1013,27,10,84,28,Aruba
2020-01-31,27,24,0.0,10.1,6,37,11:37 AM,No moonset,07:06 AM,06:41 PM,24,30,30,26,50,49,82,0.3,1013,27,10,88,35,Aruba
2020-02-01,27,25,0.0,11.4,6,49,12:14 PM,12:08 AM,07:06 AM,06:41 PM,23,30,30,27,54,50,81,0.4,1013,27,10,88,38,Aruba
2020-02-02,27,26,0.0,8.6,6,57,12:54 PM,12:55 AM,07:06 AM,06:42 PM,23,30,30,27,48,62,82,0.5,1013,27,10,91,34,Aruba
2020-02-03,27,23,0.0,11.4,6,64,01:38 PM,01:45 AM,07:06 AM,06:42 PM,23,29,29,26,53,36,79,0.3,1014,27,10,93,37,Aruba
2020-02-04,27,24,0.0,10.1,6,72,02:25 PM,02:37 AM,07:05 AM,06:43 PM,22,28,28,26,54,46,78,0.3,1014,27,10,94,38,Aruba
2020-02-05,26,22,0.0,7.2,6,79,03:18 PM,03:33 AM,07:05 AM,06:43 PM,22,28,28,26,56,72,79,1.4,1014,26,10,89,40,Aruba
2020-02-06,27,23,0.0,11.4,6,87,04:16 PM,04:30 AM,07:05 AM,06:43 PM,23,28,28,26,57,41,80,0.3,1012,27,10,97,40,Aruba
2020-02-07,26,24,0.0,11.4,6,95,05:17 PM,05:30 AM,07:05 AM,06:44 PM,23,28,28,26,56,28,81,0.2,1013,26,10,95,39,Aruba
2020-02-08,26,26,0.0,8.6,6,100,06:20 PM,06:27 AM,07:05 AM,06:44 PM,22,28,28,26,51,54,80,0.8,1014,26,10,90,36,Aruba
