date_time,Australia_maxtempC,Australia_mintempC,Australia_totalSnow_cm,Australia_sunHour,Australia_uvIndex,Australia_moon_illumination,Australia_moonrise,Australia_moonset,Australia_sunrise,Australia_sunset,Australia_DewPointC,Australia_FeelsLikeC,Australia_HeatIndexC,Australia_WindChillC,Australia_WindGustKmph,Australia_cloudcover,Australia_humidity,Australia_precipMM,Australia_pressure,Australia_tempC,Australia_visibility,Australia_winddirDegree,Australia_windspeedKmph,Australia_location
2020-01-01,34,12,0.0,14.5,6,37,11:12 AM,No moonset,05:51 AM,08:21 PM,8,25,25,24,16,23,55,2.6,1013,34,10,179,12,Australia
2020-01-02,36,9,0.0,14.5,7,44,12:07 PM,12:23 AM,05:52 AM,08:21 PM,6,25,25,25,14,5,53,0.0,1016,36,10,162,10,Australia
2020-01-03,37,13,0.0,14.5,8,51,01:02 PM,12:50 AM,05:53 AM,08:21 PM,10,27,27,27,14,14,52,0.0,1013,37,10,188,9,Australia
2020-01-04,39,18,0.0,14.5,8,59,01:57 PM,01:17 AM,05:54 AM,08:21 PM,11,31,31,30,19,6,43,0.0,1008,39,10,228,15,Australia
2020-01-05,26,15,0.0,14.5,6,66,02:53 PM,01:45 AM,05:55 AM,08:21 PM,10,20,21,20,19,21,61,0.0,1017,26,10,101,16,Australia
2020-01-06,27,13,0.0,12.4,5,73,03:52 PM,02:14 AM,05:55 AM,08:21 PM,12,19,21,19,14,52,69,0.6,1018,27,10,98,12,Australia
2020-01-07,32,16,0.0,14.5,6,80,04:52 PM,02:47 AM,05:56 AM,08:21 PM,14,25,25,24,13,53,66,0.3,1014,32,9,187,11,Australia
2020-01-08,29,17,0.0,13.4,5,88,05:55 PM,03:25 AM,05:57 AM,08:21 PM,15,22,22,21,13,46,71,0.3,1015,29,10,176,10,Australia
2020-01-09,27,14,0.0,14.5,6,95,06:57 PM,04:08 AM,05:58 AM,08:21 PM,14,22,22,21,16,27,69,0.0,1015,27,10,106,13,Australia
2020-01-10,38,16,0.0,14.5,7,100,07:58 PM,05:00 AM,05:59 AM,08:21 PM,12,29,29,28,17,25,49,0.0,1008,38,9,241,13,Australia
2020-01-11,30,18,0.0,14.2,6,100,08:54 PM,06:00 AM,06:00 AM,08:21 PM,9,25,25,25,16,25,48,0.1,1011,30,10,170,13,Australia
2020-01-12,23,11,0.0,11.6,4,83,09:45 PM,07:05 AM,06:01 AM,08:21 PM,8,17,19,17,17,44,63,0.0,1017,23,10,101,14,Australia
2020-01-13,28,9,0.0,11.6,6,76,10:28 PM,08:15 AM,06:02 AM,08:21 PM,9,20,20,19,15,20,60,0.0,1017,28,10,88,11,Australia
2020-01-14,31,12,0.0,11.6,6,69,11:08 PM,09:26 AM,06:03 AM,08:21 PM,11,23,23,22,10,23,59,0.0,1016,31,9,128,7,Australia
2020-01-15,31,13,0.0,11.6,7,61,11:43 PM,10:35 AM,06:03 AM,08:20 PM,10,22,22,23,10,17,52,0.0,1012,31,10,149,7,Australia
2020-01-16,27,18,0.0,7.1,5,54,No moonrise,11:44 AM,06:04 AM,08:20 PM,15,23,23,22,14,76,72,16.0,1006,27,8,210,10,Australia
2020-01-17,23,16,0.0,10.5,5,47,12:17 AM,12:50 PM,06:05 AM,08:20 PM,13,19,20,19,18,58,72,0.0,1009,23,10,120,14,Australia
2020-01-18,23,13,0.0,11.6,5,40,12:50 AM,01:57 PM,06:06 AM,08:19 PM,11,17,19,17,16,31,68,0.0,1010,23,10,118,12,Australia
2020-01-19,26,14,0.0,7.1,5,32,01:24 AM,03:02 PM,06:07 AM,08:19 PM,13,19,20,19,12,79,72,5.6,1005,26,7,138,8,Australia
2020-01-20,23,15,0.0,7.1,5,25,02:01 AM,04:08 PM,06:08 AM,08:19 PM,14,19,20,19,14,70,73,24.1,1003,23,8,183,9,Australia
2020-01-21,24,12,0.0,10.5,6,18,02:41 AM,05:12 PM,06:09 AM,08:18 PM,12,18,19,18,16,29,69,0.1,1006,24,10,295,11,Australia
2020-01-22,30,14,0.0,11.6,7,11,03:26 AM,06:12 PM,06:10 AM,08:18 PM,8,22,22,23,16,5,47,0.0,1007,30,10,209,11,Australia
2020-01-23,29,20,0.0,11.6,7,3,04:16 AM,07:08 PM,06:11 AM,08:17 PM,7,25,25,24,34,11,35,0.0,1001,29,10,310,25,Australia
