date_time,Austria_maxtempC,Austria_mintempC,Austria_totalSnow_cm,Austria_sunHour,Austria_uvIndex,Austria_moon_illumination,Austria_moonrise,Austria_moonset,Austria_sunrise,Austria_sunset,Austria_DewPointC,Austria_FeelsLikeC,Austria_HeatIndexC,Austria_WindChillC,Austria_WindGustKmph,Austria_cloudcover,Austria_humidity,Austria_precipMM,Austria_pressure,Austria_tempC,Austria_visibility,Austria_winddirDegree,Austria_windspeedKmph,Austria_location
2020-01-01,4,-2,0.0,8.7,2,37,11:26 AM,10:39 PM,07:45 AM,04:10 PM,-1,-1,3,-1,16,5,74,0.0,1035,4,10,305,11,Austria
2020-01-02,4,1,0.0,8.7,2,44,11:46 AM,11:43 PM,07:45 AM,04:11 PM,-1,2,3,2,6,0,75,0.0,1033,4,10,117,5,Austria
2020-01-03,3,-3,0.0,8.7,2,51,12:04 PM,No moonset,07:45 AM,04:12 PM,-2,-0,1,-0,11,29,76,0.0,1028,3,10,175,6,Austria
2020-01-04,6,3,0.0,5.1,2,59,12:24 PM,12:46 AM,07:45 AM,04:13 PM,0,2,5,2,35,67,70,0.7,1025,6,9,292,22,Austria
2020-01-05,3,2,0.0,8.7,2,66,12:45 PM,01:51 AM,07:45 AM,04:15 PM,-4,-1,3,-1,27,22,63,1.0,1032,3,10,319,19,Austria
2020-01-06,3,0,0.0,8.7,2,73,01:09 PM,02:57 AM,07:45 AM,04:16 PM,-3,-0,1,-0,7,15,74,0.0,1033,3,10,191,5,Austria
2020-01-07,3,-5,0.0,8.7,1,80,01:39 PM,04:05 AM,07:45 AM,04:17 PM,-2,-1,1,-1,7,34,77,0.0,1029,3,10,214,5,Austria
2020-01-08,6,1,0.0,8.7,1,88,02:15 PM,05:15 AM,07:44 AM,04:18 PM,1,2,3,2,11,33,84,0.0,1031,6,10,209,7,Austria
2020-01-09,3,1,0.0,3.3,1,95,03:01 PM,06:22 AM,07:44 AM,04:19 PM,-1,0,2,0,11,75,77,0.0,1026,3,10,129,7,Austria
2020-01-10,6,-1,0.0,5.1,1,100,03:59 PM,07:26 AM,07:44 AM,04:20 PM,-0,1,3,1,13,48,81,0.0,1023,6,10,190,7,Austria
2020-01-11,6,2,0.0,6.9,1,100,05:07 PM,08:20 AM,07:43 AM,04:22 PM,0,1,4,1,27,56,76,0.0,1030,6,10,299,14,Austria
2020-01-12,6,0,0.0,8.7,2,83,06:23 PM,09:05 AM,07:43 AM,04:23 PM,-1,1,3,1,10,29,80,0.0,1031,6,10,169,6,Austria
2020-01-13,3,1,0.0,6.9,1,76,07:43 PM,09:42 AM,07:42 AM,04:24 PM,-1,0,2,0,11,71,78,0.0,1026,3,10,134,7,Austria
2020-01-14,3,-0,0.0,5.1,1,69,09:03 PM,10:13 AM,07:42 AM,04:26 PM,-1,-2,1,-2,13,60,87,0.0,1023,3,9,132,9,Austria
2020-01-15,6,-1,0.0,6.9,1,61,10:21 PM,10:39 AM,07:41 AM,04:27 PM,-0,-1,2,-1,22,47,86,0.0,1024,6,8,137,15,Austria
2020-01-16,7,2,0.0,6.9,1,54,11:39 PM,11:03 AM,07:40 AM,04:28 PM,0,3,4,3,7,31,76,0.0,1031,7,10,225,4,Austria
