date_time,Azerbaijan_maxtempC,Azerbaijan_mintempC,Azerbaijan_totalSnow_cm,Azerbaijan_sunHour,Azerbaijan_uvIndex,Azerbaijan_moon_illumination,Azerbaijan_moonrise,Azerbaijan_moonset,Azerbaijan_sunrise,Azerbaijan_sunset,Azerbaijan_DewPointC,Azerbaijan_FeelsLikeC,Azerbaijan_HeatIndexC,Azerbaijan_WindChillC,Azerbaijan_WindGustKmph,Azerbaijan_cloudcover,Azerbaijan_humidity,Azerbaijan_precipMM,Azerbaijan_pressure,Azerbaijan_tempC,Azerbaijan_visibility,Azerbaijan_winddirDegree,Azerbaijan_windspeedKmph,Azerbaijan_location
2020-01-01,11,9,0.0,8.7,4,37,12:00 PM,11:27 PM,08:03 AM,05:24 PM,6,9,10,9,14,14,75,0.0,1014,11,10,230,10,Azerbaijan
2020-01-02,10,8,0.0,8.7,3,44,12:25 PM,No moonset,08:04 AM,05:25 PM,5,5,9,5,39,45,77,0.0,1020,10,10,270,28,Azerbaijan
2020-01-03,8,7,0.0,3.5,2,51,12:49 PM,12:24 AM,08:04 AM,05:26 PM,2,4,7,4,24,94,72,2.0,1026,8,8,159,18,Azerbaijan
2020-01-04,8,7,0.0,3.5,2,59,01:14 PM,01:23 AM,08:04 AM,05:27 PM,3,5,8,5,24,91,71,0.1,1022,8,10,122,18,Azerbaijan
2020-01-05,8,8,0.0,3.5,2,66,01:40 PM,02:21 AM,08:04 AM,05:28 PM,3,6,8,6,15,100,72,2.6,1015,8,5,106,11,Azerbaijan
2020-01-06,9,5,0.0,7.0,2,73,02:09 PM,03:22 AM,08:04 AM,05:29 PM,3,6,7,6,10,60,72,0.3,1021,9,10,101,7,Azerbaijan
2020-01-07,10,7,0.0,8.7,2,80,02:43 PM,04:25 AM,08:04 AM,05:30 PM,5,6,9,6,29,36,78,0.1,1022,10,10,184,19,Azerbaijan
2020-01-08,11,9,0.0,3.5,2,88,03:24 PM,05:29 AM,08:04 AM,05:31 PM,6,8,10,8,16,81,76,0.4,1017,11,10,223,11,Azerbaijan
2020-01-09,9,8,0.0,3.5,2,95,04:12 PM,06:34 AM,08:03 AM,05:32 PM,5,5,8,5,36,99,78,0.5,1017,9,10,226,25,Azerbaijan
2020-01-10,8,7,0.0,3.5,2,100,05:09 PM,07:36 AM,08:03 AM,05:33 PM,3,3,7,3,34,86,76,0.3,1020,8,10,321,25,Azerbaijan
