date_time,Bahamas_maxtempC,Bahamas_mintempC,Bahamas_totalSnow_cm,Bahamas_sunHour,Bahamas_uvIndex,Bahamas_moon_illumination,Bahamas_moonrise,Bahamas_moonset,Bahamas_sunrise,Bahamas_sunset,Bahamas_DewPointC,Bahamas_FeelsLikeC,Bahamas_HeatIndexC,Bahamas_WindChillC,Bahamas_WindGustKmph,Bahamas_cloudcover,Bahamas_humidity,Bahamas_precipMM,Bahamas_pressure,Bahamas_tempC,Bahamas_visibility,Bahamas_winddirDegree,Bahamas_windspeedKmph,Bahamas_location
2020-01-01,24,17,0.0,4.0,5,37,11:27 AM,11:24 PM,06:55 AM,05:31 PM,21,25,25,23,31,58,87,0.9,1016,24,10,37,22,Bahamas
2020-01-02,24,16,0.0,8.7,6,44,11:59 AM,No moonset,06:55 AM,05:32 PM,20,24,24,22,29,48,80,0.0,1018,24,10,94,21,Bahamas
2020-01-03,25,22,0.0,8.7,6,51,12:30 PM,12:14 AM,06:55 AM,05:33 PM,22,27,27,24,36,39,85,0.2,1019,25,10,140,26,Bahamas
2020-01-04,25,21,0.0,7.1,5,59,01:03 PM,01:04 AM,06:55 AM,05:34 PM,22,27,27,24,31,31,82,0.2,1019,25,10,186,21,Bahamas
2020-01-05,23,17,0.0,8.7,5,66,01:38 PM,01:56 AM,06:56 AM,05:34 PM,17,21,22,21,48,53,75,2.4,1021,23,10,134,37,Bahamas
2020-01-06,21,20,0.0,5.6,5,73,02:15 PM,02:50 AM,06:56 AM,05:35 PM,14,21,22,21,31,62,65,0.6,1021,21,10,54,24,Bahamas
2020-01-07,22,14,0.0,7.2,5,80,02:58 PM,03:46 AM,06:56 AM,05:36 PM,15,20,23,20,22,61,65,0.8,1021,22,10,90,17,Bahamas
2020-01-08,22,16,0.0,8.7,5,88,03:46 PM,04:45 AM,06:56 AM,05:36 PM,16,21,24,21,40,31,67,0.2,1024,22,10,35,31,Bahamas
2020-01-09,23,18,0.0,4.1,5,95,04:40 PM,05:45 AM,06:56 AM,05:37 PM,18,24,24,21,61,80,77,1.2,1026,23,10,73,47,Bahamas
2020-01-10,25,20,0.0,4.1,5,100,05:41 PM,06:45 AM,06:56 AM,05:38 PM,21,25,25,23,65,69,80,0.7,1025,25,10,92,46,Bahamas
2020-01-11,25,23,0.0,7.2,6,100,06:44 PM,07:42 AM,06:56 AM,05:39 PM,22,27,27,25,59,60,82,0.5,1023,25,10,112,41,Bahamas
2020-01-12,25,22,0.0,5.6,5,83,07:50 PM,08:35 AM,06:56 AM,05:39 PM,21,26,26,24,50,50,81,0.2,1024,25,10,107,36,Bahamas
2020-01-13,24,24,0.0,8.7,5,76,08:55 PM,09:23 AM,06:56 AM,05:40 PM,20,26,26,24,48,59,79,1.5,1025,24,10,94,34,Bahamas
2020-01-14,24,23,0.0,7.2,5,69,09:59 PM,10:07 AM,06:56 AM,05:41 PM,20,26,26,24,43,50,77,0.4,1024,24,10,97,31,Bahamas
2020-01-15,23,23,0.0,8.7,5,61,11:02 PM,10:48 AM,06:56 AM,05:41 PM,18,25,25,23,31,35,71,0.2,1023,23,10,82,23,Bahamas
2020-01-16,23,21,0.0,5.6,5,54,No moonrise,11:27 AM,06:56 AM,05:42 PM,18,25,25,23,31,52,75,1.1,1023,23,10,63,23,Bahamas
2020-01-17,23,22,0.0,4.1,5,47,12:03 AM,12:06 PM,06:56 AM,05:43 PM,19,25,25,23,44,57,77,1.3,1024,23,10,56,33,Bahamas
2020-01-18,22,19,0.0,4.1,5,40,01:03 AM,12:45 PM,06:56 AM,05:44 PM,17,21,23,21,52,78,75,0.2,1025,22,10,86,42,Bahamas
2020-01-19,23,17,0.0,5.6,5,32,02:04 AM,01:28 PM,06:56 AM,05:44 PM,17,24,24,22,31,61,71,0.3,1021,23,10,118,23,Bahamas
2020-01-20,23,20,0.0,7.2,5,25,03:04 AM,02:12 PM,06:56 AM,05:45 PM,19,25,25,23,23,53,79,0.9,1018,23,10,199,17,Bahamas
2020-01-21,22,16,0.0,5.6,5,18,04:04 AM,03:01 PM,06:56 AM,05:46 PM,16,21,24,21,29,66,73,5.9,1015,22,10,232,21,Bahamas
2020-01-22,20,15,0.0,7.2,4,11,05:02 AM,03:53 PM,06:56 AM,05:47 PM,13,18,18,18,52,54,68,1.2,1014,20,10,263,43,Bahamas
2020-01-23,22,18,0.0,5.6,5,3,05:57 AM,04:47 PM,06:55 AM,05:47 PM,16,21,24,21,46,60,71,2.4,1016,22,10,39,36,Bahamas
2020-01-24,23,15,0.0,8.7,6,0,06:48 AM,05:43 PM,06:55 AM,05:48 PM,17,21,23,21,31,30,71,0.0,1016,23,10,91,23,Bahamas
2020-01-25,23,18,0.0,4.1,5,0,07:34 AM,06:38 PM,06:55 AM,05:49 PM,17,24,24,22,19,64,71,6.7,1017,23,10,104,13,Bahamas
2020-01-26,22,18,0.0,7.2,5,4,08:14 AM,07:33 PM,06:54 AM,05:50 PM,17,24,24,22,19,54,71,2.3,1017,22,10,78,14,Bahamas
2020-01-27,23,16,0.0,4.1,5,11,08:52 AM,08:25 PM,06:54 AM,05:50 PM,17,21,24,21,20,73,73,8.0,1016,23,10,112,14,Bahamas
2020-01-28,23,19,0.0,7.2,5,18,09:26 AM,09:16 PM,06:54 AM,05:51 PM,19,25,25,22,19,58,77,5.5,1013,23,10,166,13,Bahamas
2020-01-29,23,17,0.0,4.1,5,26,09:58 AM,10:06 PM,06:53 AM,05:52 PM,20,24,24,22,25,72,83,4.1,1013,23,10,80,18,Bahamas
2020-01-30,24,20,0.0,7.2,5,33,10:30 AM,10:56 PM,06:53 AM,05:53 PM,19,25,25,23,19,43,79,1.4,1014,24,10,258,14,Bahamas
2020-01-31,24,16,0.0,7.2,5,37,11:01 AM,11:47 PM,06:53 AM,05:53 PM,18,24,24,22,22,53,76,1.2,1017,24,10,114,16,Bahamas
2020-02-01,25,21,0.0,5.7,5,49,11:35 AM,No moonset,06:52 AM,05:54 PM,21,26,26,24,37,57,84,7.2,1016,25,10,200,24,Bahamas
2020-02-02,21,17,0.0,8.7,5,57,12:10 PM,12:38 AM,06:52 AM,05:55 PM,15,20,22,20,43,35,69,1.1,1018,21,8,298,34,Bahamas
2020-02-03,21,13,0.0,8.7,6,64,12:49 PM,01:33 AM,06:51 AM,05:55 PM,12,19,20,19,19,9,58,0.0,1021,21,10,82,14,Bahamas
2020-02-04,23,17,0.0,5.7,5,72,01:34 PM,02:28 AM,06:51 AM,05:56 PM,16,24,24,21,26,54,66,0.0,1021,23,10,121,19,Bahamas
2020-02-05,24,18,0.0,4.2,5,79,02:24 PM,03:27 AM,06:50 AM,05:57 PM,20,24,24,22,34,60,80,0.7,1018,24,10,132,25,Bahamas
2020-02-06,24,23,0.0,8.7,5,87,03:21 PM,04:26 AM,06:50 AM,05:57 PM,22,26,26,24,45,40,87,0.2,1014,24,10,152,31,Bahamas
2020-02-07,25,18,0.0,8.7,5,95,04:23 PM,05:25 AM,06:49 AM,05:58 PM,21,25,25,23,45,39,85,1.5,1015,25,10,222,30,Bahamas
2020-02-08,22,15,0.0,4.2,5,100,05:30 PM,06:20 AM,06:49 AM,05:59 PM,20,20,23,20,35,88,89,3.4,1021,22,8,45,27,Bahamas
2020-02-09,24,21,0.0,4.2,5,100,06:37 PM,07:12 AM,06:48 AM,05:59 PM,21,25,25,23,52,76,84,4.7,1023,24,10,62,38,Bahamas
2020-02-10,24,18,0.0,8.7,5,83,07:44 PM,07:59 AM,06:47 AM,06:00 PM,20,25,25,23,47,73,81,2.6,1023,24,10,92,34,Bahamas
2020-02-11,24,22,0.0,8.7,5,75,08:49 PM,08:43 AM,06:47 AM,06:01 PM,22,26,26,24,35,54,86,0.4,1020,24,10,111,23,Bahamas
2020-02-12,24,20,0.0,11.6,6,68,09:53 PM,09:24 AM,06:46 AM,06:01 PM,22,25,25,23,35,21,89,0.0,1019,24,10,113,23,Bahamas
