date_time,Bangladesh_maxtempC,Bangladesh_mintempC,Bangladesh_totalSnow_cm,Bangladesh_sunHour,Bangladesh_uvIndex,Bangladesh_moon_illumination,Bangladesh_moonrise,Bangladesh_moonset,Bangladesh_sunrise,Bangladesh_sunset,Bangladesh_DewPointC,Bangladesh_FeelsLikeC,Bangladesh_HeatIndexC,Bangladesh_WindChillC,Bangladesh_WindGustKmph,Bangladesh_cloudcover,Bangladesh_humidity,Bangladesh_precipMM,Bangladesh_pressure,Bangladesh_tempC,Bangladesh_visibility,Bangladesh_winddirDegree,Bangladesh_windspeedKmph,Bangladesh_location
2020-01-01,30,19,0.0,8.7,6,37,11:00 AM,10:50 PM,06:40 AM,05:23 PM,12,24,24,23,11,12,49,0.0,1017,30,10,60,7,Bangladesh
2020-01-02,29,20,0.0,8.7,6,44,11:33 AM,11:40 PM,06:41 AM,05:24 PM,13,25,25,24,12,20,51,0.0,1018,29,10,153,8,Bangladesh
2020-01-03,21,11,0.0,4.1,4,51,12:05 PM,No moonset,06:41 AM,05:24 PM,15,19,20,19,11,47,73,3.3,1016,21,9,186,9,Bangladesh
2020-01-04,26,17,0.0,8.7,6,59,12:37 PM,12:29 AM,06:41 AM,05:25 PM,14,22,22,21,8,17,66,0.0,1014,26,10,319,6,Bangladesh
2020-01-05,25,17,0.0,7.2,5,66,01:11 PM,01:20 AM,06:42 AM,05:26 PM,14,20,21,20,11,33,63,0.2,1014,25,10,123,8,Bangladesh
2020-01-06,26,15,0.0,8.7,6,73,01:48 PM,02:12 AM,06:42 AM,05:26 PM,9,23,23,21,12,1,46,0.0,1017,26,10,341,10,Bangladesh
2020-01-07,25,17,0.0,8.7,6,80,02:28 PM,03:07 AM,06:42 AM,05:27 PM,8,21,22,21,10,3,44,0.0,1015,25,10,329,9,Bangladesh
2020-01-08,26,16,0.0,8.7,6,88,03:15 PM,04:04 AM,06:42 AM,05:28 PM,10,21,21,21,11,26,50,0.0,1014,26,10,334,8,Bangladesh
2020-01-09,24,19,0.0,8.7,6,95,04:06 PM,05:03 AM,06:42 AM,05:28 PM,12,21,22,21,10,34,55,0.0,1013,24,10,163,7,Bangladesh
2020-01-10,26,17,0.0,8.7,6,100,05:04 PM,06:03 AM,06:42 AM,05:29 PM,12,21,21,20,17,11,59,0.0,1015,26,10,339,13,Bangladesh
