date_time,Belize_maxtempC,Belize_mintempC,Belize_totalSnow_cm,Belize_sunHour,Belize_uvIndex,Belize_moon_illumination,Belize_moonrise,Belize_moonset,Belize_sunrise,Belize_sunset,Belize_DewPointC,Belize_FeelsLikeC,Belize_HeatIndexC,Belize_WindChillC,Belize_WindGustKmph,Belize_cloudcover,Belize_humidity,Belize_precipMM,Belize_pressure,Belize_tempC,Belize_visibility,Belize_winddirDegree,Belize_windspeedKmph,Belize_location
2020-01-01,29,20,0.0,5.7,6,37,11:09 AM,11:14 PM,06:25 AM,05:32 PM,19,25,25,24,8,53,82,0.4,1014,29,6,131,5,Belize
2020-01-02,30,20,0.0,7.2,6,44,11:44 AM,No moonset,06:25 AM,05:33 PM,20,26,26,24,10,53,83,0.0,1011,30,5,110,7,Belize
2020-01-03,34,21,0.0,8.7,7,51,12:19 PM,12:01 AM,06:25 AM,05:34 PM,21,30,30,27,6,34,78,0.0,1011,34,8,110,4,Belize
2020-01-04,31,19,0.0,7.2,5,59,12:55 PM,12:48 AM,06:26 AM,05:34 PM,20,24,24,23,11,69,87,8.3,1019,31,8,254,7,Belize
2020-01-05,24,18,0.0,7.2,5,66,01:33 PM,01:37 AM,06:26 AM,05:35 PM,16,20,20,20,9,66,81,4.4,1024,24,9,283,6,Belize
2020-01-06,24,19,0.0,4.2,5,73,02:13 PM,02:28 AM,06:26 AM,05:35 PM,17,21,21,21,5,88,80,0.1,1020,24,10,208,3,Belize
2020-01-07,27,18,0.0,4.2,5,80,02:58 PM,03:22 AM,06:27 AM,05:36 PM,18,22,22,21,6,89,86,2.0,1020,27,8,129,4,Belize
2020-01-08,27,16,0.0,7.2,5,88,03:49 PM,04:18 AM,06:27 AM,05:37 PM,18,21,21,21,6,81,88,3.0,1021,27,5,159,4,Belize
2020-01-09,27,19,0.0,4.2,5,95,04:44 PM,05:17 AM,06:27 AM,05:37 PM,21,23,23,22,6,84,93,5.3,1018,27,9,173,4,Belize
2020-01-10,28,20,0.0,5.7,5,100,05:44 PM,06:16 AM,06:27 AM,05:38 PM,21,24,24,23,8,75,92,4.1,1015,28,9,134,5,Belize
2020-01-11,30,21,0.0,5.7,6,100,06:47 PM,07:14 AM,06:27 AM,05:39 PM,21,27,27,25,11,56,85,2.7,1014,30,9,93,7,Belize
2020-01-12,26,21,0.0,4.2,5,83,07:50 PM,08:09 AM,06:28 AM,05:39 PM,22,26,26,23,10,77,93,6.9,1015,26,8,83,6,Belize
2020-01-13,26,21,0.0,4.2,5,76,08:52 PM,09:00 AM,06:28 AM,05:40 PM,22,24,24,23,10,80,95,12.4,1017,26,8,100,5,Belize
2020-01-14,26,21,0.0,4.2,5,69,09:52 PM,09:48 AM,06:28 AM,05:40 PM,22,24,24,23,7,83,96,9.9,1017,26,7,111,4,Belize
2020-01-15,28,20,0.0,5.7,6,61,10:50 PM,10:32 AM,06:28 AM,05:41 PM,20,24,24,23,8,73,87,2.4,1016,28,10,95,5,Belize
2020-01-16,24,18,0.0,5.7,5,54,11:48 PM,11:15 AM,06:28 AM,05:42 PM,21,23,23,22,6,71,95,16.2,1017,24,9,70,4,Belize
2020-01-17,25,20,0.0,4.2,5,47,No moonrise,11:57 AM,06:28 AM,05:42 PM,22,24,24,22,6,82,98,11.9,1017,25,8,140,4,Belize
2020-01-18,25,20,0.0,4.2,5,40,12:44 AM,12:40 PM,06:28 AM,05:43 PM,21,23,23,22,7,83,94,8.8,1016,25,10,50,4,Belize
2020-01-19,25,20,0.0,5.7,5,32,01:42 AM,01:26 PM,06:28 AM,05:43 PM,21,23,23,22,5,75,97,20.2,1015,25,7,178,3,Belize
2020-01-20,29,19,0.0,5.7,5,25,02:39 AM,02:13 PM,06:28 AM,05:44 PM,19,23,23,22,8,79,85,2.6,1018,29,7,261,5,Belize
2020-01-21,26,18,0.0,5.7,5,18,03:37 AM,03:04 PM,06:28 AM,05:45 PM,17,21,22,21,8,69,84,0.9,1020,26,8,246,5,Belize
2020-01-22,24,14,0.0,7.2,5,11,04:34 AM,03:57 PM,06:28 AM,05:45 PM,14,19,19,19,7,32,78,0.0,1019,24,8,183,4,Belize
2020-01-23,23,17,0.0,5.7,5,3,05:29 AM,04:51 PM,06:28 AM,05:46 PM,19,20,21,20,8,77,91,4.3,1015,23,9,124,5,Belize
2020-01-24,25,19,0.0,5.7,5,0,06:19 AM,05:45 PM,06:28 AM,05:46 PM,20,22,22,21,7,83,92,7.4,1015,25,4,149,4,Belize
2020-01-25,26,18,0.0,5.7,5,0,07:07 AM,06:38 PM,06:28 AM,05:47 PM,18,22,22,21,8,70,84,0.6,1017,26,8,105,5,Belize
2020-01-26,28,17,0.0,8.7,5,4,07:50 AM,07:30 PM,06:28 AM,05:47 PM,17,23,23,22,8,18,79,0.0,1015,28,7,126,5,Belize
2020-01-27,31,17,0.0,8.7,6,11,08:30 AM,08:19 PM,06:28 AM,05:48 PM,18,25,25,24,7,22,77,0.0,1014,31,8,183,4,Belize
2020-01-28,31,19,0.0,8.7,6,18,09:07 AM,09:07 PM,06:28 AM,05:49 PM,19,25,25,24,7,20,79,0.0,1012,31,6,130,5,Belize
