date_time,Benin_maxtempC,Benin_mintempC,Benin_totalSnow_cm,Benin_sunHour,Benin_uvIndex,Benin_moon_illumination,Benin_moonrise,Benin_moonset,Benin_sunrise,Benin_sunset,Benin_DewPointC,Benin_FeelsLikeC,Benin_HeatIndexC,Benin_WindChillC,Benin_WindGustKmph,Benin_cloudcover,Benin_humidity,Benin_precipMM,Benin_pressure,Benin_tempC,Benin_visibility,Benin_winddirDegree,Benin_windspeedKmph,Benin_location
2020-01-01,35,25,0.0,11.5,8,37,11:48 AM,No moonset,07:00 AM,06:45 PM,21,32,32,29,11,3,66,0.0,1010,35,10,238,9,Benin
2020-01-02,35,23,0.0,11.5,7,44,12:27 PM,12:01 AM,07:01 AM,06:46 PM,14,30,30,29,12,3,47,0.0,1011,35,10,194,9,Benin
2020-01-03,34,23,0.0,11.5,7,51,01:06 PM,12:44 AM,07:01 AM,06:46 PM,9,28,28,28,12,0,34,0.0,1012,34,10,123,9,Benin
2020-01-04,34,23,0.0,11.5,7,59,01:45 PM,01:28 AM,07:01 AM,06:47 PM,9,29,29,29,13,0,30,0.0,1011,34,10,124,10,Benin
2020-01-05,35,24,0.0,11.5,8,66,02:26 PM,02:12 AM,07:02 AM,06:47 PM,16,30,30,29,12,2,49,0.0,1010,35,10,206,9,Benin
2020-01-06,32,24,0.0,11.5,7,73,03:09 PM,02:58 AM,07:02 AM,06:48 PM,20,30,30,28,14,8,64,0.0,1010,32,10,243,10,Benin
2020-01-07,32,26,0.0,11.5,7,80,03:57 PM,03:48 AM,07:03 AM,06:49 PM,22,32,32,29,14,9,67,0.0,1009,32,10,240,11,Benin
2020-01-08,33,25,0.0,11.5,7,88,04:48 PM,04:40 AM,07:03 AM,06:49 PM,22,32,32,28,16,16,69,0.0,1010,33,10,244,11,Benin
2020-01-09,33,25,0.0,11.5,7,95,05:44 PM,05:37 AM,07:03 AM,06:49 PM,23,32,32,28,16,10,73,0.0,1010,33,10,222,12,Benin
2020-01-10,30,26,0.0,8.7,6,100,06:43 PM,06:35 AM,07:04 AM,06:50 PM,23,31,31,28,15,48,75,0.2,1012,30,10,206,11,Benin
2020-01-11,31,26,0.0,11.5,6,100,07:44 PM,07:35 AM,07:04 AM,06:50 PM,23,31,31,28,18,20,75,0.1,1012,31,10,212,14,Benin
2020-01-12,32,26,0.0,11.5,6,83,08:44 PM,08:33 AM,07:04 AM,06:51 PM,23,32,32,28,15,21,77,0.0,1011,32,10,219,12,Benin
2020-01-13,31,26,0.0,11.5,6,76,09:43 PM,09:29 AM,07:05 AM,06:51 PM,23,32,32,28,16,20,78,0.0,1009,31,10,214,13,Benin
2020-01-14,34,26,0.0,11.5,6,69,10:38 PM,10:21 AM,07:05 AM,06:52 PM,23,32,32,29,14,22,73,0.0,1009,34,10,231,11,Benin
2020-01-15,33,26,0.0,11.5,7,61,11:33 PM,11:11 AM,07:05 AM,06:52 PM,23,33,33,29,15,20,75,0.0,1009,33,10,227,11,Benin
2020-01-16,34,26,0.0,10.1,6,54,No moonrise,11:58 AM,07:06 AM,06:53 PM,23,33,33,29,15,35,75,0.0,1010,34,10,225,12,Benin
2020-01-17,35,25,0.0,11.5,8,47,12:25 AM,12:45 PM,07:06 AM,06:53 PM,23,33,33,29,13,12,75,0.0,1011,35,10,202,10,Benin
