date_time,Bhutan_maxtempC,Bhutan_mintempC,Bhutan_totalSnow_cm,Bhutan_sunHour,Bhutan_uvIndex,Bhutan_moon_illumination,Bhutan_moonrise,Bhutan_moonset,Bhutan_sunrise,Bhutan_sunset,Bhutan_DewPointC,Bhutan_FeelsLikeC,Bhutan_HeatIndexC,Bhutan_WindChillC,Bhutan_WindGustKmph,Bhutan_cloudcover,Bhutan_humidity,Bhutan_precipMM,Bhutan_pressure,Bhutan_tempC,Bhutan_visibility,Bhutan_winddirDegree,Bhutan_windspeedKmph,Bhutan_location
2020-01-01,8,-3,0.0,5.6,1,37,11:06 AM,10:51 PM,06:52 AM,05:18 PM,-13,0,2,0,8,53,38,0.0,1024,8,10,210,5,Bhutan
2020-01-02,8,-2,0.8,7.1,1,44,11:38 AM,11:43 PM,06:52 AM,05:19 PM,-7,1,2,1,7,41,55,1.0,1024,8,9,215,4,Bhutan
2020-01-03,2,-3,3.8,5.6,1,51,12:08 PM,No moonset,06:52 AM,05:20 PM,-3,-2,-1,-2,6,60,84,4.5,1020,2,7,150,4,Bhutan
2020-01-04,0,-4,9.6,4.0,1,59,12:39 PM,12:33 AM,06:52 AM,05:20 PM,-2,-3,-2,-3,5,95,98,11.3,1016,0,4,177,4,Bhutan
2020-01-05,0,-7,8.8,5.6,1,66,01:12 PM,01:26 AM,06:53 AM,05:21 PM,-5,-5,-4,-5,8,72,94,10.4,1017,0,5,206,4,Bhutan
2020-01-06,4,-8,0.0,8.7,2,73,01:47 PM,02:19 AM,06:53 AM,05:22 PM,-7,-3,-1,-3,10,12,74,0.0,1018,4,10,214,6,Bhutan
2020-01-07,7,-3,0.3,7.1,1,80,02:26 PM,03:16 AM,06:53 AM,05:23 PM,-7,0,2,0,7,25,61,0.3,1017,7,8,216,5,Bhutan
2020-01-08,5,-3,2.6,5.6,1,88,03:10 PM,04:14 AM,06:53 AM,05:23 PM,-3,-1,-0,-1,5,69,80,3.1,1017,5,7,177,3,Bhutan
2020-01-09,-0,-2,12.2,4.0,1,95,04:01 PM,05:15 AM,06:53 AM,05:24 PM,-2,-2,-1,-2,4,98,98,14.3,1016,-0,2,134,3,Bhutan
2020-01-10,4,-8,0.0,7.1,1,100,04:59 PM,06:15 AM,06:53 AM,05:25 PM,-5,-4,-2,-4,9,24,82,0.1,1018,4,9,251,5,Bhutan
2020-01-11,7,-6,0.0,8.7,2,100,06:02 PM,07:14 AM,06:53 AM,05:26 PM,-6,-1,1,-1,11,6,68,0.0,1018,7,10,214,6,Bhutan
