date_time,Bolivia_maxtempC,Bolivia_mintempC,Bolivia_totalSnow_cm,Bolivia_sunHour,Bolivia_uvIndex,Bolivia_moon_illumination,Bolivia_moonrise,Bolivia_moonset,Bolivia_sunrise,Bolivia_sunset,Bolivia_DewPointC,Bolivia_FeelsLikeC,Bolivia_HeatIndexC,Bolivia_WindChillC,Bolivia_WindGustKmph,Bolivia_cloudcover,Bolivia_humidity,Bolivia_precipMM,Bolivia_pressure,Bolivia_tempC,Bolivia_visibility,Bolivia_winddirDegree,Bolivia_windspeedKmph,Bolivia_location
2020-01-01,11,7,0.0,6.5,2,37,11:27 AM,No moonset,06:03 AM,07:09 PM,5,7,9,7,11,77,77,7.8,1014,11,8,69,9,Bolivia
2020-01-02,11,3,0.0,7.8,2,44,12:13 PM,12:01 AM,06:04 AM,07:09 PM,4,5,8,5,17,70,80,3.2,1015,11,8,78,13,Bolivia
2020-01-03,12,5,0.0,6.5,2,51,01:00 PM,12:36 AM,06:04 AM,07:10 PM,4,6,8,6,14,72,76,1.8,1018,12,9,65,11,Bolivia
2020-01-04,12,6,0.0,6.5,3,59,01:48 PM,01:11 AM,06:05 AM,07:10 PM,4,8,9,8,11,63,77,15.1,1016,12,9,187,7,Bolivia
2020-01-05,13,5,0.0,6.5,3,66,02:37 PM,01:48 AM,06:05 AM,07:10 PM,4,8,9,8,11,78,72,22.5,1013,13,8,230,8,Bolivia
2020-01-06,14,6,0.0,7.8,3,73,03:29 PM,02:27 AM,06:06 AM,07:11 PM,1,9,10,9,10,68,56,2.3,1011,14,10,211,8,Bolivia
2020-01-07,15,6,0.0,7.8,3,80,04:24 PM,03:10 AM,06:07 AM,07:11 PM,1,10,10,10,8,56,54,1.6,1012,15,10,216,6,Bolivia
2020-01-08,13,7,0.0,7.8,3,88,05:21 PM,03:57 AM,06:07 AM,07:11 PM,4,8,9,8,11,62,71,16.5,1013,13,9,227,8,Bolivia
2020-01-09,13,8,0.0,6.5,3,95,06:20 PM,04:50 AM,06:08 AM,07:11 PM,5,10,10,10,8,73,69,21.0,1012,13,9,122,5,Bolivia
2020-01-10,14,7,0.0,9.1,3,100,07:20 PM,05:48 AM,06:08 AM,07:11 PM,4,9,10,9,12,52,68,3.5,1013,14,10,48,8,Bolivia
2020-01-11,13,7,0.0,6.5,3,100,08:16 PM,06:49 AM,06:09 AM,07:12 PM,4,9,9,9,11,74,70,19.3,1015,13,9,116,6,Bolivia
2020-01-12,12,5,1.4,6.5,2,83,09:10 PM,07:52 AM,06:10 AM,07:12 PM,4,7,8,7,12,74,76,20.6,1016,12,8,153,8,Bolivia
2020-01-13,13,7,0.0,7.8,3,76,09:59 PM,08:55 AM,06:10 AM,07:12 PM,5,8,9,8,15,66,73,6.5,1014,13,9,53,10,Bolivia
