date_time,Bosnia%20and%20Herzegovina_maxtempC,Bosnia%20and%20Herzegovina_mintempC,Bosnia%20and%20Herzegovina_totalSnow_cm,Bosnia%20and%20Herzegovina_sunHour,Bosnia%20and%20Herzegovina_uvIndex,Bosnia%20and%20Herzegovina_moon_illumination,Bosnia%20and%20Herzegovina_moonrise,Bosnia%20and%20Herzegovina_moonset,Bosnia%20and%20Herzegovina_sunrise,Bosnia%20and%20Herzegovina_sunset,Bosnia%20and%20Herzegovina_DewPointC,Bosnia%20and%20Herzegovina_FeelsLikeC,Bosnia%20and%20Herzegovina_HeatIndexC,Bosnia%20and%20Herzegovina_WindChillC,Bosnia%20and%20Herzegovina_WindGustKmph,Bosnia%20and%20Herzegovina_cloudcover,Bosnia%20and%20Herzegovina_humidity,Bosnia%20and%20Herzegovina_precipMM,Bosnia%20and%20Herzegovina_pressure,Bosnia%20and%20Herzegovina_tempC,Bosnia%20and%20Herzegovina_visibility,Bosnia%20and%20Herzegovina_winddirDegree,Bosnia%20and%20Herzegovina_windspeedKmph,Bosnia%20and%20Herzegovina_location
2020-01-01,2,-4,0.0,8.7,1,37,11:12 AM,10:35 PM,07:21 AM,04:19 PM,-4,-3,-2,-3,5,21,87,0.0,1033,2,7,262,3,Bosnia%20and%20Herzegovina
2020-01-02,5,-5,0.0,8.7,1,44,11:35 AM,11:35 PM,07:21 AM,04:20 PM,-4,-0,-0,-0,3,17,76,0.0,1034,5,8,143,2,Bosnia%20and%20Herzegovina
2020-01-03,9,1,0.0,8.7,3,51,11:57 AM,No moonset,07:21 AM,04:21 PM,-3,4,4,4,6,1,59,0.0,1028,9,10,138,3,Bosnia%20and%20Herzegovina
2020-01-04,4,-2,0.4,3.4,1,59,12:19 PM,12:35 AM,07:21 AM,04:22 PM,-3,1,2,1,6,62,72,0.5,1025,4,9,64,4,Bosnia%20and%20Herzegovina
2020-01-05,-1,-6,11.6,3.4,1,66,12:44 PM,01:37 AM,07:21 AM,04:23 PM,-4,-7,-3,-7,16,93,93,13.9,1029,-1,4,217,13,Bosnia%20and%20Herzegovina
2020-01-06,-4,-12,1.8,6.9,1,73,01:11 PM,02:40 AM,07:21 AM,04:24 PM,-8,-10,-7,-10,8,51,93,2.2,1032,-4,6,70,6,Bosnia%20and%20Herzegovina
2020-01-07,1,-9,0.0,8.7,2,80,01:44 PM,03:45 AM,07:21 AM,04:25 PM,-8,-6,-5,-6,6,4,78,0.0,1029,1,10,91,3,Bosnia%20and%20Herzegovina
2020-01-08,0,-7,0.0,8.7,1,88,02:22 PM,04:51 AM,07:21 AM,04:26 PM,-6,-4,-4,-4,3,29,86,0.0,1031,0,8,204,2,Bosnia%20and%20Herzegovina
2020-01-09,5,-4,0.0,8.7,2,95,03:11 PM,05:57 AM,07:20 AM,04:27 PM,-3,-1,0,-1,6,17,77,0.0,1029,5,10,168,3,Bosnia%20and%20Herzegovina
2020-01-10,6,0,0.0,6.9,1,100,04:08 PM,06:59 AM,07:20 AM,04:28 PM,-3,1,2,1,8,23,70,0.0,1025,6,10,149,4,Bosnia%20and%20Herzegovina
2020-01-11,2,-1,0.5,3.4,1,100,05:16 PM,07:55 AM,07:20 AM,04:29 PM,-1,0,1,0,4,79,91,0.9,1028,2,6,102,3,Bosnia%20and%20Herzegovina
2020-01-12,3,-6,0.1,8.7,1,83,06:28 PM,08:42 AM,07:19 AM,04:30 PM,-1,-2,-0,-2,5,42,92,0.1,1030,3,6,85,4,Bosnia%20and%20Herzegovina
2020-01-13,6,-3,0.0,8.7,2,76,07:45 PM,09:23 AM,07:19 AM,04:31 PM,0,1,2,1,6,4,87,0.0,1028,6,10,194,4,Bosnia%20and%20Herzegovina
2020-01-14,7,1,0.0,8.7,1,69,09:00 PM,09:57 AM,07:19 AM,04:32 PM,1,2,3,2,7,8,89,0.0,1025,7,9,190,4,Bosnia%20and%20Herzegovina
2020-01-15,9,-1,0.0,8.7,3,61,10:15 PM,10:27 AM,07:18 AM,04:34 PM,2,3,4,3,6,1,82,0.0,1026,9,10,152,4,Bosnia%20and%20Herzegovina
2020-01-16,7,-0,0.0,8.7,2,54,11:29 PM,10:55 AM,07:18 AM,04:35 PM,-1,3,3,3,4,6,80,0.0,1029,7,8,103,2,Bosnia%20and%20Herzegovina
2020-01-17,8,0,0.0,8.7,2,47,No moonrise,11:22 AM,07:17 AM,04:36 PM,-0,3,4,3,6,1,77,0.0,1026,8,10,150,4,Bosnia%20and%20Herzegovina
2020-01-18,5,0,0.0,8.7,1,40,12:41 AM,11:50 AM,07:16 AM,04:37 PM,-3,1,2,1,6,32,72,1.7,1023,5,9,224,4,Bosnia%20and%20Herzegovina
2020-01-19,1,-2,6.4,3.5,1,32,01:53 AM,12:21 PM,07:16 AM,04:39 PM,-1,-2,-1,-2,5,97,95,7.5,1026,1,2,235,4,Bosnia%20and%20Herzegovina
2020-01-20,0,-3,0.3,5.2,1,25,03:04 AM,12:56 PM,07:15 AM,04:40 PM,-3,-3,-2,-3,5,74,89,0.3,1041,0,7,126,4,Bosnia%20and%20Herzegovina
2020-01-21,5,-5,0.0,8.7,2,18,04:12 AM,01:37 PM,07:14 AM,04:41 PM,-3,-0,0,-0,4,6,77,0.0,1043,5,9,111,3,Bosnia%20and%20Herzegovina
2020-01-22,8,-2,0.0,7.0,1,11,05:16 AM,02:23 PM,07:14 AM,04:43 PM,-6,3,4,3,6,19,49,0.0,1033,8,10,204,3,Bosnia%20and%20Herzegovina
2020-01-23,5,-3,0.0,8.7,1,3,06:13 AM,03:17 PM,07:13 AM,04:44 PM,-2,0,1,0,5,21,77,0.0,1033,5,10,177,4,Bosnia%20and%20Herzegovina
2020-01-24,7,0,0.0,8.7,2,0,07:03 AM,04:15 PM,07:12 AM,04:45 PM,-4,1,3,1,12,5,64,0.0,1029,7,10,186,7,Bosnia%20and%20Herzegovina
2020-01-25,6,1,0.0,7.0,1,0,07:45 AM,05:18 PM,07:11 AM,04:47 PM,2,2,3,2,10,48,91,0.4,1025,6,7,188,6,Bosnia%20and%20Herzegovina
2020-01-26,7,1,0.0,7.0,1,4,08:19 AM,06:20 PM,07:10 AM,04:48 PM,3,3,4,3,7,62,93,6.4,1022,7,9,173,4,Bosnia%20and%20Herzegovina
2020-01-27,6,2,0.0,5.3,1,11,08:49 AM,07:22 PM,07:09 AM,04:49 PM,2,3,3,3,4,62,93,3.2,1018,6,7,227,3,Bosnia%20and%20Herzegovina
2020-01-28,5,1,0.0,7.0,1,18,09:15 AM,08:23 PM,07:08 AM,04:51 PM,2,0,3,0,13,51,93,1.2,1013,5,9,192,10,Bosnia%20and%20Herzegovina
2020-01-29,6,-1,5.4,3.5,1,26,09:38 AM,09:24 PM,07:07 AM,04:52 PM,1,1,3,1,7,85,89,11.0,1011,6,6,187,5,Bosnia%20and%20Herzegovina
2020-01-30,6,0,0.0,8.7,2,33,10:00 AM,10:23 PM,07:06 AM,04:53 PM,-1,1,2,1,7,11,78,0.0,1019,6,10,187,5,Bosnia%20and%20Herzegovina
2020-01-31,7,-0,0.0,8.7,1,37,10:22 AM,11:24 PM,07:05 AM,04:55 PM,-1,1,3,1,13,22,78,0.0,1020,7,9,201,8,Bosnia%20and%20Herzegovina
2020-02-01,9,2,0.0,8.7,2,49,10:45 AM,No moonset,07:04 AM,04:56 PM,3,3,5,3,10,22,89,0.0,1020,9,9,196,6,Bosnia%20and%20Herzegovina
2020-02-02,10,4,0.0,7.0,2,57,11:10 AM,12:24 AM,07:03 AM,04:58 PM,5,5,6,5,10,57,90,0.0,1019,10,9,194,6,Bosnia%20and%20Herzegovina
2020-02-03,10,5,0.0,8.7,2,64,11:40 AM,01:28 AM,07:02 AM,04:59 PM,5,5,7,5,11,42,92,0.0,1017,10,5,203,8,Bosnia%20and%20Herzegovina
2020-02-04,9,-0,13.8,7.0,2,72,12:14 PM,02:32 AM,07:01 AM,05:00 PM,4,3,5,3,12,72,93,20.5,1008,9,4,181,9,Bosnia%20and%20Herzegovina
2020-02-05,-2,-5,25.4,3.8,1,79,12:57 PM,03:37 AM,07:00 AM,05:02 PM,-3,-9,-2,-9,28,90,95,35.7,1008,-2,2,269,24,Bosnia%20and%20Herzegovina
2020-02-06,-3,-9,0.7,5.5,1,87,01:49 PM,04:40 AM,06:58 AM,05:03 PM,-8,-11,-6,-11,17,68,90,1.4,1024,-3,7,157,13,Bosnia%20and%20Herzegovina
2020-02-07,-0,-7,1.4,3.9,1,95,02:52 PM,05:39 AM,06:57 AM,05:05 PM,-4,-4,-3,-4,4,90,96,1.7,1027,-0,6,287,3,Bosnia%20and%20Herzegovina
2020-02-08,6,-5,0.0,8.7,1,100,04:03 PM,06:31 AM,06:56 AM,05:06 PM,-2,-1,-0,-1,5,21,89,0.0,1029,6,8,145,3,Bosnia%20and%20Herzegovina
2020-02-09,7,-1,0.0,8.7,2,100,05:20 PM,07:16 AM,06:55 AM,05:07 PM,-2,1,2,1,9,9,76,0.0,1031,7,10,198,6,Bosnia%20and%20Herzegovina
2020-02-10,5,-1,0.0,8.7,1,83,06:38 PM,07:53 AM,06:53 AM,05:09 PM,1,-1,2,-1,18,40,91,0.2,1022,5,9,200,12,Bosnia%20and%20Herzegovina
2020-02-11,9,-0,0.0,5.5,2,75,07:57 PM,08:26 AM,06:52 AM,05:10 PM,4,3,5,3,13,61,93,0.6,1014,9,7,169,8,Bosnia%20and%20Herzegovina
2020-02-12,5,-1,0.0,4.0,1,68,09:14 PM,08:56 AM,06:51 AM,05:11 PM,2,1,3,1,7,81,93,0.1,1019,5,6,108,5,Bosnia%20and%20Herzegovina
2020-02-13,7,-1,0.0,8.7,1,60,10:29 PM,09:24 AM,06:49 AM,05:13 PM,1,1,3,1,9,28,85,0.0,1021,7,8,160,6,Bosnia%20and%20Herzegovina
2020-02-14,5,2,4.6,4.0,1,53,11:44 PM,09:53 AM,06:48 AM,05:14 PM,2,1,3,1,12,89,93,14.5,1017,5,6,217,8,Bosnia%20and%20Herzegovina
2020-02-15,4,0,3.1,5.6,1,45,No moonrise,10:23 AM,06:46 AM,05:16 PM,1,1,2,1,6,73,94,3.7,1027,4,6,216,5,Bosnia%20and%20Herzegovina
2020-02-16,11,-0,0.0,8.7,3,38,12:56 AM,10:57 AM,06:45 AM,05:17 PM,1,4,5,4,7,4,78,0.0,1029,11,10,172,4,Bosnia%20and%20Herzegovina
2020-02-17,12,2,0.0,8.7,2,30,02:05 AM,11:36 AM,06:43 AM,05:18 PM,0,6,7,6,11,21,63,0.0,1026,12,10,196,6,Bosnia%20and%20Herzegovina
2020-02-18,8,4,0.0,7.1,2,22,03:11 AM,12:20 PM,06:42 AM,05:20 PM,2,6,6,6,7,39,73,0.0,1024,8,10,80,5,Bosnia%20and%20Herzegovina
2020-02-19,8,1,0.0,7.2,1,15,04:09 AM,01:11 PM,06:40 AM,05:21 PM,2,3,4,3,5,68,88,5.0,1021,8,5,188,4,Bosnia%20and%20Herzegovina
2020-02-20,2,-2,9.5,4.1,1,7,05:00 AM,02:08 PM,06:39 AM,05:22 PM,-1,-2,0,-2,9,74,89,15.7,1022,2,6,150,8,Bosnia%20and%20Herzegovina
2020-02-21,6,-3,0.5,8.7,1,0,05:44 AM,03:08 PM,06:37 AM,05:24 PM,-2,-0,1,-0,6,37,82,0.9,1026,6,9,176,5,Bosnia%20and%20Herzegovina
2020-02-22,5,-2,0.0,8.7,1,0,06:20 AM,04:10 PM,06:36 AM,05:25 PM,-3,-0,1,-0,6,24,76,0.0,1032,5,10,266,5,Bosnia%20and%20Herzegovina
2020-02-23,13,1,0.0,8.7,3,0,06:51 AM,05:12 PM,06:34 AM,05:26 PM,-3,6,7,6,8,19,54,0.0,1026,13,10,199,5,Bosnia%20and%20Herzegovina
2020-02-24,9,3,0.0,7.2,2,0,07:18 AM,06:13 PM,06:32 AM,05:28 PM,2,5,5,5,8,41,81,0.0,1022,9,10,125,5,Bosnia%20and%20Herzegovina
2020-02-25,12,4,0.0,8.7,3,8,07:42 AM,07:14 PM,06:31 AM,05:29 PM,3,5,7,5,14,10,78,0.0,1013,12,10,194,9,Bosnia%20and%20Herzegovina
2020-02-26,8,4,0.0,5.7,2,15,08:04 AM,08:14 PM,06:29 AM,05:30 PM,4,4,6,4,15,67,86,5.5,1001,8,9,196,11,Bosnia%20and%20Herzegovina
2020-02-27,-0,-4,30.8,4.1,1,23,08:25 AM,09:14 PM,06:28 AM,05:32 PM,-2,-5,-1,-5,13,81,94,41.5,1008,-0,4,297,11,Bosnia%20and%20Herzegovina
2020-02-28,4,-5,0.0,8.7,1,30,08:48 AM,10:14 PM,06:26 AM,05:33 PM,-2,-4,-0,-4,15,35,89,0.0,1015,4,10,194,10,Bosnia%20and%20Herzegovina
2020-02-29,3,-5,0.0,8.7,1,38,09:12 AM,11:16 PM,06:24 AM,05:34 PM,-2,-3,-1,-3,10,32,89,0.0,1020,3,8,193,6,Bosnia%20and%20Herzegovina
2020-03-01,6,-1,0.0,4.2,1,44,09:39 AM,No moonset,06:23 AM,05:36 PM,1,-1,2,-1,18,88,86,3.0,1013,6,8,182,12,Bosnia%20and%20Herzegovina
2020-03-02,9,1,0.0,8.7,2,51,10:10 AM,12:18 AM,06:21 AM,05:37 PM,5,4,6,4,18,51,90,9.2,1006,9,9,193,13,Bosnia%20and%20Herzegovina
2020-03-03,8,4,0.0,4.2,2,58,10:48 AM,01:22 AM,06:19 AM,05:38 PM,5,4,7,4,17,77,91,36.0,1002,8,8,179,13,Bosnia%20and%20Herzegovina
2020-03-04,2,-0,16.7,4.2,1,65,11:34 AM,02:24 AM,06:17 AM,05:40 PM,1,0,2,0,7,98,97,19.9,1009,2,4,268,6,Bosnia%20and%20Herzegovina
2020-03-05,7,-2,0.3,8.7,1,73,12:30 PM,03:24 AM,06:16 AM,05:41 PM,-1,2,2,2,5,22,81,0.3,1012,7,9,209,3,Bosnia%20and%20Herzegovina
2020-03-06,7,1,0.0,4.2,2,80,01:36 PM,04:18 AM,06:14 AM,05:42 PM,3,2,4,2,14,78,91,6.7,1002,7,10,172,10,Bosnia%20and%20Herzegovina
2020-03-07,6,2,6.0,4.2,1,87,02:50 PM,05:05 AM,06:12 AM,05:43 PM,2,1,3,1,9,82,94,9.0,1008,6,5,173,7,Bosnia%20and%20Herzegovina
2020-03-08,2,0,9.3,4.3,1,95,04:08 PM,05:46 AM,06:11 AM,05:45 PM,0,-1,1,-1,7,100,95,11.1,1018,2,4,140,6,Bosnia%20and%20Herzegovina
2020-03-09,6,-3,0.0,7.2,1,100,05:28 PM,06:21 AM,06:09 AM,05:46 PM,1,1,2,1,5,66,92,1.0,1016,6,7,86,4,Bosnia%20and%20Herzegovina
2020-03-10,4,1,2.5,4.3,1,100,06:48 PM,06:52 AM,06:07 AM,05:47 PM,1,0,2,0,7,80,93,3.4,1018,4,6,234,6,Bosnia%20and%20Herzegovina
2020-03-11,10,1,0.0,8.7,2,84,08:07 PM,07:22 AM,06:05 AM,05:48 PM,2,5,5,5,4,39,82,0.0,1022,10,8,228,2,Bosnia%20and%20Herzegovina
2020-03-12,16,6,0.0,8.7,4,76,09:25 PM,07:51 AM,06:04 AM,05:50 PM,7,10,11,10,10,10,81,0.0,1021,16,10,179,6,Bosnia%20and%20Herzegovina
2020-03-13,17,8,0.0,8.7,4,69,10:41 PM,08:21 AM,06:02 AM,05:51 PM,6,11,12,11,9,30,74,0.5,1016,17,10,187,6,Bosnia%20and%20Herzegovina
2020-03-14,5,3,0.1,5.8,1,62,11:55 PM,08:55 AM,06:00 AM,05:52 PM,2,2,4,2,9,96,90,6.6,1019,5,9,36,8,Bosnia%20and%20Herzegovina
2020-03-15,4,-0,3.1,6.0,1,55,No moonrise,09:33 AM,05:58 AM,05:53 PM,-0,-1,2,-1,11,82,87,4.9,1022,4,6,45,9,Bosnia%20and%20Herzegovina
2020-03-16,14,-1,0.0,11.6,3,47,01:04 AM,10:16 AM,05:57 AM,05:54 PM,1,5,7,5,6,14,74,0.0,1026,14,10,173,4,Bosnia%20and%20Herzegovina
2020-03-17,14,3,0.0,11.6,4,40,02:06 AM,11:07 AM,05:55 AM,05:56 PM,1,8,9,8,6,12,65,0.0,1029,14,10,203,4,Bosnia%20and%20Herzegovina
2020-03-18,12,4,0.0,11.6,3,33,02:59 AM,12:02 PM,05:53 AM,05:57 PM,2,7,7,7,7,10,72,0.0,1028,12,10,42,5,Bosnia%20and%20Herzegovina
2020-03-19,16,4,0.0,11.6,4,25,03:45 AM,01:01 PM,05:51 AM,05:58 PM,2,10,11,10,4,7,63,0.0,1026,16,10,170,3,Bosnia%20and%20Herzegovina
2020-03-20,17,5,0.0,11.6,3,18,04:23 AM,02:03 PM,05:49 AM,05:59 PM,2,11,12,11,4,17,57,0.0,1022,17,10,218,3,Bosnia%20and%20Herzegovina
2020-03-21,15,5,0.0,12.5,4,11,04:55 AM,03:05 PM,05:48 AM,06:00 PM,1,10,11,10,7,10,57,0.0,1016,15,10,216,5,Bosnia%20and%20Herzegovina
2020-03-22,5,-1,1.7,7.9,1,4,05:22 AM,04:06 PM,05:46 AM,06:02 PM,2,1,3,1,10,95,93,3.5,1020,5,5,21,8,Bosnia%20and%20Herzegovina
2020-03-23,-1,-5,1.7,9.2,1,0,05:46 AM,05:07 PM,05:44 AM,06:03 PM,-8,-7,-3,-7,11,74,72,2.2,1022,-1,8,31,9,Bosnia%20and%20Herzegovina
2020-03-24,-1,-5,9.9,7.9,1,0,06:08 AM,06:07 PM,05:42 AM,06:04 PM,-5,-7,-3,-7,13,82,89,12.1,1019,-1,3,28,11,Bosnia%20and%20Herzegovina
