date_time,Brunei_maxtempC,Brunei_mintempC,Brunei_totalSnow_cm,Brunei_sunHour,Brunei_uvIndex,Brunei_moon_illumination,Brunei_moonrise,Brunei_moonset,Brunei_sunrise,Brunei_sunset,Brunei_DewPointC,Brunei_FeelsLikeC,Brunei_HeatIndexC,Brunei_WindChillC,Brunei_WindGustKmph,Brunei_cloudcover,Brunei_humidity,Brunei_precipMM,Brunei_pressure,Brunei_tempC,Brunei_visibility,Brunei_winddirDegree,Brunei_windspeedKmph,Brunei_location
2020-01-01,31,23,0.0,8.8,6,37,11:02 AM,11:16 PM,06:25 AM,06:14 PM,22,29,29,26,10,38,81,3.4,1012,31,10,89,6,Brunei
2020-01-02,31,22,0.0,10.2,6,44,11:42 AM,11:58 PM,06:26 AM,06:15 PM,21,28,28,25,10,34,80,3.6,1012,31,10,80,6,Brunei
2020-01-03,30,22,0.0,11.6,6,51,12:21 PM,No moonset,06:26 AM,06:15 PM,22,29,29,26,8,50,82,4.1,1011,30,10,123,5,Brunei
2020-01-04,30,23,0.0,8.8,6,59,01:00 PM,12:41 AM,06:27 AM,06:16 PM,22,29,29,26,8,62,79,1.9,1010,30,10,78,5,Brunei
2020-01-05,31,23,0.0,11.6,7,66,01:41 PM,01:25 AM,06:27 AM,06:16 PM,21,28,28,26,8,29,76,0.0,1010,31,10,90,5,Brunei
2020-01-06,31,22,0.0,11.6,7,73,02:23 PM,02:10 AM,06:27 AM,06:17 PM,21,29,29,26,10,30,74,0.1,1010,31,10,95,6,Brunei
2020-01-07,31,23,0.0,11.6,7,80,03:10 PM,02:58 AM,06:28 AM,06:17 PM,21,29,29,26,9,30,76,0.0,1010,31,10,89,6,Brunei
2020-01-08,32,23,0.0,10.2,6,88,04:00 PM,03:50 AM,06:28 AM,06:18 PM,22,29,29,26,8,47,77,0.4,1009,32,10,92,5,Brunei
2020-01-09,31,24,0.0,11.6,7,95,04:55 PM,04:44 AM,06:29 AM,06:18 PM,22,29,29,27,9,38,75,0.2,1009,31,10,82,6,Brunei
2020-01-10,32,24,0.0,10.2,6,100,05:53 PM,05:42 AM,06:29 AM,06:19 PM,22,29,29,27,9,50,77,4.0,1008,32,10,82,6,Brunei
2020-01-11,31,23,0.0,8.8,6,100,06:54 PM,06:41 AM,06:29 AM,06:19 PM,22,29,29,26,8,61,84,22.1,1007,31,9,121,5,Brunei
2020-01-12,25,22,0.0,8.8,5,83,07:54 PM,07:41 AM,06:30 AM,06:19 PM,22,26,26,23,5,70,94,47.2,1009,25,8,102,3,Brunei
2020-01-13,27,23,0.0,7.4,5,76,08:53 PM,08:37 AM,06:30 AM,06:20 PM,22,27,27,24,6,71,90,4.7,1009,27,8,150,4,Brunei
2020-01-14,28,23,0.0,7.4,6,69,09:49 PM,09:31 AM,06:30 AM,06:20 PM,23,28,28,25,4,68,88,6.6,1009,28,9,160,2,Brunei
2020-01-15,30,23,0.0,6.0,6,61,10:43 PM,10:22 AM,06:31 AM,06:21 PM,23,29,29,26,7,66,85,11.0,1010,30,8,138,5,Brunei
2020-01-16,32,23,0.0,10.2,6,54,11:36 PM,11:11 AM,06:31 AM,06:21 PM,23,30,30,27,8,54,81,7.0,1010,32,9,129,5,Brunei
2020-01-17,31,23,0.0,8.8,6,47,No moonrise,11:58 AM,06:31 AM,06:22 PM,23,29,29,26,8,55,87,33.2,1011,31,6,165,4,Brunei
2020-01-18,31,24,0.0,10.2,6,40,12:28 AM,12:45 PM,06:31 AM,06:22 PM,24,30,30,26,5,51,87,7.7,1011,31,8,188,3,Brunei
2020-01-19,32,23,0.0,8.8,6,32,01:20 AM,01:34 PM,06:32 AM,06:22 PM,23,30,30,26,8,51,82,2.1,1011,32,9,133,5,Brunei
2020-01-20,31,23,0.0,11.6,7,25,02:13 AM,02:24 PM,06:32 AM,06:23 PM,22,29,29,26,10,7,77,0.0,1012,31,10,87,6,Brunei
2020-01-21,31,23,0.0,10.2,6,18,03:08 AM,03:16 PM,06:32 AM,06:23 PM,22,29,29,26,10,29,78,0.2,1013,31,10,92,6,Brunei
2020-01-22,31,23,0.0,10.2,6,11,04:03 AM,04:09 PM,06:32 AM,06:24 PM,21,29,29,26,11,28,74,0.2,1012,31,10,88,7,Brunei
2020-01-23,31,21,0.0,11.6,7,3,04:57 AM,05:04 PM,06:32 AM,06:24 PM,19,27,27,25,12,4,69,0.0,1011,31,10,95,7,Brunei
2020-01-24,32,21,0.0,11.6,7,0,05:51 AM,05:57 PM,06:33 AM,06:24 PM,19,27,27,25,9,6,72,0.0,1011,32,10,129,6,Brunei
2020-01-25,33,23,0.0,10.2,6,0,06:42 AM,06:49 PM,06:33 AM,06:25 PM,22,30,30,27,6,34,79,1.8,1010,33,10,165,4,Brunei
2020-01-26,32,24,0.0,7.4,6,4,07:31 AM,07:38 PM,06:33 AM,06:25 PM,24,31,31,27,5,64,84,18.7,1010,32,8,202,3,Brunei
2020-01-27,31,23,0.0,10.2,6,11,08:15 AM,08:25 PM,06:33 AM,06:25 PM,24,30,30,26,6,61,88,13.5,1010,31,8,198,4,Brunei
2020-01-28,32,23,0.0,8.8,6,18,08:58 AM,09:10 PM,06:33 AM,06:26 PM,24,30,30,26,6,54,86,7.8,1010,32,9,163,4,Brunei
2020-01-29,31,24,0.0,8.8,6,26,09:38 AM,09:53 PM,06:33 AM,06:26 PM,23,30,30,27,8,68,84,6.9,1011,31,8,110,5,Brunei
2020-01-30,28,24,0.0,6.0,6,33,10:17 AM,10:36 PM,06:33 AM,06:26 PM,23,28,28,26,10,73,86,4.6,1011,28,10,67,7,Brunei
2020-01-31,31,22,0.0,11.6,6,37,10:56 AM,11:19 PM,06:33 AM,06:26 PM,21,28,28,26,7,37,80,0.1,1012,31,10,140,6,Brunei
2020-02-01,30,22,0.0,11.6,7,49,11:36 AM,No moonset,06:33 AM,06:27 PM,21,28,28,26,8,13,78,0.0,1012,30,10,68,5,Brunei
