date_time,Canada%2C%20Alberta_maxtempC,Canada%2C%20Alberta_mintempC,Canada%2C%20Alberta_totalSnow_cm,Canada%2C%20Alberta_sunHour,Canada%2C%20Alberta_uvIndex,Canada%2C%20Alberta_moon_illumination,Canada%2C%20Alberta_moonrise,Canada%2C%20Alberta_moonset,Canada%2C%20Alberta_sunrise,Canada%2C%20Alberta_sunset,Canada%2C%20Alberta_DewPointC,Canada%2C%20Alberta_FeelsLikeC,Canada%2C%20Alberta_HeatIndexC,Canada%2C%20Alberta_WindChillC,Canada%2C%20Alberta_WindGustKmph,Canada%2C%20Alberta_cloudcover,Canada%2C%20Alberta_humidity,Canada%2C%20Alberta_precipMM,Canada%2C%20Alberta_pressure,Canada%2C%20Alberta_tempC,Canada%2C%20Alberta_visibility,Canada%2C%20Alberta_winddirDegree,Canada%2C%20Alberta_windspeedKmph,Canada%2C%20Alberta_location
2020-01-01,1,-8,1.6,2.9,1,37,12:18 PM,11:38 PM,08:49 AM,04:26 PM,-1,-3,-1,-3,13,92,96,1.9,992,1,4,285,7,Canada%2C%20Alberta
2020-01-02,-4,-9,1.3,7.8,1,44,12:33 PM,No moonset,08:49 AM,04:27 PM,-9,-12,-5,-12,44,40,73,1.5,1006,-4,9,290,25,Canada%2C%20Alberta
2020-01-03,-7,-12,0.2,2.9,1,51,12:48 PM,12:45 AM,08:48 AM,04:28 PM,-12,-16,-10,-16,26,59,80,0.2,1011,-7,9,186,15,Canada%2C%20Alberta
2020-01-04,3,-4,0.0,6.8,1,59,01:04 PM,01:54 AM,08:48 AM,04:30 PM,-5,-6,-1,-6,44,48,74,0.0,1000,3,10,239,24,Canada%2C%20Alberta
2020-01-05,-4,-10,0.3,7.8,1,66,01:22 PM,03:04 AM,08:48 AM,04:31 PM,-10,-12,-7,-12,23,31,79,0.4,1013,-4,9,242,12,Canada%2C%20Alberta
2020-01-06,-8,-22,0.0,7.9,2,73,01:43 PM,04:15 AM,08:47 AM,04:32 PM,-15,-19,-13,-19,27,14,81,0.0,1020,-8,10,268,15,Canada%2C%20Alberta
2020-01-07,-11,-17,0.3,6.8,1,80,02:10 PM,05:29 AM,08:47 AM,04:34 PM,-14,-17,-13,-17,16,58,90,0.4,1021,-11,9,179,9,Canada%2C%20Alberta
2020-01-08,-13,-24,3.8,3.0,1,88,02:46 PM,06:42 AM,08:46 AM,04:35 PM,-15,-22,-15,-22,25,100,95,4.5,1012,-13,4,203,17,Canada%2C%20Alberta
2020-01-09,-20,-22,0.3,3.0,1,95,03:34 PM,07:52 AM,08:46 AM,04:37 PM,-21,-29,-20,-29,20,100,97,0.4,1027,-20,6,320,13,Canada%2C%20Alberta
2020-01-10,-17,-25,0.0,3.0,1,100,04:36 PM,08:52 AM,08:45 AM,04:38 PM,-22,-30,-21,-30,22,77,94,0.0,1024,-17,6,135,12,Canada%2C%20Alberta
