date_time,Canada%2C%20British%20Columbia_maxtempC,Canada%2C%20British%20Columbia_mintempC,Canada%2C%20British%20Columbia_totalSnow_cm,Canada%2C%20British%20Columbia_sunHour,Canada%2C%20British%20Columbia_uvIndex,Canada%2C%20British%20Columbia_moon_illumination,Canada%2C%20British%20Columbia_moonrise,Canada%2C%20British%20Columbia_moonset,Canada%2C%20British%20Columbia_sunrise,Canada%2C%20British%20Columbia_sunset,Canada%2C%20British%20Columbia_DewPointC,Canada%2C%20British%20Columbia_FeelsLikeC,Canada%2C%20British%20Columbia_HeatIndexC,Canada%2C%20British%20Columbia_WindChillC,Canada%2C%20British%20Columbia_WindGustKmph,Canada%2C%20British%20Columbia_cloudcover,Canada%2C%20British%20Columbia_humidity,Canada%2C%20British%20Columbia_precipMM,Canada%2C%20British%20Columbia_pressure,Canada%2C%20British%20Columbia_tempC,Canada%2C%20British%20Columbia_visibility,Canada%2C%20British%20Columbia_winddirDegree,Canada%2C%20British%20Columbia_windspeedKmph,Canada%2C%20British%20Columbia_location
2020-01-01,9,2,0.0,8.2,3,37,11:53 AM,11:23 PM,08:05 AM,04:29 PM,4,4,8,4,40,29,75,0.6,1006,9,9,248,24,Canada%2C%20British%20Columbia
2020-01-02,5,0,0.0,3.1,1,44,12:12 PM,No moonset,08:05 AM,04:30 PM,2,1,4,1,20,81,82,6.3,1019,5,10,190,14,Canada%2C%20British%20Columbia
2020-01-03,8,-1,0.0,5.0,2,51,12:30 PM,12:26 AM,08:05 AM,04:31 PM,6,5,7,5,19,85,91,10.6,1009,8,8,140,11,Canada%2C%20British%20Columbia
2020-01-04,7,4,0.0,3.1,2,59,12:50 PM,01:30 AM,08:05 AM,04:32 PM,3,2,5,2,29,71,82,6.2,1018,7,9,217,20,Canada%2C%20British%20Columbia
2020-01-05,6,4,0.0,6.8,2,66,01:13 PM,02:35 AM,08:05 AM,04:33 PM,2,2,5,2,23,53,83,0.0,1022,6,10,203,15,Canada%2C%20British%20Columbia
2020-01-06,4,-2,0.0,3.1,1,73,01:38 PM,03:43 AM,08:04 AM,04:34 PM,3,1,4,1,15,94,94,22.9,1022,4,7,105,10,Canada%2C%20British%20Columbia
2020-01-07,9,2,0.0,3.1,2,80,02:10 PM,04:52 AM,08:04 AM,04:35 PM,7,5,8,5,20,99,94,17.4,1006,9,6,164,12,Canada%2C%20British%20Columbia
2020-01-08,5,3,0.0,3.1,1,88,02:50 PM,06:01 AM,08:04 AM,04:36 PM,-0,2,4,2,13,60,77,0.1,1010,5,10,290,8,Canada%2C%20British%20Columbia
2020-01-09,4,1,3.5,5.0,1,95,03:40 PM,07:08 AM,08:03 AM,04:38 PM,0,1,3,1,9,73,84,4.2,1019,4,7,281,6,Canada%2C%20British%20Columbia
2020-01-10,6,0,0.0,3.1,1,100,04:42 PM,08:08 AM,08:03 AM,04:39 PM,3,0,4,0,23,91,93,14.3,1012,6,8,159,17,Canada%2C%20British%20Columbia
2020-01-11,6,1,0.0,3.1,1,100,05:54 PM,08:59 AM,08:02 AM,04:40 PM,3,2,4,2,13,85,89,1.8,1009,6,9,220,8,Canada%2C%20British%20Columbia
