date_time,Canada%2C%20Northwest%20Territories_maxtempC,Canada%2C%20Northwest%20Territories_mintempC,Canada%2C%20Northwest%20Territories_totalSnow_cm,Canada%2C%20Northwest%20Territories_sunHour,Canada%2C%20Northwest%20Territories_uvIndex,Canada%2C%20Northwest%20Territories_moon_illumination,Canada%2C%20Northwest%20Territories_moonrise,Canada%2C%20Northwest%20Territories_moonset,Canada%2C%20Northwest%20Territories_sunrise,Canada%2C%20Northwest%20Territories_sunset,Canada%2C%20Northwest%20Territories_DewPointC,Canada%2C%20Northwest%20Territories_FeelsLikeC,Canada%2C%20Northwest%20Territories_HeatIndexC,Canada%2C%20Northwest%20Territories_WindChillC,Canada%2C%20Northwest%20Territories_WindGustKmph,Canada%2C%20Northwest%20Territories_cloudcover,Canada%2C%20Northwest%20Territories_humidity,Canada%2C%20Northwest%20Territories_precipMM,Canada%2C%20Northwest%20Territories_pressure,Canada%2C%20Northwest%20Territories_tempC,Canada%2C%20Northwest%20Territories_visibility,Canada%2C%20Northwest%20Territories_winddirDegree,Canada%2C%20Northwest%20Territories_windspeedKmph,Canada%2C%20Northwest%20Territories_location
2020-01-01,-24,-29,0.4,0.0,1,37,02:10 PM,No moonset,12:00 AM,12:00 AM,-25,-33,-25,-33,22,100,98,0.5,1005,-24,8,325,13,Canada%2C%20Northwest%20Territories
2020-01-02,-22,-25,2.3,0.0,1,44,02:03 PM,12:41 AM,12:00 AM,12:00 AM,-23,-33,-23,-33,25,100,98,2.7,1016,-22,3,308,16,Canada%2C%20Northwest%20Territories
2020-01-03,-27,-27,2.4,0.0,1,51,01:56 PM,02:13 AM,12:00 AM,12:00 AM,-27,-38,-27,-38,24,100,98,2.8,1021,-27,3,308,16,Canada%2C%20Northwest%20Territories
2020-01-04,-29,-34,2.1,0.0,1,59,01:48 PM,03:47 AM,12:00 AM,12:00 AM,-29,-38,-29,-38,19,100,98,2.5,1022,-29,4,178,12,Canada%2C%20Northwest%20Territories
2020-01-05,-29,-31,1.1,0.0,1,66,01:40 PM,05:25 AM,12:00 AM,12:00 AM,-30,-36,-29,-36,11,100,98,1.3,1025,-29,6,186,6,Canada%2C%20Northwest%20Territories
2020-01-06,-36,-43,0.0,0.0,2,73,01:30 PM,07:10 AM,01:57 PM,02:04 PM,-38,-41,-37,-41,13,6,82,0.0,1028,-36,10,147,6,Canada%2C%20Northwest%20Territories
2020-01-07,-36,-37,0.0,0.0,1,80,01:15 PM,09:07 AM,01:36 PM,02:27 PM,-37,-44,-36,-44,15,62,92,0.0,1028,-36,6,208,7,Canada%2C%20Northwest%20Territories
2020-01-08,-27,-33,0.9,0.0,1,88,12:19 PM,11:54 AM,01:25 PM,02:39 PM,-29,-39,-29,-39,19,100,98,1.0,1030,-27,5,266,11,Canada%2C%20Northwest%20Territories
2020-01-09,-25,-33,0.7,0.0,1,95,12:00 AM,12:00 AM,01:16 PM,02:48 PM,-26,-35,-26,-35,26,100,96,0.8,1032,-25,8,222,14,Canada%2C%20Northwest%20Territories
2020-01-10,-22,-28,1.4,0.0,1,100,12:00 AM,12:00 AM,01:08 PM,02:57 PM,-24,-34,-24,-34,29,100,97,1.7,1028,-22,6,310,18,Canada%2C%20Northwest%20Territories
