date_time,Canada%2C%20Nova%20Scotia_maxtempC,Canada%2C%20Nova%20Scotia_mintempC,Canada%2C%20Nova%20Scotia_totalSnow_cm,Canada%2C%20Nova%20Scotia_sunHour,Canada%2C%20Nova%20Scotia_uvIndex,Canada%2C%20Nova%20Scotia_moon_illumination,Canada%2C%20Nova%20Scotia_moonrise,Canada%2C%20Nova%20Scotia_moonset,Canada%2C%20Nova%20Scotia_sunrise,Canada%2C%20Nova%20Scotia_sunset,Canada%2C%20Nova%20Scotia_DewPointC,Canada%2C%20Nova%20Scotia_FeelsLikeC,Canada%2C%20Nova%20Scotia_HeatIndexC,Canada%2C%20Nova%20Scotia_WindChillC,Canada%2C%20Nova%20Scotia_WindGustKmph,Canada%2C%20Nova%20Scotia_cloudcover,Canada%2C%20Nova%20Scotia_humidity,Canada%2C%20Nova%20Scotia_precipMM,Canada%2C%20Nova%20Scotia_pressure,Canada%2C%20Nova%20Scotia_tempC,Canada%2C%20Nova%20Scotia_visibility,Canada%2C%20Nova%20Scotia_winddirDegree,Canada%2C%20Nova%20Scotia_windspeedKmph,Canada%2C%20Nova%20Scotia_location
2020-01-01,3,-5,1.2,5.1,1,37,11:50 AM,11:20 PM,07:57 AM,04:46 PM,0,-2,2,-2,31,91,83,1.8,994,3,6,242,21,Canada%2C%20Nova%20Scotia
2020-01-02,1,-1,0.0,8.7,1,44,12:12 PM,No moonset,07:57 AM,04:47 PM,-4,-6,-0,-6,35,44,73,0.1,1003,1,9,280,26,Canada%2C%20Nova%20Scotia
2020-01-03,6,0,0.0,3.3,1,51,12:33 PM,12:20 AM,07:57 AM,04:48 PM,0,-1,2,-1,16,80,88,0.0,1007,6,10,221,9,Canada%2C%20Nova%20Scotia
2020-01-04,3,1,0.0,6.9,1,59,12:55 PM,01:22 AM,07:57 AM,04:49 PM,-0,-0,2,-0,14,62,86,0.0,1005,3,10,237,8,Canada%2C%20Nova%20Scotia
2020-01-05,0,-3,7.7,3.3,1,66,01:19 PM,02:24 AM,07:57 AM,04:50 PM,-2,-6,-1,-6,24,96,90,9.0,995,0,4,114,18,Canada%2C%20Nova%20Scotia
2020-01-06,-4,-6,0.3,5.1,1,73,01:47 PM,03:29 AM,07:56 AM,04:51 PM,-9,-9,-5,-9,15,74,76,0.4,1009,-4,9,256,12,Canada%2C%20Nova%20Scotia
2020-01-07,-1,-5,2.0,3.4,1,80,02:19 PM,04:35 AM,07:56 AM,04:52 PM,-6,-8,-3,-8,21,73,80,3.5,1012,-1,7,203,14,Canada%2C%20Nova%20Scotia
2020-01-08,-2,-4,14.1,3.4,1,88,03:00 PM,05:42 AM,07:56 AM,04:53 PM,-5,-8,-3,-8,21,91,88,16.6,1005,-2,4,172,15,Canada%2C%20Nova%20Scotia
2020-01-09,-3,-9,0.6,5.1,1,95,03:50 PM,06:48 AM,07:56 AM,04:55 PM,-9,-13,-5,-13,35,66,77,0.9,1019,-3,6,304,27,Canada%2C%20Nova%20Scotia
2020-01-10,3,-10,0.0,5.2,1,100,04:50 PM,07:49 AM,07:55 AM,04:56 PM,-6,-8,-4,-8,25,74,81,0.3,1033,3,9,228,17,Canada%2C%20Nova%20Scotia
