date_time,Canada%2C%20Quebec_maxtempC,Canada%2C%20Quebec_mintempC,Canada%2C%20Quebec_totalSnow_cm,Canada%2C%20Quebec_sunHour,Canada%2C%20Quebec_uvIndex,Canada%2C%20Quebec_moon_illumination,Canada%2C%20Quebec_moonrise,Canada%2C%20Quebec_moonset,Canada%2C%20Quebec_sunrise,Canada%2C%20Quebec_sunset,Canada%2C%20Quebec_DewPointC,Canada%2C%20Quebec_FeelsLikeC,Canada%2C%20Quebec_HeatIndexC,Canada%2C%20Quebec_WindChillC,Canada%2C%20Quebec_WindGustKmph,Canada%2C%20Quebec_cloudcover,Canada%2C%20Quebec_humidity,Canada%2C%20Quebec_precipMM,Canada%2C%20Quebec_pressure,Canada%2C%20Quebec_tempC,Canada%2C%20Quebec_visibility,Canada%2C%20Quebec_winddirDegree,Canada%2C%20Quebec_windspeedKmph,Canada%2C%20Quebec_location
2020-01-01,-1,-5,2.9,3.3,1,37,11:20 AM,10:46 PM,07:30 AM,04:07 PM,-4,-7,-3,-7,19,89,94,3.6,996,-1,5,228,12,Canada%2C%20Quebec
2020-01-02,-6,-9,0.1,5.1,1,44,11:40 AM,11:49 PM,07:30 AM,04:08 PM,-8,-11,-7,-11,18,64,91,0.2,1005,-6,9,261,11,Canada%2C%20Quebec
2020-01-03,1,-7,2.2,3.3,1,51,12:00 PM,No moonset,07:30 AM,04:09 PM,0,-3,-1,-3,14,100,99,3.3,1005,1,1,226,8,Canada%2C%20Quebec
2020-01-04,-3,-7,0.0,3.3,1,59,12:21 PM,12:51 AM,07:30 AM,04:10 PM,-4,-6,-3,-6,14,77,92,0.1,1006,-3,10,239,8,Canada%2C%20Quebec
2020-01-05,-6,-11,0.9,6.9,1,66,12:44 PM,01:55 AM,07:30 AM,04:11 PM,-8,-11,-7,-11,11,58,91,1.7,1005,-6,7,229,7,Canada%2C%20Quebec
2020-01-06,-10,-15,0.3,5.1,1,73,01:10 PM,03:01 AM,07:30 AM,04:12 PM,-13,-16,-12,-16,14,53,92,0.4,1010,-10,9,125,9,Canada%2C%20Quebec
2020-01-07,-9,-15,0.2,3.3,1,80,01:42 PM,04:08 AM,07:30 AM,04:13 PM,-11,-15,-11,-15,13,90,94,1.4,1012,-9,6,172,8,Canada%2C%20Quebec
2020-01-08,-6,-14,2.5,3.3,1,88,02:21 PM,05:17 AM,07:29 AM,04:14 PM,-9,-13,-9,-13,15,98,93,4.4,1007,-6,5,116,10,Canada%2C%20Quebec
2020-01-09,-16,-19,0.0,8.7,1,95,03:11 PM,06:23 AM,07:29 AM,04:15 PM,-18,-24,-16,-24,27,50,85,0.0,1032,-16,10,244,17,Canada%2C%20Quebec
2020-01-10,-1,-20,1.6,3.3,1,100,04:11 PM,07:24 AM,07:29 AM,04:16 PM,-8,-12,-8,-12,13,88,93,3.2,1025,-1,7,134,8,Canada%2C%20Quebec
2020-01-11,2,-6,6.3,3.3,1,100,05:21 PM,08:17 AM,07:28 AM,04:18 PM,-1,-3,0,-3,21,95,95,22.6,1018,2,5,246,12,Canada%2C%20Quebec
2020-01-12,-13,-15,21.9,3.3,1,83,06:37 PM,09:01 AM,07:28 AM,04:19 PM,-14,-22,-13,-22,39,97,92,61.6,1021,-13,3,60,26,Canada%2C%20Quebec
2020-01-13,-13,-19,0.0,6.9,1,76,07:56 PM,09:37 AM,07:27 AM,04:20 PM,-17,-22,-16,-22,16,55,91,0.0,1034,-13,9,63,10,Canada%2C%20Quebec
2020-01-14,-12,-18,0.2,3.4,1,69,09:14 PM,10:08 AM,07:27 AM,04:21 PM,-16,-18,-15,-18,10,78,95,0.2,1029,-12,8,144,6,Canada%2C%20Quebec
2020-01-15,-6,-18,2.4,3.4,1,61,10:31 PM,10:34 AM,07:26 AM,04:23 PM,-10,-14,-9,-14,15,88,95,3.0,1016,-6,7,181,9,Canada%2C%20Quebec
2020-01-16,-7,-14,2.2,3.4,1,54,11:47 PM,11:00 AM,07:26 AM,04:24 PM,-9,-13,-8,-13,15,94,92,2.9,1013,-7,4,192,10,Canada%2C%20Quebec
2020-01-17,-19,-25,0.0,8.7,2,47,No moonrise,11:25 AM,07:25 AM,04:25 PM,-24,-31,-21,-31,27,3,82,0.0,1035,-19,10,271,16,Canada%2C%20Quebec
2020-01-18,-18,-27,0.6,6.9,1,40,01:02 AM,11:51 AM,07:24 AM,04:27 PM,-23,-29,-23,-29,20,51,90,0.7,1030,-18,10,203,11,Canada%2C%20Quebec
2020-01-19,-10,-23,0.8,3.4,1,32,02:16 AM,12:20 PM,07:23 AM,04:28 PM,-13,-20,-13,-20,29,100,94,3.0,1004,-10,5,106,20,Canada%2C%20Quebec
2020-01-20,-14,-20,0.0,6.9,1,25,03:29 AM,12:54 PM,07:23 AM,04:30 PM,-18,-24,-17,-24,21,53,89,0.1,1018,-14,10,260,13,Canada%2C%20Quebec
2020-01-21,-15,-24,0.1,3.4,1,18,04:37 AM,01:35 PM,07:22 AM,04:31 PM,-20,-26,-19,-26,17,69,93,0.1,1027,-15,9,260,9,Canada%2C%20Quebec
2020-01-22,-4,-16,0.9,3.4,1,11,05:41 AM,02:23 PM,07:21 AM,04:33 PM,-10,-11,-9,-11,9,99,95,1.3,1026,-4,6,156,6,Canada%2C%20Quebec
2020-01-23,-2,-9,2.6,3.4,1,3,06:37 AM,03:18 PM,07:20 AM,04:34 PM,-4,-8,-3,-8,24,100,93,3.3,1024,-2,5,236,16,Canada%2C%20Quebec
2020-01-24,-4,-8,0.0,3.4,1,0,07:24 AM,04:18 PM,07:19 AM,04:35 PM,-5,-9,-5,-9,19,96,94,0.0,1029,-4,6,128,12,Canada%2C%20Quebec
2020-01-25,-4,-9,0.1,3.4,1,0,08:02 AM,05:23 PM,07:18 AM,04:37 PM,-7,-13,-7,-13,28,83,94,0.1,1026,-4,10,67,18,Canada%2C%20Quebec
2020-01-26,-0,-3,11.9,3.5,1,4,08:33 AM,06:27 PM,07:17 AM,04:38 PM,-2,-6,-1,-6,27,98,97,21.0,1005,-0,3,82,18,Canada%2C%20Quebec
2020-01-27,0,-4,2.6,5.2,1,11,09:00 AM,07:31 PM,07:16 AM,04:40 PM,-2,-6,-1,-6,21,78,94,3.4,999,0,7,255,13,Canada%2C%20Quebec
2020-01-28,-7,-13,0.0,3.5,1,18,09:23 AM,08:33 PM,07:15 AM,04:41 PM,-9,-12,-9,-12,12,92,93,0.2,1008,-7,8,77,7,Canada%2C%20Quebec
2020-01-29,-9,-17,0.0,8.7,2,26,09:44 AM,09:36 PM,07:14 AM,04:43 PM,-16,-16,-14,-16,8,11,88,0.1,1019,-9,10,181,4,Canada%2C%20Quebec
2020-01-30,-11,-20,0.0,8.7,1,33,10:04 AM,10:38 PM,07:13 AM,04:44 PM,-17,-20,-16,-20,13,28,89,0.0,1027,-11,10,225,7,Canada%2C%20Quebec
2020-01-31,-8,-17,0.0,8.7,2,37,10:24 AM,11:41 PM,07:11 AM,04:46 PM,-14,-19,-13,-19,16,40,92,0.0,1025,-8,10,248,9,Canada%2C%20Quebec
2020-02-01,-3,-15,0.9,3.5,1,49,10:45 AM,No moonset,07:10 AM,04:48 PM,-8,-8,-7,-8,6,96,94,1.1,1016,-3,6,266,4,Canada%2C%20Quebec
2020-02-02,-5,-13,0.1,3.5,1,57,11:09 AM,12:44 AM,07:09 AM,04:49 PM,-10,-11,-9,-11,6,87,94,0.2,1002,-5,7,174,4,Canada%2C%20Quebec
2020-02-03,-3,-12,0.2,3.5,1,64,11:38 AM,01:50 AM,07:08 AM,04:51 PM,-9,-13,-8,-13,21,70,93,0.5,1001,-3,5,257,12,Canada%2C%20Quebec
2020-02-04,-4,-12,0.1,7.0,1,72,12:12 PM,02:56 AM,07:06 AM,04:52 PM,-9,-10,-7,-10,11,46,91,0.1,1009,-4,10,258,6,Canada%2C%20Quebec
2020-02-05,-12,-17,0.0,7.0,1,79,12:56 PM,04:02 AM,07:05 AM,04:54 PM,-15,-20,-13,-20,22,48,86,0.0,1017,-12,10,261,13,Canada%2C%20Quebec
2020-02-06,-7,-17,8.4,3.6,1,87,01:51 PM,05:06 AM,07:03 AM,04:55 PM,-12,-15,-12,-15,16,93,96,10.0,1010,-7,2,100,11,Canada%2C%20Quebec
2020-02-07,-7,-12,12.2,3.6,1,95,02:56 PM,06:03 AM,07:02 AM,04:57 PM,-9,-16,-8,-16,36,97,93,28.5,995,-7,2,72,25,Canada%2C%20Quebec
2020-02-08,-16,-20,0.0,5.3,1,100,04:11 PM,06:51 AM,07:01 AM,04:58 PM,-18,-26,-17,-26,28,79,88,1.0,1011,-16,8,265,18,Canada%2C%20Quebec
2020-02-09,-15,-27,0.0,3.9,1,100,05:31 PM,07:32 AM,06:59 AM,05:00 PM,-22,-26,-21,-26,12,65,93,0.0,1031,-15,6,272,7,Canada%2C%20Quebec
2020-02-10,-1,-18,9.7,3.9,1,83,06:52 PM,08:06 AM,06:58 AM,05:01 PM,-6,-9,-6,-9,9,87,96,11.9,1017,-1,3,105,6,Canada%2C%20Quebec
