date_time,Canada%2C%20Saskatchewan_maxtempC,Canada%2C%20Saskatchewan_mintempC,Canada%2C%20Saskatchewan_totalSnow_cm,Canada%2C%20Saskatchewan_sunHour,Canada%2C%20Saskatchewan_uvIndex,Canada%2C%20Saskatchewan_moon_illumination,Canada%2C%20Saskatchewan_moonrise,Canada%2C%20Saskatchewan_moonset,Canada%2C%20Saskatchewan_sunrise,Canada%2C%20Saskatchewan_sunset,Canada%2C%20Saskatchewan_DewPointC,Canada%2C%20Saskatchewan_FeelsLikeC,Canada%2C%20Saskatchewan_HeatIndexC,Canada%2C%20Saskatchewan_WindChillC,Canada%2C%20Saskatchewan_WindGustKmph,Canada%2C%20Saskatchewan_cloudcover,Canada%2C%20Saskatchewan_humidity,Canada%2C%20Saskatchewan_precipMM,Canada%2C%20Saskatchewan_pressure,Canada%2C%20Saskatchewan_tempC,Canada%2C%20Saskatchewan_visibility,Canada%2C%20Saskatchewan_winddirDegree,Canada%2C%20Saskatchewan_windspeedKmph,Canada%2C%20Saskatchewan_location
2020-01-01,-2,-8,0.0,3.2,1,37,12:39 PM,No moonset,08:59 AM,05:05 PM,-5,-9,-4,-9,23,67,90,0.3,990,-2,9,248,13,Canada%2C%20Saskatchewan
2020-01-02,-3,-10,0.2,3.2,1,44,12:57 PM,12:03 AM,08:59 AM,05:06 PM,-8,-13,-7,-13,25,82,94,0.8,1002,-3,8,272,14,Canada%2C%20Saskatchewan
2020-01-03,-9,-16,0.1,6.9,1,51,01:14 PM,01:08 AM,08:59 AM,05:07 PM,-12,-16,-10,-16,29,45,87,0.1,1017,-9,10,266,17,Canada%2C%20Saskatchewan
2020-01-04,3,-11,0.0,8.5,2,59,01:32 PM,02:13 AM,08:59 AM,05:08 PM,-6,-9,-3,-9,45,40,81,0.2,1004,3,9,195,24,Canada%2C%20Saskatchewan
2020-01-05,-4,-9,0.0,8.5,2,66,01:52 PM,03:21 AM,08:58 AM,05:10 PM,-9,-12,-6,-12,37,9,80,0.1,1015,-4,10,292,21,Canada%2C%20Saskatchewan
2020-01-06,-4,-10,0.0,6.9,1,73,02:16 PM,04:29 AM,08:58 AM,05:11 PM,-10,-11,-5,-11,42,43,80,0.2,1013,-4,9,275,26,Canada%2C%20Saskatchewan
2020-01-07,-16,-21,0.0,8.5,2,80,02:45 PM,05:41 AM,08:58 AM,05:12 PM,-19,-23,-18,-23,16,29,89,0.0,1027,-16,10,228,9,Canada%2C%20Saskatchewan
2020-01-08,-10,-20,0.0,3.2,1,88,03:24 PM,06:51 AM,08:57 AM,05:13 PM,-14,-23,-14,-23,44,100,90,1.6,1012,-10,7,138,30,Canada%2C%20Saskatchewan
2020-01-09,-16,-24,0.6,3.2,1,95,04:12 PM,07:59 AM,08:57 AM,05:15 PM,-19,-28,-18,-28,31,100,94,1.0,1016,-16,8,281,21,Canada%2C%20Saskatchewan
2020-01-10,-22,-27,0.0,5.1,1,100,05:14 PM,09:00 AM,08:56 AM,05:16 PM,-25,-33,-25,-33,25,78,95,0.0,1033,-22,7,237,14,Canada%2C%20Saskatchewan
2020-01-11,-10,-22,0.1,3.2,1,100,06:26 PM,09:50 AM,08:56 AM,05:17 PM,-15,-24,-14,-24,40,93,91,2.1,1014,-10,6,167,26,Canada%2C%20Saskatchewan
2020-01-12,-20,-23,0.2,3.2,1,83,07:47 PM,10:30 AM,08:55 AM,05:19 PM,-20,-29,-20,-29,22,100,95,0.4,1021,-20,7,282,15,Canada%2C%20Saskatchewan
2020-01-13,-26,-27,0.0,3.2,1,76,09:09 PM,11:03 AM,08:55 AM,05:20 PM,-26,-35,-26,-35,18,100,96,0.3,1029,-26,7,313,13,Canada%2C%20Saskatchewan
2020-01-14,-31,-34,0.0,3.3,1,69,10:30 PM,11:30 AM,08:54 AM,05:22 PM,-32,-42,-31,-42,24,87,94,0.0,1032,-31,9,292,14,Canada%2C%20Saskatchewan
2020-01-15,-32,-35,0.0,3.3,1,61,11:51 PM,11:53 AM,08:53 AM,05:23 PM,-34,-45,-33,-45,23,89,93,0.0,1040,-32,10,292,14,Canada%2C%20Saskatchewan
2020-01-16,-26,-35,0.0,3.3,1,54,No moonrise,12:14 PM,08:52 AM,05:25 PM,-31,-38,-31,-38,20,65,90,0.0,1042,-26,10,174,13,Canada%2C%20Saskatchewan
2020-01-17,-21,-24,0.1,3.3,1,47,01:10 AM,12:36 PM,08:51 AM,05:26 PM,-22,-31,-22,-31,23,100,96,1.7,1024,-21,7,197,16,Canada%2C%20Saskatchewan
2020-01-18,-24,-27,0.2,3.3,1,40,02:28 AM,12:59 PM,08:51 AM,05:28 PM,-26,-38,-25,-38,38,100,94,0.4,1035,-24,7,301,26,Canada%2C%20Saskatchewan
2020-01-19,-21,-28,0.0,3.3,1,32,03:46 AM,01:26 PM,08:50 AM,05:29 PM,-26,-34,-25,-34,22,84,96,0.0,1042,-21,5,227,11,Canada%2C%20Saskatchewan
2020-01-20,-11,-25,0.0,8.7,2,25,05:01 AM,01:58 PM,08:49 AM,05:31 PM,-17,-25,-16,-25,43,14,88,0.0,1029,-11,10,158,22,Canada%2C%20Saskatchewan
2020-01-21,-1,-8,0.0,3.3,1,18,06:13 AM,02:36 PM,08:48 AM,05:33 PM,-6,-9,-4,-9,26,52,85,0.0,1008,-1,10,236,13,Canada%2C%20Saskatchewan
2020-01-22,-6,-10,0.0,3.3,1,11,07:17 AM,03:24 PM,08:47 AM,05:34 PM,-9,-12,-8,-12,17,56,90,0.0,1012,-6,10,189,8,Canada%2C%20Saskatchewan
2020-01-23,-10,-14,0.0,3.3,1,3,08:12 AM,04:20 PM,08:45 AM,05:36 PM,-11,-15,-10,-15,15,73,94,0.0,1022,-10,6,115,8,Canada%2C%20Saskatchewan
2020-01-24,-4,-9,0.0,8.7,1,0,08:57 AM,05:23 PM,08:44 AM,05:37 PM,-7,-13,-6,-13,38,50,92,0.0,1017,-4,10,158,21,Canada%2C%20Saskatchewan
2020-01-25,-0,-5,0.0,6.9,1,0,09:32 AM,06:29 PM,08:43 AM,05:39 PM,-3,-7,-2,-7,25,71,91,0.0,1008,-0,9,210,13,Canada%2C%20Saskatchewan
2020-01-26,-4,-7,0.1,3.4,1,4,10:00 AM,07:37 PM,08:42 AM,05:41 PM,-6,-9,-5,-9,16,97,96,0.6,1016,-4,5,271,10,Canada%2C%20Saskatchewan
2020-01-27,-3,-11,0.0,3.4,1,11,10:23 AM,08:43 PM,08:41 AM,05:42 PM,-8,-12,-7,-12,23,92,95,0.0,1018,-3,7,153,12,Canada%2C%20Saskatchewan
2020-01-28,-4,-12,0.0,3.4,1,18,10:43 AM,09:49 PM,08:39 AM,05:44 PM,-6,-8,-6,-8,11,93,95,0.1,1016,-4,7,188,6,Canada%2C%20Saskatchewan
2020-01-29,-5,-9,0.0,3.4,1,26,11:01 AM,10:54 PM,08:38 AM,05:46 PM,-7,-10,-6,-10,12,91,96,0.0,1021,-5,3,285,7,Canada%2C%20Saskatchewan
2020-01-30,-2,-10,0.3,5.2,1,33,11:19 AM,11:59 PM,08:36 AM,05:48 PM,-9,-13,-7,-13,32,34,89,0.7,1017,-2,8,237,17,Canada%2C%20Saskatchewan
2020-01-31,-1,-9,0.0,8.7,2,37,11:36 AM,No moonset,08:35 AM,05:49 PM,-7,-11,-5,-11,36,14,81,0.0,1014,-1,10,256,19,Canada%2C%20Saskatchewan
2020-02-01,5,-4,0.0,8.7,2,49,11:55 AM,01:05 AM,08:34 AM,05:51 PM,-1,-3,2,-3,46,18,79,0.0,999,5,10,228,22,Canada%2C%20Saskatchewan
2020-02-02,-3,-8,0.0,8.7,2,57,12:16 PM,02:12 AM,08:32 AM,05:53 PM,-9,-12,-4,-12,47,10,70,0.0,1009,-3,10,292,29,Canada%2C%20Saskatchewan
2020-02-03,-15,-19,0.0,5.2,1,64,12:42 PM,03:20 AM,08:31 AM,05:54 PM,-17,-24,-15,-24,24,82,89,0.0,1024,-15,10,320,17,Canada%2C%20Saskatchewan
2020-02-04,-8,-17,0.0,8.7,1,72,01:15 PM,04:30 AM,08:29 AM,05:56 PM,-14,-18,-12,-18,23,39,85,0.0,1023,-8,10,245,13,Canada%2C%20Saskatchewan
2020-02-05,-5,-9,0.0,7.0,1,79,01:58 PM,05:38 AM,08:28 AM,05:58 PM,-10,-13,-7,-13,23,65,85,0.2,1007,-5,8,267,13,Canada%2C%20Saskatchewan
2020-02-06,-13,-17,0.0,4.9,1,87,02:52 PM,06:42 AM,08:26 AM,06:00 PM,-15,-22,-14,-22,22,81,92,0.1,1011,-13,9,108,15,Canada%2C%20Saskatchewan
2020-02-07,-6,-16,0.1,4.9,1,95,04:00 PM,07:38 AM,08:24 AM,06:01 PM,-12,-18,-11,-18,24,96,95,0.6,1013,-6,8,214,14,Canada%2C%20Saskatchewan
2020-02-08,-9,-13,0.0,6.6,1,100,05:18 PM,08:23 AM,08:23 AM,06:03 PM,-12,-15,-11,-15,15,73,95,0.0,1015,-9,5,200,8,Canada%2C%20Saskatchewan
2020-02-09,-7,-14,0.0,8.3,1,100,06:42 PM,09:00 AM,08:21 AM,06:05 PM,-12,-18,-11,-18,29,70,92,0.0,1022,-7,9,264,16,Canada%2C%20Saskatchewan
2020-02-10,-4,-10,0.3,4.9,1,83,08:07 PM,09:30 AM,08:19 AM,06:07 PM,-8,-13,-7,-13,29,93,94,0.9,1018,-4,8,304,18,Canada%2C%20Saskatchewan
2020-02-11,-3,-11,0.2,5.0,1,75,09:32 PM,09:55 AM,08:18 AM,06:08 PM,-8,-13,-7,-13,27,84,91,1.1,1013,-3,7,235,15,Canada%2C%20Saskatchewan
2020-02-12,-26,-30,0.2,9.9,1,68,10:54 PM,10:18 AM,08:16 AM,06:10 PM,-26,-33,-25,-33,21,44,88,0.2,1035,-26,10,233,15,Canada%2C%20Saskatchewan
2020-02-13,-19,-27,0.0,10.0,2,60,No moonrise,10:40 AM,08:14 AM,06:12 PM,-25,-31,-23,-31,34,11,83,0.0,1028,-19,10,162,19,Canada%2C%20Saskatchewan
2020-02-14,-4,-16,0.0,6.7,1,53,12:16 AM,11:03 AM,08:12 AM,06:13 PM,-9,-14,-7,-14,39,63,88,0.0,1005,-4,10,250,23,Canada%2C%20Saskatchewan
2020-02-15,-17,-26,0.0,10.0,1,45,01:36 AM,11:29 AM,08:10 AM,06:15 PM,-20,-27,-19,-27,26,58,88,0.0,1021,-17,10,283,17,Canada%2C%20Saskatchewan
2020-02-16,-12,-22,0.0,5.0,1,38,02:53 AM,11:59 AM,08:09 AM,06:17 PM,-17,-22,-16,-22,20,88,93,0.1,1016,-12,8,194,11,Canada%2C%20Saskatchewan
2020-02-17,-16,-20,0.0,5.1,1,30,04:06 AM,12:35 PM,08:07 AM,06:19 PM,-18,-25,-17,-25,23,100,95,0.1,1025,-16,10,318,15,Canada%2C%20Saskatchewan
2020-02-18,-22,-26,0.0,10.2,1,22,05:12 AM,01:20 PM,08:05 AM,06:20 PM,-24,-33,-23,-33,23,58,93,0.0,1040,-22,10,311,15,Canada%2C%20Saskatchewan
2020-02-19,-17,-26,0.0,10.2,2,15,06:09 AM,02:13 PM,08:03 AM,06:22 PM,-23,-29,-22,-29,21,8,86,0.0,1042,-17,10,213,11,Canada%2C%20Saskatchewan
