date_time,Chile_maxtempC,Chile_mintempC,Chile_totalSnow_cm,Chile_sunHour,Chile_uvIndex,Chile_moon_illumination,Chile_moonrise,Chile_moonset,Chile_sunrise,Chile_sunset,Chile_DewPointC,Chile_FeelsLikeC,Chile_HeatIndexC,Chile_WindChillC,Chile_WindGustKmph,Chile_cloudcover,Chile_humidity,Chile_precipMM,Chile_pressure,Chile_tempC,Chile_visibility,Chile_winddirDegree,Chile_windspeedKmph,Chile_location
2020-01-01,28,20,0.0,11.6,7,37,12:26 PM,12:49 AM,06:36 AM,08:56 PM,4,24,24,24,10,0,28,0.0,1014,28,10,256,9,Chile
2020-01-02,26,17,0.0,11.6,6,44,01:21 PM,01:18 AM,06:37 AM,08:56 PM,5,24,24,23,9,0,29,0.0,1015,26,10,252,8,Chile
2020-01-03,27,23,0.0,11.6,7,51,02:14 PM,01:46 AM,06:37 AM,08:56 PM,7,25,25,25,9,0,33,0.0,1016,27,10,250,8,Chile
2020-01-04,28,20,0.0,11.6,7,59,03:10 PM,02:14 AM,06:38 AM,08:56 PM,10,25,25,25,10,1,42,0.0,1014,28,10,255,8,Chile
2020-01-05,23,18,0.0,11.6,5,66,04:06 PM,02:44 AM,06:39 AM,08:56 PM,10,21,22,21,11,18,52,0.1,1014,23,10,251,9,Chile
2020-01-06,18,13,0.0,11.6,5,73,05:05 PM,03:16 AM,06:40 AM,08:56 PM,3,16,16,16,15,10,48,0.0,1015,18,10,251,9,Chile
2020-01-07,23,14,0.0,11.6,6,80,06:05 PM,03:53 AM,06:41 AM,08:56 PM,5,20,20,20,11,5,39,0.0,1014,23,10,258,9,Chile
2020-01-08,22,17,0.0,10.5,4,88,07:08 PM,04:34 AM,06:42 AM,08:56 PM,8,19,19,19,10,22,48,0.1,1014,22,10,254,9,Chile
2020-01-09,23,15,0.0,11.6,6,95,08:09 PM,05:24 AM,06:42 AM,08:56 PM,6,19,19,19,11,10,45,0.0,1016,23,10,250,8,Chile
2020-01-10,24,18,0.0,11.6,6,100,09:07 PM,06:20 AM,06:43 AM,08:56 PM,3,21,21,21,11,3,32,0.0,1014,24,10,247,8,Chile
2020-01-11,28,20,0.0,11.6,7,100,10:01 PM,07:24 AM,06:44 AM,08:56 PM,4,24,24,24,11,0,28,0.0,1012,28,10,247,7,Chile
2020-01-12,27,20,0.0,11.6,7,83,10:48 PM,08:31 AM,06:45 AM,08:56 PM,6,25,25,25,9,0,30,0.0,1012,27,10,257,8,Chile
2020-01-13,27,20,0.0,11.6,6,76,11:30 PM,09:41 AM,06:46 AM,08:56 PM,7,24,24,24,12,0,36,0.0,1012,27,10,248,8,Chile
2020-01-14,24,20,0.0,11.6,6,69,No moonrise,10:50 AM,06:47 AM,08:56 PM,4,22,22,22,15,0,32,0.0,1011,24,10,252,8,Chile
2020-01-15,24,18,0.0,11.6,6,61,12:08 AM,11:57 AM,06:48 AM,08:55 PM,1,22,22,22,14,3,27,0.0,1012,24,10,256,8,Chile
2020-01-16,28,20,0.0,11.6,7,54,12:43 AM,01:04 PM,06:49 AM,08:55 PM,-1,24,24,25,10,2,19,0.0,1013,28,10,263,7,Chile
2020-01-17,32,22,0.0,11.6,7,47,01:17 AM,02:09 PM,06:50 AM,08:55 PM,6,26,26,27,9,0,28,0.0,1012,32,10,248,8,Chile
2020-01-18,30,23,0.0,11.6,7,40,01:52 AM,03:14 PM,06:51 AM,08:55 PM,6,26,26,27,8,20,29,0.0,1011,30,10,258,7,Chile
2020-01-19,32,26,0.0,11.6,7,32,02:28 AM,04:18 PM,06:52 AM,08:54 PM,7,28,28,28,9,14,27,0.0,1011,32,10,248,8,Chile
2020-01-20,30,22,0.0,11.6,7,25,03:08 AM,05:22 PM,06:53 AM,08:54 PM,10,26,26,26,9,13,40,0.0,1013,30,10,257,8,Chile
2020-01-21,29,23,0.0,11.6,7,18,03:52 AM,06:24 PM,06:54 AM,08:53 PM,10,26,26,26,9,0,38,0.0,1013,29,10,250,7,Chile
2020-01-22,25,19,0.0,11.6,6,11,04:40 AM,07:22 PM,06:55 AM,08:53 PM,7,24,24,24,12,2,35,0.0,1013,25,10,248,8,Chile
