date_time,China_maxtempC,China_mintempC,China_totalSnow_cm,China_sunHour,China_uvIndex,China_moon_illumination,China_moonrise,China_moonset,China_sunrise,China_sunset,China_DewPointC,China_FeelsLikeC,China_HeatIndexC,China_WindChillC,China_WindGustKmph,China_cloudcover,China_humidity,China_precipMM,China_pressure,China_tempC,China_visibility,China_winddirDegree,China_windspeedKmph,China_location
2020-01-01,1,-6,0.0,8.7,2,37,11:29 AM,10:50 PM,07:36 AM,04:59 PM,-19,-3,-3,-3,4,11,27,0.0,1033,1,10,72,3,China
2020-01-02,1,-5,0.0,5.3,1,44,11:54 AM,11:48 PM,07:36 AM,05:00 PM,-17,-2,-2,-2,3,50,31,0.0,1032,1,10,123,2,China
2020-01-03,6,-4,0.0,8.7,2,51,12:19 PM,No moonset,07:37 AM,05:01 PM,-11,1,2,1,3,4,38,0.0,1030,6,10,140,2,China
2020-01-04,7,0,0.0,8.7,2,59,12:43 PM,12:45 AM,07:37 AM,05:02 PM,-9,2,3,2,6,14,42,0.0,1029,7,10,41,4,China
2020-01-05,1,-1,0.9,5.3,1,66,01:10 PM,01:44 AM,07:37 AM,05:03 PM,-8,-1,-0,-1,5,82,57,1.0,1031,1,9,73,4,China
2020-01-06,3,-3,1.5,7.0,1,73,01:39 PM,02:44 AM,07:37 AM,05:04 PM,-3,-1,1,-1,7,80,79,1.9,1027,3,7,110,5,China
2020-01-07,2,-1,0.0,7.0,1,80,02:11 PM,03:46 AM,07:37 AM,05:05 PM,-10,-3,0,-3,15,61,47,0.0,1029,2,10,261,10,China
2020-01-08,5,-0,0.0,8.7,2,88,02:51 PM,04:50 AM,07:37 AM,05:06 PM,-13,1,2,1,7,22,33,0.0,1030,5,10,190,5,China
2020-01-09,1,-6,0.0,5.3,1,95,03:38 PM,05:55 AM,07:36 AM,05:07 PM,-13,-2,-0,-2,5,43,36,0.0,1028,1,10,103,4,China
2020-01-10,3,0,0.0,8.7,2,100,04:33 PM,06:57 AM,07:36 AM,05:08 PM,-12,-1,1,-1,10,14,36,0.0,1028,3,10,236,7,China
2020-01-11,-1,-3,0.0,3.6,1,100,05:38 PM,07:55 AM,07:36 AM,05:09 PM,-14,-4,-2,-4,11,58,38,0.0,1029,-1,10,102,8,China
2020-01-12,0,-3,0.0,8.7,2,83,06:47 PM,08:46 AM,07:36 AM,05:10 PM,-11,-3,-2,-3,4,27,48,0.0,1026,0,10,98,3,China
2020-01-13,1,-4,0.0,8.7,2,76,08:00 PM,09:31 AM,07:36 AM,05:11 PM,-15,-5,-2,-5,11,6,35,0.0,1029,1,10,324,10,China
2020-01-14,3,-6,0.0,8.7,2,69,09:14 PM,10:09 AM,07:35 AM,05:12 PM,-14,-1,-0,-1,5,2,33,0.0,1030,3,10,101,5,China
2020-01-15,-1,-4,0.0,7.0,1,61,10:25 PM,10:43 AM,07:35 AM,05:13 PM,-16,-3,-2,-3,4,44,34,0.0,1031,-1,10,96,3,China
2020-01-16,-0,-6,0.0,3.7,1,54,11:36 PM,11:14 AM,07:35 AM,05:14 PM,-16,-4,-2,-4,6,67,33,0.0,1032,-0,10,144,4,China
2020-01-17,1,-3,0.0,8.7,2,47,No moonrise,11:45 AM,07:34 AM,05:15 PM,-15,-1,-1,-1,4,58,33,0.0,1029,1,10,120,3,China
2020-01-18,2,-0,0.0,7.0,1,40,12:46 AM,12:15 PM,07:34 AM,05:16 PM,-9,-0,1,-0,5,22,47,0.0,1025,2,10,232,4,China
2020-01-19,7,-3,0.0,8.7,2,32,01:55 AM,12:47 PM,07:33 AM,05:17 PM,-14,-0,2,-0,12,4,28,0.0,1023,7,10,299,9,China
2020-01-20,6,1,0.0,8.7,2,25,03:03 AM,01:24 PM,07:33 AM,05:19 PM,-14,1,3,1,8,2,28,0.0,1029,6,10,246,7,China
2020-01-21,1,-3,0.0,7.0,1,18,04:10 AM,02:05 PM,07:32 AM,05:20 PM,-15,-1,0,-1,4,36,32,0.0,1027,1,10,72,3,China
2020-01-22,3,0,0.0,7.0,1,11,05:14 AM,02:51 PM,07:32 AM,05:21 PM,-12,1,2,1,4,17,36,0.0,1025,3,10,117,4,China
2020-01-23,6,0,0.0,8.7,2,3,06:13 AM,03:44 PM,07:31 AM,05:22 PM,-9,1,4,1,9,4,41,0.0,1030,6,10,129,8,China
2020-01-24,2,-3,0.0,8.7,2,0,07:05 AM,04:40 PM,07:30 AM,05:23 PM,-12,-1,1,-1,7,20,39,0.0,1038,2,10,160,6,China
2020-01-25,7,1,0.0,8.7,2,0,07:50 AM,05:40 PM,07:30 AM,05:24 PM,-7,3,4,3,3,2,47,0.0,1035,7,10,136,3,China
2020-01-26,3,1,0.0,7.0,1,4,08:28 AM,06:40 PM,07:29 AM,05:26 PM,-7,2,2,2,5,47,48,0.0,1033,3,10,149,4,China
2020-01-27,4,-0,0.0,3.7,1,11,09:01 AM,07:41 PM,07:28 AM,05:27 PM,-9,1,2,1,3,96,44,0.0,1027,4,10,212,2,China
2020-01-28,6,1,0.0,5.4,1,18,09:30 AM,08:39 PM,07:27 AM,05:28 PM,-9,3,3,3,3,82,42,0.0,1025,6,10,133,2,China
2020-01-29,6,1,0.0,8.7,2,26,09:56 AM,09:38 PM,07:27 AM,05:29 PM,-5,3,3,3,3,48,57,0.0,1027,6,10,175,2,China
2020-01-30,10,1,0.0,8.7,3,33,10:21 AM,10:34 PM,07:26 AM,05:30 PM,-6,5,5,5,3,6,46,0.0,1026,10,10,126,3,China
2020-01-31,9,4,0.0,8.7,3,37,10:45 AM,11:32 PM,07:25 AM,05:32 PM,-8,5,6,5,6,1,38,0.0,1024,9,10,135,5,China
2020-02-01,4,0,0.1,8.7,1,49,11:10 AM,No moonset,07:24 AM,05:33 PM,-16,-1,2,-1,13,33,25,0.1,1030,4,10,125,10,China
2020-02-02,4,-1,0.1,5.4,1,57,11:37 AM,12:30 AM,07:23 AM,05:34 PM,-11,-2,1,-2,17,62,45,0.3,1029,4,9,231,13,China
2020-02-03,4,-1,0.0,8.7,2,64,12:07 PM,01:31 AM,07:22 AM,05:35 PM,-18,-2,1,-2,12,2,23,0.0,1029,4,10,210,11,China
2020-02-04,1,-3,0.0,8.7,2,72,12:42 PM,02:32 AM,07:21 AM,05:36 PM,-20,-4,-1,-4,12,19,23,0.0,1032,1,10,59,9,China
2020-02-05,-2,-5,0.1,5.4,1,79,01:25 PM,03:35 AM,07:20 AM,05:38 PM,-15,-6,-3,-6,7,44,42,0.1,1037,-2,10,111,6,China
2020-02-06,-3,-7,4.8,3.8,1,87,02:15 PM,04:38 AM,07:19 AM,05:39 PM,-7,-7,-5,-7,6,82,84,5.7,1034,-3,5,98,5,China
2020-02-07,5,-5,0.0,8.7,2,95,03:15 PM,05:38 AM,07:18 AM,05:40 PM,-4,-1,-0,-1,4,4,76,0.0,1030,5,10,128,3,China
2020-02-08,5,2,0.0,8.7,1,100,04:23 PM,06:33 AM,07:17 AM,05:41 PM,-9,3,3,3,5,15,42,0.0,1032,5,10,114,4,China
2020-02-09,11,-3,0.0,8.7,3,100,05:37 PM,07:22 AM,07:16 AM,05:42 PM,-5,5,6,5,3,1,46,0.0,1026,11,10,161,3,China
2020-02-10,12,3,0.0,8.7,3,83,06:52 PM,08:03 AM,07:15 AM,05:44 PM,-4,7,7,7,5,1,44,0.0,1021,12,10,163,3,China
2020-02-11,13,5,0.0,8.7,3,75,08:07 PM,08:40 AM,07:13 AM,05:45 PM,-3,9,9,9,4,0,46,0.0,1019,13,10,73,4,China
2020-02-12,15,3,0.0,8.7,4,68,09:22 PM,09:14 AM,07:12 AM,05:46 PM,-2,9,10,9,5,1,44,0.0,1015,15,10,197,4,China
2020-02-13,13,5,0.0,8.7,3,60,10:34 PM,09:45 AM,07:11 AM,05:47 PM,-2,9,9,9,8,16,47,0.0,1012,13,10,190,6,China
2020-02-14,3,1,18.9,3.9,1,53,11:46 PM,10:16 AM,07:10 AM,05:48 PM,0,0,3,0,12,97,84,22.3,1023,3,4,71,9,China
2020-02-15,-1,-4,0.0,8.7,2,45,No moonrise,10:49 AM,07:09 AM,05:49 PM,-13,-8,-2,-8,25,14,42,0.0,1032,-1,10,335,19,China
2020-02-16,1,-5,0.0,8.7,2,38,12:56 AM,11:25 AM,07:07 AM,05:51 PM,-15,-6,-1,-6,18,19,33,0.0,1031,1,10,336,14,China
2020-02-17,10,-1,0.0,8.7,3,30,02:04 AM,12:04 PM,07:06 AM,05:52 PM,-12,3,5,3,7,2,29,0.0,1030,10,10,304,6,China
2020-02-18,10,2,0.0,8.7,3,22,03:09 AM,12:48 PM,07:05 AM,05:53 PM,-9,5,5,5,6,10,36,0.0,1027,10,10,93,5,China
2020-02-19,10,2,0.0,8.7,3,15,04:08 AM,01:39 PM,07:03 AM,05:54 PM,-7,5,6,5,6,9,41,0.0,1026,10,10,77,5,China
2020-02-20,6,2,0.0,7.1,1,7,05:02 AM,02:33 PM,07:02 AM,05:55 PM,-3,4,4,4,4,48,61,0.0,1031,6,10,121,4,China
2020-02-21,9,4,0.0,8.7,3,0,05:48 AM,03:32 PM,07:01 AM,05:56 PM,-10,4,6,4,16,16,36,0.0,1027,9,10,284,12,China
2020-02-22,10,2,0.0,8.7,3,0,06:28 AM,04:31 PM,06:59 AM,05:57 PM,-15,2,6,2,19,2,22,0.0,1030,10,10,275,14,China
2020-02-23,14,2,0.0,8.7,2,0,07:02 AM,05:32 PM,06:58 AM,05:59 PM,-13,7,8,7,5,16,24,0.0,1022,14,10,124,4,China
2020-02-24,10,4,0.0,7.2,2,0,07:32 AM,06:30 PM,06:56 AM,06:00 PM,-7,6,7,6,8,68,37,0.0,1017,10,10,48,6,China
2020-02-25,10,6,0.0,10.1,2,8,07:59 AM,07:29 PM,06:55 AM,06:01 PM,-1,7,8,7,7,59,54,0.1,1022,10,10,170,6,China
2020-02-26,9,4,0.0,11.5,3,15,08:24 AM,08:26 PM,06:54 AM,06:02 PM,-5,6,6,6,6,34,46,0.0,1033,9,10,133,5,China
2020-02-27,7,4,0.0,5.8,2,23,08:48 AM,09:24 PM,06:52 AM,06:03 PM,-8,3,5,3,14,82,38,0.0,1032,7,10,180,11,China
2020-02-28,9,2,0.5,8.7,2,30,09:13 AM,10:21 PM,06:51 AM,06:04 PM,-0,3,5,3,10,64,71,0.6,1024,9,8,179,8,China
2020-02-29,5,4,0.0,5.8,1,38,09:38 AM,11:21 PM,06:49 AM,06:05 PM,-0,4,5,4,7,81,69,0.0,1017,5,10,103,5,China
2020-03-01,10,5,0.0,11.6,3,44,10:06 AM,No moonset,06:48 AM,06:06 PM,-9,5,8,5,15,14,35,0.0,1023,10,10,187,12,China
2020-03-02,10,6,0.0,10.2,2,51,10:38 AM,12:20 AM,06:46 AM,06:07 PM,-11,6,7,6,13,28,27,0.3,1024,10,10,144,11,China
2020-03-03,7,3,0.6,11.6,3,58,11:17 AM,01:21 AM,06:45 AM,06:08 PM,-13,1,5,1,26,18,32,1.2,1023,7,9,255,20,China
2020-03-04,11,2,0.0,11.6,3,65,12:02 PM,02:22 AM,06:43 AM,06:10 PM,-16,4,6,4,12,0,19,0.0,1031,11,10,301,10,China
2020-03-05,12,5,0.0,11.6,3,73,12:56 PM,03:22 AM,06:42 AM,06:11 PM,-12,7,8,7,7,1,24,0.0,1024,12,10,252,6,China
2020-03-06,12,4,0.0,10.2,2,80,01:59 PM,04:18 AM,06:40 AM,06:12 PM,-6,7,8,7,8,31,38,0.7,1014,12,9,162,6,China
2020-03-07,17,8,0.0,11.6,4,87,03:09 PM,05:09 AM,06:38 AM,06:13 PM,-3,11,12,11,9,17,41,0.2,1017,17,10,149,8,China
2020-03-08,10,5,0.0,7.3,2,95,04:23 PM,05:54 AM,06:37 AM,06:14 PM,3,7,8,7,7,62,72,0.3,1015,10,9,166,6,China
2020-03-09,10,6,0.0,10.2,2,100,05:40 PM,06:33 AM,06:35 AM,06:15 PM,-6,6,9,6,21,56,39,1.7,1021,10,8,275,16,China
2020-03-10,11,6,0.0,11.6,3,100,06:56 PM,07:08 AM,06:34 AM,06:16 PM,-11,7,9,7,13,20,28,0.3,1020,11,10,254,11,China
2020-03-11,16,6,0.0,11.6,4,84,08:12 PM,07:41 AM,06:32 AM,06:17 PM,-11,11,11,11,5,3,20,0.0,1015,16,10,86,5,China
2020-03-12,10,7,0.0,11.6,2,76,09:27 PM,08:13 AM,06:31 AM,06:18 PM,-14,7,9,7,20,30,19,0.0,1020,10,10,132,15,China
2020-03-13,12,5,0.0,11.6,3,69,10:41 PM,08:46 AM,06:29 AM,06:19 PM,-19,7,8,7,13,6,13,0.0,1029,12,10,165,11,China
2020-03-14,15,7,0.0,11.6,4,62,11:53 PM,09:22 AM,06:27 AM,06:20 PM,-14,9,11,9,18,7,16,0.0,1019,15,10,310,14,China
2020-03-15,17,9,0.0,11.6,4,55,No moonrise,10:01 AM,06:26 AM,06:21 PM,-9,12,13,12,13,9,23,0.0,1020,17,10,188,10,China
2020-03-16,21,7,0.0,11.6,4,47,01:01 AM,10:45 AM,06:24 AM,06:22 PM,-5,12,13,12,9,1,31,0.0,1020,21,10,191,8,China
2020-03-17,20,11,0.0,11.6,5,40,02:04 AM,11:34 AM,06:23 AM,06:23 PM,-6,16,17,16,9,2,20,0.0,1016,20,10,245,7,China
2020-03-18,19,11,0.0,8.8,4,33,03:00 AM,12:28 PM,06:21 AM,06:24 PM,-9,14,15,14,18,26,20,0.0,1008,19,10,242,14,China
2020-03-19,17,7,0.0,11.6,4,25,03:48 AM,01:26 PM,06:19 AM,06:25 PM,-17,10,12,10,27,2,12,0.0,1012,17,10,283,20,China
2020-03-20,22,10,0.0,11.6,5,18,04:29 AM,02:25 PM,06:18 AM,06:26 PM,-10,16,16,16,13,19,16,0.0,1006,22,10,192,10,China
2020-03-21,20,12,0.0,11.6,5,11,05:05 AM,03:25 PM,06:16 AM,06:27 PM,-7,16,16,16,7,10,21,0.0,1013,20,10,138,6,China
2020-03-22,24,14,0.0,11.6,5,4,05:36 AM,04:24 PM,06:14 AM,06:28 PM,-6,19,19,19,8,0,20,0.0,1019,24,10,198,7,China
2020-03-23,24,16,0.0,11.6,6,0,06:03 AM,05:22 PM,06:13 AM,06:29 PM,-6,20,20,20,8,1,18,0.0,1019,24,10,106,7,China
2020-03-24,19,10,0.0,11.6,4,0,06:28 AM,06:20 PM,06:11 AM,06:30 PM,-4,14,14,14,7,33,29,0.0,1016,19,10,125,6,China
2020-03-25,23,14,0.0,11.6,5,3,06:52 AM,07:18 PM,06:10 AM,06:31 PM,3,18,18,18,8,38,37,0.0,1010,23,10,107,6,China
2020-03-26,11,7,0.0,7.5,2,11,07:16 AM,08:15 PM,06:08 AM,06:32 PM,-5,8,11,8,26,65,36,13.1,1021,11,9,290,21,China
2020-03-27,12,6,0.0,11.6,3,18,07:41 AM,09:14 PM,06:06 AM,06:33 PM,-17,7,9,7,19,9,15,0.0,1030,12,10,304,16,China
2020-03-28,13,6,0.0,11.6,2,25,08:08 AM,10:13 PM,06:05 AM,06:34 PM,-18,8,10,8,14,17,12,0.0,1027,13,10,139,11,China
2020-03-29,17,9,0.0,11.6,4,32,08:38 AM,11:14 PM,06:03 AM,06:35 PM,-9,12,13,12,11,8,21,0.0,1020,17,10,152,9,China
2020-03-30,18,10,0.0,11.6,4,40,09:14 AM,No moonset,06:02 AM,06:37 PM,-1,14,14,14,13,12,37,0.0,1017,18,10,192,10,China
2020-03-31,22,13,0.0,12.4,5,44,09:55 AM,12:14 AM,06:00 AM,06:38 PM,-0,17,17,17,14,11,35,0.0,1016,22,10,198,11,China
2020-04-01,17,10,0.0,12.8,4,56,10:44 AM,01:13 AM,05:59 AM,06:39 PM,-16,12,13,12,14,27,15,0.2,1027,17,10,84,11,China
2020-04-02,22,11,0.0,12.8,5,64,11:42 AM,02:09 AM,05:57 AM,06:40 PM,-11,17,17,17,9,2,16,0.0,1024,22,10,312,8,China
2020-04-03,27,16,0.0,12.9,6,71,12:46 PM,03:00 AM,05:55 AM,06:41 PM,-9,21,20,21,12,0,14,0.0,1022,27,10,305,10,China
2020-04-04,19,13,0.0,12.9,5,79,01:57 PM,03:46 AM,05:54 AM,06:42 PM,-10,16,16,16,15,1,16,0.0,1028,19,10,152,12,China
2020-04-05,19,11,0.0,12.9,4,87,03:11 PM,04:26 AM,05:52 AM,06:43 PM,-7,15,15,15,9,38,21,0.0,1025,19,10,168,7,China
2020-04-06,25,13,0.0,12.9,6,94,04:27 PM,05:02 AM,05:51 AM,06:44 PM,-4,19,18,19,6,25,22,0.0,1017,25,10,100,5,China
2020-04-07,16,12,0.0,13.0,4,100,05:43 PM,05:35 AM,05:49 AM,06:45 PM,-3,14,14,14,14,39,29,0.5,1021,16,10,147,12,China
2020-04-08,19,10,0.0,13.0,5,100,06:59 PM,06:07 AM,05:48 AM,06:46 PM,-8,14,15,14,10,21,23,0.0,1021,19,10,105,9,China
2020-04-09,12,8,0.0,8.1,3,83,08:15 PM,06:40 AM,05:46 AM,06:47 PM,-2,10,11,10,10,79,44,3.1,1026,12,7,184,8,China
2020-04-10,17,10,0.0,13.0,4,76,09:31 PM,07:15 AM,05:45 AM,06:48 PM,-4,13,13,13,6,40,31,0.0,1028,17,10,192,5,China
2020-04-11,23,13,0.0,13.1,5,68,10:44 PM,07:53 AM,05:43 AM,06:49 PM,-9,18,18,18,13,4,18,0.0,1025,23,10,247,10,China
2020-04-12,26,17,0.0,13.1,6,61,11:52 PM,08:36 AM,05:42 AM,06:50 PM,-11,21,21,21,14,4,11,0.0,1020,26,10,234,12,China
2020-04-13,28,17,0.0,13.1,6,53,No moonrise,09:25 AM,05:40 AM,06:51 PM,-11,21,21,22,7,8,12,0.0,1017,28,10,207,6,China
2020-04-14,27,16,0.0,13.1,6,46,12:53 AM,10:19 AM,05:38 AM,06:52 PM,-7,21,21,21,10,40,14,0.0,1010,27,10,150,7,China
2020-04-15,26,18,0.0,12.0,5,38,01:46 AM,11:18 AM,05:37 AM,06:53 PM,2,22,22,22,12,60,29,0.6,1007,26,10,175,9,China
2020-04-16,22,14,0.0,13.2,4,30,02:30 AM,12:17 PM,05:36 AM,06:54 PM,2,19,19,19,16,60,39,8.0,1005,22,9,178,14,China
2020-04-17,22,14,0.0,13.2,5,23,03:08 AM,01:18 PM,05:34 AM,06:55 PM,1,17,18,17,22,40,34,0.1,1013,22,10,123,18,China
2020-04-18,24,18,0.0,10.8,5,15,03:40 AM,02:17 PM,05:33 AM,06:56 PM,-0,21,21,21,8,51,26,0.0,1018,24,10,165,6,China
2020-04-19,24,16,0.0,10.8,5,8,04:07 AM,03:16 PM,05:31 AM,06:57 PM,3,20,20,20,12,64,33,1.6,1011,24,10,214,10,China
2020-04-20,15,11,0.0,13.3,4,0,04:33 AM,04:13 PM,05:30 AM,06:58 PM,-11,12,14,12,33,19,19,0.8,1015,15,10,325,27,China
2020-04-21,13,7,0.0,13.3,4,0,04:57 AM,05:11 PM,05:28 AM,06:59 PM,-18,7,10,7,31,8,12,0.0,1022,13,10,324,25,China
2020-04-22,15,7,0.0,13.7,4,0,05:21 AM,06:09 PM,05:27 AM,07:00 PM,-19,9,11,9,28,4,10,0.0,1022,15,10,331,22,China
2020-04-23,19,10,0.0,13.8,5,0,05:45 AM,07:08 PM,05:25 AM,07:01 PM,-17,13,15,13,20,1,10,0.0,1022,19,10,319,16,China
2020-04-24,28,13,0.0,13.8,6,7,06:11 AM,08:07 PM,05:24 AM,07:02 PM,-12,20,20,21,18,3,10,0.0,1009,28,10,269,15,China
2020-04-25,22,15,0.0,13.3,4,15,06:41 AM,09:08 PM,05:23 AM,07:03 PM,-9,19,19,19,21,18,16,0.0,1014,22,10,276,16,China
2020-04-26,24,16,0.0,13.8,5,22,07:14 AM,10:09 PM,05:21 AM,07:04 PM,-9,20,20,20,8,21,14,0.1,1019,24,10,215,6,China
2020-04-27,28,15,0.0,13.9,6,30,07:54 AM,11:09 PM,05:20 AM,07:05 PM,-4,21,21,21,8,4,20,0.0,1021,28,10,139,7,China
2020-04-28,33,21,0.0,13.9,7,37,08:39 AM,No moonset,05:19 AM,07:06 PM,-4,25,25,26,9,0,14,0.0,1013,33,10,172,8,China
2020-04-29,34,22,0.0,13.9,7,45,09:34 AM,12:05 AM,05:17 AM,07:07 PM,1,26,26,27,17,7,19,0.0,1007,34,10,212,12,China
2020-04-30,38,23,0.0,13.9,8,52,10:34 AM,12:57 AM,05:16 AM,07:08 PM,3,31,31,30,11,12,20,0.0,1005,38,10,157,7,China
2020-05-01,40,26,0.0,13.9,8,58,11:41 AM,01:43 AM,05:15 AM,07:09 PM,4,32,32,33,10,0,18,0.0,1003,40,10,150,8,China
2020-05-02,36,26,0.0,14.0,8,65,12:51 PM,02:23 AM,05:14 AM,07:10 PM,11,31,31,31,15,9,34,0.0,1001,36,10,179,12,China
2020-05-03,29,20,0.0,12.2,5,72,02:04 PM,02:59 AM,05:12 AM,07:11 PM,13,25,25,24,13,43,54,0.0,1006,29,10,84,11,China
2020-05-04,21,17,0.0,14.0,5,80,03:18 PM,03:33 AM,05:11 AM,07:12 PM,6,19,20,19,16,35,45,0.2,1016,21,10,177,14,China
2020-05-05,30,15,0.0,14.0,6,87,04:32 PM,04:04 AM,05:10 AM,07:13 PM,10,22,22,22,11,25,51,0.0,1010,30,10,173,9,China
2020-05-06,30,20,0.0,14.1,7,94,05:48 PM,04:35 AM,05:09 AM,07:14 PM,7,25,25,25,12,7,33,0.0,1012,30,10,123,11,China
2020-05-07,20,16,0.0,12.2,4,100,07:04 PM,05:08 AM,05:08 AM,07:15 PM,6,18,18,18,10,67,48,7.9,1012,20,9,110,9,China
2020-05-08,16,13,0.0,8.8,4,100,08:19 PM,05:44 AM,05:07 AM,07:16 PM,12,15,15,15,9,100,80,6.7,1012,16,6,99,8,China
2020-05-09,25,13,0.0,13.4,6,84,09:32 PM,06:25 AM,05:05 AM,07:17 PM,10,20,20,20,13,36,55,0.0,1007,25,10,195,11,China
