date_time,Colombia_maxtempC,Colombia_mintempC,Colombia_totalSnow_cm,Colombia_sunHour,Colombia_uvIndex,Colombia_moon_illumination,Colombia_moonrise,Colombia_moonset,Colombia_sunrise,Colombia_sunset,Colombia_DewPointC,Colombia_FeelsLikeC,Colombia_HeatIndexC,Colombia_WindChillC,Colombia_WindGustKmph,Colombia_cloudcover,Colombia_humidity,Colombia_precipMM,Colombia_pressure,Colombia_tempC,Colombia_visibility,Colombia_winddirDegree,Colombia_windspeedKmph,Colombia_location
2020-01-01,19,12,0.0,4.3,4,37,11:02 AM,11:18 PM,06:04 AM,05:56 PM,13,15,15,15,6,72,87,22.4,1013,19,8,206,4,Colombia
2020-01-02,21,11,0.0,7.2,4,44,11:42 AM,No moonset,06:04 AM,05:56 PM,12,15,16,15,5,57,84,10.7,1013,21,9,171,4,Colombia
2020-01-03,21,10,0.0,7.2,4,51,12:21 PM,12:00 AM,06:05 AM,05:57 PM,11,15,15,15,4,57,81,5.4,1015,21,10,145,3,Colombia
2020-01-04,20,9,0.0,5.8,4,59,01:01 PM,12:43 AM,06:05 AM,05:57 PM,11,14,14,14,6,66,82,2.6,1016,20,10,230,5,Colombia
2020-01-05,20,9,0.0,8.7,4,66,01:43 PM,01:27 AM,06:05 AM,05:58 PM,10,15,15,15,8,50,77,0.6,1015,20,10,207,6,Colombia
2020-01-06,21,9,0.0,8.7,4,73,02:28 PM,02:13 AM,06:06 AM,05:58 PM,10,14,15,14,7,43,77,0.9,1014,21,10,191,6,Colombia
2020-01-07,21,10,0.0,7.2,4,80,03:17 PM,03:03 AM,06:06 AM,05:59 PM,11,15,15,15,5,49,79,2.2,1014,21,10,141,4,Colombia
2020-01-08,23,10,0.0,7.2,4,88,04:10 PM,03:56 AM,06:07 AM,05:59 PM,9,16,17,16,4,53,69,1.8,1015,23,10,139,3,Colombia
2020-01-09,22,10,0.0,10.2,4,95,05:07 PM,04:52 AM,06:07 AM,06:00 PM,9,16,17,16,7,28,68,1.1,1014,22,10,134,5,Colombia
2020-01-10,22,8,0.0,11.6,5,100,06:06 PM,05:52 AM,06:07 AM,06:00 PM,7,14,16,14,11,20,67,0.1,1013,22,10,123,7,Colombia
2020-01-11,20,8,0.0,11.6,5,100,07:07 PM,06:51 AM,06:08 AM,06:00 PM,7,14,15,14,10,22,70,0.1,1013,20,10,122,7,Colombia
2020-01-12,20,9,0.0,10.2,4,83,08:06 PM,07:49 AM,06:08 AM,06:01 PM,10,15,15,15,8,40,76,2.4,1013,20,10,124,5,Colombia
2020-01-13,21,9,0.0,7.4,4,76,09:03 PM,08:44 AM,06:08 AM,06:01 PM,10,15,16,15,8,63,77,1.6,1013,21,10,126,6,Colombia
2020-01-14,21,10,0.0,8.8,4,69,09:58 PM,09:37 AM,06:09 AM,06:02 PM,10,15,15,15,6,56,77,6.4,1012,21,10,142,4,Colombia
2020-01-15,19,10,0.0,7.4,4,61,10:51 PM,10:27 AM,06:09 AM,06:02 PM,10,14,14,14,7,63,78,2.5,1012,19,10,127,5,Colombia
2020-01-16,20,11,0.0,7.4,4,54,11:43 PM,11:15 AM,06:09 AM,06:03 PM,11,15,16,15,9,63,79,2.1,1013,20,10,127,7,Colombia
2020-01-17,20,11,0.0,7.4,4,47,No moonrise,12:03 PM,06:10 AM,06:03 PM,11,15,15,15,10,48,79,0.5,1013,20,10,115,8,Colombia
2020-01-18,21,13,0.0,6.0,4,40,12:34 AM,12:51 PM,06:10 AM,06:03 PM,12,16,17,16,8,76,80,3.1,1012,21,8,123,7,Colombia
2020-01-19,21,13,0.0,7.4,4,32,01:27 AM,01:41 PM,06:10 AM,06:04 PM,12,16,17,16,8,69,79,3.9,1012,21,9,117,6,Colombia
2020-01-20,21,11,0.0,10.2,4,25,02:20 AM,02:32 PM,06:10 AM,06:04 PM,12,16,16,16,6,53,82,12.3,1013,21,9,157,4,Colombia
2020-01-21,17,13,0.0,6.0,4,18,03:15 AM,03:25 PM,06:10 AM,06:04 PM,13,15,15,15,7,69,89,27.3,1014,17,8,184,4,Colombia
2020-01-22,20,12,0.0,6.0,4,11,04:09 AM,04:19 PM,06:11 AM,06:05 PM,12,16,15,16,7,71,83,6.2,1013,20,9,201,5,Colombia
2020-01-23,19,10,0.0,7.4,4,3,05:04 AM,05:13 PM,06:11 AM,06:05 PM,11,15,14,15,7,60,82,6.2,1013,19,9,206,5,Colombia
2020-01-24,20,11,0.0,8.8,4,0,05:57 AM,06:06 PM,06:11 AM,06:05 PM,12,15,15,15,6,65,84,12.4,1014,20,9,165,5,Colombia
2020-01-25,20,12,0.0,7.4,4,0,06:46 AM,06:56 PM,06:11 AM,06:06 PM,14,16,16,16,4,71,87,23.6,1014,20,8,184,3,Colombia
2020-01-26,19,14,0.0,6.0,4,4,07:33 AM,07:44 PM,06:11 AM,06:06 PM,14,16,16,16,4,76,88,24.9,1014,19,8,194,2,Colombia
2020-01-27,20,13,0.0,6.0,4,11,08:17 AM,08:29 PM,06:11 AM,06:06 PM,13,16,16,16,4,76,84,12.3,1015,20,9,215,3,Colombia
2020-01-28,21,12,0.0,7.4,4,18,08:58 AM,09:13 PM,06:12 AM,06:07 PM,13,16,16,16,3,70,84,5.6,1014,21,10,250,3,Colombia
2020-01-29,20,13,0.0,6.0,4,26,09:38 AM,09:56 PM,06:12 AM,06:07 PM,13,16,16,16,4,76,83,13.6,1013,20,9,216,3,Colombia
2020-01-30,20,13,0.0,6.0,4,33,10:17 AM,10:37 PM,06:12 AM,06:07 PM,13,16,16,16,4,80,83,14.5,1014,20,9,192,3,Colombia
2020-01-31,21,12,0.0,7.4,4,37,10:57 AM,11:21 PM,06:12 AM,06:07 PM,11,15,16,15,7,54,77,5.2,1014,21,10,139,5,Colombia
