date_time,Costa%20Rica_maxtempC,Costa%20Rica_mintempC,Costa%20Rica_totalSnow_cm,Costa%20Rica_sunHour,Costa%20Rica_uvIndex,Costa%20Rica_moon_illumination,Costa%20Rica_moonrise,Costa%20Rica_moonset,Costa%20Rica_sunrise,Costa%20Rica_sunset,Costa%20Rica_DewPointC,Costa%20Rica_FeelsLikeC,Costa%20Rica_HeatIndexC,Costa%20Rica_WindChillC,Costa%20Rica_WindGustKmph,Costa%20Rica_cloudcover,Costa%20Rica_humidity,Costa%20Rica_precipMM,Costa%20Rica_pressure,Costa%20Rica_tempC,Costa%20Rica_visibility,Costa%20Rica_winddirDegree,Costa%20Rica_windspeedKmph,Costa%20Rica_location
2020-01-01,27,13,0.0,10.2,5,37,10:46 AM,10:57 PM,05:53 AM,05:27 PM,12,21,21,19,11,31,69,0.1,1012,27,8,96,6,Costa%20Rica
2020-01-02,26,16,0.0,10.2,5,44,11:24 AM,11:42 PM,05:54 AM,05:27 PM,14,21,21,20,7,30,76,1.9,1012,26,10,115,5,Costa%20Rica
2020-01-03,22,13,0.0,8.7,4,51,12:01 PM,No moonset,05:54 AM,05:28 PM,15,17,17,17,6,78,91,4.6,1014,22,5,125,4,Costa%20Rica
2020-01-04,26,15,0.0,8.7,5,59,12:39 PM,12:26 AM,05:54 AM,05:28 PM,16,19,19,19,10,66,85,1.4,1015,26,6,53,7,Costa%20Rica
2020-01-05,24,15,0.0,7.3,5,66,01:20 PM,01:12 AM,05:55 AM,05:29 PM,14,19,20,19,15,56,78,0.5,1016,24,9,57,12,Costa%20Rica
2020-01-06,25,15,0.0,10.2,5,73,02:03 PM,02:00 AM,05:55 AM,05:30 PM,14,19,21,19,15,23,75,0.1,1014,25,10,59,10,Costa%20Rica
2020-01-07,24,13,0.0,8.7,4,80,02:50 PM,02:52 AM,05:55 AM,05:30 PM,13,17,19,17,17,43,79,0.4,1013,24,10,58,12,Costa%20Rica
2020-01-08,24,15,0.0,8.7,4,88,03:42 PM,03:46 AM,05:56 AM,05:31 PM,15,18,19,18,18,60,82,1.1,1014,24,9,57,14,Costa%20Rica
2020-01-09,26,16,0.0,10.2,5,95,04:38 PM,04:43 AM,05:56 AM,05:31 PM,15,22,22,20,17,35,78,0.3,1012,26,10,60,13,Costa%20Rica
2020-01-10,25,14,0.0,10.2,5,100,05:39 PM,05:43 AM,05:56 AM,05:32 PM,14,19,20,19,17,22,76,0.1,1010,25,10,60,13,Costa%20Rica
2020-01-11,26,15,0.0,10.2,5,100,06:39 PM,06:41 AM,05:57 AM,05:32 PM,16,22,22,21,11,40,82,0.2,1010,26,9,53,8,Costa%20Rica
2020-01-12,25,16,0.0,10.2,5,83,07:41 PM,07:39 AM,05:57 AM,05:33 PM,16,20,20,20,14,54,83,0.5,1010,25,7,56,11,Costa%20Rica
2020-01-13,26,15,0.0,10.2,5,76,08:40 PM,08:32 AM,05:57 AM,05:33 PM,15,19,19,19,18,49,80,0.8,1011,26,10,58,13,Costa%20Rica
2020-01-14,26,14,0.0,11.6,6,69,09:37 PM,09:23 AM,05:57 AM,05:34 PM,14,19,20,19,21,17,77,0.0,1011,26,10,59,14,Costa%20Rica
2020-01-15,24,15,0.0,5.9,5,61,10:31 PM,10:10 AM,05:58 AM,05:34 PM,14,19,20,19,18,59,80,1.0,1011,24,10,58,13,Costa%20Rica
2020-01-16,26,15,0.0,10.2,5,54,11:26 PM,10:56 AM,05:58 AM,05:35 PM,15,20,21,20,17,33,78,0.3,1011,26,10,58,12,Costa%20Rica
2020-01-17,26,14,0.0,8.7,5,47,No moonrise,11:42 AM,05:58 AM,05:35 PM,16,19,20,19,18,54,81,1.0,1010,26,10,58,12,Costa%20Rica
2020-01-18,22,18,0.0,5.9,5,40,12:19 AM,12:28 PM,05:58 AM,05:36 PM,17,19,20,19,17,77,87,6.3,1010,22,7,54,12,Costa%20Rica
2020-01-19,24,15,0.0,5.9,4,32,01:14 AM,01:16 PM,05:58 AM,05:36 PM,16,18,19,18,18,70,86,3.7,1010,24,8,56,10,Costa%20Rica
2020-01-20,25,15,0.0,5.9,5,25,02:09 AM,02:05 PM,05:58 AM,05:37 PM,14,19,20,19,17,79,82,2.1,1012,25,10,53,9,Costa%20Rica
