date_time,Croatia_maxtempC,Croatia_mintempC,Croatia_totalSnow_cm,Croatia_sunHour,Croatia_uvIndex,Croatia_moon_illumination,Croatia_moonrise,Croatia_moonset,Croatia_sunrise,Croatia_sunset,Croatia_DewPointC,Croatia_FeelsLikeC,Croatia_HeatIndexC,Croatia_WindChillC,Croatia_WindGustKmph,Croatia_cloudcover,Croatia_humidity,Croatia_precipMM,Croatia_pressure,Croatia_tempC,Croatia_visibility,Croatia_winddirDegree,Croatia_windspeedKmph,Croatia_location
2020-01-01,6,1,0.0,8.7,2,37,11:24 AM,10:43 PM,07:38 AM,04:21 PM,-1,3,3,3,4,0,71,0.0,1035,6,10,242,3,Croatia
2020-01-02,6,1,0.0,8.7,2,44,11:46 AM,11:45 PM,07:38 AM,04:22 PM,-0,3,3,3,4,0,77,0.0,1034,6,10,215,3,Croatia
2020-01-03,6,2,0.0,8.7,2,51,12:06 PM,No moonset,07:38 AM,04:23 PM,-2,3,3,3,2,14,69,0.0,1028,6,10,210,2,Croatia
2020-01-04,6,1,0.0,6.9,1,59,12:27 PM,12:46 AM,07:37 AM,04:24 PM,-2,3,3,3,4,61,69,0.5,1025,6,10,179,2,Croatia
2020-01-05,6,1,0.0,6.9,1,66,12:50 PM,01:49 AM,07:37 AM,04:25 PM,-1,2,3,2,7,31,74,0.2,1031,6,10,159,5,Croatia
2020-01-06,4,0,0.0,8.7,2,73,01:17 PM,02:53 AM,07:37 AM,04:26 PM,-4,1,2,1,4,8,64,0.0,1033,4,10,236,3,Croatia
2020-01-07,3,0,0.0,8.7,2,80,01:48 PM,04:00 AM,07:37 AM,04:27 PM,-6,1,1,1,3,7,57,0.0,1029,3,10,139,2,Croatia
2020-01-08,6,0,0.0,8.7,2,88,02:25 PM,05:08 AM,07:37 AM,04:28 PM,-6,3,3,3,4,4,53,0.0,1031,6,10,238,3,Croatia
2020-01-09,5,0,0.0,8.7,2,95,03:13 PM,06:14 AM,07:37 AM,04:30 PM,-2,1,2,1,6,12,77,0.0,1027,5,10,202,4,Croatia
2020-01-10,7,1,0.0,5.1,1,100,04:11 PM,07:17 AM,07:36 AM,04:31 PM,0,2,4,2,12,57,78,0.0,1023,7,10,217,7,Croatia
