date_time,Cuba_maxtempC,Cuba_mintempC,Cuba_totalSnow_cm,Cuba_sunHour,Cuba_uvIndex,Cuba_moon_illumination,Cuba_moonrise,Cuba_moonset,Cuba_sunrise,Cuba_sunset,Cuba_DewPointC,Cuba_FeelsLikeC,Cuba_HeatIndexC,Cuba_WindChillC,Cuba_WindGustKmph,Cuba_cloudcover,Cuba_humidity,Cuba_precipMM,Cuba_pressure,Cuba_tempC,Cuba_visibility,Cuba_winddirDegree,Cuba_windspeedKmph,Cuba_location
2020-01-01,27,21,0.0,7.1,5,37,11:47 AM,11:46 PM,07:11 AM,05:55 PM,20,25,25,23,14,51,84,0.7,1016,27,10,50,9,Cuba
2020-01-02,27,20,0.0,8.7,5,44,12:19 PM,No moonset,07:11 AM,05:56 PM,20,25,25,23,22,19,85,0.0,1015,27,8,129,14,Cuba
2020-01-03,28,21,0.0,8.7,6,51,12:51 PM,12:34 AM,07:11 AM,05:57 PM,21,27,27,24,28,35,86,0.8,1016,28,10,143,18,Cuba
2020-01-04,28,22,0.0,8.7,6,59,01:25 PM,01:25 AM,07:12 AM,05:57 PM,22,27,27,25,26,43,85,5.7,1019,28,7,192,16,Cuba
2020-01-05,20,17,0.0,8.7,4,66,02:00 PM,02:15 AM,07:12 AM,05:58 PM,14,20,20,20,38,40,73,3.8,1022,20,10,33,25,Cuba
2020-01-06,22,17,0.0,3.9,5,73,02:39 PM,03:08 AM,07:12 AM,05:59 PM,14,19,20,19,24,58,74,0.3,1021,22,10,62,15,Cuba
2020-01-07,23,18,0.0,3.9,5,80,03:22 PM,04:04 AM,07:12 AM,05:59 PM,15,20,20,20,18,69,76,1.0,1021,23,10,50,12,Cuba
2020-01-08,22,17,0.0,7.0,5,88,04:11 PM,05:02 AM,07:12 AM,06:00 PM,15,19,20,19,32,51,75,0.2,1023,22,10,47,19,Cuba
2020-01-09,26,18,0.0,7.0,5,95,05:06 PM,06:02 AM,07:13 AM,06:01 PM,18,23,23,22,33,43,81,1.0,1022,26,10,87,21,Cuba
2020-01-10,27,21,0.0,10.9,5,100,06:05 PM,07:02 AM,07:13 AM,06:01 PM,20,26,26,24,37,32,81,0.1,1020,27,10,96,23,Cuba
2020-01-11,28,21,0.0,10.9,6,100,07:09 PM,07:59 AM,07:13 AM,06:02 PM,20,26,26,24,31,12,79,0.0,1019,28,10,128,19,Cuba
