date_time,Cyprus_maxtempC,Cyprus_mintempC,Cyprus_totalSnow_cm,Cyprus_sunHour,Cyprus_uvIndex,Cyprus_moon_illumination,Cyprus_moonrise,Cyprus_moonset,Cyprus_sunrise,Cyprus_sunset,Cyprus_DewPointC,Cyprus_FeelsLikeC,Cyprus_HeatIndexC,Cyprus_WindChillC,Cyprus_WindGustKmph,Cyprus_cloudcover,Cyprus_humidity,Cyprus_precipMM,Cyprus_pressure,Cyprus_tempC,Cyprus_visibility,Cyprus_winddirDegree,Cyprus_windspeedKmph,Cyprus_location
2020-01-01,15,9,0.0,7.0,3,37,11:02 AM,10:39 PM,06:55 AM,04:45 PM,7,11,11,11,10,37,73,1.2,1016,15,10,269,6,Cyprus
2020-01-02,13,9,0.0,3.7,3,44,11:30 AM,11:34 PM,06:55 AM,04:46 PM,7,10,11,10,18,82,77,4.2,1015,13,10,93,12,Cyprus
2020-01-03,12,9,0.0,3.7,3,51,11:57 AM,No moonset,06:55 AM,04:46 PM,9,9,11,9,16,86,87,16.4,1013,12,8,168,11,Cyprus
2020-01-04,13,8,0.0,7.0,3,59,12:24 PM,12:29 AM,06:55 AM,04:47 PM,7,9,10,9,18,58,79,2.2,1013,13,10,259,12,Cyprus
2020-01-05,14,6,0.0,5.4,3,66,12:54 PM,01:25 AM,06:55 AM,04:48 PM,7,11,11,11,13,65,72,0.5,1013,14,10,229,7,Cyprus
2020-01-06,15,7,0.0,3.7,3,73,01:26 PM,02:23 AM,06:55 AM,04:49 PM,8,10,12,10,43,71,77,3.0,1011,15,10,165,31,Cyprus
2020-01-07,12,6,0.0,3.7,3,80,02:03 PM,03:23 AM,06:56 AM,04:50 PM,8,8,11,8,40,78,80,10.3,1009,12,9,179,28,Cyprus
2020-01-08,12,7,0.0,3.7,3,88,02:45 PM,04:25 AM,06:56 AM,04:51 PM,8,8,10,8,34,66,85,11.5,1007,12,9,60,23,Cyprus
2020-01-09,13,9,0.0,8.7,4,95,03:36 PM,05:28 AM,06:55 AM,04:51 PM,5,9,11,9,25,30,68,1.6,1012,13,10,26,16,Cyprus
2020-01-10,12,8,0.0,8.7,4,100,04:34 PM,06:29 AM,06:55 AM,04:52 PM,3,8,9,8,16,2,64,0.0,1017,12,10,292,10,Cyprus
2020-01-11,14,8,0.0,8.7,4,100,05:39 PM,07:26 AM,06:55 AM,04:53 PM,4,9,10,9,18,3,66,0.0,1022,14,10,274,10,Cyprus
2020-01-12,15,9,0.0,5.4,3,83,06:47 PM,08:17 AM,06:55 AM,04:54 PM,7,10,11,10,22,57,74,0.3,1021,15,10,251,14,Cyprus
2020-01-13,15,11,0.0,8.7,4,76,07:58 PM,09:03 AM,06:55 AM,04:55 PM,8,12,12,12,14,15,74,0.0,1022,15,10,278,8,Cyprus
2020-01-14,15,9,0.0,7.1,3,69,09:08 PM,09:43 AM,06:55 AM,04:56 PM,8,11,12,11,13,39,79,0.1,1024,15,10,95,9,Cyprus
2020-01-15,15,8,0.0,3.8,3,61,10:16 PM,10:19 AM,06:55 AM,04:57 PM,9,11,12,11,21,73,77,1.4,1022,15,8,66,15,Cyprus
2020-01-16,13,9,0.0,3.8,3,54,11:23 PM,10:53 AM,06:54 AM,04:58 PM,8,9,12,9,37,71,77,3.9,1016,13,9,62,27,Cyprus
2020-01-17,10,5,0.0,3.8,2,47,No moonrise,11:26 AM,06:54 AM,04:59 PM,8,6,10,6,41,99,88,10.9,1015,10,5,58,32,Cyprus
2020-01-18,13,7,0.0,8.7,3,40,12:29 AM,12:00 PM,06:54 AM,05:00 PM,5,9,10,9,11,52,72,0.9,1016,13,10,117,7,Cyprus
