date_time,Czech%20Republic_maxtempC,Czech%20Republic_mintempC,Czech%20Republic_totalSnow_cm,Czech%20Republic_sunHour,Czech%20Republic_uvIndex,Czech%20Republic_moon_illumination,Czech%20Republic_moonrise,Czech%20Republic_moonset,Czech%20Republic_sunrise,Czech%20Republic_sunset,Czech%20Republic_DewPointC,Czech%20Republic_FeelsLikeC,Czech%20Republic_HeatIndexC,Czech%20Republic_WindChillC,Czech%20Republic_WindGustKmph,Czech%20Republic_cloudcover,Czech%20Republic_humidity,Czech%20Republic_precipMM,Czech%20Republic_pressure,Czech%20Republic_tempC,Czech%20Republic_visibility,Czech%20Republic_winddirDegree,Czech%20Republic_windspeedKmph,Czech%20Republic_location
2020-01-01,4,-1,0.0,8.1,2,37,11:36 AM,10:45 PM,08:01 AM,04:10 PM,-1,0,2,0,8,14,81,0.0,1036,4,10,241,5,Czech%20Republic
2020-01-02,5,-0,0.0,8.1,2,44,11:54 AM,11:50 PM,08:01 AM,04:11 PM,-5,2,3,2,5,0,57,0.0,1031,5,10,126,4,Czech%20Republic
2020-01-03,5,0,0.0,4.9,1,51,12:12 PM,No moonset,08:01 AM,04:12 PM,-1,-1,3,-1,27,52,75,0.0,1025,5,10,218,15,Czech%20Republic
2020-01-04,4,2,0.0,3.0,1,59,12:30 PM,12:55 AM,08:01 AM,04:13 PM,1,-1,3,-1,34,94,80,1.7,1024,4,9,279,23,Czech%20Republic
2020-01-05,3,-2,1.5,8.1,2,66,12:49 PM,02:01 AM,08:01 AM,04:14 PM,-2,-2,1,-2,15,40,76,2.4,1034,3,9,275,10,Czech%20Republic
2020-01-06,3,-2,0.0,8.2,2,73,01:12 PM,03:10 AM,08:00 AM,04:15 PM,-2,-1,1,-1,9,16,80,0.0,1031,3,10,187,6,Czech%20Republic
2020-01-07,3,-5,0.0,6.8,1,80,01:40 PM,04:19 AM,08:00 AM,04:16 PM,-2,-2,1,-2,17,41,80,0.0,1027,3,10,233,10,Czech%20Republic
2020-01-08,4,-1,0.0,6.8,1,88,02:15 PM,05:30 AM,08:00 AM,04:18 PM,-1,-1,2,-1,19,44,81,0.2,1028,4,9,218,11,Czech%20Republic
2020-01-09,5,1,0.0,3.2,1,95,03:00 PM,06:39 AM,07:59 AM,04:19 PM,3,2,5,2,14,98,88,12.5,1023,5,8,200,8,Czech%20Republic
2020-01-10,8,1,0.0,5.1,2,100,03:58 PM,07:43 AM,07:59 AM,04:20 PM,2,2,5,2,27,63,77,0.2,1019,8,10,216,17,Czech%20Republic
2020-01-11,4,3,0.0,3.2,1,100,05:07 PM,08:36 AM,07:58 AM,04:22 PM,1,1,4,1,18,72,82,0.0,1030,4,10,269,11,Czech%20Republic
2020-01-12,3,0,0.0,3.2,1,83,06:24 PM,09:21 AM,07:58 AM,04:23 PM,-2,-1,2,-1,18,57,78,0.0,1028,3,10,192,10,Czech%20Republic
2020-01-13,5,0,0.0,8.7,2,76,07:46 PM,09:56 AM,07:57 AM,04:24 PM,0,-0,3,-0,18,41,83,0.0,1024,5,10,208,10,Czech%20Republic
2020-01-14,5,-1,0.0,8.7,1,69,09:08 PM,10:24 AM,07:56 AM,04:26 PM,-2,-1,2,-1,18,31,74,0.0,1019,5,10,178,10,Czech%20Republic
2020-01-15,4,0,0.0,6.9,1,61,10:28 PM,10:49 AM,07:56 AM,04:27 PM,-3,-1,2,-1,15,34,72,0.0,1021,4,10,160,9,Czech%20Republic
2020-01-16,6,1,0.0,6.9,1,54,11:48 PM,11:11 AM,07:55 AM,04:29 PM,1,2,4,2,10,38,86,0.0,1029,6,10,171,5,Czech%20Republic
2020-01-17,5,1,0.0,8.7,2,47,No moonrise,11:33 AM,07:54 AM,04:30 PM,0,1,3,1,14,19,85,0.0,1024,5,10,140,9,Czech%20Republic
2020-01-18,5,1,0.0,8.7,1,40,01:06 AM,11:56 AM,07:53 AM,04:32 PM,-1,-1,3,-1,21,47,77,3.5,1023,5,10,233,14,Czech%20Republic
2020-01-19,2,1,1.3,3.3,1,32,02:23 AM,12:21 PM,07:52 AM,04:33 PM,-0,-1,1,-1,13,90,90,1.8,1030,2,6,283,9,Czech%20Republic
2020-01-20,3,-1,0.0,5.1,1,25,03:39 AM,12:51 PM,07:51 AM,04:35 PM,-1,0,2,0,9,75,82,0.0,1045,3,10,185,6,Czech%20Republic
2020-01-21,5,1,0.0,8.7,2,18,04:52 AM,01:28 PM,07:51 AM,04:37 PM,-1,1,2,1,5,2,81,0.0,1043,5,10,194,4,Czech%20Republic
