date_time,Djibouti_maxtempC,Djibouti_mintempC,Djibouti_totalSnow_cm,Djibouti_sunHour,Djibouti_uvIndex,Djibouti_moon_illumination,Djibouti_moonrise,Djibouti_moonset,Djibouti_sunrise,Djibouti_sunset,Djibouti_DewPointC,Djibouti_FeelsLikeC,Djibouti_HeatIndexC,Djibouti_WindChillC,Djibouti_WindGustKmph,Djibouti_cloudcover,Djibouti_humidity,Djibouti_precipMM,Djibouti_pressure,Djibouti_tempC,Djibouti_visibility,Djibouti_winddirDegree,Djibouti_windspeedKmph,Djibouti_location
2020-01-01,28,25,0.0,7.2,6,37,11:05 AM,11:12 PM,06:27 AM,05:55 PM,21,28,28,26,21,48,75,0.9,1013,28,10,89,15,Djibouti
2020-01-02,28,25,0.0,4.2,6,44,11:42 AM,11:57 PM,06:27 AM,05:55 PM,20,28,28,26,22,59,71,0.6,1014,28,10,103,16,Djibouti
2020-01-03,28,25,0.0,4.2,6,51,12:19 PM,No moonset,06:27 AM,05:56 PM,21,28,28,26,27,65,74,1.5,1015,28,10,91,20,Djibouti
2020-01-04,27,25,0.0,7.2,6,59,12:56 PM,12:42 AM,06:28 AM,05:56 PM,21,28,28,26,23,44,73,0.5,1014,27,10,98,19,Djibouti
2020-01-05,28,24,0.0,7.2,6,66,01:35 PM,01:28 AM,06:28 AM,05:57 PM,20,27,27,26,16,42,69,0.3,1012,28,10,107,12,Djibouti
2020-01-06,29,24,0.0,8.7,7,73,02:16 PM,02:16 AM,06:29 AM,05:57 PM,20,28,28,26,14,24,71,0.0,1013,29,10,86,10,Djibouti
2020-01-07,28,25,0.0,5.7,6,80,03:02 PM,03:06 AM,06:29 AM,05:58 PM,22,29,29,26,22,54,78,3.0,1014,28,10,69,16,Djibouti
2020-01-08,28,25,0.0,7.2,6,88,03:52 PM,04:00 AM,06:29 AM,05:58 PM,21,28,28,26,18,38,72,0.6,1014,28,10,95,13,Djibouti
2020-01-09,27,25,0.0,5.7,6,95,04:46 PM,04:57 AM,06:29 AM,05:59 PM,21,28,28,26,18,41,73,0.3,1013,27,10,112,14,Djibouti
2020-01-10,28,24,0.0,10.2,6,100,05:45 PM,05:56 AM,06:30 AM,06:00 PM,21,28,28,26,13,36,73,0.2,1012,28,10,124,10,Djibouti
2020-01-11,28,25,0.0,10.2,6,100,06:46 PM,06:55 AM,06:30 AM,06:00 PM,20,28,28,26,20,51,69,0.8,1013,28,10,243,16,Djibouti
2020-01-12,28,24,0.0,8.7,6,83,07:48 PM,07:52 AM,06:30 AM,06:01 PM,17,27,27,26,27,59,61,0.0,1015,28,10,267,20,Djibouti
2020-01-13,27,25,0.0,8.7,6,76,08:48 PM,08:47 AM,06:31 AM,06:01 PM,18,27,27,26,23,56,65,0.8,1015,27,10,72,18,Djibouti
2020-01-14,27,24,0.0,7.3,6,69,09:47 PM,09:38 AM,06:31 AM,06:02 PM,18,26,26,25,17,76,67,0.5,1015,27,10,91,12,Djibouti
