date_time,Dominica_maxtempC,Dominica_mintempC,Dominica_totalSnow_cm,Dominica_sunHour,Dominica_uvIndex,Dominica_moon_illumination,Dominica_moonrise,Dominica_moonset,Dominica_sunrise,Dominica_sunset,Dominica_DewPointC,Dominica_FeelsLikeC,Dominica_HeatIndexC,Dominica_WindChillC,Dominica_WindGustKmph,Dominica_cloudcover,Dominica_humidity,Dominica_precipMM,Dominica_pressure,Dominica_tempC,Dominica_visibility,Dominica_winddirDegree,Dominica_windspeedKmph,Dominica_location
2020-01-01,27,25,0.0,4.2,6,37,11:16 AM,11:22 PM,06:32 AM,05:46 PM,22,28,28,26,23,77,78,11.3,1014,27,8,95,16,Dominica
2020-01-02,27,25,0.0,5.7,6,44,11:52 AM,No moonset,06:32 AM,05:47 PM,21,28,28,26,22,72,77,3.0,1015,27,9,72,17,Dominica
2020-01-03,27,25,0.0,4.2,6,51,12:27 PM,12:08 AM,06:32 AM,05:48 PM,22,28,28,26,20,79,78,3.5,1016,27,10,80,15,Dominica
2020-01-04,26,23,0.0,4.2,6,59,01:03 PM,12:54 AM,06:33 AM,05:48 PM,22,28,28,25,16,71,79,10.6,1016,26,9,77,11,Dominica
2020-01-05,26,21,0.0,8.7,7,66,01:42 PM,01:43 AM,06:33 AM,05:49 PM,20,27,27,25,15,37,72,0.5,1015,26,10,75,11,Dominica
2020-01-06,26,25,0.0,8.7,7,73,02:23 PM,02:32 AM,06:33 AM,05:49 PM,20,27,27,25,22,25,73,0.2,1014,26,10,70,17,Dominica
2020-01-07,26,25,0.0,5.7,6,80,03:08 PM,03:25 AM,06:34 AM,05:50 PM,20,27,27,25,26,44,74,1.4,1015,26,10,85,20,Dominica
2020-01-08,26,22,0.0,5.7,6,88,03:59 PM,04:21 AM,06:34 AM,05:51 PM,21,27,27,25,26,71,76,1.4,1017,26,10,87,21,Dominica
2020-01-09,27,24,0.0,4.2,6,95,04:54 PM,05:19 AM,06:34 AM,05:51 PM,22,28,28,26,43,78,76,5.3,1017,27,9,77,33,Dominica
2020-01-10,27,23,0.0,4.2,6,100,05:54 PM,06:18 AM,06:34 AM,05:52 PM,21,28,28,26,52,81,73,2.7,1018,27,9,70,41,Dominica
