date_time,Egypt_maxtempC,Egypt_mintempC,Egypt_totalSnow_cm,Egypt_sunHour,Egypt_uvIndex,Egypt_moon_illumination,Egypt_moonrise,Egypt_moonset,Egypt_sunrise,Egypt_sunset,Egypt_DewPointC,Egypt_FeelsLikeC,Egypt_HeatIndexC,Egypt_WindChillC,Egypt_WindGustKmph,Egypt_cloudcover,Egypt_humidity,Egypt_precipMM,Egypt_pressure,Egypt_tempC,Egypt_visibility,Egypt_winddirDegree,Egypt_windspeedKmph,Egypt_location
2020-01-01,17,13,0.0,8.7,4,37,11:07 AM,10:51 PM,06:51 AM,05:06 PM,5,14,15,14,14,34,53,0.0,1019,17,10,314,10,Egypt
2020-01-02,16,12,0.0,8.7,4,44,11:37 AM,11:44 PM,06:51 AM,05:07 PM,5,13,14,13,20,32,57,0.0,1017,16,10,299,14,Egypt
2020-01-03,14,9,0.0,8.7,3,51,12:06 PM,No moonset,06:51 AM,05:07 PM,2,9,11,9,39,29,54,0.0,1018,14,10,235,28,Egypt
2020-01-04,15,10,0.0,5.5,3,59,12:36 PM,12:36 AM,06:51 AM,05:08 PM,3,10,12,10,33,53,56,0.2,1019,15,10,250,23,Egypt
2020-01-05,16,8,0.0,8.7,4,66,01:08 PM,01:30 AM,06:52 AM,05:09 PM,3,11,12,11,25,19,53,0.0,1019,16,10,218,17,Egypt
2020-01-06,16,9,0.0,8.7,4,73,01:43 PM,02:25 AM,06:52 AM,05:10 PM,3,10,12,10,43,11,53,0.0,1015,16,10,199,29,Egypt
2020-01-07,15,10,0.0,8.7,4,80,02:21 PM,03:23 AM,06:52 AM,05:10 PM,1,10,12,10,38,21,49,0.0,1016,15,10,232,28,Egypt
2020-01-08,15,9,0.0,7.1,3,88,03:06 PM,04:22 AM,06:52 AM,05:11 PM,3,10,12,10,41,43,52,0.0,1017,15,10,263,30,Egypt
2020-01-09,15,10,0.0,7.1,3,95,03:58 PM,05:24 AM,06:52 AM,05:12 PM,5,10,12,10,36,51,62,0.6,1017,15,10,271,26,Egypt
2020-01-10,17,10,0.0,8.7,3,100,04:56 PM,06:24 AM,06:52 AM,05:13 PM,7,12,13,12,19,43,67,1.4,1018,17,10,257,13,Egypt
2020-01-11,17,13,0.0,8.7,5,100,06:00 PM,07:22 AM,06:52 AM,05:14 PM,8,14,14,14,12,18,65,0.0,1024,17,10,297,9,Egypt
2020-01-12,20,11,0.0,8.7,5,83,07:07 PM,08:15 AM,06:52 AM,05:14 PM,6,15,15,15,8,17,55,0.0,1025,20,10,292,6,Egypt
2020-01-13,21,13,0.0,8.7,5,76,08:14 PM,09:03 AM,06:52 AM,05:15 PM,8,16,17,16,13,6,62,0.0,1023,21,10,29,10,Egypt
2020-01-14,20,12,0.0,8.7,5,69,09:22 PM,09:46 AM,06:52 AM,05:16 PM,7,15,16,15,25,15,56,0.0,1021,20,10,62,17,Egypt
2020-01-15,24,15,0.0,5.6,5,61,10:27 PM,10:24 AM,06:52 AM,05:17 PM,3,19,19,19,14,40,36,0.0,1017,24,10,158,9,Egypt
2020-01-16,19,14,0.0,8.7,5,54,11:31 PM,11:01 AM,06:52 AM,05:18 PM,3,16,16,16,28,9,44,0.0,1014,19,10,220,19,Egypt
