date_time,El%20Salvador_maxtempC,El%20Salvador_mintempC,El%20Salvador_totalSnow_cm,El%20Salvador_sunHour,El%20Salvador_uvIndex,El%20Salvador_moon_illumination,El%20Salvador_moonrise,El%20Salvador_moonset,El%20Salvador_sunrise,El%20Salvador_sunset,El%20Salvador_DewPointC,El%20Salvador_FeelsLikeC,El%20Salvador_HeatIndexC,El%20Salvador_WindChillC,El%20Salvador_WindGustKmph,El%20Salvador_cloudcover,El%20Salvador_humidity,El%20Salvador_precipMM,El%20Salvador_pressure,El%20Salvador_tempC,El%20Salvador_visibility,El%20Salvador_winddirDegree,El%20Salvador_windspeedKmph,El%20Salvador_location
2020-01-01,31,19,0.0,8.7,7,37,11:09 AM,11:17 PM,06:20 AM,05:41 PM,18,26,26,25,8,25,77,3.3,1012,31,10,289,5,El%20Salvador
2020-01-02,30,19,0.0,5.7,5,44,11:46 AM,No moonset,06:20 AM,05:41 PM,19,24,24,23,6,49,78,3.0,1012,30,9,233,4,El%20Salvador
2020-01-03,31,20,0.0,8.7,7,51,12:21 PM,12:03 AM,06:21 AM,05:42 PM,19,26,26,25,5,21,76,0.0,1014,31,10,275,4,El%20Salvador
2020-01-04,31,20,0.0,8.7,7,59,12:58 PM,12:49 AM,06:21 AM,05:42 PM,18,27,27,26,8,23,70,0.0,1017,31,10,258,5,El%20Salvador
2020-01-05,28,18,0.0,8.7,6,66,01:38 PM,01:36 AM,06:21 AM,05:43 PM,14,24,24,23,18,11,62,0.0,1018,28,10,307,13,El%20Salvador
2020-01-06,31,17,0.0,8.7,7,73,02:19 PM,02:26 AM,06:22 AM,05:43 PM,14,24,24,23,12,26,63,0.0,1016,31,10,345,8,El%20Salvador
2020-01-07,32,18,0.0,8.7,7,80,03:06 PM,03:18 AM,06:22 AM,05:44 PM,15,26,26,24,12,12,64,0.0,1015,32,10,307,8,El%20Salvador
2020-01-08,31,20,0.0,8.7,7,88,03:57 PM,04:14 AM,06:22 AM,05:45 PM,16,25,25,24,14,7,65,0.0,1015,31,10,264,11,El%20Salvador
2020-01-09,32,18,0.0,8.7,7,95,04:53 PM,05:12 AM,06:23 AM,05:45 PM,16,26,26,25,10,19,65,0.0,1014,32,10,271,8,El%20Salvador
2020-01-10,33,19,0.0,8.7,7,100,05:53 PM,06:11 AM,06:23 AM,05:46 PM,16,27,27,26,10,15,62,0.0,1012,33,10,161,7,El%20Salvador
