date_time,Eritrea_maxtempC,Eritrea_mintempC,Eritrea_totalSnow_cm,Eritrea_sunHour,Eritrea_uvIndex,Eritrea_moon_illumination,Eritrea_moonrise,Eritrea_moonset,Eritrea_sunrise,Eritrea_sunset,Eritrea_DewPointC,Eritrea_FeelsLikeC,Eritrea_HeatIndexC,Eritrea_WindChillC,Eritrea_WindGustKmph,Eritrea_cloudcover,Eritrea_humidity,Eritrea_precipMM,Eritrea_pressure,Eritrea_tempC,Eritrea_visibility,Eritrea_winddirDegree,Eritrea_windspeedKmph,Eritrea_location
2020-01-01,19,12,0.0,7.2,4,37,11:25 AM,11:28 PM,06:50 AM,06:05 PM,12,15,15,15,11,59,79,0.5,1013,19,10,54,7,Eritrea
2020-01-02,19,13,0.0,8.7,4,44,12:00 PM,No moonset,06:51 AM,06:05 PM,11,16,16,16,11,43,76,0.7,1013,19,10,48,6,Eritrea
2020-01-03,20,14,0.0,8.7,4,51,12:36 PM,12:14 AM,06:51 AM,06:06 PM,11,16,16,16,12,30,73,0.7,1014,20,10,49,7,Eritrea
2020-01-04,18,13,0.0,10.1,4,59,01:12 PM,01:00 AM,06:51 AM,06:06 PM,12,15,15,15,17,41,79,1.8,1014,18,10,53,10,Eritrea
2020-01-05,17,13,0.0,8.7,4,66,01:50 PM,01:48 AM,06:52 AM,06:07 PM,12,15,15,15,11,52,84,0.9,1013,17,10,91,7,Eritrea
2020-01-06,21,13,0.0,11.6,5,73,02:29 PM,02:37 AM,06:52 AM,06:07 PM,9,16,16,16,6,8,67,0.0,1014,21,10,194,4,Eritrea
2020-01-07,20,14,0.0,11.6,5,80,03:14 PM,03:29 AM,06:52 AM,06:08 PM,9,17,17,17,6,4,60,0.0,1015,20,10,47,4,Eritrea
2020-01-08,18,12,0.0,8.7,4,88,04:03 PM,04:23 AM,06:53 AM,06:09 PM,11,15,15,15,9,37,76,0.7,1014,18,10,52,5,Eritrea
2020-01-09,20,13,0.0,11.6,5,95,04:57 PM,05:22 AM,06:53 AM,06:09 PM,10,16,16,16,9,24,73,0.1,1014,20,10,204,6,Eritrea
2020-01-10,19,12,0.0,11.6,5,100,05:55 PM,06:20 AM,06:53 AM,06:10 PM,6,15,15,15,13,6,60,0.0,1014,19,10,241,8,Eritrea
2020-01-11,17,9,0.0,11.6,4,100,06:57 PM,07:20 AM,06:53 AM,06:10 PM,3,12,13,12,8,4,54,0.0,1016,17,10,181,5,Eritrea
2020-01-12,19,7,0.0,11.6,4,83,08:00 PM,08:16 AM,06:54 AM,06:11 PM,3,11,11,11,9,4,59,0.0,1017,19,10,54,5,Eritrea
2020-01-13,21,11,0.0,11.6,5,76,09:02 PM,09:09 AM,06:54 AM,06:12 PM,4,15,16,15,5,1,48,0.0,1016,21,10,147,3,Eritrea
2020-01-14,19,12,0.0,11.6,5,69,10:01 PM,09:58 AM,06:54 AM,06:12 PM,2,15,15,15,11,0,44,0.0,1015,19,10,49,7,Eritrea
2020-01-15,19,10,0.0,11.6,5,61,10:59 PM,10:44 AM,06:54 AM,06:13 PM,1,13,14,13,20,1,44,0.0,1014,19,10,59,11,Eritrea
2020-01-16,23,12,0.0,11.6,5,54,11:56 PM,11:29 AM,06:54 AM,06:13 PM,6,18,18,18,8,1,48,0.0,1013,23,10,61,4,Eritrea
2020-01-17,24,14,0.0,11.6,5,47,No moonrise,12:12 PM,06:54 AM,06:14 PM,6,18,18,18,5,3,49,0.0,1012,24,10,142,3,Eritrea
2020-01-18,20,13,0.0,11.6,5,40,12:52 AM,12:56 PM,06:54 AM,06:14 PM,9,16,16,16,9,7,66,0.0,1014,20,10,42,5,Eritrea
2020-01-19,18,11,0.0,11.6,4,32,01:49 AM,01:41 PM,06:54 AM,06:15 PM,9,13,14,13,14,21,77,0.0,1015,18,10,49,8,Eritrea
2020-01-20,18,10,0.0,11.6,4,25,02:45 AM,02:28 PM,06:55 AM,06:16 PM,9,12,13,12,17,31,79,0.1,1016,18,10,49,9,Eritrea
2020-01-21,21,11,0.0,11.6,5,18,03:43 AM,03:18 PM,06:55 AM,06:16 PM,7,15,15,15,7,14,63,0.1,1015,21,10,173,4,Eritrea
2020-01-22,19,9,0.0,11.6,4,11,04:39 AM,04:10 PM,06:55 AM,06:17 PM,5,13,14,13,10,8,64,0.0,1014,19,10,113,6,Eritrea
2020-01-23,18,9,0.0,11.6,4,3,05:35 AM,05:05 PM,06:55 AM,06:17 PM,5,12,12,12,10,12,66,0.0,1016,18,10,172,6,Eritrea
2020-01-24,19,9,0.0,11.6,4,0,06:27 AM,05:59 PM,06:55 AM,06:18 PM,3,13,13,13,14,7,57,0.0,1017,19,10,176,9,Eritrea
2020-01-25,19,11,0.0,11.6,5,0,07:17 AM,06:52 PM,06:54 AM,06:18 PM,3,14,14,14,7,3,50,0.0,1018,19,10,224,5,Eritrea
2020-01-26,20,9,0.0,11.6,5,4,08:02 AM,07:44 PM,06:54 AM,06:19 PM,2,13,14,13,7,1,48,0.0,1018,20,10,107,5,Eritrea
2020-01-27,21,10,0.0,11.6,5,11,08:43 AM,08:33 PM,06:54 AM,06:19 PM,4,14,15,14,7,1,50,0.0,1016,21,10,117,4,Eritrea
2020-01-28,23,12,0.0,11.6,5,18,09:22 AM,09:21 PM,06:54 AM,06:20 PM,3,18,18,18,6,0,39,0.0,1014,23,10,210,4,Eritrea
2020-01-29,22,12,0.0,10.2,4,26,09:58 AM,10:07 PM,06:54 AM,06:20 PM,5,16,17,16,6,20,48,0.2,1014,22,10,214,4,Eritrea
2020-01-30,19,11,0.0,8.7,4,33,10:33 AM,10:53 PM,06:54 AM,06:21 PM,9,14,14,14,13,45,75,0.7,1015,19,9,97,7,Eritrea
2020-01-31,21,11,0.0,11.6,5,37,11:09 AM,11:40 PM,06:54 AM,06:21 PM,7,16,16,16,9,5,57,0.0,1014,21,10,230,6,Eritrea
2020-02-01,19,12,0.0,10.2,4,49,11:45 AM,No moonset,06:54 AM,06:22 PM,9,15,15,15,9,20,68,0.2,1014,19,10,97,5,Eritrea
2020-02-02,19,11,0.0,11.6,5,57,12:23 PM,12:27 AM,06:53 AM,06:22 PM,9,14,14,14,9,23,73,0.1,1015,19,10,113,5,Eritrea
2020-02-03,20,12,0.0,11.6,5,64,01:05 PM,01:17 AM,06:53 AM,06:23 PM,9,16,16,16,9,8,67,0.0,1015,20,10,111,5,Eritrea
2020-02-04,22,12,0.0,10.2,4,72,01:50 PM,02:09 AM,06:53 AM,06:23 PM,10,17,17,17,9,21,67,0.1,1013,22,10,174,5,Eritrea
2020-02-05,22,13,0.0,11.6,5,79,02:41 PM,03:05 AM,06:53 AM,06:24 PM,8,17,17,17,6,6,59,0.0,1013,22,10,198,4,Eritrea
2020-02-06,23,14,0.0,11.6,5,87,03:37 PM,04:02 AM,06:52 AM,06:24 PM,6,18,18,18,7,2,49,0.0,1015,23,10,101,4,Eritrea
2020-02-07,20,13,0.0,10.2,4,95,04:37 PM,05:01 AM,06:52 AM,06:24 PM,7,16,16,16,16,15,57,0.1,1015,20,10,49,9,Eritrea
2020-02-08,19,13,0.0,11.6,5,100,05:40 PM,05:59 AM,06:52 AM,06:25 PM,10,15,16,15,16,18,73,0.0,1016,19,10,61,9,Eritrea
2020-02-09,19,12,0.0,11.6,4,100,06:44 PM,06:55 AM,06:51 AM,06:25 PM,11,14,14,14,18,29,79,0.1,1016,19,10,58,10,Eritrea
2020-02-10,22,12,0.0,11.6,5,83,07:47 PM,07:48 AM,06:51 AM,06:26 PM,9,16,17,16,8,10,69,0.0,1015,22,10,137,5,Eritrea
2020-02-11,20,12,0.0,11.6,5,75,08:48 PM,08:37 AM,06:51 AM,06:26 PM,6,15,15,15,8,7,62,0.0,1015,20,10,190,5,Eritrea
2020-02-12,20,9,0.0,11.6,5,68,09:47 PM,09:24 AM,06:50 AM,06:26 PM,4,14,14,14,9,4,55,0.0,1016,20,10,113,6,Eritrea
2020-02-13,21,11,0.0,11.6,5,60,10:45 PM,10:08 AM,06:50 AM,06:27 PM,6,16,16,16,10,3,54,0.0,1016,21,10,83,6,Eritrea
2020-02-14,20,12,0.0,10.2,4,53,11:43 PM,10:53 AM,06:50 AM,06:27 PM,10,15,15,15,15,25,75,0.1,1014,20,10,72,9,Eritrea
2020-02-15,23,13,0.0,11.6,5,45,No moonrise,11:39 AM,06:49 AM,06:28 PM,8,18,18,18,9,5,56,0.0,1012,23,10,81,6,Eritrea
2020-02-16,25,15,0.0,11.6,6,38,12:41 AM,12:26 PM,06:49 AM,06:28 PM,5,20,20,20,9,3,40,0.0,1010,25,10,263,6,Eritrea
2020-02-17,24,16,0.0,11.6,6,30,01:39 AM,01:16 PM,06:48 AM,06:28 PM,7,20,20,20,6,3,46,0.0,1011,24,10,216,4,Eritrea
2020-02-18,25,15,0.0,10.2,5,22,02:35 AM,02:07 PM,06:48 AM,06:29 PM,9,20,20,20,5,12,51,0.2,1012,25,10,89,4,Eritrea
2020-02-19,24,15,0.0,8.8,5,15,03:31 AM,03:00 PM,06:47 AM,06:29 PM,10,19,20,19,6,23,56,0.8,1012,24,10,182,4,Eritrea
2020-02-20,20,13,0.0,11.6,4,7,04:23 AM,03:53 PM,06:47 AM,06:29 PM,11,16,16,16,11,35,76,0.2,1013,20,10,140,6,Eritrea
2020-02-21,25,14,0.0,11.6,6,0,05:13 AM,04:46 PM,06:46 AM,06:29 PM,10,19,19,19,4,3,56,0.0,1013,25,10,153,3,Eritrea
2020-02-22,24,16,0.0,11.6,6,0,05:58 AM,05:38 PM,06:46 AM,06:30 PM,10,19,20,19,7,2,55,0.0,1013,24,10,73,5,Eritrea
2020-02-23,22,13,0.0,11.6,5,0,06:41 AM,06:27 PM,06:45 AM,06:30 PM,8,17,18,17,13,3,56,0.0,1012,22,10,74,8,Eritrea
