date_time,Gambia_maxtempC,Gambia_mintempC,Gambia_totalSnow_cm,Gambia_sunHour,Gambia_uvIndex,Gambia_moon_illumination,Gambia_moonrise,Gambia_moonset,Gambia_sunrise,Gambia_sunset,Gambia_DewPointC,Gambia_FeelsLikeC,Gambia_HeatIndexC,Gambia_WindChillC,Gambia_WindGustKmph,Gambia_cloudcover,Gambia_humidity,Gambia_precipMM,Gambia_pressure,Gambia_tempC,Gambia_visibility,Gambia_winddirDegree,Gambia_windspeedKmph,Gambia_location
2020-01-01,30,23,0.0,11.2,7,37,12:11 PM,No moonset,07:29 AM,06:50 PM,9,26,26,25,40,9,35,0.0,1012,30,10,56,22,Gambia
2020-01-02,29,22,0.0,11.2,6,44,12:47 PM,12:17 AM,07:30 AM,06:51 PM,9,25,25,25,43,23,37,0.0,1013,29,10,170,24,Gambia
2020-01-03,29,22,0.0,11.2,7,51,01:24 PM,01:03 AM,07:30 AM,06:51 PM,9,26,26,25,38,9,35,0.0,1013,29,10,89,21,Gambia
2020-01-04,28,22,0.0,11.2,6,59,02:00 PM,01:49 AM,07:31 AM,06:52 PM,9,25,25,25,43,18,37,0.0,1014,28,10,84,24,Gambia
2020-01-05,28,21,0.0,11.2,6,66,02:39 PM,02:36 AM,07:31 AM,06:52 PM,8,25,25,24,40,2,36,0.0,1013,28,10,80,23,Gambia
2020-01-06,28,20,0.0,11.2,6,73,03:21 PM,03:25 AM,07:31 AM,06:53 PM,8,24,24,24,44,6,36,0.0,1013,28,10,78,25,Gambia
2020-01-07,27,20,0.0,11.2,6,80,04:06 PM,04:16 AM,07:32 AM,06:54 PM,8,23,23,23,42,12,39,0.0,1013,27,10,110,25,Gambia
2020-01-08,26,19,0.0,11.2,6,88,04:56 PM,05:12 AM,07:32 AM,06:54 PM,7,23,23,23,41,12,38,0.0,1013,26,10,110,25,Gambia
2020-01-09,27,19,0.0,11.2,6,95,05:51 PM,06:09 AM,07:32 AM,06:55 PM,7,23,23,23,42,21,36,0.0,1014,27,10,70,26,Gambia
2020-01-10,27,20,0.0,11.2,6,100,06:50 PM,07:08 AM,07:32 AM,06:55 PM,7,24,24,23,45,2,35,0.0,1014,27,10,34,27,Gambia
2020-01-11,28,20,0.0,11.2,6,100,07:52 PM,08:07 AM,07:33 AM,06:56 PM,8,24,24,23,43,3,38,0.0,1014,28,10,154,24,Gambia
2020-01-12,27,21,0.0,11.2,6,83,08:54 PM,09:03 AM,07:33 AM,06:56 PM,9,25,25,24,39,5,40,0.0,1013,27,10,149,21,Gambia
2020-01-13,28,22,0.0,11.2,6,76,09:55 PM,09:57 AM,07:33 AM,06:57 PM,9,25,25,25,40,2,38,0.0,1012,28,10,115,21,Gambia
2020-01-14,28,21,0.0,11.3,6,69,10:54 PM,10:46 AM,07:33 AM,06:58 PM,10,25,25,24,43,1,41,0.0,1011,28,10,118,22,Gambia
2020-01-15,28,21,0.0,11.3,6,61,11:51 PM,11:33 AM,07:33 AM,06:58 PM,9,25,25,24,41,15,39,0.0,1012,28,10,70,21,Gambia
2020-01-16,28,22,0.0,11.3,6,54,No moonrise,12:17 PM,07:34 AM,06:59 PM,9,25,25,24,39,19,37,0.0,1013,28,10,157,20,Gambia
2020-01-17,29,21,0.0,11.3,6,47,12:46 AM,01:02 PM,07:34 AM,06:59 PM,8,25,25,24,42,10,34,0.0,1013,29,10,43,21,Gambia
2020-01-18,29,21,0.0,11.6,6,40,01:42 AM,01:46 PM,07:34 AM,07:00 PM,9,26,26,25,40,2,37,0.0,1013,29,10,125,20,Gambia
2020-01-19,28,22,0.0,11.6,6,32,02:37 AM,02:32 PM,07:34 AM,07:00 PM,10,25,25,24,38,13,41,0.0,1012,28,10,158,19,Gambia
2020-01-20,26,22,0.0,11.6,6,25,03:34 AM,03:21 PM,07:34 AM,07:01 PM,10,25,25,24,29,6,43,0.0,1010,26,10,231,14,Gambia
