date_time,Greenland_maxtempC,Greenland_mintempC,Greenland_totalSnow_cm,Greenland_sunHour,Greenland_uvIndex,Greenland_moon_illumination,Greenland_moonrise,Greenland_moonset,Greenland_sunrise,Greenland_sunset,Greenland_DewPointC,Greenland_FeelsLikeC,Greenland_HeatIndexC,Greenland_WindChillC,Greenland_WindGustKmph,Greenland_cloudcover,Greenland_humidity,Greenland_precipMM,Greenland_pressure,Greenland_tempC,Greenland_visibility,Greenland_winddirDegree,Greenland_windspeedKmph,Greenland_location
2020-01-01,-6,-11,3.1,0.5,1,37,12:31 PM,11:02 PM,10:20 AM,02:41 PM,-10,-12,-7,-12,19,98,79,4.1,1007,-6,5,178,14,Greenland
2020-01-02,-5,-7,1.5,0.5,1,44,12:32 PM,No moonset,10:19 AM,02:43 PM,-8,-11,-5,-11,25,70,79,2.1,1009,-5,6,155,17,Greenland
2020-01-03,-2,-8,0.0,0.5,1,51,12:33 PM,12:25 AM,10:17 AM,02:45 PM,-12,-9,-4,-9,25,55,53,0.0,1002,-2,10,55,16,Greenland
2020-01-04,-3,-6,0.3,0.5,1,59,12:34 PM,01:49 AM,10:16 AM,02:48 PM,-9,-11,-4,-11,26,68,72,0.5,990,-3,8,195,21,Greenland
2020-01-05,-6,-13,1.5,0.5,1,66,12:36 PM,03:15 AM,10:15 AM,02:50 PM,-9,-11,-7,-11,20,100,82,2.6,985,-6,6,279,16,Greenland
2020-01-06,-16,-23,4.5,0.5,1,73,12:40 PM,04:44 AM,10:13 AM,02:52 PM,-17,-25,-16,-25,30,100,87,8.0,989,-16,2,270,26,Greenland
2020-01-07,-14,-19,1.1,0.6,1,80,12:46 PM,06:17 AM,10:12 AM,02:55 PM,-17,-25,-15,-25,35,99,84,4.5,988,-14,3,260,30,Greenland
2020-01-08,-12,-20,1.4,0.6,1,88,01:00 PM,07:53 AM,10:10 AM,02:58 PM,-17,-23,-15,-23,36,100,77,4.8,997,-12,4,271,29,Greenland
2020-01-09,-11,-15,5.4,1.2,1,95,01:29 PM,09:21 AM,10:08 AM,03:00 PM,-14,-18,-12,-18,20,99,83,11.4,1000,-11,2,144,16,Greenland
2020-01-10,-15,-20,0.3,1.2,1,100,02:26 PM,10:27 AM,10:06 AM,03:03 PM,-18,-24,-15,-24,28,83,74,0.5,991,-15,9,43,21,Greenland
2020-01-11,-13,-18,0.0,1.3,1,100,03:56 PM,11:02 AM,10:04 AM,03:06 PM,-20,-22,-14,-22,23,75,59,0.0,994,-13,10,76,17,Greenland
2020-01-12,-12,-13,0.0,5.1,2,83,05:42 PM,11:20 AM,10:02 AM,03:09 PM,-18,-21,-13,-21,27,11,62,0.0,995,-12,10,48,19,Greenland
2020-01-13,-10,-13,1.5,1.3,1,76,07:30 PM,11:28 AM,10:00 AM,03:12 PM,-15,-17,-11,-17,17,63,71,3.2,1002,-10,6,159,14,Greenland
2020-01-14,-10,-13,3.8,1.4,1,69,09:16 PM,11:33 AM,09:58 AM,03:15 PM,-14,-16,-11,-16,14,96,81,4.5,1004,-10,4,160,11,Greenland
2020-01-15,-12,-19,2.0,1.4,1,61,10:59 PM,11:36 AM,09:56 AM,03:18 PM,-17,-19,-13,-19,23,95,70,2.3,999,-12,5,157,17,Greenland
2020-01-16,-6,-15,0.2,1.4,1,54,No moonrise,11:38 AM,09:53 AM,03:21 PM,-14,-18,-10,-18,37,85,72,0.9,996,-6,7,185,28,Greenland
2020-01-17,-11,-18,0.0,5.7,1,47,12:40 AM,11:40 AM,09:51 AM,03:24 PM,-17,-18,-12,-18,22,54,63,0.0,1002,-11,10,75,15,Greenland
2020-01-18,-7,-13,0.0,5.8,1,40,02:21 AM,11:42 AM,09:49 AM,03:27 PM,-14,-15,-8,-15,24,56,62,0.0,995,-7,10,53,19,Greenland
2020-01-19,-7,-13,0.7,1.5,1,32,04:02 AM,11:46 AM,09:46 AM,03:30 PM,-12,-16,-8,-16,29,100,78,1.4,986,-7,7,304,25,Greenland
2020-01-20,-4,-10,3.3,1.5,1,25,05:43 AM,11:53 AM,09:44 AM,03:33 PM,-9,-15,-6,-15,50,100,82,18.9,1000,-4,1,165,41,Greenland
2020-01-21,-3,-11,2.7,1.5,1,18,07:21 AM,12:07 PM,09:41 AM,03:37 PM,-9,-9,-4,-9,25,97,67,5.7,991,-3,5,115,21,Greenland
2020-01-22,-4,-12,0.3,1.5,1,11,08:45 AM,12:36 PM,09:38 AM,03:40 PM,-9,-14,-6,-14,44,95,79,2.4,1000,-4,4,215,36,Greenland
2020-01-23,-5,-11,0.0,1.5,1,3,09:43 AM,01:31 PM,09:36 AM,03:43 PM,-9,-15,-7,-15,46,100,75,5.8,1002,-5,1,162,39,Greenland
