date_time,Guam_maxtempC,Guam_mintempC,Guam_totalSnow_cm,Guam_sunHour,Guam_uvIndex,Guam_moon_illumination,Guam_moonrise,Guam_moonset,Guam_sunrise,Guam_sunset,Guam_DewPointC,Guam_FeelsLikeC,Guam_HeatIndexC,Guam_WindChillC,Guam_WindGustKmph,Guam_cloudcover,Guam_humidity,Guam_precipMM,Guam_pressure,Guam_tempC,Guam_visibility,Guam_winddirDegree,Guam_windspeedKmph,Guam_location
2020-01-01,24,14,0.0,4.0,4,37,11:33 AM,11:31 PM,06:58 AM,05:34 PM,12,18,18,18,12,61,72,10.1,1012,24,9,173,7,Guam
2020-01-02,22,13,0.0,8.7,4,44,12:05 PM,No moonset,06:59 AM,05:34 PM,12,16,17,16,11,31,76,5.0,1014,22,10,190,7,Guam
2020-01-03,25,13,0.0,8.7,5,51,12:36 PM,12:21 AM,06:59 AM,05:35 PM,10,18,19,18,12,2,66,0.0,1019,25,10,184,7,Guam
2020-01-04,28,12,0.0,8.7,6,59,01:09 PM,01:12 AM,06:59 AM,05:36 PM,5,19,19,19,11,0,47,0.0,1021,28,10,223,6,Guam
2020-01-05,28,14,0.0,8.7,5,66,01:43 PM,02:04 AM,06:59 AM,05:36 PM,5,21,21,21,8,27,39,0.0,1020,28,10,149,4,Guam
2020-01-06,28,14,0.0,7.1,5,73,02:21 PM,02:58 AM,06:59 AM,05:37 PM,8,20,20,20,8,58,49,0.0,1019,28,10,186,5,Guam
2020-01-07,29,15,0.0,8.7,6,80,03:04 PM,03:55 AM,07:00 AM,05:38 PM,8,21,21,21,8,3,51,0.0,1017,29,10,243,4,Guam
2020-01-08,28,14,0.0,8.7,6,88,03:53 PM,04:54 AM,07:00 AM,05:39 PM,8,21,21,21,6,16,52,0.0,1016,28,10,189,4,Guam
2020-01-09,28,15,0.0,8.7,6,95,04:47 PM,05:54 AM,07:00 AM,05:39 PM,10,22,22,21,9,17,54,0.0,1016,28,10,166,5,Guam
2020-01-10,26,15,0.0,8.7,6,100,05:48 PM,06:54 AM,07:00 AM,05:40 PM,8,19,20,19,13,0,54,0.0,1017,26,10,225,8,Guam
2020-01-11,26,12,0.0,8.7,5,100,06:52 PM,07:51 AM,07:00 AM,05:41 PM,3,18,18,18,11,1,42,0.0,1016,26,10,247,6,Guam
2020-01-12,28,13,0.0,8.7,5,83,07:58 PM,08:43 AM,07:00 AM,05:41 PM,2,20,20,20,7,37,37,0.0,1015,28,10,158,4,Guam
2020-01-13,31,15,0.0,8.7,6,76,09:04 PM,09:31 AM,07:00 AM,05:42 PM,1,22,22,22,8,14,29,0.0,1016,31,10,179,5,Guam
2020-01-14,30,15,0.0,7.1,5,69,10:07 PM,10:14 AM,07:00 AM,05:43 PM,2,22,22,22,10,23,31,0.0,1016,30,10,166,5,Guam
2020-01-15,31,18,0.0,5.5,5,61,11:10 PM,10:54 AM,07:00 AM,05:44 PM,4,24,24,23,9,56,33,0.0,1014,31,10,218,5,Guam
2020-01-16,30,19,0.0,8.7,7,54,No moonrise,11:33 AM,07:00 AM,05:44 PM,7,24,24,24,13,19,35,0.0,1015,30,10,251,8,Guam
2020-01-17,31,20,0.0,8.7,7,47,12:11 AM,12:12 PM,07:00 AM,05:45 PM,10,26,26,25,16,11,42,0.0,1016,31,10,243,10,Guam
2020-01-18,30,17,0.0,8.7,6,40,01:12 AM,12:51 PM,07:00 AM,05:46 PM,11,22,22,22,11,3,56,0.0,1016,30,10,270,7,Guam
2020-01-19,30,14,0.0,8.7,6,32,02:12 AM,01:34 PM,07:00 AM,05:47 PM,12,21,21,21,8,10,64,0.0,1016,30,10,292,5,Guam
2020-01-20,29,15,0.0,7.2,5,25,03:13 AM,02:18 PM,06:59 AM,05:47 PM,11,21,21,21,8,18,61,0.0,1017,29,10,290,5,Guam
2020-01-21,29,14,0.0,8.7,6,18,04:13 AM,03:07 PM,06:59 AM,05:48 PM,8,21,21,21,10,26,48,0.0,1017,29,10,244,7,Guam
2020-01-22,28,18,0.0,8.7,6,11,05:11 AM,04:00 PM,06:59 AM,05:49 PM,8,23,23,22,11,25,43,0.0,1016,28,10,298,7,Guam
2020-01-23,28,15,0.0,8.7,6,3,06:05 AM,04:54 PM,06:59 AM,05:50 PM,12,21,21,21,7,0,64,0.0,1015,28,10,224,5,Guam
2020-01-24,28,14,0.0,8.7,5,0,06:56 AM,05:50 PM,06:59 AM,05:50 PM,13,21,21,21,6,20,70,0.0,1014,28,10,173,5,Guam
2020-01-25,27,16,0.0,8.7,6,0,07:41 AM,06:45 PM,06:58 AM,05:51 PM,12,22,22,21,8,32,67,0.0,1016,27,10,204,6,Guam
2020-01-26,28,14,0.0,8.7,6,4,08:21 AM,07:39 PM,06:58 AM,05:52 PM,12,21,21,20,8,3,65,0.0,1018,28,10,155,6,Guam
2020-01-27,28,15,0.0,8.7,6,11,08:58 AM,08:31 PM,06:58 AM,05:53 PM,12,21,21,21,9,1,63,0.0,1017,28,10,205,6,Guam
2020-01-28,29,15,0.0,8.7,6,18,09:32 AM,09:23 PM,06:57 AM,05:53 PM,10,21,21,21,9,0,56,0.0,1015,29,10,201,6,Guam
2020-01-29,27,13,0.0,8.7,6,26,10:04 AM,10:13 PM,06:57 AM,05:54 PM,10,19,19,19,9,0,59,0.0,1013,27,10,167,6,Guam
2020-01-30,25,13,0.0,7.2,4,33,10:35 AM,11:03 PM,06:57 AM,05:55 PM,9,18,18,18,13,17,63,0.3,1014,25,10,189,8,Guam
2020-01-31,27,12,0.0,8.7,6,37,11:07 AM,11:54 PM,06:56 AM,05:56 PM,5,19,19,19,11,0,45,0.0,1017,27,10,170,6,Guam
2020-02-01,30,13,0.0,4.1,5,49,11:40 AM,No moonset,06:56 AM,05:56 PM,3,21,21,21,10,41,38,0.0,1018,30,10,162,5,Guam
2020-02-02,18,17,0.0,4.1,4,57,12:15 PM,12:46 AM,06:55 AM,05:57 PM,12,18,18,18,8,89,69,12.0,1018,18,9,61,5,Guam
