date_time,Guinea_maxtempC,Guinea_mintempC,Guinea_totalSnow_cm,Guinea_sunHour,Guinea_uvIndex,Guinea_moon_illumination,Guinea_moonrise,Guinea_moonset,Guinea_sunrise,Guinea_sunset,Guinea_DewPointC,Guinea_FeelsLikeC,Guinea_HeatIndexC,Guinea_WindChillC,Guinea_WindGustKmph,Guinea_cloudcover,Guinea_humidity,Guinea_precipMM,Guinea_pressure,Guinea_tempC,Guinea_visibility,Guinea_winddirDegree,Guinea_windspeedKmph,Guinea_location
2020-01-01,31,24,0.0,11.4,7,37,11:57 AM,No moonset,07:11 AM,06:46 PM,20,29,29,27,14,9,66,0.0,1011,31,10,203,10,Guinea
2020-01-02,30,24,0.0,11.4,7,44,12:35 PM,12:07 AM,07:11 AM,06:46 PM,18,28,28,26,18,7,61,0.0,1012,30,10,208,13,Guinea
2020-01-03,29,23,0.0,11.4,7,51,01:13 PM,12:51 AM,07:12 AM,06:47 PM,15,27,27,26,17,6,51,0.0,1013,29,10,215,11,Guinea
2020-01-04,32,24,0.0,11.4,7,59,01:51 PM,01:36 AM,07:12 AM,06:47 PM,14,27,27,27,17,3,45,0.0,1012,32,10,142,11,Guinea
2020-01-05,29,24,0.0,11.4,7,66,02:30 PM,02:21 AM,07:12 AM,06:48 PM,15,27,27,26,23,1,54,0.0,1012,29,10,260,15,Guinea
2020-01-06,28,23,0.0,11.4,7,73,03:13 PM,03:09 AM,07:13 AM,06:48 PM,19,27,27,25,17,4,69,0.0,1011,28,10,252,12,Guinea
2020-01-07,29,23,0.0,11.4,7,80,04:00 PM,03:59 AM,07:13 AM,06:49 PM,18,28,28,26,16,0,62,0.0,1011,29,10,291,11,Guinea
2020-01-08,28,23,0.0,11.4,7,88,04:51 PM,04:53 AM,07:14 AM,06:49 PM,18,27,27,26,14,6,63,0.0,1012,28,10,202,10,Guinea
2020-01-09,29,24,0.0,11.4,7,95,05:47 PM,05:50 AM,07:14 AM,06:50 PM,17,28,28,26,16,10,57,0.0,1012,29,10,294,11,Guinea
2020-01-10,29,24,0.0,11.4,7,100,06:46 PM,06:49 AM,07:14 AM,06:50 PM,17,28,28,27,22,6,55,0.0,1011,29,10,253,14,Guinea
2020-01-11,29,25,0.0,11.4,7,100,07:47 PM,07:48 AM,07:14 AM,06:51 PM,21,29,29,27,22,5,71,0.0,1012,29,10,174,15,Guinea
2020-01-12,29,24,0.0,11.4,7,83,08:48 PM,08:45 AM,07:15 AM,06:51 PM,22,29,29,27,16,7,76,0.0,1012,29,10,252,11,Guinea
2020-01-13,29,21,0.0,11.4,7,76,09:47 PM,09:40 AM,07:15 AM,06:52 PM,19,27,27,26,20,1,67,0.0,1010,29,10,248,13,Guinea
2020-01-14,29,25,0.0,11.4,7,69,10:44 PM,10:31 AM,07:15 AM,06:52 PM,18,28,28,27,17,1,61,0.0,1010,29,10,213,12,Guinea
2020-01-15,30,24,0.0,11.4,7,61,11:40 PM,11:19 AM,07:15 AM,06:53 PM,20,28,28,27,16,1,67,0.0,1011,30,10,212,11,Guinea
2020-01-16,29,24,0.0,11.4,7,54,No moonrise,12:06 PM,07:16 AM,06:53 PM,19,28,28,27,19,2,63,0.0,1011,29,10,236,13,Guinea
2020-01-17,30,25,0.0,11.4,7,47,12:33 AM,12:51 PM,07:16 AM,06:54 PM,21,30,30,27,14,3,71,0.0,1012,30,10,129,10,Guinea
2020-01-18,30,24,0.0,11.4,7,40,01:27 AM,01:38 PM,07:16 AM,06:54 PM,22,29,29,26,17,4,76,0.0,1012,30,10,254,12,Guinea
2020-01-19,28,23,0.0,11.4,7,32,02:21 AM,02:25 PM,07:16 AM,06:55 PM,21,28,28,26,17,5,76,0.0,1012,28,10,253,12,Guinea
2020-01-20,28,23,0.0,11.4,7,25,03:16 AM,03:15 PM,07:16 AM,06:55 PM,20,28,28,26,15,10,72,0.0,1010,28,10,203,10,Guinea
2020-01-21,28,24,0.0,11.4,7,18,04:12 AM,04:06 PM,07:17 AM,06:56 PM,21,28,28,26,14,7,75,0.0,1011,28,10,210,10,Guinea
2020-01-22,29,24,0.0,11.4,7,11,05:08 AM,05:00 PM,07:17 AM,06:56 PM,18,27,27,26,20,9,63,0.0,1012,29,10,225,13,Guinea
2020-01-23,29,24,0.0,11.4,7,3,06:02 AM,05:54 PM,07:17 AM,06:57 PM,18,27,27,26,17,17,62,0.0,1011,29,10,248,11,Guinea
2020-01-24,29,26,0.0,11.4,7,0,06:55 AM,06:47 PM,07:17 AM,06:57 PM,19,29,29,27,13,8,62,0.0,1010,29,10,209,10,Guinea
2020-01-25,28,26,0.0,11.4,7,0,07:45 AM,07:39 PM,07:17 AM,06:58 PM,23,30,30,27,13,4,76,0.0,1012,28,10,196,10,Guinea
2020-01-26,28,23,0.0,10.1,6,4,08:30 AM,08:28 PM,07:17 AM,06:58 PM,21,28,28,26,18,32,75,0.0,1013,28,10,253,12,Guinea
2020-01-27,28,24,0.0,11.4,7,11,09:13 AM,09:16 PM,07:17 AM,06:58 PM,20,28,28,26,16,6,74,0.0,1011,28,10,167,12,Guinea
2020-01-28,30,24,0.0,11.4,7,18,09:54 AM,10:02 PM,07:17 AM,06:59 PM,22,29,29,26,14,18,79,0.0,1012,30,10,212,10,Guinea
2020-01-29,28,24,0.0,11.4,7,26,10:32 AM,10:46 PM,07:17 AM,06:59 PM,21,28,28,26,19,33,77,0.0,1012,28,10,260,13,Guinea
2020-01-30,29,23,0.0,11.4,7,33,11:09 AM,11:30 PM,07:17 AM,06:59 PM,20,28,28,26,21,34,69,0.0,1012,29,10,304,14,Guinea
2020-01-31,29,23,0.0,11.6,7,37,11:47 AM,No moonset,07:17 AM,07:00 PM,19,28,28,26,19,41,68,0.0,1012,29,10,241,12,Guinea
2020-02-01,27,23,0.0,11.6,7,49,12:25 PM,12:14 AM,07:17 AM,07:00 PM,21,28,28,25,15,22,74,0.0,1012,27,10,160,10,Guinea
2020-02-02,28,24,0.0,11.6,6,57,01:06 PM,01:00 AM,07:17 AM,07:00 PM,22,28,28,26,18,28,79,0.0,1013,28,10,214,13,Guinea
2020-02-03,29,23,0.0,11.6,7,64,01:50 PM,01:48 AM,07:17 AM,07:01 PM,21,28,28,26,21,4,73,0.0,1013,29,10,265,14,Guinea
2020-02-04,28,23,0.0,11.6,7,72,02:37 PM,02:39 AM,07:17 AM,07:01 PM,20,28,28,26,21,2,69,0.0,1012,28,10,257,14,Guinea
2020-02-05,28,23,0.0,11.6,7,79,03:30 PM,03:34 AM,07:17 AM,07:01 PM,19,27,27,26,18,2,69,0.0,1012,28,10,250,13,Guinea
2020-02-06,30,23,0.0,11.6,7,87,04:27 PM,04:30 AM,07:16 AM,07:02 PM,21,29,29,27,15,0,71,0.0,1011,30,10,168,11,Guinea
2020-02-07,30,23,0.0,11.6,7,95,05:27 PM,05:30 AM,07:16 AM,07:02 PM,21,29,29,27,16,0,72,0.0,1012,30,10,174,12,Guinea
