date_time,Guyana_maxtempC,Guyana_mintempC,Guyana_totalSnow_cm,Guyana_sunHour,Guyana_uvIndex,Guyana_moon_illumination,Guyana_moonrise,Guyana_moonset,Guyana_sunrise,Guyana_sunset,Guyana_DewPointC,Guyana_FeelsLikeC,Guyana_HeatIndexC,Guyana_WindChillC,Guyana_WindGustKmph,Guyana_cloudcover,Guyana_humidity,Guyana_precipMM,Guyana_pressure,Guyana_tempC,Guyana_visibility,Guyana_winddirDegree,Guyana_windspeedKmph,Guyana_location
2020-01-01,30,21,0.0,5.8,6,37,10:58 AM,11:12 PM,06:04 AM,05:48 PM,20,27,27,24,9,54,80,0.9,1012,30,8,59,6,Guyana
2020-01-02,29,21,0.0,4.3,6,44,11:37 AM,11:55 PM,06:04 AM,05:49 PM,21,26,26,24,9,82,82,2.4,1012,29,7,52,6,Guyana
2020-01-03,30,21,0.0,5.8,6,51,12:15 PM,No moonset,06:05 AM,05:49 PM,20,26,26,24,7,46,81,0.2,1014,30,7,97,5,Guyana
2020-01-04,30,21,0.0,5.8,6,59,12:55 PM,12:38 AM,06:05 AM,05:50 PM,20,26,26,24,9,55,80,0.2,1015,30,7,63,6,Guyana
2020-01-05,31,20,0.0,8.7,6,66,01:36 PM,01:23 AM,06:05 AM,05:50 PM,19,26,26,25,9,37,75,0.2,1013,31,8,142,6,Guyana
2020-01-06,32,20,0.0,8.7,7,73,02:20 PM,02:10 AM,06:06 AM,05:51 PM,19,26,26,24,8,6,74,0.0,1012,32,10,72,5,Guyana
2020-01-07,28,21,0.0,4.3,6,80,03:08 PM,03:00 AM,06:06 AM,05:51 PM,21,26,26,24,10,73,87,5.8,1013,28,8,85,6,Guyana
2020-01-08,27,22,0.0,4.3,6,88,04:00 PM,03:54 AM,06:07 AM,05:52 PM,23,27,27,24,12,79,92,15.2,1014,27,7,83,7,Guyana
2020-01-09,29,22,0.0,4.3,6,95,04:56 PM,04:50 AM,06:07 AM,05:52 PM,22,27,27,25,15,76,85,11.4,1013,29,8,45,8,Guyana
2020-01-10,28,22,0.0,4.3,6,100,05:56 PM,05:49 AM,06:07 AM,05:53 PM,21,26,26,24,12,76,84,4.5,1013,28,9,61,8,Guyana
2020-01-11,30,22,0.0,7.2,6,100,06:57 PM,06:48 AM,06:08 AM,05:53 PM,21,27,27,24,11,63,83,5.6,1013,30,8,40,7,Guyana
2020-01-12,26,21,0.0,4.3,5,83,07:57 PM,07:46 AM,06:08 AM,05:54 PM,22,26,26,23,11,79,92,16.5,1014,26,6,113,6,Guyana
2020-01-13,27,22,0.0,5.8,6,76,08:55 PM,08:41 AM,06:08 AM,05:54 PM,22,27,27,24,11,77,91,9.4,1013,27,8,44,6,Guyana
2020-01-14,27,22,0.0,5.8,5,69,09:51 PM,09:33 AM,06:08 AM,05:55 PM,23,27,27,24,10,74,94,38.3,1012,27,5,61,5,Guyana
2020-01-15,28,22,0.0,4.3,6,61,10:44 PM,10:22 AM,06:09 AM,05:55 PM,23,28,28,25,11,78,89,9.1,1012,28,7,65,6,Guyana
2020-01-16,31,23,0.0,4.3,6,54,11:38 PM,11:09 AM,06:09 AM,05:56 PM,22,29,29,26,12,84,83,3.4,1013,31,9,54,8,Guyana
2020-01-17,30,23,0.0,5.8,6,47,No moonrise,11:56 AM,06:09 AM,05:56 PM,22,29,29,26,11,55,81,1.8,1014,30,9,57,7,Guyana
2020-01-18,30,23,0.0,5.8,6,40,12:30 AM,12:43 PM,06:09 AM,05:57 PM,22,29,29,26,11,72,84,4.8,1013,30,6,56,7,Guyana
2020-01-19,30,22,0.0,4.3,6,32,01:23 AM,01:33 PM,06:10 AM,05:57 PM,22,28,28,26,12,62,81,3.1,1013,30,7,60,8,Guyana
2020-01-20,29,23,0.0,4.3,6,25,02:17 AM,02:23 PM,06:10 AM,05:57 PM,22,28,28,25,11,68,83,3.6,1012,29,9,57,7,Guyana
2020-01-21,30,22,0.0,4.3,6,18,03:12 AM,03:16 PM,06:10 AM,05:58 PM,21,28,28,25,12,80,81,1.8,1012,30,8,61,8,Guyana
2020-01-22,31,22,0.0,7.2,6,11,04:07 AM,04:09 PM,06:10 AM,05:58 PM,21,28,28,25,10,58,79,0.3,1011,31,6,68,7,Guyana
2020-01-23,31,21,0.0,8.7,7,3,05:02 AM,05:03 PM,06:10 AM,05:58 PM,20,26,26,25,11,47,78,0.0,1011,31,6,61,7,Guyana
2020-01-24,31,20,0.0,7.2,6,0,05:54 AM,05:56 PM,06:10 AM,05:59 PM,20,26,26,25,10,53,80,0.0,1012,31,5,72,6,Guyana
2020-01-25,31,21,0.0,7.2,6,0,06:44 AM,06:47 PM,06:11 AM,05:59 PM,21,27,27,26,10,72,79,0.2,1013,31,6,52,7,Guyana
2020-01-26,30,22,0.0,5.9,6,4,07:30 AM,07:36 PM,06:11 AM,06:00 PM,22,28,28,25,7,76,85,4.6,1012,30,7,74,4,Guyana
