date_time,Haiti_maxtempC,Haiti_mintempC,Haiti_totalSnow_cm,Haiti_sunHour,Haiti_uvIndex,Haiti_moon_illumination,Haiti_moonrise,Haiti_moonset,Haiti_sunrise,Haiti_sunset,Haiti_DewPointC,Haiti_FeelsLikeC,Haiti_HeatIndexC,Haiti_WindChillC,Haiti_WindGustKmph,Haiti_cloudcover,Haiti_humidity,Haiti_precipMM,Haiti_pressure,Haiti_tempC,Haiti_visibility,Haiti_winddirDegree,Haiti_windspeedKmph,Haiti_location
2020-01-01,30,17,0.0,7.2,6,37,11:03 AM,11:06 PM,06:21 AM,05:24 PM,19,26,26,24,6,54,80,4.9,1014,30,10,172,4,Haiti
2020-01-02,29,16,0.0,8.7,6,44,11:37 AM,11:53 PM,06:22 AM,05:25 PM,19,27,27,24,7,36,81,0.7,1016,29,10,176,4,Haiti
2020-01-03,30,17,0.0,7.2,6,51,12:11 PM,No moonset,06:22 AM,05:25 PM,18,27,27,24,8,23,77,0.2,1018,30,10,109,5,Haiti
2020-01-04,29,19,0.0,8.7,7,59,12:46 PM,12:41 AM,06:22 AM,05:26 PM,18,26,26,25,7,4,72,0.0,1018,29,10,161,5,Haiti
2020-01-05,30,16,0.0,8.7,7,66,01:24 PM,01:30 AM,06:23 AM,05:27 PM,18,26,26,24,5,4,77,0.0,1017,30,10,171,4,Haiti
2020-01-06,29,16,0.0,8.7,7,73,02:04 PM,02:21 AM,06:23 AM,05:27 PM,16,25,25,23,8,15,71,0.1,1016,29,10,118,5,Haiti
2020-01-07,28,17,0.0,8.7,7,80,02:48 PM,03:15 AM,06:23 AM,05:28 PM,16,25,25,24,6,12,71,0.0,1016,28,10,169,4,Haiti
2020-01-08,29,16,0.0,8.7,7,88,03:38 PM,04:12 AM,06:23 AM,05:29 PM,17,25,25,23,8,12,73,0.0,1018,29,10,110,5,Haiti
2020-01-09,30,16,0.0,8.7,7,95,04:33 PM,05:11 AM,06:24 AM,05:29 PM,17,25,25,23,10,12,73,0.0,1019,30,10,74,6,Haiti
2020-01-10,29,17,0.0,8.7,7,100,05:33 PM,06:10 AM,06:24 AM,05:30 PM,15,25,25,24,19,7,65,0.0,1019,29,10,99,12,Haiti
2020-01-11,29,15,0.0,8.7,7,100,06:36 PM,07:08 AM,06:24 AM,05:31 PM,14,25,25,23,19,6,66,0.0,1019,29,10,103,12,Haiti
2020-01-12,29,15,0.0,8.7,7,83,07:40 PM,08:03 AM,06:24 AM,05:31 PM,14,24,24,23,15,5,66,0.0,1019,29,10,95,10,Haiti
2020-01-13,29,15,0.0,8.7,7,76,08:42 PM,08:54 AM,06:24 AM,05:32 PM,15,24,24,23,16,8,66,0.0,1019,29,10,98,10,Haiti
2020-01-14,29,17,0.0,8.7,7,69,09:43 PM,09:41 AM,06:24 AM,05:32 PM,14,24,24,23,12,11,64,0.0,1018,29,10,134,8,Haiti
2020-01-15,29,15,0.0,8.7,7,61,10:41 PM,10:24 AM,06:24 AM,05:33 PM,15,24,24,23,12,13,67,0.0,1017,29,10,121,7,Haiti
