date_time,Honduras_maxtempC,Honduras_mintempC,Honduras_totalSnow_cm,Honduras_sunHour,Honduras_uvIndex,Honduras_moon_illumination,Honduras_moonrise,Honduras_moonset,Honduras_sunrise,Honduras_sunset,Honduras_DewPointC,Honduras_FeelsLikeC,Honduras_HeatIndexC,Honduras_WindChillC,Honduras_WindGustKmph,Honduras_cloudcover,Honduras_humidity,Honduras_precipMM,Honduras_pressure,Honduras_tempC,Honduras_visibility,Honduras_winddirDegree,Honduras_windspeedKmph,Honduras_location
2020-01-01,25,16,0.0,8.7,5,37,11:01 AM,11:09 PM,06:13 AM,05:32 PM,16,20,20,20,10,58,79,0.2,1014,25,8,24,8,Honduras
2020-01-02,28,15,0.0,8.7,5,44,11:38 AM,11:55 PM,06:13 AM,05:33 PM,14,23,23,21,7,41,72,0.0,1013,28,8,87,5,Honduras
2020-01-03,28,15,0.0,8.7,6,51,12:13 PM,No moonset,06:14 AM,05:33 PM,14,22,22,21,5,10,70,0.0,1015,28,10,187,4,Honduras
2020-01-04,26,16,0.0,8.7,5,59,12:50 PM,12:41 AM,06:14 AM,05:34 PM,16,22,22,21,16,31,78,0.0,1018,26,9,56,12,Honduras
2020-01-05,19,15,0.0,4.2,4,66,01:29 PM,01:28 AM,06:14 AM,05:34 PM,15,17,17,17,21,69,87,0.2,1019,19,10,13,18,Honduras
2020-01-06,23,14,0.0,8.7,5,73,02:11 PM,02:18 AM,06:14 AM,05:35 PM,15,18,19,18,16,60,82,0.0,1017,23,8,15,14,Honduras
2020-01-07,21,15,0.0,4.2,4,80,02:57 PM,03:11 AM,06:15 AM,05:35 PM,15,17,18,17,18,86,87,0.1,1017,21,9,16,15,Honduras
2020-01-08,23,15,0.0,8.7,4,88,03:48 PM,04:06 AM,06:15 AM,05:36 PM,15,18,19,18,24,52,82,0.0,1017,23,10,23,20,Honduras
2020-01-09,23,14,0.0,8.7,4,95,04:44 PM,05:04 AM,06:15 AM,05:37 PM,15,18,19,18,21,60,84,0.0,1016,23,9,30,17,Honduras
2020-01-10,25,16,0.0,5.7,5,100,05:44 PM,06:03 AM,06:16 AM,05:37 PM,16,20,21,20,18,69,81,0.9,1014,25,9,37,14,Honduras
2020-01-11,24,16,0.0,5.7,5,100,06:46 PM,07:02 AM,06:16 AM,05:38 PM,16,19,19,19,15,82,85,1.6,1014,24,9,33,12,Honduras
2020-01-12,25,16,0.0,5.7,5,83,07:48 PM,07:58 AM,06:16 AM,05:38 PM,15,20,20,20,22,60,80,0.4,1014,25,10,42,17,Honduras
2020-01-13,23,15,0.0,4.2,5,76,08:48 PM,08:50 AM,06:16 AM,05:39 PM,16,19,19,19,22,71,83,0.6,1015,23,10,39,17,Honduras
2020-01-14,24,16,0.0,4.2,5,69,09:47 PM,09:39 AM,06:16 AM,05:39 PM,15,19,20,19,24,69,80,0.8,1015,24,10,39,18,Honduras
2020-01-15,24,15,0.0,8.7,6,61,10:44 PM,10:24 AM,06:17 AM,05:40 PM,14,20,20,20,25,32,76,0.0,1014,24,10,40,19,Honduras
2020-01-16,25,15,0.0,8.7,5,54,11:40 PM,11:09 AM,06:17 AM,05:41 PM,15,19,20,19,22,53,81,0.1,1015,25,9,30,17,Honduras
2020-01-17,25,17,0.0,7.2,5,47,No moonrise,11:53 AM,06:17 AM,05:41 PM,15,20,20,20,23,50,78,0.2,1014,25,10,41,18,Honduras
2020-01-18,25,15,0.0,7.2,5,40,12:35 AM,12:37 PM,06:17 AM,05:42 PM,15,20,21,20,21,44,80,0.0,1014,25,10,36,16,Honduras
2020-01-19,26,16,0.0,8.7,5,32,01:32 AM,01:23 PM,06:17 AM,05:42 PM,15,21,21,21,16,43,76,0.0,1014,26,7,25,12,Honduras
2020-01-20,25,16,0.0,7.2,5,25,02:28 AM,02:12 PM,06:17 AM,05:43 PM,16,20,20,20,19,64,81,0.2,1016,25,9,14,15,Honduras
