date_time,Hong%20Kong_maxtempC,Hong%20Kong_mintempC,Hong%20Kong_totalSnow_cm,Hong%20Kong_sunHour,Hong%20Kong_uvIndex,Hong%20Kong_moon_illumination,Hong%20Kong_moonrise,Hong%20Kong_moonset,Hong%20Kong_sunrise,Hong%20Kong_sunset,Hong%20Kong_DewPointC,Hong%20Kong_FeelsLikeC,Hong%20Kong_HeatIndexC,Hong%20Kong_WindChillC,Hong%20Kong_WindGustKmph,Hong%20Kong_cloudcover,Hong%20Kong_humidity,Hong%20Kong_precipMM,Hong%20Kong_pressure,Hong%20Kong_tempC,Hong%20Kong_visibility,Hong%20Kong_winddirDegree,Hong%20Kong_windspeedKmph,Hong%20Kong_location
2020-01-01,18,16,0.0,7.1,4,37,11:21 AM,11:13 PM,07:03 AM,05:51 PM,13,17,17,17,31,52,79,0.0,1026,18,10,79,23,Hong%20Kong
2020-01-02,20,13,0.0,5.5,4,44,11:55 AM,No moonset,07:03 AM,05:51 PM,15,18,18,18,25,55,79,0.2,1024,20,10,81,19,Hong%20Kong
2020-01-03,20,17,0.0,7.1,4,51,12:27 PM,12:02 AM,07:03 AM,05:52 PM,15,19,19,19,23,29,80,0.0,1022,20,10,79,18,Hong%20Kong
2020-01-04,21,18,0.0,8.7,5,59,01:01 PM,12:51 AM,07:04 AM,05:53 PM,16,19,19,19,19,10,80,0.0,1020,21,10,82,15,Hong%20Kong
2020-01-05,20,18,0.0,3.9,4,66,01:35 PM,01:41 AM,07:04 AM,05:53 PM,16,19,19,19,36,77,82,0.2,1020,20,10,82,25,Hong%20Kong
2020-01-06,21,19,0.0,7.1,5,73,02:12 PM,02:32 AM,07:04 AM,05:54 PM,16,20,20,20,27,63,81,0.0,1019,21,10,78,20,Hong%20Kong
2020-01-07,23,16,0.0,7.1,5,80,02:53 PM,03:26 AM,07:04 AM,05:55 PM,18,20,21,20,16,49,84,0.0,1017,23,10,72,12,Hong%20Kong
2020-01-08,23,19,0.0,8.7,5,88,03:39 PM,04:22 AM,07:05 AM,05:55 PM,18,22,23,22,23,11,78,0.0,1018,23,10,66,17,Hong%20Kong
2020-01-09,18,17,0.0,3.9,4,95,04:30 PM,05:22 AM,07:05 AM,05:56 PM,14,18,18,18,36,68,79,0.0,1018,18,10,81,26,Hong%20Kong
2020-01-10,20,17,0.0,7.1,4,100,05:28 PM,06:21 AM,07:05 AM,05:57 PM,15,18,18,18,26,56,83,0.0,1016,20,10,80,19,Hong%20Kong
2020-01-11,22,18,0.0,8.7,6,100,06:30 PM,07:20 AM,07:05 AM,05:57 PM,16,20,20,20,19,37,81,0.0,1015,22,10,79,14,Hong%20Kong
2020-01-12,19,17,0.0,8.7,5,83,07:34 PM,08:16 AM,07:05 AM,05:58 PM,10,18,18,18,14,32,61,0.0,1017,19,10,32,11,Hong%20Kong
2020-01-13,19,17,0.0,7.1,4,76,08:39 PM,09:08 AM,07:05 AM,05:59 PM,14,18,18,18,26,45,78,0.1,1017,19,10,87,20,Hong%20Kong
2020-01-14,19,16,0.0,7.1,4,69,09:42 PM,09:55 AM,07:05 AM,05:59 PM,13,18,18,18,26,39,75,0.0,1018,19,10,83,20,Hong%20Kong
2020-01-15,18,17,0.0,7.0,4,61,10:44 PM,10:38 AM,07:05 AM,06:00 PM,14,17,17,17,39,67,80,0.5,1019,18,9,81,29,Hong%20Kong
2020-01-16,22,13,0.0,11.0,4,54,11:44 PM,11:20 AM,07:05 AM,06:01 PM,15,19,19,19,28,45,78,0.0,1018,22,10,76,20,Hong%20Kong
2020-01-17,19,17,0.0,7.0,4,47,No moonrise,12:00 PM,07:05 AM,06:01 PM,13,18,18,18,13,55,72,0.0,1020,19,10,51,10,Hong%20Kong
2020-01-18,19,17,0.0,11.0,4,40,12:43 AM,12:40 PM,07:05 AM,06:02 PM,13,18,18,18,22,53,74,0.3,1020,19,9,75,17,Hong%20Kong
2020-01-19,20,17,0.0,11.0,4,32,01:43 AM,01:22 PM,07:05 AM,06:03 PM,14,18,18,18,20,50,75,0.2,1020,20,10,84,15,Hong%20Kong
2020-01-20,19,17,0.0,11.0,5,25,02:42 AM,02:06 PM,07:05 AM,06:03 PM,13,18,18,18,18,29,75,0.0,1022,19,10,78,14,Hong%20Kong
2020-01-21,18,14,0.0,7.0,4,18,03:42 AM,02:54 PM,07:05 AM,06:04 PM,14,17,17,17,28,69,82,0.3,1022,18,9,82,21,Hong%20Kong
2020-01-22,20,13,0.0,5.5,4,11,04:40 AM,03:45 PM,07:05 AM,06:05 PM,16,18,18,18,22,83,85,0.1,1020,20,10,72,16,Hong%20Kong
2020-01-23,22,17,0.0,8.6,5,3,05:37 AM,04:38 PM,07:05 AM,06:05 PM,18,20,22,20,21,60,87,0.0,1017,22,10,77,14,Hong%20Kong
