date_time,Iceland_maxtempC,Iceland_mintempC,Iceland_totalSnow_cm,Iceland_sunHour,Iceland_uvIndex,Iceland_moon_illumination,Iceland_moonrise,Iceland_moonset,Iceland_sunrise,Iceland_sunset,Iceland_DewPointC,Iceland_FeelsLikeC,Iceland_HeatIndexC,Iceland_WindChillC,Iceland_WindGustKmph,Iceland_cloudcover,Iceland_humidity,Iceland_precipMM,Iceland_pressure,Iceland_tempC,Iceland_visibility,Iceland_winddirDegree,Iceland_windspeedKmph,Iceland_location
2020-01-01,4,-0,0.0,1.1,1,37,01:32 PM,11:56 PM,11:20 AM,03:43 PM,-0,-4,2,-4,49,99,84,7.6,980,4,4,214,38,Iceland
2020-01-02,-0,-15,0.2,4.3,1,44,01:33 PM,No moonset,11:19 AM,03:45 PM,-9,-11,-5,-11,29,56,71,1.9,981,-0,6,144,23,Iceland
2020-01-03,-4,-15,0.2,4.3,1,51,01:34 PM,01:20 AM,11:18 AM,03:47 PM,-10,-12,-6,-12,35,54,70,0.8,1005,-4,8,169,28,Iceland
2020-01-04,5,-8,0.0,1.1,1,59,01:35 PM,02:42 AM,11:17 AM,03:49 PM,-3,-7,-0,-7,51,97,82,19.9,997,5,8,134,35,Iceland
2020-01-05,3,-5,0.0,1.1,1,66,01:37 PM,04:08 AM,11:15 AM,03:51 PM,-1,-3,3,-3,53,84,77,2.9,984,3,6,206,37,Iceland
2020-01-06,2,-5,0.0,1.1,1,73,01:41 PM,05:37 AM,11:14 AM,03:54 PM,-0,-4,1,-4,33,97,88,4.8,972,2,5,165,25,Iceland
2020-01-07,4,-1,0.0,1.1,1,80,01:47 PM,07:10 AM,11:12 AM,03:56 PM,-0,-5,1,-5,50,99,87,13.5,954,4,4,161,37,Iceland
2020-01-08,-0,-7,0.0,1.1,1,88,02:00 PM,08:45 AM,11:11 AM,03:59 PM,-6,-10,-2,-10,73,99,72,3.6,973,-0,0,251,60,Iceland
2020-01-09,-1,-12,0.0,1.2,1,95,02:27 PM,10:15 AM,11:09 AM,04:01 PM,-7,-11,-3,-11,67,92,68,4.0,983,-1,3,240,56,Iceland
2020-01-10,4,-1,1.7,1.2,1,100,03:22 PM,11:23 AM,11:07 AM,04:04 PM,0,-5,2,-5,47,95,91,13.5,966,4,4,179,35,Iceland
2020-01-11,1,-7,0.5,1.3,1,100,04:49 PM,12:01 PM,11:05 AM,04:07 PM,-4,-8,-0,-8,77,88,75,5.4,956,1,2,207,63,Iceland
2020-01-12,-3,-6,2.6,3.5,1,83,06:33 PM,12:19 PM,11:03 AM,04:09 PM,-6,-10,-4,-10,34,68,80,6.1,972,-3,6,134,25,Iceland
2020-01-13,-3,-10,0.0,5.1,1,76,08:22 PM,12:28 PM,11:01 AM,04:12 PM,-8,-9,-4,-9,43,41,70,0.1,972,-3,9,54,27,Iceland
2020-01-14,1,-1,0.0,5.6,1,69,10:08 PM,12:33 PM,10:59 AM,04:15 PM,-4,-7,0,-7,60,60,72,0.0,963,1,8,26,41,Iceland
2020-01-15,1,-2,0.0,5.6,2,61,11:52 PM,12:36 PM,10:56 AM,04:18 PM,-3,-6,-0,-6,38,16,82,0.0,973,1,10,18,26,Iceland
2020-01-16,2,-1,1.3,1.4,1,54,No moonrise,12:38 PM,10:54 AM,04:21 PM,-2,-4,1,-4,25,78,82,1.5,983,2,8,111,16,Iceland
2020-01-17,1,-0,0.3,3.6,1,47,01:33 AM,12:40 PM,10:51 AM,04:24 PM,-3,-5,1,-5,41,82,77,3.0,996,1,3,239,28,Iceland
2020-01-18,0,-6,0.3,1.4,1,40,03:14 AM,12:43 PM,10:49 AM,04:28 PM,-3,-4,-0,-4,22,84,81,0.4,1013,0,8,161,14,Iceland
2020-01-19,7,3,0.0,1.5,2,32,04:54 AM,12:47 PM,10:46 AM,04:31 PM,2,-1,5,-1,74,98,84,16.5,999,7,8,183,47,Iceland
2020-01-20,2,-9,0.0,1.5,1,25,06:35 AM,12:54 PM,10:44 AM,04:34 PM,-3,-6,0,-6,64,99,76,5.6,1007,2,0,235,49,Iceland
2020-01-21,3,-4,0.8,1.5,1,18,08:13 AM,01:07 PM,10:41 AM,04:37 PM,0,-3,2,-3,39,92,87,3.4,1020,3,3,198,27,Iceland
2020-01-22,7,1,0.0,1.5,1,11,09:39 AM,01:35 PM,10:39 AM,04:40 PM,2,-1,4,-1,61,96,87,23.7,1005,7,4,193,39,Iceland
2020-01-23,0,-5,0.0,1.5,1,3,10:39 AM,02:26 PM,10:36 AM,04:44 PM,-7,-9,-1,-9,79,93,63,3.9,995,0,1,247,64,Iceland
2020-01-24,-0,-2,0.2,1.5,1,0,11:12 AM,03:44 PM,10:33 AM,04:47 PM,-5,-7,-1,-7,37,90,73,1.2,999,-0,4,186,28,Iceland
2020-01-25,0,-10,7.3,1.6,1,0,11:28 AM,05:12 PM,10:30 AM,04:50 PM,-3,-7,-2,-7,42,84,85,9.8,977,0,6,92,30,Iceland
2020-01-26,-0,-10,1.8,3.7,1,4,11:36 AM,06:42 PM,10:27 AM,04:54 PM,-3,-6,-1,-6,36,75,79,2.1,969,-0,8,99,24,Iceland
2020-01-27,-1,-11,0.0,5.8,1,11,11:40 AM,08:10 PM,10:24 AM,04:57 PM,-5,-7,-3,-7,27,46,78,0.0,968,-1,10,102,17,Iceland
2020-01-28,0,-6,0.1,5.8,1,18,11:43 AM,09:36 PM,10:22 AM,05:00 PM,-8,-6,-1,-6,29,39,62,0.1,983,0,10,71,16,Iceland
