date_time,India_maxtempC,India_mintempC,India_totalSnow_cm,India_sunHour,India_uvIndex,India_moon_illumination,India_moonrise,India_moonset,India_sunrise,India_sunset,India_DewPointC,India_FeelsLikeC,India_HeatIndexC,India_WindChillC,India_WindGustKmph,India_cloudcover,India_humidity,India_precipMM,India_pressure,India_tempC,India_visibility,India_winddirDegree,India_windspeedKmph,India_location
2020-01-01,19,10,0.0,3.8,4,37,11:28 AM,11:12 PM,07:14 AM,05:35 PM,0,14,15,14,10,49,37,0.0,1020,19,10,96,8,India
2020-01-02,20,13,0.0,8.7,4,44,11:59 AM,No moonset,07:14 AM,05:36 PM,4,16,16,16,10,20,44,0.0,1020,20,10,85,7,India
2020-01-03,22,15,0.0,8.7,5,51,12:28 PM,12:03 AM,07:14 AM,05:37 PM,7,18,19,18,9,13,48,0.0,1017,22,10,263,6,India
2020-01-04,21,16,0.0,8.7,5,59,12:59 PM,12:55 AM,07:15 AM,05:38 PM,9,19,19,19,6,8,55,0.0,1017,21,10,287,5,India
2020-01-05,21,16,0.0,8.7,5,66,01:31 PM,01:48 AM,07:15 AM,05:38 PM,5,18,18,18,8,16,42,0.0,1017,21,10,304,7,India
2020-01-06,19,15,0.0,8.7,5,73,02:06 PM,02:42 AM,07:15 AM,05:39 PM,3,16,16,16,10,43,41,0.0,1019,19,10,200,8,India
2020-01-07,20,15,0.0,7.1,4,80,02:45 PM,03:39 AM,07:15 AM,05:40 PM,9,17,17,17,14,50,57,0.0,1017,20,10,75,11,India
2020-01-08,18,12,0.0,7.1,4,88,03:30 PM,04:38 AM,07:15 AM,05:41 PM,11,15,15,15,15,62,74,1.3,1014,18,10,50,13,India
2020-01-09,20,10,0.0,8.7,5,95,04:20 PM,05:39 AM,07:15 AM,05:41 PM,8,16,17,16,12,1,58,0.0,1018,20,10,324,10,India
2020-01-10,21,12,0.0,8.7,5,100,05:18 PM,06:39 AM,07:15 AM,05:42 PM,4,16,17,16,13,4,46,0.0,1019,21,10,318,11,India
2020-01-11,19,10,0.0,8.7,5,100,06:21 PM,07:38 AM,07:15 AM,05:43 PM,-0,14,15,14,12,18,36,0.0,1018,19,10,312,9,India
2020-01-12,24,12,0.0,8.7,5,83,07:27 PM,08:31 AM,07:15 AM,05:44 PM,2,18,18,18,9,8,34,0.0,1016,24,10,297,7,India
2020-01-13,22,14,0.0,7.1,4,76,08:34 PM,09:21 AM,07:15 AM,05:44 PM,5,18,18,18,11,34,44,4.5,1011,22,10,179,9,India
2020-01-14,21,13,0.0,8.7,5,69,09:41 PM,10:04 AM,07:15 AM,05:45 PM,11,17,18,17,12,15,69,0.6,1016,21,10,331,11,India
2020-01-15,23,15,0.0,8.7,5,61,10:45 PM,10:45 AM,07:15 AM,05:46 PM,10,18,18,18,9,9,62,0.0,1015,23,10,311,8,India
2020-01-16,15,13,0.0,3.9,3,54,11:49 PM,11:23 AM,07:15 AM,05:47 PM,10,14,15,14,16,91,76,37.6,1014,15,7,73,11,India
2020-01-17,19,15,0.0,7.1,4,47,No moonrise,12:00 PM,07:15 AM,05:48 PM,12,16,17,16,10,74,76,7.3,1015,19,10,113,7,India
2020-01-18,23,15,0.0,8.7,5,40,12:51 AM,12:37 PM,07:15 AM,05:49 PM,10,19,20,19,6,5,60,0.0,1018,23,10,284,5,India
2020-01-19,22,16,0.0,8.7,5,32,01:54 AM,01:16 PM,07:15 AM,05:49 PM,8,18,18,18,10,3,51,0.0,1018,22,10,312,8,India
2020-01-20,20,13,0.0,8.7,5,25,02:56 AM,01:58 PM,07:14 AM,05:50 PM,5,16,16,16,8,11,47,0.0,1017,20,10,249,6,India
2020-01-21,22,15,0.0,8.7,5,18,03:57 AM,02:44 PM,07:14 AM,05:51 PM,7,18,18,18,8,10,50,0.0,1018,22,10,108,6,India
2020-01-22,23,15,0.0,8.7,5,11,04:57 AM,03:34 PM,07:14 AM,05:52 PM,8,19,19,19,11,3,49,0.0,1019,23,10,266,10,India
2020-01-23,21,13,0.0,8.7,5,3,05:54 AM,04:27 PM,07:14 AM,05:53 PM,4,16,17,16,19,0,45,0.0,1018,21,10,309,17,India
2020-01-24,22,13,0.0,8.7,5,0,06:46 AM,05:23 PM,07:13 AM,05:53 PM,2,16,17,16,18,0,37,0.0,1016,22,10,296,16,India
2020-01-25,22,15,0.0,8.7,5,0,07:34 AM,06:19 PM,07:13 AM,05:54 PM,2,18,19,18,8,3,34,0.0,1016,22,10,295,6,India
2020-01-26,24,14,0.0,8.7,5,4,08:15 AM,07:16 PM,07:13 AM,05:55 PM,6,19,20,19,7,6,42,0.0,1014,24,10,281,6,India
2020-01-27,24,15,0.0,8.7,4,11,08:53 AM,08:10 PM,07:12 AM,05:56 PM,8,19,19,19,6,49,49,0.0,1012,24,10,127,4,India
2020-01-28,19,15,0.0,5.5,4,18,09:27 AM,09:03 PM,07:12 AM,05:57 PM,9,17,17,17,15,58,60,3.1,1011,19,10,106,11,India
2020-01-29,21,15,0.0,8.7,5,26,09:58 AM,09:55 PM,07:11 AM,05:58 PM,10,18,18,18,10,31,62,1.8,1015,21,10,293,8,India
2020-01-30,21,15,0.0,8.7,5,33,10:28 AM,10:46 PM,07:11 AM,05:58 PM,7,18,18,18,13,2,51,0.0,1017,21,10,317,11,India
2020-01-31,23,15,0.0,8.7,5,37,10:59 AM,11:39 PM,07:10 AM,05:59 PM,7,19,20,19,9,0,49,0.0,1014,23,10,286,8,India
2020-02-01,21,15,0.0,10.9,5,49,11:30 AM,No moonset,07:10 AM,06:00 PM,6,17,18,17,8,3,47,0.0,1017,21,10,213,7,India
2020-02-02,23,15,0.0,10.9,5,57,12:02 PM,12:31 AM,07:09 AM,06:01 PM,8,19,19,19,10,0,50,0.0,1019,23,10,314,9,India
2020-02-03,24,15,0.0,10.9,6,64,12:38 PM,01:26 AM,07:09 AM,06:02 PM,7,20,20,20,8,0,45,0.0,1018,24,10,294,7,India
2020-02-04,25,16,0.0,10.9,6,72,01:19 PM,02:22 AM,07:08 AM,06:02 PM,6,19,19,19,7,3,43,0.0,1016,25,10,96,6,India
2020-02-05,22,14,0.0,11.0,5,79,02:06 PM,03:21 AM,07:08 AM,06:03 PM,6,18,18,18,11,5,45,0.0,1016,22,10,264,10,India
2020-02-06,21,15,0.0,11.0,5,87,02:59 PM,04:21 AM,07:07 AM,06:04 PM,6,18,19,18,9,1,45,0.0,1015,21,10,250,8,India
2020-02-07,22,15,0.0,11.0,5,95,04:00 PM,05:20 AM,07:06 AM,06:05 PM,4,18,18,18,8,11,41,0.0,1017,22,10,123,6,India
2020-02-08,25,13,0.0,11.0,6,100,05:05 PM,06:16 AM,07:06 AM,06:05 PM,8,19,20,19,9,0,48,0.0,1019,25,10,323,8,India
2020-02-09,24,16,0.0,11.0,6,100,06:14 PM,07:09 AM,07:05 AM,06:06 PM,6,19,19,19,9,5,43,0.0,1021,24,10,311,7,India
2020-02-10,25,13,0.0,11.0,6,83,07:23 PM,07:56 AM,07:04 AM,06:07 PM,5,19,20,19,10,16,38,0.0,1019,25,10,284,8,India
2020-02-11,27,17,0.0,11.1,6,75,08:30 PM,08:39 AM,07:03 AM,06:08 PM,7,21,21,21,8,2,40,0.0,1018,27,10,311,7,India
2020-02-12,27,17,0.0,11.1,6,68,09:37 PM,09:20 AM,07:03 AM,06:09 PM,8,22,22,22,14,0,42,0.0,1017,27,10,300,12,India
2020-02-13,29,18,0.0,11.1,6,60,10:42 PM,09:58 AM,07:02 AM,06:09 PM,9,23,23,23,22,2,43,0.0,1014,29,10,296,18,India
2020-02-14,26,19,0.0,11.1,6,53,11:47 PM,10:36 AM,07:01 AM,06:10 PM,5,22,22,22,23,0,34,0.0,1011,26,10,304,19,India
2020-02-15,28,17,0.0,11.1,6,45,No moonrise,11:16 AM,07:00 AM,06:11 PM,4,22,22,22,17,0,31,0.0,1012,28,10,296,15,India
2020-02-16,30,19,0.0,11.5,7,38,12:50 AM,11:57 AM,06:59 AM,06:11 PM,2,24,24,24,10,0,24,0.0,1015,30,10,292,8,India
