date_time,Iran_maxtempC,Iran_mintempC,Iran_totalSnow_cm,Iran_sunHour,Iran_uvIndex,Iran_moon_illumination,Iran_moonrise,Iran_moonset,Iran_sunrise,Iran_sunset,Iran_DewPointC,Iran_FeelsLikeC,Iran_HeatIndexC,Iran_WindChillC,Iran_WindGustKmph,Iran_cloudcover,Iran_humidity,Iran_precipMM,Iran_pressure,Iran_tempC,Iran_visibility,Iran_winddirDegree,Iran_windspeedKmph,Iran_location
2020-01-01,10,3,0.0,8.7,2,37,11:20 AM,10:54 PM,07:15 AM,05:02 PM,-4,5,6,5,10,26,48,0.5,1014,10,10,307,7,Iran
2020-01-02,12,3,0.0,8.7,3,44,11:47 AM,11:50 PM,07:15 AM,05:02 PM,-6,5,7,5,12,22,40,0.2,1018,12,10,270,9,Iran
2020-01-03,9,2,0.0,5.4,2,51,12:14 PM,No moonset,07:15 AM,05:03 PM,-10,5,6,5,7,56,31,0.0,1022,9,10,132,5,Iran
2020-01-04,7,4,0.0,8.7,2,59,12:41 PM,12:45 AM,07:15 AM,05:04 PM,-1,4,6,4,8,49,64,1.1,1018,7,10,103,7,Iran
2020-01-05,7,1,0.0,8.7,3,66,01:10 PM,01:41 AM,07:15 AM,05:05 PM,-1,3,5,3,12,35,66,2.6,1012,7,10,255,10,Iran
2020-01-06,10,2,0.0,8.7,3,73,01:42 PM,02:39 AM,07:15 AM,05:06 PM,-8,4,5,4,9,3,36,0.0,1021,10,10,281,7,Iran
2020-01-07,11,2,0.0,8.7,3,80,02:17 PM,03:39 AM,07:15 AM,05:07 PM,-8,5,6,5,7,2,34,0.0,1023,11,10,69,5,Iran
2020-01-08,11,3,0.0,8.7,3,88,03:00 PM,04:41 AM,07:15 AM,05:07 PM,-8,6,7,6,7,6,36,0.0,1018,11,10,107,5,Iran
2020-01-09,6,3,1.4,7.0,1,95,03:50 PM,05:44 AM,07:15 AM,05:08 PM,-4,3,4,3,7,53,57,3.4,1015,6,8,213,5,Iran
2020-01-10,8,3,0.0,8.7,3,100,04:47 PM,06:45 AM,07:15 AM,05:09 PM,-7,4,5,4,6,35,40,0.0,1016,8,10,168,5,Iran
2020-01-11,7,2,0.2,8.7,2,100,05:52 PM,07:43 AM,07:15 AM,05:10 PM,-7,2,4,2,11,35,47,0.2,1018,7,10,292,10,Iran
2020-01-12,10,2,0.0,8.7,2,83,07:01 PM,08:34 AM,07:15 AM,05:11 PM,-10,3,5,3,9,21,33,0.0,1020,10,10,269,8,Iran
2020-01-13,6,-0,0.0,3.7,1,76,08:11 PM,09:20 AM,07:15 AM,05:12 PM,-9,3,3,3,4,68,40,0.1,1019,6,10,213,3,Iran
2020-01-14,7,0,0.0,8.7,2,69,09:22 PM,10:00 AM,07:15 AM,05:13 PM,-6,3,4,3,7,41,49,0.0,1026,7,10,236,5,Iran
2020-01-15,8,3,0.0,8.7,3,61,10:30 PM,10:36 AM,07:14 AM,05:14 PM,-6,5,5,5,4,17,44,0.0,1028,8,10,161,3,Iran
2020-01-16,8,1,0.0,8.7,3,54,11:38 PM,11:10 AM,07:14 AM,05:15 PM,-8,4,4,4,5,7,41,0.0,1031,8,10,168,4,Iran
2020-01-17,5,1,0.0,7.1,1,47,No moonrise,11:43 AM,07:14 AM,05:16 PM,-6,1,3,1,9,38,52,0.7,1028,5,9,98,6,Iran
2020-01-18,8,1,0.0,3.8,1,40,12:45 AM,12:16 PM,07:13 AM,05:17 PM,-1,3,4,3,6,80,68,2.5,1019,8,9,180,4,Iran
2020-01-19,4,3,2.0,3.8,1,32,01:51 AM,12:51 PM,07:13 AM,05:18 PM,2,2,4,2,6,95,89,8.3,1020,4,8,198,6,Iran
2020-01-20,6,2,0.0,8.7,2,25,02:57 AM,01:31 PM,07:13 AM,05:19 PM,-4,1,3,1,9,33,61,0.5,1025,6,10,306,7,Iran
2020-01-21,4,-1,0.3,8.7,1,18,04:01 AM,02:14 PM,07:12 AM,05:20 PM,-5,0,2,0,6,34,60,0.3,1024,4,9,229,5,Iran
2020-01-22,5,-1,1.3,7.1,1,11,05:03 AM,03:03 PM,07:12 AM,05:21 PM,-3,-0,2,-0,9,75,72,1.5,1023,5,8,111,7,Iran
2020-01-23,5,0,1.4,5.4,1,3,06:00 AM,03:57 PM,07:11 AM,05:22 PM,-3,-0,2,-0,11,75,74,1.8,1015,5,7,237,8,Iran
2020-01-24,6,-1,0.0,8.7,2,0,06:51 AM,04:53 PM,07:11 AM,05:23 PM,-8,-1,2,-1,14,29,47,0.0,1018,6,10,315,9,Iran
2020-01-25,6,-1,0.0,7.1,1,0,07:37 AM,05:52 PM,07:10 AM,05:24 PM,-8,-0,2,-0,12,58,46,0.0,1025,6,10,327,7,Iran
2020-01-26,7,-1,0.0,8.7,2,4,08:15 AM,06:50 PM,07:10 AM,05:25 PM,-9,2,3,2,7,4,39,0.0,1023,7,10,270,5,Iran
2020-01-27,8,1,0.0,8.7,3,11,08:49 AM,07:48 PM,07:09 AM,05:26 PM,-10,4,5,4,6,7,34,0.0,1026,8,10,194,4,Iran
2020-01-28,8,1,0.0,8.7,3,18,09:20 AM,08:44 PM,07:08 AM,05:27 PM,-9,4,5,4,5,5,39,0.0,1024,8,10,83,4,Iran
2020-01-29,7,0,0.0,5.5,1,26,09:48 AM,09:40 PM,07:08 AM,05:28 PM,-8,3,4,3,4,35,42,0.0,1018,7,10,136,3,Iran
2020-01-30,8,1,0.0,8.7,3,33,10:15 AM,10:34 PM,07:07 AM,05:29 PM,-6,2,4,2,18,16,46,0.0,1017,8,10,310,13,Iran
2020-01-31,10,4,0.0,8.7,3,37,10:41 AM,11:30 PM,07:06 AM,05:31 PM,-7,6,7,6,7,8,37,0.0,1015,10,10,266,5,Iran
2020-02-01,9,2,1.4,7.1,2,49,11:09 AM,No moonset,07:05 AM,05:32 PM,-8,3,5,3,17,40,38,4.2,1011,9,8,153,13,Iran
2020-02-02,7,-3,0.0,8.7,2,57,11:39 AM,12:26 AM,07:05 AM,05:33 PM,-8,-1,2,-1,19,16,48,0.0,1019,7,10,316,13,Iran
2020-02-03,10,1,0.0,8.7,3,64,12:12 PM,01:24 AM,07:04 AM,05:34 PM,-8,4,5,4,7,1,38,0.0,1021,10,10,226,6,Iran
2020-02-04,9,0,0.0,8.7,3,72,12:50 PM,02:24 AM,07:03 AM,05:35 PM,-9,2,4,2,17,17,37,0.0,1013,9,10,229,10,Iran
2020-02-05,10,1,0.0,8.7,3,79,01:36 PM,03:26 AM,07:02 AM,05:36 PM,-4,2,5,2,24,11,51,0.0,1017,10,10,311,15,Iran
2020-02-06,16,5,0.0,8.7,4,87,02:28 PM,04:27 AM,07:01 AM,05:37 PM,-5,9,10,9,10,1,35,0.0,1018,16,10,309,7,Iran
2020-02-07,15,7,0.0,8.7,4,95,03:30 PM,05:26 AM,07:00 AM,05:38 PM,-5,11,11,11,9,5,31,0.0,1014,15,10,239,6,Iran
2020-02-08,14,6,0.0,7.1,3,100,04:37 PM,06:21 AM,07:00 AM,05:39 PM,-2,8,10,8,19,35,43,2.4,1008,14,10,140,14,Iran
2020-02-09,8,2,0.0,4.1,2,100,05:49 PM,07:10 AM,06:59 AM,05:40 PM,-5,3,5,3,14,80,46,1.7,1013,8,10,216,10,Iran
2020-02-10,6,1,0.2,5.6,1,83,07:02 PM,07:54 AM,06:58 AM,05:41 PM,-9,1,3,1,11,56,42,0.8,1019,6,10,301,9,Iran
2020-02-11,-2,-5,9.5,4.1,1,75,08:14 PM,08:32 AM,06:57 AM,05:42 PM,-7,-8,-3,-8,21,88,73,12.2,1017,-2,3,262,18,Iran
2020-02-12,0,-7,0.0,8.7,2,68,09:25 PM,09:08 AM,06:56 AM,05:43 PM,-17,-6,-2,-6,17,8,28,0.0,1021,0,10,302,15,Iran
2020-02-13,8,-2,0.0,8.7,1,60,10:34 PM,09:43 AM,06:55 AM,05:44 PM,-9,1,3,1,9,44,42,1.0,1023,8,10,218,6,Iran
2020-02-14,9,-1,0.0,8.7,3,53,11:43 PM,10:16 AM,06:53 AM,05:45 PM,-6,1,4,1,25,27,47,0.3,1023,9,10,316,16,Iran
2020-02-15,5,-3,0.0,7.2,1,45,No moonrise,10:52 AM,06:52 AM,05:46 PM,-14,-2,1,-2,16,52,32,0.0,1032,5,10,202,10,Iran
2020-02-16,8,-1,0.0,8.7,1,38,12:50 AM,11:31 AM,06:51 AM,05:47 PM,-11,2,3,2,7,41,36,0.0,1027,8,10,161,5,Iran
2020-02-17,9,2,0.0,4.1,2,30,01:56 AM,12:13 PM,06:50 AM,05:48 PM,-5,5,5,5,6,71,47,1.0,1027,9,9,203,4,Iran
2020-02-18,13,3,0.0,8.7,3,22,02:58 AM,01:00 PM,06:49 AM,05:49 PM,-2,7,8,7,7,12,53,0.0,1028,13,10,200,5,Iran
2020-02-19,11,5,0.0,8.7,3,15,03:56 AM,01:51 PM,06:48 AM,05:50 PM,-1,7,8,7,9,26,52,0.0,1022,11,10,121,7,Iran
2020-02-20,11,7,0.0,4.1,2,7,04:48 AM,02:46 PM,06:47 AM,05:51 PM,3,7,9,7,13,66,69,18.8,1013,11,8,145,10,Iran
2020-02-21,14,4,0.0,8.7,3,0,05:34 AM,03:44 PM,06:46 AM,05:52 PM,-1,6,8,6,20,23,51,0.2,1015,14,10,269,13,Iran
2020-02-22,15,6,0.0,8.7,4,0,06:14 AM,04:42 PM,06:44 AM,05:53 PM,-1,10,10,10,7,6,45,0.0,1019,15,10,146,5,Iran
2020-02-23,14,6,0.0,8.7,4,0,06:50 AM,05:40 PM,06:43 AM,05:54 PM,-3,9,10,9,19,17,40,0.1,1019,14,10,323,12,Iran
