date_time,Iraq_maxtempC,Iraq_mintempC,Iraq_totalSnow_cm,Iraq_sunHour,Iraq_uvIndex,Iraq_moon_illumination,Iraq_moonrise,Iraq_moonset,Iraq_sunrise,Iraq_sunset,Iraq_DewPointC,Iraq_FeelsLikeC,Iraq_HeatIndexC,Iraq_WindChillC,Iraq_WindGustKmph,Iraq_cloudcover,Iraq_humidity,Iraq_precipMM,Iraq_pressure,Iraq_tempC,Iraq_visibility,Iraq_winddirDegree,Iraq_windspeedKmph,Iraq_location
2020-01-01,17,12,0.0,8.7,4,37,11:16 AM,10:55 PM,07:06 AM,05:05 PM,5,13,14,13,21,6,55,0.0,1017,17,10,312,14,Iraq
2020-01-02,19,13,0.0,8.7,5,44,11:45 AM,11:49 PM,07:06 AM,05:06 PM,3,16,16,16,8,9,44,0.0,1019,19,10,43,5,Iraq
2020-01-03,19,12,0.0,8.7,5,51,12:12 PM,No moonset,07:07 AM,05:07 PM,1,15,16,15,12,10,38,0.0,1017,19,10,60,8,Iraq
2020-01-04,18,13,0.0,8.7,5,59,12:40 PM,12:43 AM,07:07 AM,05:08 PM,3,15,15,15,15,12,46,0.0,1015,18,10,199,11,Iraq
2020-01-05,17,11,0.0,8.7,4,66,01:11 PM,01:38 AM,07:07 AM,05:09 PM,3,13,14,13,12,29,50,0.0,1015,17,10,239,8,Iraq
2020-01-06,19,12,0.0,8.7,5,73,01:44 PM,02:34 AM,07:07 AM,05:09 PM,4,15,15,15,9,26,49,0.0,1020,19,10,107,6,Iraq
2020-01-07,21,13,0.0,8.7,5,80,02:21 PM,03:34 AM,07:07 AM,05:10 PM,3,16,16,16,15,2,42,0.0,1020,21,10,107,10,Iraq
2020-01-08,19,13,0.0,5.4,4,88,03:04 PM,04:35 AM,07:07 AM,05:11 PM,2,14,15,14,38,42,42,0.4,1013,19,10,173,25,Iraq
2020-01-09,17,11,0.0,8.7,3,95,03:55 PM,05:37 AM,07:07 AM,05:12 PM,2,13,13,13,19,41,48,0.0,1013,17,10,210,12,Iraq
2020-01-10,16,13,0.0,5.4,3,100,04:53 PM,06:38 AM,07:07 AM,05:13 PM,4,13,14,13,17,78,50,3.3,1012,16,10,203,12,Iraq
2020-01-11,17,10,0.0,8.7,4,100,05:57 PM,07:36 AM,07:07 AM,05:14 PM,2,11,13,11,36,10,49,0.0,1014,17,10,322,26,Iraq
2020-01-12,15,9,0.0,7.1,3,83,07:05 PM,08:27 AM,07:07 AM,05:15 PM,0,11,12,11,27,22,45,0.0,1020,15,10,307,18,Iraq
2020-01-13,16,11,0.0,3.8,3,76,08:14 PM,09:14 AM,07:07 AM,05:15 PM,3,12,13,12,17,76,52,1.2,1018,16,10,235,11,Iraq
2020-01-14,16,8,0.0,8.7,4,69,09:23 PM,09:55 AM,07:07 AM,05:16 PM,1,10,12,10,30,1,52,0.0,1022,16,10,334,21,Iraq
2020-01-15,17,9,0.0,8.7,4,61,10:30 PM,10:32 AM,07:06 AM,05:17 PM,-3,11,12,11,24,18,34,0.0,1025,17,10,328,15,Iraq
2020-01-16,17,10,0.0,8.7,4,54,11:37 PM,11:08 AM,07:06 AM,05:18 PM,-4,13,13,13,10,31,30,0.0,1024,17,10,109,6,Iraq
2020-01-17,21,11,0.0,7.1,4,47,No moonrise,11:42 AM,07:06 AM,05:19 PM,-1,15,16,15,36,55,34,0.1,1017,21,10,112,24,Iraq
2020-01-18,17,12,0.0,8.7,4,40,12:42 AM,12:17 PM,07:06 AM,05:20 PM,4,14,15,14,27,8,49,0.0,1013,17,10,215,18,Iraq
2020-01-19,16,10,0.0,3.8,3,32,01:47 AM,12:54 PM,07:05 AM,05:21 PM,5,13,13,13,12,51,60,0.2,1019,16,10,312,8,Iraq
2020-01-20,19,12,0.0,8.7,5,25,02:51 AM,01:34 PM,07:05 AM,05:22 PM,4,15,15,15,12,33,50,0.0,1021,19,10,180,8,Iraq
2020-01-21,18,12,0.0,7.1,3,18,03:55 AM,02:19 PM,07:05 AM,05:23 PM,6,14,14,14,13,75,57,3.5,1016,18,10,223,10,Iraq
2020-01-22,11,3,0.0,3.8,3,11,04:55 AM,03:08 PM,07:04 AM,05:24 PM,7,8,10,8,30,94,78,43.6,1013,11,7,91,22,Iraq
2020-01-23,15,10,0.0,7.1,3,3,05:52 AM,04:02 PM,07:04 AM,05:25 PM,3,12,12,12,9,40,59,0.1,1017,15,10,249,7,Iraq
2020-01-24,17,10,0.0,8.7,4,0,06:43 AM,04:58 PM,07:03 AM,05:26 PM,1,11,13,11,35,31,46,0.4,1016,17,9,170,24,Iraq
2020-01-25,15,9,0.0,3.8,3,0,07:29 AM,05:56 PM,07:03 AM,05:27 PM,5,10,12,10,24,68,63,6.0,1019,15,9,157,17,Iraq
2020-01-26,14,9,0.0,8.7,4,4,08:09 AM,06:54 PM,07:02 AM,05:28 PM,-0,9,11,9,30,1,46,0.0,1025,14,10,316,21,Iraq
2020-01-27,15,9,0.0,8.7,4,11,08:44 AM,07:50 PM,07:02 AM,05:29 PM,0,10,11,10,20,2,47,0.0,1024,15,10,312,14,Iraq
2020-01-28,17,10,0.0,8.7,3,18,09:16 AM,08:45 PM,07:01 AM,05:30 PM,-0,13,13,13,9,47,40,0.0,1021,17,10,212,6,Iraq
2020-01-29,18,11,0.0,7.1,3,26,09:45 AM,09:40 PM,07:01 AM,05:31 PM,0,14,14,14,16,50,39,0.0,1018,18,10,114,11,Iraq
2020-01-30,20,12,0.0,8.7,5,33,10:13 AM,10:33 PM,07:00 AM,05:32 PM,3,15,15,15,9,4,45,0.0,1021,20,10,183,6,Iraq
2020-01-31,20,12,0.0,8.7,5,37,10:41 AM,11:27 PM,06:59 AM,05:33 PM,3,15,15,15,26,6,43,0.0,1015,20,10,168,17,Iraq
2020-02-01,15,10,0.0,8.7,3,49,11:10 AM,No moonset,06:59 AM,05:34 PM,-4,10,12,10,30,50,33,0.4,1015,15,10,271,21,Iraq
2020-02-02,16,10,0.0,8.7,4,57,11:41 AM,12:22 AM,06:58 AM,05:35 PM,0,12,12,12,11,20,45,0.0,1022,16,10,238,8,Iraq
2020-02-03,15,9,0.0,8.7,4,64,12:15 PM,01:19 AM,06:57 AM,05:36 PM,-1,10,12,10,17,5,43,0.0,1024,15,10,329,12,Iraq
2020-02-04,17,10,0.0,8.7,4,72,12:54 PM,02:18 AM,06:57 AM,05:37 PM,-0,13,13,13,8,18,40,0.0,1020,17,10,147,6,Iraq
2020-02-05,21,11,0.0,8.7,5,79,01:40 PM,03:19 AM,06:56 AM,05:37 PM,-0,14,15,14,20,2,35,0.0,1019,21,10,127,13,Iraq
2020-02-06,24,13,0.0,8.7,5,87,02:34 PM,04:19 AM,06:55 AM,05:38 PM,1,18,18,18,23,4,32,0.0,1018,24,10,110,14,Iraq
2020-02-07,23,15,0.0,8.7,5,95,03:35 PM,05:19 AM,06:54 AM,05:39 PM,4,18,18,18,24,2,39,0.0,1013,23,10,170,15,Iraq
2020-02-08,18,14,0.0,8.7,5,100,04:42 PM,06:13 AM,06:53 AM,05:40 PM,4,15,16,15,31,17,46,0.0,1013,18,10,252,22,Iraq
2020-02-09,11,7,0.0,8.7,3,100,05:53 PM,07:04 AM,06:53 AM,05:41 PM,-6,7,10,7,30,27,35,0.1,1022,11,10,303,23,Iraq
2020-02-10,7,1,0.0,8.7,3,83,07:05 PM,07:48 AM,06:52 AM,05:42 PM,-15,1,5,1,25,3,23,0.0,1025,7,10,267,19,Iraq
2020-02-11,7,2,0.1,7.2,1,75,08:15 PM,08:28 AM,06:51 AM,05:43 PM,-11,1,4,1,21,45,33,0.2,1025,7,10,284,16,Iraq
2020-02-12,10,3,0.0,8.7,3,68,09:25 PM,09:06 AM,06:50 AM,05:44 PM,-12,6,7,6,10,31,24,0.0,1029,10,10,188,7,Iraq
2020-02-13,18,7,0.0,8.7,4,60,10:32 PM,09:42 AM,06:49 AM,05:45 PM,-9,9,12,9,33,36,22,0.0,1026,18,10,140,24,Iraq
2020-02-14,18,10,0.0,8.7,4,53,11:39 PM,10:17 AM,06:48 AM,05:46 PM,-3,13,13,13,21,15,33,0.0,1025,18,10,218,14,Iraq
2020-02-15,18,9,0.0,7.2,3,45,No moonrise,10:54 AM,06:47 AM,05:47 PM,-3,12,13,12,17,55,33,0.0,1022,18,10,341,12,Iraq
2020-02-16,20,12,0.0,5.7,4,38,12:45 AM,11:34 AM,06:46 AM,05:48 PM,-3,15,16,15,24,55,30,0.3,1016,20,10,87,15,Iraq
2020-02-17,20,13,0.0,8.7,4,30,01:49 AM,12:17 PM,06:45 AM,05:49 PM,8,15,15,15,17,41,63,1.1,1015,20,9,250,12,Iraq
2020-02-18,24,14,0.0,8.7,5,22,02:50 AM,01:05 PM,06:44 AM,05:49 PM,8,18,19,18,17,21,54,0.8,1018,24,10,170,12,Iraq
2020-02-19,27,16,0.0,7.2,5,15,03:48 AM,01:57 PM,06:43 AM,05:50 PM,7,20,20,20,26,23,47,0.1,1009,27,10,100,18,Iraq
2020-02-20,19,15,0.0,4.2,4,7,04:40 AM,02:52 PM,06:42 AM,05:51 PM,9,17,17,17,24,53,60,1.6,1009,19,10,274,17,Iraq
2020-02-21,22,14,0.0,8.7,5,0,05:27 AM,03:49 PM,06:41 AM,05:52 PM,7,17,18,17,13,15,51,0.0,1017,22,10,302,9,Iraq
2020-02-22,24,15,0.0,7.2,5,0,06:08 AM,04:45 PM,06:40 AM,05:53 PM,4,19,19,19,27,36,37,0.0,1015,24,10,128,18,Iraq
2020-02-23,22,14,0.0,8.7,5,0,06:44 AM,05:42 PM,06:38 AM,05:54 PM,6,18,18,18,21,5,47,0.0,1017,22,10,221,15,Iraq
2020-02-24,24,16,0.0,8.7,6,0,07:17 AM,06:37 PM,06:37 AM,05:55 PM,5,20,20,20,19,39,38,0.0,1015,24,10,94,12,Iraq
2020-02-25,20,15,0.0,4.2,4,8,07:47 AM,07:32 PM,06:36 AM,05:55 PM,14,18,18,18,30,86,77,21.8,1007,20,9,148,19,Iraq
2020-02-26,17,13,0.0,7.2,3,15,08:14 AM,08:26 PM,06:35 AM,05:56 PM,3,14,15,14,39,38,48,87.1,1010,17,9,266,29,Iraq
2020-02-27,22,15,0.0,8.7,5,23,08:42 AM,09:20 PM,06:34 AM,05:57 PM,7,18,18,18,14,0,48,0.0,1019,22,10,247,11,Iraq
