date_time,Israel_maxtempC,Israel_mintempC,Israel_totalSnow_cm,Israel_sunHour,Israel_uvIndex,Israel_moon_illumination,Israel_moonrise,Israel_moonset,Israel_sunrise,Israel_sunset,Israel_DewPointC,Israel_FeelsLikeC,Israel_HeatIndexC,Israel_WindChillC,Israel_WindGustKmph,Israel_cloudcover,Israel_humidity,Israel_precipMM,Israel_pressure,Israel_tempC,Israel_visibility,Israel_winddirDegree,Israel_windspeedKmph,Israel_location
2020-01-01,28,20,0.0,8.7,5,37,11:23 AM,11:28 PM,06:38 AM,05:46 PM,20,25,25,23,12,35,85,2.9,1013,28,8,135,8,Israel
2020-01-02,29,18,0.0,8.7,6,44,11:58 AM,No moonset,06:38 AM,05:47 PM,19,24,24,23,12,7,79,0.0,1010,29,10,119,7,Israel
2020-01-03,28,20,0.0,8.7,6,51,12:32 PM,12:14 AM,06:38 AM,05:47 PM,19,25,25,24,9,31,75,0.1,1013,28,10,247,5,Israel
2020-01-04,21,18,0.0,4.2,4,59,01:08 PM,01:02 AM,06:39 AM,05:48 PM,19,20,21,20,23,81,92,35.4,1022,21,8,270,12,Israel
2020-01-05,21,17,0.0,4.2,4,66,01:46 PM,01:51 AM,06:39 AM,05:48 PM,17,18,19,18,11,86,90,3.7,1026,21,10,255,6,Israel
2020-01-06,24,17,0.0,4.2,5,73,02:27 PM,02:41 AM,06:39 AM,05:49 PM,17,19,20,19,7,81,85,1.9,1021,24,10,168,5,Israel
2020-01-07,22,16,0.0,4.2,4,80,03:12 PM,03:35 AM,06:39 AM,05:50 PM,17,19,20,19,5,81,89,0.6,1021,22,9,157,3,Israel
2020-01-08,23,18,0.0,4.2,5,88,04:03 PM,04:31 AM,06:40 AM,05:50 PM,18,19,20,19,8,83,90,5.2,1022,23,8,100,6,Israel
2020-01-09,26,16,0.0,7.2,5,95,04:58 PM,05:30 AM,06:40 AM,05:51 PM,18,20,21,20,15,46,87,0.4,1018,26,8,109,9,Israel
2020-01-10,28,19,0.0,8.7,6,100,05:58 PM,06:29 AM,06:40 AM,05:51 PM,19,25,25,23,16,15,80,0.0,1014,28,10,98,9,Israel
2020-01-11,30,19,0.0,8.7,7,100,07:01 PM,07:28 AM,06:40 AM,05:52 PM,20,26,26,24,17,19,82,4.6,1013,30,10,144,9,Israel
2020-01-12,26,20,0.0,4.2,5,83,08:04 PM,08:22 AM,06:41 AM,05:53 PM,21,24,24,22,9,75,92,18.8,1016,26,8,216,5,Israel
2020-01-13,27,19,0.0,8.7,5,76,09:06 PM,09:14 AM,06:41 AM,05:53 PM,20,24,24,22,15,59,89,2.6,1017,27,7,107,9,Israel
2020-01-14,28,19,0.0,4.2,5,69,10:06 PM,10:01 AM,06:41 AM,05:54 PM,21,25,25,23,21,79,88,2.6,1017,28,8,110,13,Israel
2020-01-15,28,19,0.0,8.7,5,61,11:04 PM,10:45 AM,06:41 AM,05:54 PM,19,24,24,23,24,24,80,0.1,1016,28,9,102,14,Israel
2020-01-16,27,19,0.0,8.7,5,54,No moonrise,11:29 AM,06:41 AM,05:55 PM,19,24,24,22,22,60,81,2.4,1017,27,10,104,13,Israel
2020-01-17,28,19,0.0,5.7,5,47,12:01 AM,12:11 PM,06:41 AM,05:56 PM,20,24,24,23,18,70,85,3.1,1017,28,9,117,11,Israel
2020-01-18,28,19,0.0,8.7,5,40,12:58 AM,12:54 PM,06:41 AM,05:56 PM,20,24,24,23,20,59,88,6.5,1016,28,7,102,13,Israel
2020-01-19,28,19,0.0,8.7,5,32,01:55 AM,01:40 PM,06:41 AM,05:57 PM,20,24,24,23,10,71,87,8.8,1016,28,7,140,6,Israel
2020-01-20,25,18,0.0,5.7,5,25,02:53 AM,02:27 PM,06:41 AM,05:57 PM,19,21,22,21,15,71,89,7.8,1020,25,7,271,9,Israel
2020-01-21,21,18,0.0,4.2,4,18,03:51 AM,03:18 PM,06:41 AM,05:58 PM,18,19,20,19,6,88,92,29.5,1022,21,8,232,3,Israel
2020-01-22,22,15,0.0,7.2,4,11,04:47 AM,04:11 PM,06:41 AM,05:59 PM,16,18,18,18,9,49,88,1.1,1018,22,10,132,6,Israel
2020-01-23,25,14,0.0,8.7,5,3,05:42 AM,05:05 PM,06:41 AM,05:59 PM,17,19,20,19,8,10,86,0.0,1014,25,9,206,5,Israel
2020-01-24,26,18,0.0,5.8,5,0,06:33 AM,05:59 PM,06:41 AM,06:00 PM,19,22,22,21,7,75,89,3.6,1016,26,7,149,4,Israel
