date_time,Jamaica_maxtempC,Jamaica_mintempC,Jamaica_totalSnow_cm,Jamaica_sunHour,Jamaica_uvIndex,Jamaica_moon_illumination,Jamaica_moonrise,Jamaica_moonset,Jamaica_sunrise,Jamaica_sunset,Jamaica_DewPointC,Jamaica_FeelsLikeC,Jamaica_HeatIndexC,Jamaica_WindChillC,Jamaica_WindGustKmph,Jamaica_cloudcover,Jamaica_humidity,Jamaica_precipMM,Jamaica_pressure,Jamaica_tempC,Jamaica_visibility,Jamaica_winddirDegree,Jamaica_windspeedKmph,Jamaica_location
2020-01-01,29,23,0.0,7.2,6,37,11:21 AM,11:25 PM,06:38 AM,05:43 PM,21,28,28,26,10,45,75,6.3,1014,29,10,72,6,Jamaica
2020-01-02,28,23,0.0,7.2,6,44,11:55 AM,No moonset,06:39 AM,05:44 PM,21,27,27,25,14,33,78,4.0,1014,28,10,80,9,Jamaica
2020-01-03,30,22,0.0,7.2,6,51,12:30 PM,12:11 AM,06:39 AM,05:44 PM,22,29,29,26,15,26,77,0.5,1016,30,10,84,11,Jamaica
2020-01-04,30,23,0.0,8.7,6,59,01:05 PM,12:59 AM,06:39 AM,05:45 PM,21,28,28,26,10,20,73,0.2,1018,30,10,71,7,Jamaica
2020-01-05,30,24,0.0,8.7,7,66,01:43 PM,01:48 AM,06:40 AM,05:46 PM,19,28,28,27,6,4,64,0.0,1017,30,10,142,4,Jamaica
2020-01-06,27,23,0.0,5.7,6,73,02:23 PM,02:39 AM,06:40 AM,05:46 PM,20,27,27,25,6,37,74,1.9,1016,27,10,87,5,Jamaica
2020-01-07,29,23,0.0,7.2,6,80,03:08 PM,03:33 AM,06:40 AM,05:47 PM,21,28,28,26,6,48,76,0.7,1016,29,10,99,5,Jamaica
2020-01-08,30,23,0.0,8.7,7,88,03:58 PM,04:29 AM,06:40 AM,05:47 PM,21,28,28,26,10,8,72,0.1,1017,30,10,43,8,Jamaica
2020-01-09,29,19,0.0,8.7,6,95,04:53 PM,05:29 AM,06:41 AM,05:48 PM,21,27,27,25,16,42,75,0.6,1018,29,10,57,12,Jamaica
2020-01-10,29,22,0.0,5.7,6,100,05:53 PM,06:28 AM,06:41 AM,05:49 PM,20,27,27,25,23,52,73,0.6,1017,29,10,78,15,Jamaica
